,District,School Code,School Name,number,score,vote
0,Alameda City Unified,1,District Students in NPS,137,0.802919708029,0.364948453608
1,Modesto City High,110593,James C. Enochs High,12,0.0,0.508668368432
2,Murrieta Valley Unified,118794,Murrieta Mesa High,101,17.9900990099,0.579817419196
3,Hemet Unified,3330065,Alessandro High,24,0.0,0.515662650602
4,Redlands Unified,118802,Citrus Valley High,80,23.8625,0.471585244267
5,Los Angeles Unified,1939479,WESM Health/Sports Medicine,653,6.40122511485,0.746938280587
6,Anaheim Union High,3033115,John F. Kennedy High,51,33.137254902,0.589706473663
7,San Marcos Unified,3737632,San Marcos High,11,55.0,0.549691629956
8,Corona-Norco Unified,110627,Eleanor Roosevelt High,282,17.1418439716,0.482492997199
9,Riverside Unified,3336237,Polytechnic High,161,15.4534161491,0.591321544905
10,Clovis Unified,1030196,Clovis West High,23,8.47826086957,0.403795417727
11,Chaffey Joint Union High,3631157,Colony High,124,12.2338709677,0.582156673114
12,William S. Hart Union High,102459,Golden Valley High,107,17.7570093458,0.49361667744
13,Murrieta Valley Unified,100420,Vista Murrieta High,133,25.5563909774,0.408171068886
14,West Contra Costa Unified,733253,Gompers (Samuel) Continuation,14,0.0,0.927433628319
15,Palo Alto Unified,4335782,Palo Alto High,11,40.0,0.900952746339
16,Tulare Joint Union High,5435466,Tulare Western High,13,0.0,0.509095204347
17,William S. Hart Union High,102475,West Ranch High,23,61.1304347826,0.5759864074
18,Lynwood Unified,1935436,Lynwood High,63,3.25396825397,0.841880567122
19,Elk Grove Unified,3430477,Florin High,117,8.48717948718,0.716439001413
20,West Covina Unified,1939537,West Covina High,28,28.3571428571,0.723311335404
21,West Contra Costa Unified,735316,Pinole Valley High,201,2.87562189055,0.827913517314
22,Los Angeles County Office of Education,1933399,L.A. Co. High School/Arts,23,21.9130434783,0.818914515991
23,Los Banos Unified,120923,Pacheco High,11,9.0,0.610257497086
24,Hanford Joint Union High,1634401,Hanford High,26,7.53846153846,0.44391025641
25,San Jose Unified,4338950,Willow Glen High,18,28.0,0.738331537458
26,Tulare Joint Union High,5435409,Tulare Union High,11,18.0,0.509095204347
27,Berkeley Unified,131177,Berkeley High,407,6.6855036855,0.956780194419
28,Sacramento City Unified,3430519,Capital City,13,0.0,0.806978960487
29,Grossmont Union High,3734548,Monte Vista High,129,25.6589147287,0.602362570924
30,Modesto City High,5030010,Beyer (Fred C.) High,18,6.0,0.508668368432
31,Elk Grove Unified,3432572,Elk Grove High,36,19.4166666667,0.53358802929
32,Lodi Unified,3930237,Bear Creek High,169,24.3609467456,0.613253213153
33,Elk Grove Unified,3430527,"Insights High, Cont.",18,6.0,0.716439001413
34,Fresno Unified,1030279,Bullard High,220,11.3772727273,0.571761688236
35,Modesto City High,121129,Gregori High,11,0.0,0.671845032605
36,Sacramento City Unified,3434636,Johnson (Hiram W.) High,78,3.74358974359,0.794247038917
37,Torrance Unified,1939602,West High,39,25.8717948718,0.613954039327
38,Fontana Unified,3633302,Fontana High,17,6.0,0.771014492754
39,Hayward Unified,135319,Mt. Eden High,93,4.41935483871,0.805712270804
40,Los Angeles Unified,1935519,Manual Arts Senior High,263,2.74144486692,0.892554194156
41,Elk Grove Unified,116897,Cosumnes Oaks High,201,18.4328358209,0.609742441209
42,Los Angeles Unified,114850,West Adams Preparatory High,64,7.546875,0.886986003651
43,Banning Unified,3330214,Banning High,50,3.9,0.584521384929
44,Sweetwater Union High,3731627,Otay Ranch Senior High,59,21.9830508475,0.670869631667
45,Pittsburg Unified,735407,Pittsburg Senior High,408,12.2083333333,0.817532467532
46,San Bernardino City Unified,3631082,Arroyo Valley,179,6.11731843575,0.767349656487
47,Natomas Unified,3430584,Natomas High,95,7.44210526316,0.652447003402
48,Tracy Joint Unified,3930302,Merrill F. West High,41,9.85365853659,0.657411383045
49,Elk Grove Unified,3430592,Laguna Creek High,226,13.8584070796,0.663049785308
50,Fresno County Office of Education,1030337,Fresno County Court,36,5.5,0.599224806202
51,San Diego Unified,3733698,Madison High,97,7.13402061856,0.598737936154
52,San Diego Unified,3735750,Point Loma High,53,19.1132075472,0.703564138797
53,Elk Grove Unified,108753,Pleasant Grove High,111,45.1081081081,0.53358802929
54,Los Angeles Unified,1931476,Canoga Park Senior High,29,29.0,0.713309140012
55,Elk Grove Unified,3430618,Sheldon High,213,11.117370892,0.599445599446
56,Stockton Unified,3932654,Franklin High,61,6.68852459016,0.597883597884
57,Patterson Joint Unified,5036256,Patterson High,62,9.64516129032,0.578657152125
58,Long Beach Unified,125153,Beach High-ILP,18,0.0,0.574541852402
59,San Francisco Unified,3834082,Mission High,58,0.0,0.937243609972
60,William S. Hart Union High,1931492,Canyon High,30,30.1,0.623023684043
61,Oakland Unified,125161,Castlemont High,42,0.0,0.874279763971
62,Twin Rivers Unified,3430634,Elwood J. Keema High,14,0.0,0.524216204068
63,Grossmont Union High,3731692,El Cajon Valley High,80,10.0,0.342849483983
64,East Side Union High,4337903,Silver Creek High,11,18.0,0.769087001215
65,Lake Elsinore Unified,3332350,Elsinore High,18,33.0,0.369267831025
66,Napa Valley Unified,121087,American Canyon High,46,6.86956521739,0.800714285714
67,Tracy Joint Unified,119040,John C. Kimball High,85,30.8823529412,0.642056436026
68,Bellflower Unified,1935618,Mayfair High,225,16.5333333333,0.728351881293
69,Los Angeles Unified,1931526,Carson Senior High,237,5.13502109705,0.769940940873
70,San Francisco Unified,102103,Jordan (June) School for Equi,16,0.0,0.857183118439
71,San Francisco Unified,3830031,Wells (Ida B.) High,17,0.0,0.93623489286
72,Sacramento City Unified,3434768,Kennedy (John F.) High,185,8.1027027027,0.746039824416
73,Fresno Unified,1031897,Edison High,281,10.4056939502,0.443277310924
74,Glendora Unified,1933597,Glendora High,12,25.0,0.621226874391
75,East Side Union High,4335907,Piedmont Hills High,25,16.24,0.715852989578
76,San Juan Unified,3432838,Encina Preparatory High,64,1.5,0.742994588094
77,East Side Union High,4330023,Santa Teresa High,28,28.8928571429,0.727166715256
78,Riverside Unified,3336492,Ramona High,50,3.92,0.530137900356
79,Compton Unified,1931567,Centennial High,198,0.656565656566,0.836827330825
80,Novato Unified,2132272,Novato High,13,23.0,0.732417529264
81,Fresno Unified,1032507,Fresno High,95,8.46315789474,0.571761688236
82,Temecula Valley Unified,3330370,Temecula Valley High,22,36.0,0.403044103547
83,Hesperia Unified,119115,Oak Hills High,117,10.3162393162,0.31951951952
84,Upland Unified,3637584,Upland High,188,9.53191489362,0.607257595692
85,Desert Sands Unified,3330388,Palm Desert High,13,15.0,0.49119903716
86,Long Beach Unified,1935758,Millikan High,231,7.85281385281,0.574541852402
87,Moreno Valley Unified,3330396,Canyon Springs High,284,12.1056338028,0.595724082291
88,Tustin Unified,3037553,Tustin High,23,30.2608695652,0.644908350305
89,San Leandro Unified,137588,San Leandro High,337,7.10682492582,0.768664047151
90,Madera Unified,110965,Madera South High,12,8.0,0.410989010989
91,Moreno Valley Unified,3330438,Valley View High,253,17.4664031621,0.469946679593
92,Sweetwater Union High,3731064,Chula Vista Senior High,26,30.6923076923,0.756660746004
93,Corona-Norco Unified,3330446,Centennial High,192,13.5572916667,0.432162875041
94,Charter Oak Unified,1931666,Charter Oak High,11,18.0,0.617709277727
95,Sacramento City Unified,108951,Arthur A. Benjamin Health Pro,28,11.0,0.795069767442
96,Chaffey Joint Union High,3637659,"Valley View High, Cont.",12,0.0,0.736719598614
97,Pasadena Unified,1931674,Marshall Fundamental,47,10.7659574468,0.662924387935
98,Long Beach Unified,1939875,Wilson High,325,13.92,0.751053104067
99,Vacaville Unified,4837803,Vacaville High,61,4.7868852459,0.599636693915
100,Washington Unified,5735154,River City Senior High,65,6.09230769231,0.782843431314
101,Los Angeles Unified,1937838,San Pedro Senior High,146,10.9246575342,0.738540442355
102,Beaumont Unified,3330479,Beaumont Senior High,73,19.0821917808,0.438963901901
103,Twin Rivers Unified,3436979,Rio Linda High,38,7.89473684211,0.568253063551
104,Lake Elsinore Unified,3330487,Temescal Canyon High,30,17.0,0.462993693993
105,Wasco Union High,1536440,Wasco High,12,8.0,0.23132780083
106,Los Angeles Unified,1931708,Chatsworth Senior High,110,5.42727272727,0.577941005013
107,San Francisco Unified,3830205,Wallenberg (Raoul) Traditiona,11,0.0,0.902757236425
108,Manhattan Beach Unified,1935808,Mira Costa High,38,55.2894736842,0.691321692499
109,Sweetwater Union High,3733953,Mar Vista Senior High,11,27.0,0.665020971688
110,Sacramento City Unified,3430865,West Campus,15,60.0,0.794247038917
111,Tustin Unified,102871,Arnold O. Beckman High,12,50.0,0.644908350305
112,Elk Grove Unified,3430873,Franklin High,247,27.6396761134,0.609742441209
113,Oakland Unified,100826,Mandela High,24,0.0,0.899439939814
114,West Contra Costa Unified,733659,Kennedy High,130,2.30769230769,0.892062097247
115,San Ramon Valley Unified,113118,Dougherty Valley High,11,64.0,0.774209734069
116,Murrieta Valley Unified,3330529,Murrieta Valley High,17,12.0,0.579817419196
117,Oakland Unified,100834,Media College Preparatory,44,2.22727272727,0.899439939814
118,Los Angeles Unified,1933795,Ulysses S. Grant Senior High,49,8.14285714286,0.783907607139
119,Kern Union High,1530344,Stockdale High,54,27.8148148148,0.836192109777
120,Hemet Unified,3330537,West Valley High,75,10.72,0.406815688426
121,San Bernardino County Office of Educatio,123372,High Desert Assessment Ctr.,12,8.0,0.285777190665
122,San Francisco Unified,3830254,Burton (Phillip and Sala) Aca,51,0.0,0.865563097382
123,Oxnard Union High,5634548,Oxnard High,11,9.0,0.656590801328
124,Val Verde Unified,3330552,Rancho Verde High,377,21.8912466844,0.622008590714
125,Los Angeles Unified,1935865,James Monroe High,17,6.0,0.701088907503
126,Los Angeles Unified,107003,Northridge Academy High,16,13.0,0.696428571429
127,Val Verde Unified,3330560,Val Verde High,31,0.0,0.632077582991
128,Los Angeles Unified,102913,Middle College High,86,5.93023255814,0.717945332101
129,Hemet Unified,113159,Tahquitz High,72,2.83333333333,0.406815688426
130,Los Angeles Unified,102921,Harbor Teacher Preparation Ac,13,85.0,0.808420812414
131,Santa Rosa High,4934154,Montgomery High,12,8.0,0.765771990433
132,San Francisco Unified,3830288,Balboa High,27,0.0,0.857183118439
133,Kern Union High,1530385,Ridgeview High,93,15.2903225806,0.485140689219
134,Fresno Unified,1030675,Sunnyside High,145,11.0,0.555985663082
135,Rialto Unified,102830,Wilmer Amina Carter High,353,8.49858356941,0.687595200059
136,East Side Union High,4330031,Independence High,36,2.75,0.800276490201
137,Corona-Norco Unified,3330586,Lee V. Pollard High (Cont.),15,0.0,0.581043375328
138,Clovis Unified,1030683,Clovis East High,14,43.0,0.397498790852
139,Los Angeles Unified,1933852,Alexander Hamilton Senior Hig,497,5.76056338028,0.825423728814
140,Perris Union High,113191,Heritage High,86,12.7674418605,0.489396795476
141,Oakland Unified,102954,Business & Information Tech,14,0.0,0.874279763971
142,Claremont Unified,1931823,Claremont High,64,21.90625,0.588008468169
143,Oakland Unified,102962,E. Oakland Sch. of the Arts,19,0.0,0.874279763971
144,Monrovia Unified,1935923,Monrovia High,81,30.950617284,0.688772993164
145,Val Verde Unified,109108,Citrus Hill High,128,9.2734375,0.527151211362
146,Hemet Unified,3332673,Hemet High,45,13.0888888889,0.342007434944
147,Pasadena Unified,1936822,Pasadena High,172,10.9651162791,0.699010914052
148,San Diego Unified,107078,Kearny Digital Media & Design,25,11.8,0.625410480551
149,San Diego Unified,107086,Kearny SCT,33,21.6666666667,0.625410480551
150,Santa Monica-Malibu Unified,1938000,Santa Monica High,168,9.54166666667,0.840205375386
151,San Francisco Unified,3830353,Intl Studies Academy,23,0.0,0.943530844862
152,San Lorenzo Unified,137810,San Lorenzo High,143,11.6433566434,0.786050520453
153,Los Angeles Unified,1931864,Grover Cleveland High,18,50.0,0.695140327745
154,San Francisco County Office of Education,3830361,San Francisco Court,13,0.0,0.844188220629
155,Kern Union High,1536606,West High,170,11.1882352941,0.405904059041
156,San Jose Unified,4330080,Gunderson High,18,6.0,0.728620892402
157,Sacramento City Unified,3431012,Burbank (Luther) High,152,9.84868421053,0.806978960487
158,Desert Sands Unified,3330669,La Quinta High,11,18.0,0.474477394263
159,Centinela Valley Union High,1933951,Hawthorne High,187,2.29411764706,0.870829997331
160,San Francisco Unified,3830403,Marshall (Thurgood) High,49,1.95918367347,0.863588520104
161,San Bernardino City Unified,3635844,San Bernardino High,193,5.23316062176,0.657870032335
162,Antelope Valley Union High,1995398,Highland High,321,14.9470404984,0.397881996974
163,San Francisco Unified,3830064,"Downtown High, Cont.",12,0.0,0.943530844862
164,Santa Clara Unified,4330122,Santa Clara High,42,16.8571428571,0.759868102027
165,Corona-Norco Unified,3330701,Santiago High,162,23.4012345679,0.432162875041
166,Antelope Valley Union High,1995406,Littlerock High,50,5.9,0.441511387164
167,Grossmont Union High,3730066,Valhalla High,37,21.9459459459,0.400525054218
168,San Diego Unified,3730884,Scripps Ranch High,41,41.4634146341,0.591954022989
169,Poway Unified,3730074,Mt. Carmel High,14,29.0,0.591692046533
170,West Contra Costa Unified,735902,Richmond High,32,0.0,0.892062097247
171,Los Angeles Unified,1938885,University Senior High,245,11.1632653061,0.846667447581
172,Fairfield-Suisun Unified,4836003,Sem Yeto Continuation High,54,0.0,0.668495814955
173,Perris Union High,3330727,Paloma Valley High,31,6.45161290323,0.446066239037
174,San Diego Unified,107177,Crawford Multimedia and Visua,13,31.0,0.728962622427
175,Inglewood Unified,1936046,Morningside High,214,5.42990654206,0.881244671782
176,San Diego Unified,107185,Crawford CHAMPS,55,14.6363636364,0.728962622427
177,Temecula Valley Unified,3330743,Chaparral High,43,20.8837209302,0.428404333908
178,Compton Unified,1931963,Compton High,236,2.21186440678,0.919413919414
179,Kern Union High,1532605,Foothill High,11,18.0,1.0
180,San Diego Unified,107201,Crawford IDEA,12,8.0,0.728962622427
181,Santa Rosa High,4930244,Carrillo (Maria) High,11,36.0,0.756435237412
182,Oxnard Union High,5634761,Rio Mesa High,14,29.0,0.716994179681
183,Fresno Unified,1032911,Herbert Hoover High,126,4.75396825397,0.563651137595
184,Los Angeles Unified,1934033,Hollywood Senior High,109,10.0917431193,0.874028609612
185,Oakland Unified,137943,Skyline High,308,2.36038961039,0.815282964665
186,Oakland Unified,6114011,"Independent Study, Sojourner",26,0.0,0.874279763971
187,Oakland Unified,135905,Oakland High,295,3.13898305085,0.920011923688
