al_geo_id	al_vote_id	countyfp10	vap	statefp10	vtdst10	ctyvtd	geo_old	geoid10	vtdi10	name10	namelsad10	lsad10	mtfcc10	funcstat10	aland10	awater10	intptlat10	intptlon10	name	pop100	al_agg	fraction	v24	precinct	tot08	usp_d_08	usp_r_08	usp_tot	uss_d_08	uss_r_08	uss_tot	ush_d_08_1	ush_r_08_1	ush_tot__1_	tot06	ush_d_06_1	ush_r_06_1	gov_d_06	gov_r_06	ltgov_d_06	ltgov_r_06	ag_d_06	ag_r_06	sos_d_06	sos_r_06	treas_d_06	treas_r_06	audit_d_06	audit_r_06	ush_d_08	ush_d_06	ush_r_08	ush_r_06	p_08	s_08	h_08	g_06	a_06	h_06	l_06	y_06	t_06	d_06	av	ndv	nrv
1	"7"	1	532	1	"110"	"1 110"	"10010110"	"010010110"	"A"	"Mulberry/Statesville"	"Mulberry/Statesville"	0	"G5240"	"N"	176567521	6643264	32.44151	-86.8014	"Mulberry/Statesville"	652	"532"	"1"	"NA"	"CENTRAL AL ELECENTERIC COOP BLDG"	403.0	276.0	124.0	402.0	260.0	133.0	393.0	315.0	79.0	394.0	274.0	167.0	99.0	203.0	69.0	217.0	52.0	175.0	95.0	185.0	75.0	172.0	89.0	183.0	73.0	315.0	167.0	79.0	99.0	0.69	0.6615776	0.79949236	0.7463235	0.6481481	0.62781954	0.80669147	0.71153843	0.65900385	0.71484375	0.70654386	282.61755	117.382454
2	"11"	1	681	1	"10"	"1 10"	"10010010"	"010010010"	"A"	"Jones Community Center"	"Jones Community Center"	0	"G5240"	"N"	201308465	1378263	32.58483	-86.847466	"Jones Community Center"	903	"681"	"1"	"NA"	"JONES COMMUNITY CENTER"	312.0	131.0	177.0	308.0	119.0	181.0	301.0	158.0	144.0	302.0	203.0	78.0	116.0	99.0	104.0	113.0	88.0	96.0	102.0	102.0	91.0	91.0	100.0	102.0	91.0	158.0	78.0	144.0	116.0	0.42532468	0.39666668	0.5231788	0.48768473	0.4848485	0.40206185	0.56218904	0.5284974	0.4764398	0.5284974	0.4815389	148.31398	159.68602
3	"25"	1	4384	1	"220"	"1 220"	"10010220"	"010010220"	"A"	"Upper Kingston Community Center"	"Upper Kingston Community Center"	0	"G5240"	"N"	70373697	392923	32.516193	-86.489204	"Upper Kingston Community Center"	6009	"4384"	"1"	"NA"	"UPPER KINGSTON COMM CNTR 1, UPPER KINGSTON COMM CNTR 2"	2209.0	401.0	1795.0	2208.0	321.0	1863.0	2188.0	750.0	1441.0	2196.0	1345.0	217.0	1102.0	358.0	975.0	462.0	863.0	348.0	975.0	252.0	1053.0	215.0	1082.0	268.0	982.0	750.0	217.0	1441.0	1102.0	0.18260473	0.14697802	0.34230945	0.26856714	0.26303855	0.16451858	0.34867924	0.19310345	0.16576715	0.2144	0.22899663	502.87662	1693.1234
4	"22"	1	8355	1	"100"	"1 100"	"10010100"	"010010100"	"A"	"Trinity Methodist Church"	"Trinity Methodist Church"	0	"G5240"	"N"	16058641	67003	32.479908	-86.43192	"Trinity Methodist Church"	11680	"8355"	"1"	"NA"	"TRINITY UNITED METHODIST 1, TRINITY UNITED METHODIST 2, TRINITY UNITED METHODIST 3"	4356.0	817.0	3506.0	4352.0	663.0	3635.0	4304.0	1441.0	2857.0	4306.0	2729.0	358.0	2305.0	570.0	2130.0	855.0	1817.0	570.0	2124.0	435.0	2218.0	376.0	2274.0	528.0	2003.0	1441.0	358.0	2857.0	2305.0	0.18898913	0.15425779	0.33527222	0.21111111	0.21158129	0.13443485	0.31998503	0.16396531	0.14188679	0.2086132	0.20700967	894.90283	3428.0972
5	"10"	1	721	1	"80"	"1 80"	"10010080"	"010010080"	"A"	"Independence Voting Center"	"Independence Voting Center"	0	"G5240"	"N"	142191518	177871	32.55196	-86.72325	"Independence Voting Center"	959	"721"	"1"	"NA"	"INDEPENDENCE VOTING HOUSE"	495.0	259.0	230.0	493.0	246.0	236.0	482.0	306.0	177.0	483.0	317.0	163.0	146.0	196.0	120.0	211.0	101.0	188.0	122.0	173.0	134.0	157.0	151.0	178.0	123.0	306.0	163.0	177.0	146.0	0.52965236	0.5103735	0.6335404	0.62025315	0.60645163	0.5275081	0.67628205	0.5635179	0.50974023	0.5913621	0.5768681	282.08853	206.91148
6	"2"	1	1199	1	"140"	"1 140"	"10010140"	"010010140"	"A"	"Autaugaville"	"Autaugaville"	0	"G5240"	"N"	164355212	6673264	32.431507	-86.66837	"Autaugaville"	1550	"1199"	"1"	"NA"	"AUTAUGAVILLE VOLUNTEER FIRE DEPARTMENT"	811.0	474.0	334.0	809.0	438.0	352.0	790.0	547.0	247.0	794.0	491.0	222.0	259.0	260.0	216.0	299.0	175.0	247.0	236.0	252.0	226.0	229.0	247.0	260.0	199.0	547.0	222.0	247.0	259.0	0.5866337	0.55443037	0.68891686	0.5462185	0.51138717	0.46153846	0.6308017	0.52719665	0.48109242	0.5664488	0.5554665	448.8169	359.1831
7	"16"	1	2286	1	"150"	"1 150"	"10010150"	"010010150"	"A"	"Prattmont Baptist Church"	"Prattmont Baptist Church"	0	"G5240"	"N"	22597002	826971	32.430523	-86.43691	"Prattmont Baptist Church"	3001	"2286"	"1"	"NA"	"PRATTMONT BAPTIST CHURCH"	1112.0	224.0	878.0	1110.0	194.0	903.0	1098.0	445.0	648.0	1096.0	759.0	126.0	621.0	208.0	546.0	282.0	468.0	214.0	539.0	157.0	579.0	136.0	596.0	178.0	518.0	445.0	126.0	648.0	621.0	0.20326678	0.17684594	0.40713632	0.27586207	0.28419656	0.16867469	0.376	0.21331522	0.18579236	0.25574714	0.2546837	280.66144	821.33856
8	"17"	1	1483	1	"130"	"1 130"	"10010130"	"010010130"	"A"	"Chamber of Commerce"	"Chamber of Commerce"	0	"G5240"	"N"	3151961	0	32.47524	-86.473526	"Chamber of Commerce"	2060	"1483"	"1"	"NA"	"PRATTVILLE CHAMBER OF COMMERCE"	917.0	612.0	298.0	916.0	556.0	339.0	897.0	668.0	232.0	900.0	525.0	294.0	217.0	317.0	205.0	341.0	181.0	311.0	207.0	297.0	208.0	281.0	221.0	310.0	185.0	668.0	294.0	232.0	217.0	0.6725275	0.62122905	0.74222225	0.6072797	0.6003861	0.5753425	0.6532567	0.5881188	0.5597609	0.6262626	0.6246386	568.42114	341.57886
9	"19"	1	5329	1	"160"	"1 160"	"10010160"	"010010160"	"A"	"Safe Harbor Ministries"	"Safe Harbor Ministries"	0	"G5240"	"N"	136915474	8071166	32.41578	-86.52304	"Safe Harbor Ministries"	7297	"5329"	"1"	"NA"	"SAFE HARBOR MINISTRIES 1, SAFE HARBOR MINISTRIES 2, SAFE HARBOR MINISTRIES 3"	2889.0	663.0	2206.0	2883.0	567.0	2269.0	2841.0	1088.0	1758.0	2851.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1088.0	0.0	1758.0	0.0	0.23109098	0.19992948	0.38229093								0.2711038	777.7968	2091.2031
10	"5"	1	2477	1	"170"	"1 170"	"10010170"	"010010170"	"A"	"Camelia Baptist Church"	"Camelia Baptist Church"	0	"G5240"	"N"	5041319	9054	32.474026	-86.4597	"Camelia Baptist Church"	3371	"2477"	"1"	"NA"	"Camelia Baptist Church 1, Camelia Baptist Church 2 and Camelia Baptist Church"	1520.0	443.0	1059.0	1514.0	371.0	1122.0	1494.0	670.0	828.0	1498.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	670.0	0.0	828.0	0.0	0.29494008	0.24849297	0.447263								0.33023202	496.00848	1005.9915
