,District,District Code,School Code,School Name,number,score,vote
0,Alameda City Unified,61119,1,District Students in NPS,263,5.68821292776,0.643058547424
1,San Diego Unified,68338,3733508,La Jolla High,11,55.0,0.643146674673
2,Modesto City High,71175,110593,James C. Enochs High,68,55.8088235294,0.503361941726
3,Murrieta Valley Unified,75200,118794,Murrieta Mesa High,120,58.3416666667,0.551023137622
4,Pomona Unified,64907,1933324,Garey Senior High,12,42.0,0.694546617624
5,Hemet Unified,67082,3330065,Alessandro High,25,4.0,0.467771639042
6,Redlands Unified,67843,118802,Citrus Valley High,103,57.4368932039,0.455927591103
7,Los Angeles Unified,64733,1939479,WESM Health/Sports Medicine,667,39.0,0.76065511572
8,Anaheim Union High,66431,3033115,John F. Kennedy High,87,65.6091954023,0.620361429163
9,San Marcos Unified,73791,3737632,San Marcos High,42,85.5,0.556289356474
10,Corona-Norco Unified,67033,110627,Eleanor Roosevelt High,300,60.56,0.469943247562
11,Riverside Unified,67215,3336237,Polytechnic High,177,34.3728813559,0.55196454629
12,Sweetwater Union High,68411,3731502,San Ysidro High,12,67.0,0.653173965448
13,Clovis Unified,62117,1030196,Clovis West High,68,45.5588235294,0.410257742673
14,Chaffey Joint Union High,67652,3631157,Colony High,188,43.8936170213,0.584564584732
15,William S. Hart Union High,65136,102459,Golden Valley High,136,45.1911764706,0.493247068338
16,Murrieta Valley Unified,75200,100420,Vista Murrieta High,168,65.4285714286,0.408031308491
17,West Contra Costa Unified,61796,733253,Gompers (Samuel) Continuation,32,9.0,0.921564694082
18,Antioch Unified,61648,730465,Deer Valley High,564,36.884751773,0.720506845325
19,Poway Unified,68296,3731528,Westview High,24,58.5833333333,0.590174713507
20,Tulare Joint Union High,72249,5435466,Tulare Western High,33,45.5454545455,0.509095204347
21,William S. Hart Union High,65136,102475,West Ranch High,71,64.9436619718,0.56037496028
22,Lynwood Unified,64774,1935436,Lynwood High,99,26.3434343434,0.818173573955
23,Elk Grove Unified,67314,3430477,Florin High,148,31.8243243243,0.724257282954
24,West Covina Unified,65094,1939537,West Covina High,84,62.9047619048,0.722227984649
25,Muroc Joint Unified,63685,1531987,Desert Junior-Senior High,54,53.8333333333,0.289198606272
26,West Contra Costa Unified,61796,735316,Pinole Valley High,212,18.4433962264,0.820333432569
27,Los Angeles County Office of Education,10199,1933399,L.A. Co. High School/Arts,56,67.5535714286,0.750386750387
28,Corona-Norco Unified,67033,3334232,Norco High,62,61.2096774194,0.521374277896
29,Los Banos Unified,65755,120923,Pacheco High,50,35.9,0.609182058047
30,San Juan Unified,67447,3430493,Bella Vista High,30,43.0,0.486412512219
31,Hanford Joint Union High,63925,1634401,Hanford High,59,35.6779661017,0.41235459286
32,San Jose Unified,69666,4338950,Willow Glen High,49,57.2244897959,0.745581677036
33,Redlands Unified,67843,3630779,Redlands East Valley High,112,42.8482142857,0.560438237419
