,District,School Code,School Name,number,score,vote
0,Alameda City Unified,1,District Students in NPS,400,4.015,0.643058547424
1,San Diego Unified,3733508,La Jolla High,11,55.0,0.643146674673
2,Modesto City High,110593,James C. Enochs High,80,47.4375,0.503361941726
3,Murrieta Valley Unified,118794,Murrieta Mesa High,221,39.9004524887,0.551023137622
4,Pomona Unified,1933324,Garey Senior High,12,42.0,0.694546617624
5,Hemet Unified,3330065,Alessandro High,49,2.04081632653,0.467771639042
6,Redlands Unified,118802,Citrus Valley High,183,42.7595628415,0.455927591103
7,Los Angeles Unified,1939479,WESM Health/Sports Medicine,1320,22.8734848485,0.76065511572
8,Oakland Unified,136051,Oakland Technical High,872,20.8279816514,0.855087197935
9,San Marcos Unified,3737632,San Marcos High,53,79.1698113208,0.556289356474
10,Corona-Norco Unified,110627,Eleanor Roosevelt High,582,39.5223367698,0.469943247562
11,Riverside Unified,3336237,Polytechnic High,338,25.3609467456,0.55196454629
12,Sweetwater Union High,3731502,San Ysidro High,12,67.0,0.653173965448
13,Clovis Unified,1030196,Clovis West High,91,36.1868131868,0.410257742673
14,Chaffey Joint Union High,3631157,Colony High,312,31.3108974359,0.584564584732
15,William S. Hart Union High,102459,Golden Valley High,243,33.1111111111,0.493247068338
16,Murrieta Valley Unified,100420,Vista Murrieta High,301,47.8106312292,0.408031308491
17,West Contra Costa Unified,733253,Gompers (Samuel) Continuation,46,6.26086956522,0.921564694082
18,Palo Alto Unified,4335782,Palo Alto High,49,33.2857142857,0.900408841191
19,Antioch Unified,730465,Deer Valley High,1064,23.1372180451,0.720506845325
20,Poway Unified,3731528,Westview High,24,58.5833333333,0.590174713507
21,Tulare Joint Union High,5435466,Tulare Western High,46,32.6739130435,0.509095204347
22,William S. Hart Union High,102475,West Ranch High,94,64.0106382979,0.56037496028
23,Lynwood Unified,1935436,Lynwood High,162,17.3641975309,0.818173573955
24,Elk Grove Unified,3430477,Florin High,265,21.520754717,0.724257282954
25,Los Angeles Unified,1995448,Francisco Bravo Medical Magne,26,69.2307692308,0.870950978694
26,Muroc Joint Unified,1531987,Desert Junior-Senior High,54,53.8333333333,0.289198606272
27,West Contra Costa Unified,735316,Pinole Valley High,413,10.8668280872,0.820333432569
28,Los Angeles County Office of Education,1933399,L.A. Co. High School/Arts,79,54.2658227848,0.750386750387
29,Corona-Norco Unified,3334232,Norco High,62,61.2096774194,0.521374277896
30,Los Banos Unified,120923,Pacheco High,61,31.0491803279,0.609182058047
31,San Juan Unified,3430493,Bella Vista High,30,43.0,0.486412512219
32,Hanford Joint Union High,1634401,Hanford High,85,27.0705882353,0.41235459286
33,San Jose Unified,4338950,Willow Glen High,67,49.3731343284,0.745581677036
34,Redlands Unified,3630779,Redlands East Valley High,201,31.9004975124,0.560438237419
35,Tulare Joint Union High,5435409,Tulare Union High,69,30.2898550725,0.509095204347
36,Berkeley Unified,131177,Berkeley High,859,12.2526193248,0.95595970901
37,Sacramento City Unified,3430519,Capital City,119,4.19327731092,0.810262114997
38,Grossmont Union High,3734548,Monte Vista High,290,35.2931034483,0.567637598284
39,Modesto City High,5030010,Beyer (Fred C.) High,69,36.3913043478,0.503361941726
40,Perris Union High,3330172,"Perris Lake High, Cont.",11,0.0,0.599527085125
41,Lodi Unified,3930237,Bear Creek High,379,31.8205804749,0.613983375582
42,Elk Grove Unified,3430527,"Insights High, Cont.",36,8.5,0.724257282954
43,Fresno Unified,1030279,Bullard High,450,25.5888888889,0.571761688236
44,Modesto City High,121129,Gregori High,25,24.08,0.624695161083
45,Sacramento City Unified,3434636,Johnson (Hiram W.) High,189,15.9100529101,0.797459584296
46,Fresno Unified,1030287,Young Academic Center,69,4.52173913043,0.770626242545
47,Torrance Unified,1939602,West High,110,51.8454545455,0.643809331448
48,Fontana Unified,3633302,Fontana High,79,29.1898734177,0.767511394713
49,Hayward Unified,135319,Mt. Eden High,233,17.2360515021,0.805712270804
50,Rowland Unified,1937564,Rowland (John A.) High,22,50.0,0.58049122807
51,Los Angeles Unified,1935519,Manual Arts Senior High,544,10.0202205882,0.87685560054
52,Elk Grove Unified,116897,Cosumnes Oaks High,432,34.0694444444,0.635654169855
53,Los Angeles Unified,114850,West Adams Preparatory High,171,18.0292397661,0.904467987103
54,Anaheim Union High,3033115,John F. Kennedy High,138,53.6086956522,0.620361429163
55,Fullerton Joint Union High,3037348,Sunny Hills High,25,68.24,0.634521880065
56,Banning Unified,3330214,Banning High,127,15.6850393701,0.449500318945
57,Corona-Norco Unified,110759,John F. Kennedy High,29,75.8965517241,0.521374277896
58,San Juan Unified,3436714,Rio Americano High,48,45.8958333333,0.613832853026
59,San Juan Unified,3431111,Casa Roble Fundamental High,13,46.0,0.442007644589
60,Pittsburg Unified,735407,Pittsburg Senior High,848,20.1462264151,0.811901646119
61,San Bernardino City Unified,3631082,Arroyo Valley,383,19.4804177546,0.736587270597
62,Salinas Union High,2730166,Everett Alvarez High,11,18.0,0.766725159026
63,Natomas Unified,3430584,Natomas High,238,22.9537815126,0.638572425017
64,Tracy Joint Unified,3930302,Merrill F. West High,158,25.5443037975,0.628774661119
65,Elk Grove Unified,3430592,Laguna Creek High,489,26.7934560327,0.669520992267
66,Fresno County Office of Education,1030337,Fresno County Court,73,8.20547945205,0.604175194433
67,San Diego Unified,3733698,Madison High,213,24.4835680751,0.604657849339
68,San Diego Unified,3735750,Point Loma High,140,44.35,0.687368103708
69,Los Angeles Unified,1935568,John Marshall Senior High,44,56.8181818182,0.690659481653
70,Elk Grove Unified,108753,Pleasant Grove High,276,52.2608695652,0.53358802929
71,Los Angeles Unified,1931476,Canoga Park Senior High,97,42.6907216495,0.744038635678
72,Glendale Unified,1933530,Glendale High,24,54.0,0.649555830428
73,Stockton Unified,3932654,Franklin High,165,14.5575757576,0.546288209607
74,Patterson Joint Unified,5036256,Patterson High,164,31.2073170732,0.577589023195
75,Long Beach Unified,125153,Beach High-ILP,95,5.61052631579,0.575231756596
76,San Francisco Unified,3834082,Mission High,140,10.7142857143,0.938423268274
77,San Jose Unified,4333795,Lincoln (Abraham) High,38,36.6842105263,0.806573310314
78,William S. Hart Union High,1931492,Canyon High,102,42.2352941176,0.579585410653
79,Oakland Unified,125161,Castlemont High,87,9.31034482759,0.879256384577
80,Twin Rivers Unified,3430634,Elwood J. Keema High,79,3.91139240506,0.524216204068
81,East Side Union High,4337903,Silver Creek High,67,34.0895522388,0.772476732629
82,San Diego Unified,107219,San Diego Science and Technol,45,53.5333333333,0.703490464196
83,Mt. Diablo Unified,731380,Clayton Valley High,50,36.56,0.66013560674
84,Modesto City High,5030135,Johansen (Peter) High,51,41.1960784314,0.298161470823
