,District,School Code,School Name,number,score,vote
0,Alameda City Unified,1,District Students in NPS,128,2.53125,0.643058547424
1,Modesto City High,110593,James C. Enochs High,11,45.0,0.503361941726
2,Murrieta Valley Unified,118794,Murrieta Mesa High,58,49.4482758621,0.551023137622
3,Hemet Unified,3330065,Alessandro High,29,0.0,0.467771639042
4,Redlands Unified,118802,Citrus Valley High,84,40.4404761905,0.455927591103
5,Los Angeles Unified,1939479,WESM Health/Sports Medicine,733,18.8622100955,0.76065511572
6,Anaheim Union High,3033115,John F. Kennedy High,44,68.4090909091,0.620361429163
7,Corona-Norco Unified,110627,Eleanor Roosevelt High,204,36.2892156863,0.469943247562
8,Riverside Unified,3336237,Polytechnic High,181,18.3093922652,0.55196454629
9,Clovis Unified,1030196,Clovis West High,39,35.7435897436,0.410257742673
10,Chaffey Joint Union High,3631157,Colony High,161,28.049689441,0.584564584732
11,William S. Hart Union High,102459,Golden Valley High,50,37.88,0.493247068338
12,Murrieta Valley Unified,100420,Vista Murrieta High,61,44.4262295082,0.408031308491
13,West Contra Costa Unified,733253,Gompers (Samuel) Continuation,38,7.10526315789,0.921564694082
14,Antioch Unified,730465,Deer Valley High,640,20.5109375,0.720506845325
15,Tulare Joint Union High,5435466,Tulare Western High,26,42.0,0.509095204347
16,Riverside County Office of Education,3330123,Riverside County Juvenile Cou,13,0.0,0.666864608076
17,Lynwood Unified,1935436,Lynwood High,94,21.3723404255,0.818173573955
18,Elk Grove Unified,3430477,Florin High,227,19.9559471366,0.724257282954
19,West Covina Unified,1939537,West Covina High,70,55.5,0.722227984649
20,West Contra Costa Unified,735316,Pinole Valley High,190,11.7578947368,0.820333432569
21,Corona-Norco Unified,3334232,Norco High,14,43.0,0.521374277896
22,Los Banos Unified,120923,Pacheco High,11,36.0,0.609182058047
23,Hanford Joint Union High,1634401,Hanford High,11,0.0,0.41235459286
24,Tulare Joint Union High,5435409,Tulare Union High,47,32.0,0.509095204347
25,Berkeley Unified,131177,Berkeley High,386,10.6295336788,0.95595970901
26,Sacramento City Unified,3430519,Capital City,68,4.32352941176,0.810262114997
27,Grossmont Union High,3734548,Monte Vista High,145,35.8482758621,0.567637598284
28,Modesto City High,5030010,Beyer (Fred C.) High,41,27.1463414634,0.503361941726
29,Elk Grove Unified,3432572,Elk Grove High,75,30.7466666667,0.53358802929
30,Lodi Unified,3930237,Bear Creek High,267,28.202247191,0.613983375582
31,Elk Grove Unified,3430527,"Insights High, Cont.",36,8.5,0.724257282954
32,Fresno Unified,1030279,Bullard High,275,22.9490909091,0.571761688236
33,Sacramento City Unified,3434636,Johnson (Hiram W.) High,155,14.0967741935,0.797459584296
34,Fresno Unified,1030287,Young Academic Center,69,4.52173913043,0.770626242545
35,Fontana Unified,3633302,Fontana High,70,24.1857142857,0.767511394713
36,Hayward Unified,135319,Mt. Eden High,144,14.2569444444,0.805712270804
37,Los Angeles Unified,1935519,Manual Arts Senior High,498,10.3333333333,0.87685560054
