,District,School Code,School Name,number,score,vote
0,Alameda City Unified,1,District Students in NPS,264,5.36742424242,0.643058547424
1,Modesto City High,110593,James C. Enochs High,34,58.9411764706,0.503361941726
2,Murrieta Valley Unified,118794,Murrieta Mesa High,101,48.9405940594,0.551023137622
3,Redlands Unified,118802,Citrus Valley High,55,58.1818181818,0.455927591103
4,Los Angeles Unified,1939479,WESM Health/Sports Medicine,566,28.2597173145,0.76065511572
5,Anaheim Union High,3033115,John F. Kennedy High,60,55.1666666667,0.620361429163
6,San Marcos Unified,3737632,San Marcos High,43,79.0697674419,0.556289356474
7,Corona-Norco Unified,110627,Eleanor Roosevelt High,348,42.867816092,0.469943247562
8,Riverside Unified,3336237,Polytechnic High,109,38.5229357798,0.55196454629
9,Clovis Unified,1030196,Clovis West High,12,50.0,0.410257742673
10,Chaffey Joint Union High,3631157,Colony High,98,47.387755102,0.584564584732
11,William S. Hart Union High,102459,Golden Valley High,127,40.8897637795,0.493247068338
12,Murrieta Valley Unified,100420,Vista Murrieta High,197,55.269035533,0.408031308491
13,William S. Hart Union High,102475,West Ranch High,86,67.2558139535,0.56037496028
14,Lynwood Unified,1935436,Lynwood High,33,11.9090909091,0.818173573955
15,West Covina Unified,1939537,West Covina High,11,55.0,0.722227984649
16,Muroc Joint Unified,1531987,Desert Junior-Senior High,45,53.1111111111,0.289198606272
17,West Contra Costa Unified,735316,Pinole Valley High,136,15.4191176471,0.820333432569
18,Los Angeles County Office of Education,1933399,L.A. Co. High School/Arts,34,79.4411764706,0.750386750387
19,Corona-Norco Unified,3334232,Norco High,28,60.4285714286,0.521374277896
20,San Juan Unified,3430493,Bella Vista High,11,73.0,0.486412512219
21,Hanford Joint Union High,1634401,Hanford High,14,57.0,0.41235459286
22,Berkeley Unified,131177,Berkeley High,432,14.2847222222,0.95595970901
23,Sacramento City Unified,3430519,Capital City,34,6.08823529412,0.810262114997
24,Elk Grove Unified,3432572,Elk Grove High,35,63.2285714286,0.53358802929
25,Lodi Unified,3930237,Bear Creek High,82,45.4756097561,0.613983375582
26,Fresno Unified,1030279,Bullard High,128,34.8359375,0.571761688236
27,Torrance Unified,1939602,West High,51,66.6470588235,0.643809331448
28,Hayward Unified,135319,Mt. Eden High,33,39.2121212121,0.805712270804
29,Los Angeles Unified,1935519,Manual Arts Senior High,12,8.0,0.87685560054
30,Elk Grove Unified,116897,Cosumnes Oaks High,199,40.1708542714,0.635654169855
31,Conejo Valley Unified,5630116,Westlake High,27,70.2222222222,0.53258887876
32,Corona-Norco Unified,110759,John F. Kennedy High,11,82.0,0.521374277896
33,San Juan Unified,3436714,Rio Americano High,13,69.0,0.613832853026
34,Sweetwater Union High,3731627,Otay Ranch Senior High,76,60.3421052632,0.675064800415
35,Pittsburg Unified,735407,Pittsburg Senior High,232,21.9396551724,0.811901646119
36,Sequoia Union High,4130993,Carlmont High,12,67.0,0.798728472558
37,Natomas Unified,3430584,Natomas High,61,27.6557377049,0.638572425017
38,Tracy Joint Unified,3930302,Merrill F. West High,60,31.6,0.628774661119
39,Elk Grove Unified,3430592,Laguna Creek High,125,45.16,0.669520992267
40,San Diego Unified,3733698,Madison High,25,60.08,0.604657849339
41,San Diego Unified,3735750,Point Loma High,39,69.4358974359,0.687368103708
42,Elk Grove Unified,108753,Pleasant Grove High,123,60.3414634146,0.53358802929
43,Colton Joint Unified,3631322,Bloomington High,13,54.0,0.760985136161
44,Patterson Joint Unified,5036256,Patterson High,57,24.4736842105,0.577589023195
45,Long Beach Unified,125153,Beach High-ILP,11,9.0,0.575231756596
46,San Francisco Unified,3834082,Mission High,12,25.0,0.938423268274
47,William S. Hart Union High,1931492,Canyon High,71,53.4929577465,0.579585410653
48,Twin Rivers Unified,3430634,Elwood J. Keema High,15,13.0,0.524216204068
49,Mt. Diablo Unified,731380,Clayton Valley High,34,43.9411764706,0.66013560674
50,Lake Elsinore Unified,3332350,Elsinore High,42,66.619047619,0.382344624781
51,Napa Valley Unified,121087,American Canyon High,72,36.1805555556,0.717882632831
52,Tracy Joint Unified,119040,John C. Kimball High,141,41.6524822695,0.622109275731
53,Bellflower Unified,1935618,Mayfair High,250,32.368,0.728351881293
54,Riverside Unified,3334406,North (John W.) High,119,46.3949579832,0.6940433213
55,Sacramento City Unified,3434768,Kennedy (John F.) High,87,39.2643678161,0.746039824416
56,Fresno Unified,1031897,Edison High,108,46.3703703704,0.443277310924
57,Glendora Unified,1933597,Glendora High,11,73.0,0.519502353732
58,El Dorado Union High,930081,Oak Ridge High,24,79.2916666667,0.455197962491
59,East Side Union High,4335907,Piedmont Hills High,39,44.0256410256,0.675513501039
60,East Side Union High,4330023,Santa Teresa High,68,51.4117647059,0.723253757737
61,Riverside Unified,3336492,Ramona High,23,30.2608695652,0.554218787348
62,Compton Unified,1931567,Centennial High,75,6.50666666667,0.843711153803
63,Fullerton Joint Union High,3037496,Troy High,12,92.0,0.591143294806
