,District,School Code,School Name,number,score,vote
0,Alameda City Unified,1,District Students in NPS,1413,15.2363765039,0.643058547424
1,Hacienda la Puente Unified,1933316,"Puente Hills High, Alter.",32,9.6875,0.770707392088
2,Holtville Unified,1335306,Holtville High,373,47.4638069705,0.586666666667
3,Pomona Unified,1933324,Garey Senior High,1243,37.6411906677,0.694546617624
4,Southern Humboldt Joint Unified,1237007,South Fork Junior - Senior Hi,142,45.0633802817,0.682593856655
5,Burbank Unified,1933332,"Monterey High, Cont.",123,18.9105691057,0.808108640031
6,Shasta Union High,4530200,Pioneer Continuation High,73,3.15068493151,0.35168792198
7,Bret Harte Union High,532507,Bret Harte Union High,495,65.3818181818,0.348512011474
8,Shasta Union High,4530218,Freedom High,19,11.0,0.35168792198
9,Santa Ana Unified,114736,Hector G. Godinez,1939,54.3816400206,0.673099513341
10,Windsor Unified,4930228,Windsor High,1166,59.6595197256,0.690663417876
11,Santa Monica-Malibu Unified,1933373,"Olympic High, Cont.",50,2.22,0.83513562224
12,Central Unified,114751,Pathway Community Day,11,9.0,0.443277310924
13,Los Angeles Unified,1933381,James A. Garfield Senior High,1719,43.9232111693,0.884973040556
14,Santa Paula Union High,5636170,"Renaissance High, Cont.",69,3.98550724638,0.691237192231
15,Orange Unified,114769,OUSD Community Day,16,31.0,0.581574185766
16,Muroc Joint Unified,1531987,Desert Junior-Senior High,298,56.6946308725,0.289198606272
17,Los Angeles County Office of Education,1933399,L.A. Co. High School/Arts,455,82.5604395604,0.750386750387
18,Corona-Norco Unified,3334232,Norco High,1552,58.856314433,0.521374277896
19,Simi Valley Unified,5636188,Simi Valley High,1642,64.0505481121,0.510060259422
20,Lucia Mar Unified,4030557,Arroyo Grande High,1606,59.1805728518,0.530927105449
21,Tulare Joint Union High,5435409,Tulare Union High,1282,54.0265210608,0.509095204347
22,Berkeley Unified,131177,Berkeley High,2127,57.0465444288,0.95595970901
23,Redlands Unified,118802,Citrus Valley High,1599,63.866166354,0.455927591103
24,Marin County Office of Education,2130037,Marin County Community,84,7.28571428571,0.776995305164
25,Modesto City High,5030010,Beyer (Fred C.) High,1293,56.0139211137,0.503361941726
26,Elk Grove Unified,3432572,Elk Grove High,1217,61.4034511093,0.53358802929
27,Novato Unified,2130045,Nova Ed. Ctr. (Indep. St),40,74.9,0.740899191039
28,Placentia-Yorba Linda Unified,6119556,Parkview,52,72.75,0.503782332845
29,Shasta Union High,4530309,North State Independence High,132,26.8636363636,0.35168792198
30,Azusa Unified,1933449,Gladstone High,1017,42.7590953786,0.461583577713
31,Novato Unified,123018,San Marin High School-Plus,17,6.0,0.789473684211
32,Shasta County Office of Education,4530317,Oasis Community,71,6.08450704225,0.35168792198
33,Escalon Unified,3932308,Escalon High,649,48.2773497689,0.38561479177
34,Alvord Unified,3334299,Norte Vista High,1672,39.2523923445,0.641564318035
35,Tamalpais Union High,2130078,Tamiscal High (Alternative),57,87.7368421053,0.758831277691
36,Glendale Unified,1933472,"Daily (Allan F.) High, Cont.",119,13.0,0.66717603912
37,Los Angeles Unified,114850,West Adams Preparatory High,1462,24.0991792066,0.904467987103
38,Plumas Unified,3236007,Quincy Junior/Senior High,153,67.3202614379,0.579813250333
39,Davis Joint Unified,106674,Frances Ellen Watkins Harper,244,86.0,0.619047619048
40,Stanislaus County Office of Education,5030069,Stanislaus Community,47,2.23404255319,0.504190412337
41,Stanislaus County Office of Education,5030085,John B. Allard,319,4.85579937304,0.616432613708
42,San Diego Unified,3735750,Point Loma High,1363,68.4541452678,0.687368103708
43,Sweetwater Union High,3730124,Southwest Senior High,1168,39.8553082192,0.653173965448
44,Glendale Unified,1933530,Glendale High,1978,55.608190091,0.649555830428
45,Hemet Unified,106716,Hamilton High,236,48.5805084746,0.306974190005
46,San Francisco Unified,3834082,Mission High,632,30.0522151899,0.938423268274
47,San Jose Unified,4333795,Lincoln (Abraham) High,1260,50.969047619,0.806573310314
48,Patterson Joint Unified,5030127,"Del Puerto High, Cont.",75,6.82666666667,0.577589023195
49,Riverside Unified,3334406,North (John W.) High,1746,48.1586483391,0.6940433213
50,Ceres Unified,5030168,Endeavor Alternative,71,17.0,0.549878345499
51,Glendora Unified,1933597,Glendora High,1732,70.7003464203,0.519502353732
52,Poway Unified,3735842,Abraxas Continuation High,51,12.0,0.473045822102
53,Atascadero Unified,4030755,Atascadero High,1041,64.032660903,0.472904383491
54,Upper Lake Union High,1737006,Upper Lake High,216,32.7083333333,0.459459459459
55,Ukiah Unified,2335024,Ukiah High,1110,46.7513513514,0.634938728983
56,Hesperia Unified,3630472,Mojave High,127,10.1417322835,0.346627880273
57,Val Verde Unified,123190,Val Verde Academy,80,32.35,0.553964887475
58,Ceres Unified,5030200,"Argus High, Cont.",171,10.0877192982,0.549878345499
59,Fresno Unified,1032507,Fresno High,1571,28.8185868873,0.571761688236
60,Exeter Union High,5431614,Kaweah High,17,0.0,0.455
61,South San Francisco Unified,4137279,South San Francisco High,1093,54.8161024703,0.823785517874
62,San Jose Unified,106823,Lincoln Plus High,12,17.0,0.806573310314
63,Stanislaus County Office of Education,5030226,Petersen Alternative Center f,172,5.31395348837,0.504190412337
64,Chico Unified,431502,Fair View High (Continuation),141,11.3758865248,0.611191139281
65,Porterville Unified,5434931,Strathmore High,208,33.4711538462,0.288544358312
66,Waterford Unified,5030259,Waterford High,411,53.0437956204,0.505358150028
67,Mammoth Unified,2630010,Mammoth High,197,48.9340101523,0.452304394427
68,Morgan Hill Unified,4333951,Live Oak High,875,57.0994285714,0.62508259548
69,Kern Union High,1532290,East Bakersfield High,1491,37.0590207914,0.288645690834
70,San Juan Unified,3432838,Encina Preparatory High,416,22.8365384615,0.742994588094
71,Turlock Unified,5030283,Pitman (John H.) High,1536,55.369140625,0.434776749618
72,Corning Union High,5231709,Corning High,678,40.3185840708,0.349639855942
73,Mammoth Unified,2630036,"Sierra High, Cont.",11,45.0,0.452304394427
74,Ramona City Unified,3735958,"Montecito High, Cont.",78,12.6794871795,0.315043052507
75,Chaffey Joint Union High,3637659,"Valley View High, Cont.",372,5.6935483871,0.740069892208
76,Petaluma Joint Union High,4930012,Casa Grande High,1219,67.2206726825,0.76189277624
77,Davis Joint Unified,6066245,Emerson (Ralph Waldo) Jr. High,143,84.0,0.521778584392
78,Los Molinos Unified,5235106,Los Molinos High,124,40.2258064516,0.259711431743
79,Sonora Union High,5530019,"Cassina (Dario) High, Cont.",50,14.04,0.402743379691
80,Ramona City Unified,3735974,Ramona High,1289,52.8060512025,0.315043052507
81,San Diego Unified,114025,Lincoln High,1224,24.0179738562,0.749366595206
82,Sonora Union High,5530043,Bird High,55,30.6181818182,0.402743379691
83,Riverside County Office of Education,3330123,Riverside County Juvenile Cou,112,11.4642857143,0.666864608076
84,Galt Joint Union High,3432903,Estrellita Continuation High,51,12.0,0.473642263464
85,Los Angeles Unified,110668,Frida Kahlo High,110,21.5,0.922107850668
86,Santa Barbara Unified,4235727,Santa Barbara Senior High,1505,62.4086378738,0.772852128796
87,Santa Cruz City High,4432340,Harbor High,738,53.2764227642,0.838548185232
88,Conejo Valley Unified,123349,Century Academy,37,73.3243243243,0.573899239703
89,Colusa Unified,631259,Colusa High,241,46.5767634855,0.338235294118
90,Fairfield-Suisun Unified,123356,Matt Garcia Learning Center,71,1.38028169014,0.649664153932
91,Los Angeles Unified,1933795,Ulysses S. Grant Senior High,1690,41.2360946746,0.743107540624
92,San Bernardino County Office of Educatio,123364,Bob Murphy Co. Community Day,69,1.50724637681,0.797048080953
93,San Bernardino County Office of Educatio,123372,High Desert Assessment Ctr.,55,7.72727272727,0.285087719298
94,Stockton Unified,3932654,Franklin High,1475,33.7871186441,0.546288209607
95,San Diego Unified,3730173,Serra High,1427,59.2943237561,0.582085269983
96,Los Angeles Unified,106997,Orthopaedic Hospital,643,60.2130637636,0.904467987103
97,San Mateo Union High,4130217,Aragon High,1037,74.6219864995,0.772713878794
98,Los Angeles Unified,107003,Northridge Academy High,778,54.2133676093,0.746801978509
99,Los Angeles Unified,107011,International Studies Learnin,292,46.2226027397,0.837803249499
100,Tuolumne County Superintendent of School,5530118,Tuolumne County Community/ISP,11,9.0,0.402743379691
101,Geyserville Unified,4932109,Geyserville Educational Park H,36,58.2222222222,0.619834710744
