,District,District Code,School Code,School Name,number,score,vote
0,Alameda City Unified,61119,1,District Students in NPS,1984,11.2469758065,0.643058547424
1,Hacienda la Puente Unified,73445,1933316,"Puente Hills High, Alter.",32,9.6875,0.770707392088
2,Holtville Unified,63149,1335306,Holtville High,750,34.7506666667,0.586666666667
3,Pomona Unified,64907,1933324,Garey Senior High,2479,21.9382815651,0.694546617624
4,Southern Humboldt Joint Unified,63040,1237007,South Fork Junior - Senior Hi,234,33.3461538462,0.682593856655
5,Burbank Unified,64337,1933332,"Monterey High, Cont.",123,18.9105691057,0.808108640031
6,Shasta Union High,70136,4530200,Pioneer Continuation High,105,3.21904761905,0.35168792198
7,Bret Harte Union High,61556,532507,Bret Harte Union High,922,48.1062906725,0.348512011474
8,Shasta Union High,70136,4530218,Freedom High,19,11.0,0.35168792198
9,Santa Ana Unified,66670,114736,Hector G. Godinez,3876,46.9775541796,0.673099513341
10,Windsor Unified,75358,4930228,Windsor High,2155,45.1819025522,0.690663417876
11,Santa Monica-Malibu Unified,64980,1933373,"Olympic High, Cont.",50,2.22,0.83513562224
12,Central Unified,73965,114751,Pathway Community Day,11,9.0,0.443277310924
13,Los Angeles Unified,64733,1933381,James A. Garfield Senior High,3282,35.316575259,0.884973040556
14,East Side Union High,69427,4333639,Lick (James) High,1729,25.8721804511,0.790654620853
15,Santa Paula Union High,72595,5636170,"Renaissance High, Cont.",134,3.66417910448,0.691237192231
16,Orange Unified,66621,114769,OUSD Community Day,16,31.0,0.581574185766
17,Muroc Joint Unified,63685,1531987,Desert Junior-Senior High,552,39.8351449275,0.289198606272
18,Los Angeles County Office of Education,10199,1933399,L.A. Co. High School/Arts,881,52.4869466515,0.750386750387
19,Corona-Norco Unified,67033,3334232,Norco High,3073,43.2206313049,0.521374277896
20,Simi Valley Unified,72603,5636188,Simi Valley High,3163,49.1220360417,0.510060259422
21,Lucia Mar Unified,68759,4030557,Arroyo Grande High,2876,55.6363004172,0.530927105449
22,Tulare Joint Union High,72249,5435409,Tulare Union High,2519,42.7129813418,0.509095204347
23,Berkeley Unified,61143,131177,Berkeley High,4189,42.6311768919,0.95595970901
24,Redlands Unified,67843,118802,Citrus Valley High,3171,44.1595711132,0.455927591103
25,Marin County Office of Education,10215,2130037,Marin County Community,84,7.28571428571,0.776995305164
26,Modesto City High,71175,5030010,Beyer (Fred C.) High,2552,41.1767241379,0.503361941726
27,Elk Grove Unified,67314,3432572,Elk Grove High,2413,49.9892250311,0.53358802929
28,Novato Unified,65417,2130045,Nova Ed. Ctr. (Indep. St),40,74.9,0.740899191039
29,Placentia-Yorba Linda Unified,66647,6119556,Parkview,52,72.75,0.503782332845
30,Shasta Union High,70136,4530309,North State Independence High,185,20.2972972973,0.35168792198
31,Azusa Unified,64279,1933449,Gladstone High,2001,26.8465767116,0.461583577713
32,Novato Unified,65417,123018,San Marin High School-Plus,34,3.0,0.789473684211
33,Shasta County Office of Education,10454,4530317,Oasis Community,125,4.352,0.35168792198
34,Escalon Unified,68502,3932308,Escalon High,1256,34.8909235669,0.38561479177
35,Alvord Unified,66977,3334299,Norte Vista High,3218,28.1637663145,0.641564318035
36,Tamalpais Union High,65482,2130078,Tamiscal High (Alternative),93,68.9032258065,0.758831277691
37,Glendale Unified,64568,1933472,"Daily (Allan F.) High, Cont.",236,8.18220338983,0.66717603912
38,Los Angeles Unified,64733,114850,West Adams Preparatory High,2805,17.8203208556,0.904467987103
39,Plumas Unified,66969,3236007,Quincy Junior/Senior High,234,54.3290598291,0.579813250333
40,Davis Joint Unified,72678,106674,Frances Ellen Watkins Harper,448,82.3883928571,0.619047619048
41,Stanislaus County Office of Education,10504,5030069,Stanislaus Community,47,2.23404255319,0.504190412337
42,Stanislaus County Office of Education,10504,5030085,John B. Allard,512,3.341796875,0.616432613708
43,San Diego Unified,68338,3735750,Point Loma High,2683,49.8594856504,0.687368103708
44,Nevada Joint Union High,66357,2935500,Nevada Union High,2619,50.5605192822,0.486882716049
45,Glendale Unified,64568,1933530,Glendale High,3896,46.6758213552,0.649555830428
46,Hemet Unified,67082,106716,Hamilton High,462,37.9826839827,0.306974190005
47,Hilmar Unified,65698,2432409,Hilmar High,881,37.9670828604,0.595591030027
48,San Francisco Unified,68478,3834082,Mission High,1247,19.9085805934,0.938423268274
49,San Jose Unified,69666,4333795,Lincoln (Abraham) High,2511,40.0059737157,0.806573310314
50,Patterson Joint Unified,71217,5030127,"Del Puerto High, Cont.",138,3.71014492754,0.577589023195
51,Modesto City High,71175,5030135,Johansen (Peter) High,2352,31.8520408163,0.298161470823
52,Riverside Unified,67215,3334406,North (John W.) High,3390,35.2200589971,0.6940433213
53,Ceres Unified,71043,5030168,Endeavor Alternative,142,12.0845070423,0.549878345499
54,Glendora Unified,64576,1933597,Glendora High,3401,58.5542487504,0.519502353732
55,Poway Unified,68296,3735842,Abraxas Continuation High,51,12.0,0.473045822102
56,Atascadero Unified,68700,4030755,Atascadero High,2063,46.4435288415,0.472904383491
57,Upper Lake Union High,64071,1737006,Upper Lake High,423,19.7612293144,0.459459459459
58,Windsor Unified,75358,4930269,Windsor Oaks Academy,33,3.0,0.690663417876
59,Ukiah Unified,65615,2335024,Ukiah High,2120,35.5716981132,0.634938728983
60,Hesperia Unified,75044,3630472,Mojave High,225,6.24888888889,0.346627880273
61,Val Verde Unified,75242,123190,Val Verde Academy,104,24.8846153846,0.553964887475
62,Ceres Unified,71043,5030200,"Argus High, Cont.",342,9.08771929825,0.549878345499
63,Poway Unified,68296,3735867,Poway High,3246,66.5086260012,0.473045822102
64,Exeter Union High,71928,5431614,Kaweah High,17,0.0,0.455
65,South San Francisco Unified,69070,4137279,South San Francisco High,2168,38.8745387454,0.823785517874
66,San Jose Unified,69666,106823,Lincoln Plus High,12,17.0,0.806573310314
67,Norwalk-La Mirada Unified,64840,1933647,Glenn (John H.) High,2368,30.1444256757,0.66824754731
68,Upland Unified,75069,3637584,Upland High,4973,41.1349286145,0.610185756392
69,Stanislaus County Office of Education,10504,5030226,Petersen Alternative Center f,188,4.86170212766,0.504190412337
70,Chico Unified,61424,431502,Fair View High (Continuation),264,7.87121212121,0.611191139281
71,Fontana Unified,67710,3630480,Citrus High (Continuation),240,6.32916666667,0.767511394713
72,Waterford Unified,75572,5030259,Waterford High,788,48.8553299492,0.505358150028
73,Mammoth Unified,73692,2630010,Mammoth High,352,39.0284090909,0.452304394427
74,Morgan Hill Unified,69583,4333951,Live Oak High,1705,38.2539589443,0.62508259548
75,Kern Union High,63529,1532290,East Bakersfield High,2872,26.8784818942,0.288645690834
76,San Juan Unified,67447,3432838,Encina Preparatory High,786,14.0877862595,0.742994588094
77,Turlock Unified,75739,5030283,Pitman (John H.) High,3031,41.8940943583,0.434776749618
78,Corning Union High,71506,5231709,Corning High,1182,28.9720812183,0.349639855942
79,Mammoth Unified,73692,2630036,"Sierra High, Cont.",11,45.0,0.452304394427
80,Ramona City Unified,68304,3735958,"Montecito High, Cont.",112,11.5803571429,0.315043052507
81,Chaffey Joint Union High,67652,3637659,"Valley View High, Cont.",544,5.19485294118,0.740069892208
82,Petaluma Joint Union High,70862,4930012,Casa Grande High,2304,55.5572916667,0.76189277624
83,Davis Joint Unified,72678,6066245,Emerson (Ralph Waldo) Jr. High,268,79.7350746269,0.521778584392
84,Los Molinos Unified,71571,5235106,Los Molinos High,214,33.6355140187,0.259711431743
85,Sonora Union High,72389,5530019,"Cassina (Dario) High, Cont.",50,14.04,0.402743379691
86,Ramona City Unified,68304,3735974,Ramona High,2373,42.7361989043,0.315043052507
87,Summerville Union High,72413,5530027,"Tuolumne High, Cont.",23,13.1739130435,0.501577287066
88,Sonora Union High,72389,5530043,Bird High,55,30.6181818182,0.402743379691
89,Riverside County Office of Education,10330,3330123,Riverside County Juvenile Cou,112,11.4642857143,0.666864608076
90,Galt Joint Union High,67355,3432903,Estrellita Continuation High,98,8.44897959184,0.473642263464
91,Los Angeles Unified,64733,110668,Frida Kahlo High,145,17.0275862069,0.922107850668
92,Santa Barbara Unified,76786,4235727,Santa Barbara Senior High,2690,52.9323420074,0.772852128796
93,Santa Cruz City High,69823,4432340,Harbor High,1355,48.5343173432,0.838548185232
94,Conejo Valley Unified,73759,123349,Century Academy,37,73.3243243243,0.573899239703
95,Colusa Unified,61598,631259,Colusa High,449,39.8396436526,0.338235294118
96,Fairfield-Suisun Unified,70540,123356,Matt Garcia Learning Center,105,0.933333333333,0.649664153932
97,Los Angeles Unified,64733,1933795,Ulysses S. Grant Senior High,3305,27.3748865356,0.743107540624
98,San Bernardino County Office of Educatio,10363,123364,Bob Murphy Co. Community Day,121,0.859504132231,0.797048080953
99,San Bernardino County Office of Educatio,10363,123372,High Desert Assessment Ctr.,102,6.1862745098,0.285087719298
100,Stockton Unified,68676,3932654,Franklin High,2816,24.1452414773,0.546288209607
101,Los Angeles Unified,64733,106997,Orthopaedic Hospital,1276,40.1982758621,0.904467987103
102,Los Angeles Unified,64733,107003,Northridge Academy High,1529,35.7769784173,0.746801978509
103,Los Angeles Unified,64733,107011,International Studies Learnin,569,27.1142355009,0.837803249499
104,Tuolumne County Superintendent of School,10553,5530118,Tuolumne County Community/ISP,11,9.0,0.402743379691
105,California Education Authority,32276,3990025,Chaderjian (N.A.) High,57,1.57894736842,0.484574111335
