,District,District Code,School Code,School Name,number,score,vote
0,Modesto City High,71175,110593,James C. Enochs High,99,70.6464646465,0.503361941726
1,San Diego Unified,68338,3733508,La Jolla High,99,89.9595959596,0.643146674673
2,Murrieta Valley Unified,75200,118794,Murrieta Mesa High,61,65.4590163934,0.551023137622
3,Fresno Unified,62166,108555,Design Science Early College,12,92.0,0.638969873664
4,Pomona Unified,64907,1933324,Garey Senior High,14,57.0,0.694546617624
5,Redlands Unified,67843,118802,Citrus Valley High,105,82.5904761905,0.455927591103
6,Anaheim Union High,66431,3033115,John F. Kennedy High,452,84.8539823009,0.620361429163
7,San Marcos Unified,73791,3737632,San Marcos High,74,90.1891891892,0.556289356474
8,Corona-Norco Unified,67033,110627,Eleanor Roosevelt High,294,75.8163265306,0.469943247562
9,Riverside Unified,67215,3336237,Polytechnic High,51,82.2156862745,0.55196454629
10,Santa Ana Unified,66670,114736,Hector G. Godinez,22,86.5,0.673099513341
11,Clovis Unified,62117,1030196,Clovis West High,208,71.2115384615,0.410257742673
12,Chaffey Joint Union High,67652,3631157,Colony High,58,69.0,0.584564584732
13,William S. Hart Union High,65136,102459,Golden Valley High,99,83.5656565657,0.493247068338
14,Poway Unified,68296,118935,Del Norte High,279,89.1111111111,0.480098943108
15,San Diego Unified,68338,114025,Lincoln High,71,42.3661971831,0.749366595206
16,Murrieta Valley Unified,75200,100420,Vista Murrieta High,117,78.5128205128,0.408031308491
17,Davis Joint Unified,72678,6066245,Emerson (Ralph Waldo) Jr. High,19,84.0,0.521778584392
18,East Side Union High,69427,4333639,Lick (James) High,62,45.1612903226,0.790654620853
19,Poway Unified,68296,3731528,Westview High,463,92.1555075594,0.590174713507
20,El Monte Union High,64519,1937481,Rosemead High,655,74.6870229008,0.809498750164
21,William S. Hart Union High,65136,102475,West Ranch High,261,89.3946360153,0.56037496028
22,Fremont Unified,61176,135244,Mission San Jose High,1396,94.9878223496,0.766219839142
23,Elk Grove Unified,67314,3430477,Florin High,471,44.9214437367,0.724257282954
24,West Covina Unified,65094,1939537,West Covina High,207,81.4830917874,0.722227984649
25,West Contra Costa Unified,61796,735316,Pinole Valley High,134,54.4328358209,0.820333432569
26,Los Angeles County Office of Education,10199,1933399,L.A. Co. High School/Arts,43,86.3488372093,0.750386750387
27,Corona-Norco Unified,67033,3334232,Norco High,50,73.98,0.521374277896
28,Simi Valley Unified,72603,5636188,Simi Valley High,149,82.2080536913,0.510060259422
29,San Juan Unified,67447,3430493,Bella Vista High,78,71.6923076923,0.486412512219
30,San Luis Coastal Unified,68809,4036703,San Luis Obispo High,52,79.1538461538,0.644798745426
31,Los Gatos-Saratoga Joint Union High,69534,4337762,Saratoga High,563,96.4262877442,0.764052462527
32,Redlands Unified,67843,3630779,Redlands East Valley High,77,82.012987013,0.560438237419
33,Clovis Unified,62117,1031053,Clovis High,179,65.8603351955,0.398396767466
34,Berkeley Unified,61143,131177,Berkeley High,192,53.7291666667,0.95595970901
35,San Benito High,67538,3537008,San Benito High,12,83.0,0.630313644324
36,Laguna Beach Unified,66555,3033206,Laguna Beach High,14,93.0,0.55997588909
37,Baldwin Park Unified,64287,1930601,Baldwin Park High,75,66.56,0.761875699318
38,Modesto City High,71175,5030010,Beyer (Fred C.) High,58,65.3275862069,0.503361941726
39,Elk Grove Unified,67314,3432572,Elk Grove High,96,69.0,0.53358802929
