,District,District Code,School Code,School Name,number,score,vote
0,Modesto City High,71175,110593,James C. Enochs High,30,66.6,0.503361941726
1,Fresno Unified,62166,108555,Design Science Early College,12,92.0,0.638969873664
2,Pomona Unified,64907,1933324,Garey Senior High,12,58.0,0.694546617624
3,Redlands Unified,67843,118802,Citrus Valley High,54,79.6481481481,0.455927591103
4,Anaheim Union High,66431,3033115,John F. Kennedy High,165,80.8242424242,0.620361429163
5,Corona-Norco Unified,67033,110627,Eleanor Roosevelt High,132,73.5,0.469943247562
6,Santa Ana Unified,66670,114736,Hector G. Godinez,11,82.0,0.673099513341
7,Clovis Unified,62117,1030196,Clovis West High,78,49.0256410256,0.410257742673
8,Chaffey Joint Union High,67652,3631157,Colony High,25,64.4,0.584564584732
9,William S. Hart Union High,65136,102459,Golden Valley High,13,92.0,0.493247068338
10,Murrieta Valley Unified,75200,100420,Vista Murrieta High,29,75.6206896552,0.408031308491
11,East Side Union High,69427,4333639,Lick (James) High,39,30.9230769231,0.790654620853
12,Poway Unified,68296,3731528,Westview High,49,79.4693877551,0.590174713507
13,El Monte Union High,64519,1937481,Rosemead High,545,73.0201834862,0.809498750164
14,Fremont Unified,61176,135244,Mission San Jose High,27,59.3703703704,0.766219839142
15,Elk Grove Unified,67314,3430477,Florin High,435,45.675862069,0.724257282954
16,West Covina Unified,65094,1939537,West Covina High,131,82.3282442748,0.722227984649
17,West Contra Costa Unified,61796,735316,Pinole Valley High,71,52.985915493,0.820333432569
18,Corona-Norco Unified,67033,3334232,Norco High,12,75.0,0.521374277896
19,Simi Valley Unified,72603,5636188,Simi Valley High,11,45.0,0.510060259422
20,Redlands Unified,67843,3630779,Redlands East Valley High,12,42.0,0.560438237419
21,Clovis Unified,62117,1031053,Clovis High,118,59.4661016949,0.398396767466
22,Berkeley Unified,61143,131177,Berkeley High,93,44.1935483871,0.95595970901
23,Sacramento City Unified,67439,3430519,Capital City,18,22.0,0.810262114997
24,Elk Grove Unified,67314,3432572,Elk Grove High,28,49.75,0.53358802929
25,Lodi Unified,68585,3930237,Bear Creek High,212,49.9905660377,0.613983375582
26,Fresno Unified,62166,1030279,Bullard High,45,51.0,0.571761688236
27,Sacramento City Unified,67439,3434636,Johnson (Hiram W.) High,305,35.4360655738,0.797459584296
28,Fresno Unified,62166,1030287,Young Academic Center,51,13.6862745098,0.770626242545
29,Torrance Unified,65060,1939602,West High,149,71.7919463087,0.643809331448
30,Hayward Unified,61192,135319,Mt. Eden High,100,59.16,0.805712270804
31,Rowland Unified,73452,1937564,Rowland (John A.) High,332,71.6054216867,0.58049122807
32,Elk Grove Unified,67314,116897,Cosumnes Oaks High,45,62.4666666667,0.635654169855
33,Jefferson Union High,68924,4135075,Oceana High,11,64.0,0.814388961892
34,Fullerton Joint Union High,66514,3037348,Sunny Hills High,82,81.5609756098,0.634521880065
35,Banning Unified,66985,3330214,Banning High,64,34.125,0.449500318945
36,San Juan Unified,67447,3436714,Rio Americano High,11,45.0,0.613832853026
37,Pittsburg Unified,61788,735407,Pittsburg Senior High,51,41.0,0.811901646119
38,Natomas Unified,75283,3430584,Natomas High,48,62.1458333333,0.638572425017
39,Tracy Joint Unified,75499,3930302,Merrill F. West High,82,48.5609756098,0.628774661119
40,Elk Grove Unified,67314,3430592,Laguna Creek High,146,59.3698630137,0.669520992267
41,San Diego Unified,68338,3733698,Madison High,44,63.3863636364,0.604657849339
42,Manteca Unified,68593,3930310,Sierra High,54,57.5925925926,0.507855822551
43,San Mateo Union High,69047,4133070,Hillsdale High,12,25.0,0.779979830754
44,Los Angeles Unified,64733,1935568,John Marshall Senior High,141,77.914893617,0.690659481653
45,Elk Grove Unified,67314,108753,Pleasant Grove High,164,65.9756097561,0.53358802929
46,Los Angeles Unified,64733,1931476,Canoga Park Senior High,35,51.1714285714,0.744038635678
47,Glendale Unified,64568,1933530,Glendale High,11,91.0,0.649555830428
48,San Francisco Unified,68478,3834082,Mission High,158,41.7658227848,0.938423268274
49,Twin Rivers Unified,76505,3430634,Elwood J. Keema High,12,8.0,0.524216204068
50,East Side Union High,69427,4337903,Silver Creek High,381,65.1942257218,0.772476732629
51,Mt. Diablo Unified,61754,731380,Clayton Valley High,27,42.3703703704,0.66013560674
52,Modesto City High,71175,5030135,Johansen (Peter) High,15,53.0,0.298161470823
53,Tracy Joint Unified,75499,119040,John C. Kimball High,67,53.5820895522,0.622109275731
54,Riverside Unified,67215,3334406,North (John W.) High,24,58.5,0.6940433213
55,Los Angeles Unified,64733,121095,Ambassador School of Global,28,25.0,0.823566084788
56,San Francisco Unified,68478,3830031,Wells (Ida B.) High,11,9.0,0.910737683438
57,Sacramento City Unified,67439,3434768,Kennedy (John F.) High,242,54.2603305785,0.746039824416
58,Orange Unified,66621,3035409,Orange High,56,57.1785714286,0.569069526537
59,Fremont Union High,69468,4331799,Cupertino High,63,49.4761904762,0.810852120749
60,Alhambra Unified,75713,1937697,San Gabriel High,895,66.2916201117,0.733281579239
61,East Side Union High,69427,4335907,Piedmont Hills High,255,71.462745098,0.675513501039
62,Riverside Unified,67215,3336492,Ramona High,11,55.0,0.554218787348
63,Livermore Valley Joint Unified,61200,134536,Livermore High,24,49.875,0.429708222812
64,Fullerton Joint Union High,66514,3037496,Troy High,57,89.649122807,0.591143294806
65,Fresno Unified,62166,1032507,Fresno High,139,38.8417266187,0.571761688236
66,South San Francisco Unified,69070,4137279,South San Francisco High,47,50.8936170213,0.823785517874
67,Lodi Unified,68585,3930443,Middle College High,22,95.5,0.594881537774
68,San Jose Unified,69666,4335949,Pioneer High,28,74.8928571429,0.722009598445
69,Upland Unified,75069,3637584,Upland High,55,67.5454545455,0.610185756392
70,Long Beach Unified,64725,1935758,Millikan High,35,54.3714285714,0.575231756596
71,Moreno Valley Unified,67124,3330396,Canyon Springs High,15,60.0,0.601864262215
72,Clovis Unified,62117,1030501,Buchanan High,93,66.6774193548,0.398396767466
73,Tustin Unified,73643,3037553,Tustin High,40,72.3,0.624855443582
74,San Leandro Unified,61291,137588,San Leandro High,204,56.9705882353,0.737482842991
75,Hacienda la Puente Unified,73445,1939834,Glen A. Wilson High,134,72.4402985075,0.629021981523
76,Selma Unified,62430,1036672,Selma High,24,87.4166666667,0.409964736662
77,Moreno Valley Unified,67124,3330438,Valley View High,11,82.0,0.546990496304
78,Caruthers Unified,75598,1030535,Caruthers High,11,55.0,0.386666666667
79,Turlock Unified,75739,5030283,Pitman (John H.) High,72,63.8194444444,0.434776749618
80,Corona-Norco Unified,67033,3330446,Centennial High,68,79.2352941176,0.432162875041
81,Los Angeles Unified,64733,1939859,Woodrow Wilson Senior High,49,67.5510204082,0.750386750387
82,Long Beach Unified,64725,1939875,Wilson High,166,51.8795180723,0.742538438348
83,Washington Unified,72694,5735154,River City Senior High,128,58.1328125,0.782843431314
84,Beaumont Unified,66993,3330479,Beaumont Senior High,29,51.5517241379,0.465511092089
85,Twin Rivers Unified,76505,3436979,Rio Linda High,123,37.9837398374,0.671213208902
86,Oxnard Union High,72546,5630389,Pacifica,23,69.8695652174,0.647087467283
87,Fresno Unified,62166,1030584,Cambridge Cont. High,18,0.0,0.568887253098
88,Los Angeles Unified,64733,1931708,Chatsworth Senior High,128,64.0546875,0.545961333175
89,San Francisco Unified,68478,3830205,Wallenberg (Raoul) Traditiona,199,63.0201005025,0.885810926529
90,Marysville Joint Unified,72736,5835202,Marysville High,32,34.625,0.226726726727
91,Sacramento City Unified,67439,3430865,West Campus,137,86.3430656934,0.797459584296
92,Hacienda la Puente Unified,73445,1939925,Workman (William) High,11,64.0,0.765904748425
