,District,District Code,School Code,School Name,number,score,vote
0,El Monte Union High,64519,1932664,El Monte High,12,75.0,0.771187739464
1,San Diego Unified,68338,3733508,La Jolla High,86,91.6279069767,0.643146674673
2,Modesto City High,71175,110593,James C. Enochs High,59,71.2372881356,0.503361941726
3,Murrieta Valley Unified,75200,118794,Murrieta Mesa High,47,68.2765957447,0.551023137622
4,Redlands Unified,67843,118802,Citrus Valley High,41,82.5609756098,0.455927591103
5,Anaheim Union High,66431,3033115,John F. Kennedy High,287,87.1951219512,0.620361429163
6,San Marcos Unified,73791,3737632,San Marcos High,57,92.7543859649,0.556289356474
7,Corona-Norco Unified,67033,110627,Eleanor Roosevelt High,162,77.5740740741,0.469943247562
8,Riverside Unified,67215,3336237,Polytechnic High,27,81.1111111111,0.55196454629
9,Clovis Unified,62117,1030196,Clovis West High,130,84.3615384615,0.410257742673
10,William S. Hart Union High,65136,102459,Golden Valley High,75,81.24,0.493247068338
11,Murrieta Valley Unified,75200,100420,Vista Murrieta High,80,78.7875,0.408031308491
12,Davis Joint Unified,72678,6066245,Emerson (Ralph Waldo) Jr. High,16,88.0,0.521778584392
13,Poway Unified,68296,3731528,Westview High,414,93.4903381643,0.590174713507
14,El Monte Union High,64519,1937481,Rosemead High,110,81.7818181818,0.809498750164
15,William S. Hart Union High,65136,102475,West Ranch High,243,90.8765432099,0.56037496028
16,Fremont Unified,61176,135244,Mission San Jose High,1360,95.6654411765,0.766219839142
17,Elk Grove Unified,67314,3430477,Florin High,32,46.625,0.724257282954
18,West Covina Unified,65094,1939537,West Covina High,76,80.1973684211,0.722227984649
19,West Contra Costa Unified,61796,735316,Pinole Valley High,62,56.5483870968,0.820333432569
20,Los Angeles County Office of Education,10199,1933399,L.A. Co. High School/Arts,38,84.4736842105,0.750386750387
21,Simi Valley Unified,72603,5636188,Simi Valley High,130,85.5,0.510060259422
22,Lucia Mar Unified,68759,4030557,Arroyo Grande High,13,85.0,0.530927105449
