,District,District Code,School Code,School Name,number,score,vote
0,El Monte Union High,64519,1932664,El Monte High,12,75.0,0.771187739464
1,San Diego Unified,68338,3733508,La Jolla High,133,93.030075188,0.643146674673
2,Modesto City High,71175,110593,James C. Enochs High,84,70.2857142857,0.503361941726
3,Murrieta Valley Unified,75200,118794,Murrieta Mesa High,47,68.2765957447,0.551023137622
4,Redlands Unified,67843,118802,Citrus Valley High,76,75.8026315789,0.455927591103
5,Anaheim Union High,66431,3033115,John F. Kennedy High,563,81.4120781528,0.620361429163
6,San Marcos Unified,73791,3737632,San Marcos High,92,88.0108695652,0.556289356474
7,Corona-Norco Unified,67033,110627,Eleanor Roosevelt High,287,68.8606271777,0.469943247562
8,Riverside Unified,67215,3336237,Polytechnic High,38,78.7631578947,0.55196454629
9,Clovis Unified,62117,1030196,Clovis West High,219,82.095890411,0.410257742673
10,William S. Hart Union High,65136,102459,Golden Valley High,124,74.0806451613,0.493247068338
11,Murrieta Valley Unified,75200,100420,Vista Murrieta High,104,78.875,0.408031308491
12,Davis Joint Unified,72678,6066245,Emerson (Ralph Waldo) Jr. High,16,88.0,0.521778584392
13,Poway Unified,68296,3731528,Westview High,799,80.7496871089,0.590174713507
14,El Monte Union High,64519,1937481,Rosemead High,185,74.5675675676,0.809498750164
15,William S. Hart Union High,65136,102475,West Ranch High,460,84.9891304348,0.56037496028
16,Fremont Unified,61176,135244,Mission San Jose High,2708,90.0487444609,0.766219839142
17,Elk Grove Unified,67314,3430477,Florin High,32,46.625,0.724257282954
18,West Covina Unified,65094,1939537,West Covina High,122,78.7131147541,0.722227984649
19,West Contra Costa Unified,61796,735316,Pinole Valley High,89,44.9550561798,0.820333432569
20,Los Angeles County Office of Education,10199,1933399,L.A. Co. High School/Arts,38,84.4736842105,0.750386750387
21,Simi Valley Unified,72603,5636188,Simi Valley High,234,78.3076923077,0.510060259422
22,Lucia Mar Unified,68759,4030557,Arroyo Grande High,13,85.0,0.530927105449
23,San Luis Coastal Unified,68809,4036703,San Luis Obispo High,31,80.4516129032,0.644798745426
24,Los Gatos-Saratoga Joint Union High,69534,4337762,Saratoga High,1101,92.9918256131,0.764052462527
25,Berkeley Unified,61143,131177,Berkeley High,161,51.6086956522,0.95595970901
26,Laguna Beach Unified,66555,3033206,Laguna Beach High,13,92.0,0.55997588909
27,Modesto City High,71175,5030010,Beyer (Fred C.) High,27,70.3333333333,0.503361941726
28,Elk Grove Unified,67314,3432572,Elk Grove High,71,77.3802816901,0.53358802929
29,Lodi Unified,68585,3930237,Bear Creek High,54,72.0185185185,0.613983375582
30,Fresno Unified,62166,1030279,Bullard High,61,76.9180327869,0.571761688236
31,Torrance Unified,65060,1939602,West High,926,79.4902807775,0.643809331448
32,Poway Unified,68296,118935,Del Norte High,474,84.7088607595,0.480098943108
33,Rowland Unified,73452,1937564,Rowland (John A.) High,840,78.8333333333,0.58049122807
34,Elk Grove Unified,67314,116897,Cosumnes Oaks High,146,78.8630136986,0.635654169855
35,Jefferson Union High,68924,4135075,Oceana High,62,90.1774193548,0.814388961892
36,Fullerton Joint Union High,66514,3037348,Sunny Hills High,1462,81.5766073871,0.634521880065
37,Palo Alto Unified,69641,4335782,Palo Alto High,637,93.5588697017,0.900408841191
38,Corona-Norco Unified,67033,110759,John F. Kennedy High,26,73.4615384615,0.521374277896
39,San Juan Unified,67447,3436714,Rio Americano High,106,68.6981132075,0.613832853026
40,Sweetwater Union High,68411,3731627,Otay Ranch Senior High,97,83.4742268041,0.675064800415
41,Pittsburg Unified,61788,735407,Pittsburg Senior High,11,18.0,0.811901646119
42,Sequoia Union High,69062,4130993,Carlmont High,343,89.7142857143,0.798728472558
43,Davis Joint Unified,72678,106674,Frances Ellen Watkins Harper,88,92.8863636364,0.619047619048
44,Oak Park Unified,73874,5630132,Oak Park High,243,96.2098765432,0.679618001047
45,Tracy Joint Unified,75499,3930302,Merrill F. West High,124,66.4032258065,0.628774661119
46,Elk Grove Unified,67314,3430592,Laguna Creek High,124,61.9758064516,0.669520992267
47,Manteca Unified,68593,3930310,Sierra High,22,64.0,0.507855822551
48,San Mateo Union High,69047,4133070,Hillsdale High,208,78.0336538462,0.779979830754
49,Los Angeles Unified,64733,1935568,John Marshall Senior High,50,67.94,0.690659481653
50,Elk Grove Unified,67314,108753,Pleasant Grove High,390,80.2717948718,0.53358802929
51,Elk Grove Unified,67314,3430618,Sheldon High,229,54.5633187773,0.599445599446
52,San Francisco Unified,68478,3834082,Mission High,85,37.5882352941,0.938423268274
53,San Jose Unified,69666,4333795,Lincoln (Abraham) High,28,78.6071428571,0.806573310314
54,William S. Hart Union High,65136,1931492,Canyon High,76,90.7105263158,0.579585410653
55,East Side Union High,69427,4337903,Silver Creek High,689,67.4949201742,0.772476732629
56,Mt. Diablo Unified,61754,731380,Clayton Valley High,85,69.4705882353,0.66013560674
57,Napa Valley Unified,66266,121087,American Canyon High,63,72.8412698413,0.717882632831
58,Tracy Joint Unified,75499,119040,John C. Kimball High,276,67.4347826087,0.622109275731
59,Bellflower Unified,64303,1935618,Mayfair High,49,83.612244898,0.728351881293
60,Riverside Unified,67215,3334406,North (John W.) High,97,84.6288659794,0.6940433213
61,Tustin Unified,73643,3032109,Foothill High,141,87.9290780142,0.624855443582
62,Sacramento City Unified,67439,3434768,Kennedy (John F.) High,290,65.9793103448,0.746039824416
63,Livermore Valley Joint Unified,61200,133397,Granada High,88,87.3181818182,0.429708222812
64,Fremont Union High,69468,4331799,Cupertino High,1503,85.9115103127,0.810852120749
65,Mountain View-Los Altos Union High,69609,4334728,Mountain View High,489,81.7157464213,0.829648526077
66,Glendora Unified,64576,1933597,Glendora High,137,89.1240875912,0.519502353732
67,Alhambra Unified,75713,1937697,San Gabriel High,198,83.8535353535,0.733281579239
