,District,School Code,School Name,number,score,vote
0,Alameda City Unified,1,District Students in NPS,496,3.91330645161,0.643058547424
1,Hacienda la Puente Unified,1933316,"Puente Hills High, Alter.",12,9.0,0.770707392088
2,Holtville Unified,1335306,Holtville High,742,34.8665768194,0.586666666667
3,Pomona Unified,1933324,Garey Senior High,2272,21.8908450704,0.694546617624
4,Southern Humboldt Joint Unified,1237007,South Fork Junior - Senior Hi,69,37.5652173913,0.682593856655
5,Burbank Unified,1933332,"Monterey High, Cont.",56,15.0,0.808108640031
6,Shasta Union High,4530200,Pioneer Continuation High,67,2.83582089552,0.35168792198
7,Bret Harte Union High,532507,Bret Harte Union High,295,39.0271186441,0.348512011474
8,Shasta Union High,4530218,Freedom High,16,13.0,0.35168792198
9,Santa Ana Unified,114736,Hector G. Godinez,3528,46.2990362812,0.673099513341
10,Windsor Unified,4930228,Windsor High,681,34.9691629956,0.690663417876
11,Santa Monica-Malibu Unified,1933373,"Olympic High, Cont.",19,0.0,0.83513562224
12,Los Angeles Unified,1933381,James A. Garfield Senior High,3107,35.2111361442,0.884973040556
13,Santa Paula Union High,5636170,"Renaissance High, Cont.",114,2.73684210526,0.691237192231
14,Muroc Joint Unified,1531987,Desert Junior-Senior High,11,64.0,0.289198606272
15,Los Angeles County Office of Education,1933399,L.A. Co. High School/Arts,57,57.8771929825,0.750386750387
16,Corona-Norco Unified,3334232,Norco High,1180,34.5847457627,0.521374277896
17,Simi Valley Unified,5636188,Simi Valley High,643,35.8180404355,0.510060259422
18,Lucia Mar Unified,4030557,Arroyo Grande High,1039,40.3310875842,0.530927105449
19,Tulare Joint Union High,5435409,Tulare Union High,1677,37.7030411449,0.509095204347
20,Berkeley Unified,131177,Berkeley High,1177,21.9252336449,0.95595970901
21,Redlands Unified,118802,Citrus Valley High,1436,37.6643454039,0.455927591103
22,Marin County Office of Education,2130037,Marin County Community,55,7.72727272727,0.776995305164
23,Modesto City High,5030010,Beyer (Fred C.) High,1058,31.1020793951,0.503361941726
24,Elk Grove Unified,3432572,Elk Grove High,751,36.517976032,0.53358802929
25,Shasta Union High,4530309,North State Independence High,114,17.6228070175,0.35168792198
26,Azusa Unified,1933449,Gladstone High,1614,24.6530359356,0.461583577713
27,Shasta County Office of Education,4530317,Oasis Community,84,3.83333333333,0.35168792198
28,Escalon Unified,3932308,Escalon High,484,24.2623966942,0.38561479177
29,Alvord Unified,3334299,Norte Vista High,2720,26.0955882353,0.641564318035
30,Glendale Unified,1933472,"Daily (Allan F.) High, Cont.",170,4.17647058824,0.66717603912
31,Los Angeles Unified,114850,West Adams Preparatory High,2805,17.8203208556,0.904467987103
32,Plumas Unified,3236007,Quincy Junior/Senior High,56,57.0714285714,0.579813250333
33,Davis Joint Unified,106674,Frances Ellen Watkins Harper,57,62.7368421053,0.619047619048
34,Stanislaus County Office of Education,5030069,Stanislaus Community,47,2.23404255319,0.504190412337
35,Stanislaus County Office of Education,5030085,John B. Allard,420,3.62857142857,0.616432613708
36,San Diego Unified,3735750,Point Loma High,1089,35.8659320478,0.687368103708
37,Sweetwater Union High,3730124,Southwest Senior High,1733,25.0842469706,0.653173965448
38,Glendale Unified,1933530,Glendale High,2517,39.375844259,0.649555830428
39,Hemet Unified,106716,Hamilton High,340,32.8588235294,0.306974190005
40,San Francisco Unified,3834082,Mission High,828,18.0157004831,0.938423268274
41,San Jose Unified,4333795,Lincoln (Abraham) High,1499,29.0647098065,0.806573310314
42,Patterson Joint Unified,5030127,"Del Puerto High, Cont.",104,3.0,0.577589023195
43,Modesto City High,5030135,Johansen (Peter) High,1656,29.1968599034,0.298161470823
44,Riverside Unified,3334406,North (John W.) High,2423,27.9983491539,0.6940433213
45,Ceres Unified,5030168,Endeavor Alternative,98,12.0,0.549878345499
46,Glendora Unified,1933597,Glendora High,539,40.5176252319,0.519502353732
47,Poway Unified,3735842,Abraxas Continuation High,14,14.0,0.473045822102
48,Atascadero Unified,4030755,Atascadero High,647,31.5811437403,0.472904383491
49,Upper Lake Union High,1737006,Upper Lake High,290,17.9931034483,0.459459459459
50,Ukiah Unified,2335024,Ukiah High,1214,26.6787479407,0.634938728983
51,Hesperia Unified,3630472,Mojave High,200,6.7,0.346627880273
52,Val Verde Unified,123190,Val Verde Academy,64,29.546875,0.553964887475
53,Ceres Unified,5030200,"Argus High, Cont.",298,9.21140939597,0.549878345499
54,Fresno Unified,1032507,Fresno High,3125,19.6368,0.571761688236
55,Exeter Union High,5431614,Kaweah High,13,0.0,0.455
56,South San Francisco Unified,4137279,South San Francisco High,1021,28.7894221352,0.823785517874
57,Stanislaus County Office of Education,5030226,Petersen Alternative Center f,113,5.45132743363,0.504190412337
58,Chico Unified,431502,Fair View High (Continuation),198,6.45454545455,0.611191139281
59,Porterville Unified,5434931,Strathmore High,329,15.6778115502,0.288544358312
60,Waterford Unified,5030259,Waterford High,435,39.9724137931,0.505358150028
61,Mammoth Unified,2630010,Mammoth High,154,23.7532467532,0.452304394427
62,Morgan Hill Unified,4333951,Live Oak High,573,22.3193717277,0.62508259548
63,Kern Union High,1532290,East Bakersfield High,2421,24.5336637753,0.288645690834
64,San Juan Unified,3432838,Encina Preparatory High,698,13.7492836676,0.742994588094
65,Turlock Unified,5030283,Pitman (John H.) High,1657,31.9662039831,0.434776749618
66,Corning Union High,5231709,Corning High,649,26.3297380586,0.349639855942
67,Ramona City Unified,3735958,"Montecito High, Cont.",70,6.98571428571,0.315043052507
68,Chaffey Joint Union High,3637659,"Valley View High, Cont.",389,2.6118251928,0.740069892208
69,Petaluma Joint Union High,4930012,Casa Grande High,754,38.5039787798,0.76189277624
70,Davis Joint Unified,6066245,Emerson (Ralph Waldo) Jr. High,27,56.0,0.521778584392
71,Los Molinos Unified,5235106,Los Molinos High,145,30.5034482759,0.259711431743
72,Sonora Union High,5530019,"Cassina (Dario) High, Cont.",43,11.9069767442,0.402743379691
73,Ramona City Unified,3735974,Ramona High,684,28.1652046784,0.315043052507
74,East Side Union High,4333639,Lick (James) High,1363,24.3257520176,0.790654620853
75,Sonora Union High,5530043,Bird High,20,24.0,0.402743379691
76,Riverside County Office of Education,3330123,Riverside County Juvenile Cou,111,11.4504504505,0.666864608076
77,Galt Joint Union High,3432903,Estrellita Continuation High,69,8.75362318841,0.473642263464
78,Los Angeles Unified,110668,Frida Kahlo High,145,17.0275862069,0.922107850668
79,Santa Barbara Unified,4235727,Santa Barbara Senior High,1019,32.8331697743,0.772852128796
80,Santa Cruz City High,4432340,Harbor High,617,36.1604538088,0.838548185232
81,Colusa Unified,631259,Colusa High,247,27.2995951417,0.338235294118
82,Fairfield-Suisun Unified,123356,Matt Garcia Learning Center,76,1.30263157895,0.649664153932
83,Los Angeles Unified,1933795,Ulysses S. Grant Senior High,2799,26.4751697035,0.743107540624
84,San Bernardino County Office of Educatio,123364,Bob Murphy Co. Community Day,89,1.14606741573,0.797048080953
85,San Bernardino County Office of Educatio,123372,High Desert Assessment Ctr.,102,6.1862745098,0.285087719298
86,Stockton Unified,3932654,Franklin High,2323,22.8002582867,0.546288209607
87,San Diego Unified,3730173,Serra High,1594,33.8701380176,0.582085269983
88,Los Angeles Unified,106997,Orthopaedic Hospital,1276,40.1982758621,0.904467987103
89,San Mateo Union High,4130217,Aragon High,305,38.3868852459,0.772713878794
90,Los Angeles Unified,107003,Northridge Academy High,1144,32.4134615385,0.746801978509
91,Los Angeles Unified,107011,International Studies Learnin,477,26.0419287212,0.837803249499
92,Geyserville Unified,4932109,Geyserville Educational Park H,24,50.125,0.619834710744
93,Mt. Diablo Unified,737809,Ygnacio Valley High,1194,17.3140703518,0.699944842802
94,Fontana Unified,3630480,Citrus High (Continuation),216,6.76388888889,0.767511394713
95,San Diego Unified,107029,San Diego International Studi,990,59.1858585859,0.703490464196
96,Los Angeles Unified,1933852,Alexander Hamilton Senior Hig,2582,30.9140201394,0.816042024447
97,San Diego Unified,107037,San Diego LEADS,513,19.7212475634,0.703490464196
98,Jurupa Unified,3334687,Nueva Vista Continuation High,124,10.8870967742,0.588575560376
99,Mountain View-Los Altos Union High,4334116,Los Altos High,287,42.9581881533,0.776614310646
100,San Diego Unified,107045,San Diego Communication,167,11.7724550898,0.703490464196
101,Sequoia Union High,4135687,"Redwood High, Cont.",171,7.48538011696,0.847305389222
102,San Diego Unified,107052,San Diego Business,526,25.3726235741,0.703490464196
103,San Diego Unified,107060,San Diego MVP Arts,536,19.7947761194,0.703490464196
104,Jefferson Union High,4137535,Terra Nova High,285,34.901754386,0.814388961892
105,Merced Union High,2433605,Livingston High,1345,42.8810408922,0.572062084257
106,San Diego Unified,107078,Kearny Digital Media & Design,459,40.0740740741,0.63646714996
107,Anderson Union High,4530762,North Valley High,86,7.12790697674,0.253796337651
108,Vacaville Unified,4833869,Country High,33,0.0,0.570959803117
109,William S. Hart Union High,1933902,Hart (William S.) Senior High,569,38.9103690685,0.493247068338
110,San Diego Unified,107094,Kearny International Business,413,64.2445520581,0.63646714996
111,Imperial Unified,1335900,Imperial High,527,43.2030360531,0.610309278351
112,San Diego Unified,107102,Kearny Construction Tech,362,25.5801104972,0.63646714996
113,Del Norte County Unified,836205,Sunset High,58,5.36206896552,0.407816091954
114,Anderson Union High,4530804,Anderson High,474,31.2827004219,0.253796337651
115,Jefferson Union High,4137592,Thornton High,40,2.7,0.809661649299
116,Centinela Valley Union High,1933951,Hawthorne High,2393,19.5089845382,0.874346343312
117,Newport-Mesa Unified,3031697,Corona del Mar High,112,48.7678571429,0.47624178429
118,El Dorado Union High,934554,Independence Continuation,65,10.8307692308,0.376518218623
119,Durham Unified,433201,Durham High,133,27.977443609,0.411020776874
120,San Diego Unified,107177,Crawford Multimedia and Visua,395,22.2303797468,0.727572685539
121,San Diego Unified,107185,Crawford CHAMPS,412,31.8640776699,0.727572685539
122,California School for the Deaf-Fremont (,131763,California School for the Dea,42,7.0,0.722321695016
123,Western Placer Unified,3130036,"Phoenix High, Cont.",12,0.0,0.403606102635
124,Visalia Unified,5430046,Golden West High,1197,27.0576441103,0.464601769912
125,San Diego Unified,107193,Crawford Law and Business,318,23.0220125786,0.727572685539
126,Kern Union High,1532605,Foothill High,2301,28.7162103433,0.288645690834
127,San Diego Unified,107201,Crawford IDEA,354,22.3728813559,0.727572685539
128,Stockton Unified,115402,Edward C. Merlo Institute of,331,11.3957703927,0.651608986035
129,Fresno Unified,1032911,Herbert Hoover High,1830,25.0267759563,0.574914546145
130,Los Angeles Unified,1934033,Hollywood Senior High,2049,36.8809175207,0.869295923769
131,San Diego Unified,107219,San Diego Science and Technol,584,30.6609589041,0.703490464196
132,Los Angeles County Office of Education,123604,Phoenix Academy Residential,109,7.91743119266,0.755491167399
133,Los Angeles County Office of Education,123612,Pacific Lodge Residential,14,0.0,0.755491167399
134,Madera Unified,123620,Eastin-Arcola High,281,5.41637010676,0.589822329458
135,Chowchilla Union High,2032357,Chowchilla High,1018,24.5009823183,0.42074776198
136,Reef-Sunset Unified,1630953,Avenal High,838,17.3412887828,0.434539260221
137,Porterville Unified,5432786,Monache High,1668,36.3986810552,0.288544358312
138,Washington Unified,5735154,River City Senior High,1854,26.0469255663,0.782843431314
139,Hesperia Unified,115444,Canyon Ridge High,237,3.78902953586,0.291064388962
140,Placer County Office of Education,3130101,Placer County Court Schools,12,0.0,0.466746794872
141,Modesto City High,5031380,Davis (Grace M.) High,1217,26.7543138866,0.557129407737
142,Vista Unified,115451,Major General Raymond Murray,198,4.02525252525,0.523737297133
143,Victor Valley Union High,3638012,Victor Valley High,2757,26.7925281103,0.447736654306
144,Santa Maria Joint Union High,4236030,Santa Maria High,2668,26.2496251874,0.488544474394
145,Willits Unified,2335487,Willits High,319,25.2601880878,0.610826064649
146,Folsom-Cordova Unified,3433216,Folsom High,336,47.7678571429,0.496486605182
147,Glendale Unified,1934082,Herbert Hoover High,1643,39.6384662203,0.657273715262
148,Los Gatos-Saratoga Joint Union High,4334371,Los Gatos High,50,47.92,0.708251857646
149,Rocklin Unified,3130150,Rocklin High,300,48.2333333333,0.451236019092
150,Hanford Joint Union High,118919,Sierra Pacific High,516,25.726744186,0.41235459286
151,Newport-Mesa Unified,3031853,Costa Mesa High,903,37.976744186,0.47624178429
152,Twin Rivers Unified,3433265,Foothill High,990,26.7434343434,0.542284984841
153,Jefferson Union High,4137790,Westmoor High,989,35.868554095,0.776695791369
154,Roseville Joint Union High,3130176,Woodcreek High,470,42.8531914894,0.516927675612
155,Roseville Joint Union High,3130184,Granite Bay High,98,52.6632653061,0.402407566638
156,San Diego Unified,3730231,Twain High,197,8.23350253807,0.63646714996
157,Los Angeles Unified,1934157,Huntington Park Senior High,4953,20.7912376338,0.876167739257
158,Fremont Union High,4334421,Lynbrook High,93,63.5376344086,0.737441286522
159,Huntington Beach Union High,3031895,Edison High,231,53.0909090909,0.472830529622
160,Placentia-Yorba Linda Unified,3031929,El Dorado High,455,50.1736263736,0.503782332845
