,District,School Code,School Name,number,score,vote
0,Alameda City Unified,1,District Students in NPS,333,5.11711711712,0.643058547424
1,Hacienda la Puente Unified,1933316,"Puente Hills High, Alter.",12,9.0,0.770707392088
2,Holtville Unified,1335306,Holtville High,369,47.7940379404,0.586666666667
3,Pomona Unified,1933324,Garey Senior High,1144,37.6756993007,0.694546617624
4,Southern Humboldt Joint Unified,1237007,South Fork Junior - Senior Hi,58,41.275862069,0.682593856655
5,Burbank Unified,1933332,"Monterey High, Cont.",56,15.0,0.808108640031
6,Shasta Union High,4530200,Pioneer Continuation High,54,1.59259259259,0.35168792198
7,Bret Harte Union High,532507,Bret Harte Union High,170,49.5294117647,0.348512011474
8,Shasta Union High,4530218,Freedom High,16,13.0,0.35168792198
9,Santa Ana Unified,114736,Hector G. Godinez,1764,53.3928571429,0.673099513341
10,Windsor Unified,4930228,Windsor High,383,44.6579634465,0.690663417876
11,Santa Monica-Malibu Unified,1933373,"Olympic High, Cont.",19,0.0,0.83513562224
12,Los Angeles Unified,1933381,James A. Garfield Senior High,1627,44.0036877689,0.884973040556
13,Santa Paula Union High,5636170,"Renaissance High, Cont.",63,3.30158730159,0.691237192231
14,Muroc Joint Unified,1531987,Desert Junior-Senior High,11,64.0,0.289198606272
15,Los Angeles County Office of Education,1933399,L.A. Co. High School/Arts,45,66.6444444444,0.750386750387
16,Corona-Norco Unified,3334232,Norco High,603,47.1061359867,0.521374277896
17,Simi Valley Unified,5636188,Simi Valley High,336,47.4107142857,0.510060259422
18,Lucia Mar Unified,4030557,Arroyo Grande High,614,41.3534201954,0.530927105449
19,Tulare Joint Union High,5435409,Tulare Union High,852,47.7018779343,0.509095204347
20,Berkeley Unified,131177,Berkeley High,608,31.8009868421,0.95595970901
21,Redlands Unified,118802,Citrus Valley High,724,54.6035911602,0.455927591103
22,Marin County Office of Education,2130037,Marin County Community,55,7.72727272727,0.776995305164
23,Modesto City High,5030010,Beyer (Fred C.) High,536,42.3376865672,0.503361941726
24,Elk Grove Unified,3432572,Elk Grove High,390,47.2769230769,0.53358802929
25,Shasta Union High,4530309,North State Independence High,88,21.6477272727,0.35168792198
26,Azusa Unified,1933449,Gladstone High,819,39.5384615385,0.461583577713
27,Shasta County Office of Education,4530317,Oasis Community,53,6.07547169811,0.35168792198
28,Escalon Unified,3932308,Escalon High,262,31.8320610687,0.38561479177
29,Alvord Unified,3334299,Norte Vista High,1409,36.2171753016,0.641564318035
30,Glendale Unified,1933472,"Daily (Allan F.) High, Cont.",86,7.0,0.66717603912
31,Los Angeles Unified,114850,West Adams Preparatory High,1462,24.0991792066,0.904467987103
32,Plumas Unified,3236007,Quincy Junior/Senior High,56,57.0714285714,0.579813250333
33,Davis Joint Unified,106674,Frances Ellen Watkins Harper,45,64.0,0.619047619048
34,Stanislaus County Office of Education,5030069,Stanislaus Community,47,2.23404255319,0.504190412337
35,Stanislaus County Office of Education,5030085,John B. Allard,262,5.06106870229,0.616432613708
36,San Diego Unified,3735750,Point Loma High,564,53.5780141844,0.687368103708
37,Sweetwater Union High,3730124,Southwest Senior High,892,36.2152466368,0.653173965448
38,Glendale Unified,1933530,Glendale High,1278,46.651799687,0.649555830428
39,Hemet Unified,106716,Hamilton High,182,43.8626373626,0.306974190005
40,San Francisco Unified,3834082,Mission High,419,26.8496420048,0.938423268274
41,San Jose Unified,4333795,Lincoln (Abraham) High,754,39.4668435013,0.806573310314
42,Patterson Joint Unified,5030127,"Del Puerto High, Cont.",52,6.0,0.577589023195
43,Modesto City High,5030135,Johansen (Peter) High,840,40.675,0.298161470823
44,Riverside Unified,3334406,North (John W.) High,1254,39.6929824561,0.6940433213
45,Ceres Unified,5030168,Endeavor Alternative,49,16.0,0.549878345499
46,Glendora Unified,1933597,Glendora High,282,50.5212765957,0.519502353732
47,Poway Unified,3735842,Abraxas Continuation High,14,14.0,0.473045822102
48,Atascadero Unified,4030755,Atascadero High,335,45.1820895522,0.472904383491
49,Upper Lake Union High,1737006,Upper Lake High,158,27.2594936709,0.459459459459
50,Ukiah Unified,2335024,Ukiah High,642,33.6323987539,0.634938728983
51,Hesperia Unified,3630472,Mojave High,111,11.0810810811,0.346627880273
52,Val Verde Unified,123190,Val Verde Academy,64,29.546875,0.553964887475
53,Ceres Unified,5030200,"Argus High, Cont.",149,9.68456375839,0.549878345499
54,Fresno Unified,1032507,Fresno High,1571,28.8185868873,0.571761688236
55,Exeter Union High,5431614,Kaweah High,13,0.0,0.455
56,South San Francisco Unified,4137279,South San Francisco High,518,42.3397683398,0.823785517874
57,Stanislaus County Office of Education,5030226,Petersen Alternative Center f,102,6.03921568627,0.504190412337
58,Chico Unified,431502,Fair View High (Continuation),108,8.85185185185,0.611191139281
59,Porterville Unified,5434931,Strathmore High,172,26.976744186,0.288544358312
60,Waterford Unified,5030259,Waterford High,227,42.6387665198,0.505358150028
61,Mammoth Unified,2630010,Mammoth High,104,29.2884615385,0.452304394427
62,Morgan Hill Unified,4333951,Live Oak High,299,35.0133779264,0.62508259548
63,Kern Union High,1532290,East Bakersfield High,1261,33.7295796987,0.288645690834
64,San Juan Unified,3432838,Encina Preparatory High,365,22.7315068493,0.742994588094
65,Turlock Unified,5030283,Pitman (John H.) High,845,43.1017751479,0.434776749618
66,Corning Union High,5231709,Corning High,394,35.614213198,0.349639855942
67,Ramona City Unified,3735958,"Montecito High, Cont.",54,3.42592592593,0.315043052507
68,Chaffey Joint Union High,3637659,"Valley View High, Cont.",266,3.0,0.740069892208
69,Petaluma Joint Union High,4930012,Casa Grande High,413,48.1162227603,0.76189277624
70,Davis Joint Unified,6066245,Emerson (Ralph Waldo) Jr. High,27,56.0,0.521778584392
71,Los Molinos Unified,5235106,Los Molinos High,91,36.5054945055,0.259711431743
72,Sonora Union High,5530019,"Cassina (Dario) High, Cont.",43,11.9069767442,0.402743379691
73,Ramona City Unified,3735974,Ramona High,392,34.9030612245,0.315043052507
74,East Side Union High,4333639,Lick (James) High,702,35.0170940171,0.790654620853
75,Sonora Union High,5530043,Bird High,20,24.0,0.402743379691
76,Riverside County Office of Education,3330123,Riverside County Juvenile Cou,111,11.4504504505,0.666864608076
77,Galt Joint Union High,3432903,Estrellita Continuation High,41,12.0,0.473642263464
78,Los Angeles Unified,110668,Frida Kahlo High,110,21.5,0.922107850668
79,Santa Barbara Unified,4235727,Santa Barbara Senior High,610,40.4393442623,0.772852128796
80,Santa Cruz City High,4432340,Harbor High,345,35.9130434783,0.838548185232
81,Colusa Unified,631259,Colusa High,148,36.0608108108,0.338235294118
82,Fairfield-Suisun Unified,123356,Matt Garcia Learning Center,53,1.8679245283,0.649664153932
83,Los Angeles Unified,1933795,Ulysses S. Grant Senior High,1437,39.6854558107,0.743107540624
84,San Bernardino County Office of Educatio,123364,Bob Murphy Co. Community Day,51,2.0,0.797048080953
85,San Bernardino County Office of Educatio,123372,High Desert Assessment Ctr.,55,7.72727272727,0.285087719298
86,Stockton Unified,3932654,Franklin High,1213,32.1055234955,0.546288209607
87,San Diego Unified,3730173,Serra High,808,47.6893564356,0.582085269983
88,Los Angeles Unified,106997,Orthopaedic Hospital,643,60.2130637636,0.904467987103
89,San Mateo Union High,4130217,Aragon High,162,50.6975308642,0.772713878794
90,Los Angeles Unified,107003,Northridge Academy High,579,50.0345423143,0.746801978509
91,Los Angeles Unified,107011,International Studies Learnin,245,44.9183673469,0.837803249499
92,Geyserville Unified,4932109,Geyserville Educational Park H,24,50.125,0.619834710744
