,District,District Code,School Code,School Name,number,score,vote
0,Alameda City Unified,61119,1,District Students in NPS,333,5.11711711712,0.643058547424
1,Hacienda la Puente Unified,73445,1933316,"Puente Hills High, Alter.",12,9.0,0.770707392088
2,Holtville Unified,63149,1335306,Holtville High,369,47.7940379404,0.586666666667
3,Pomona Unified,64907,1933324,Garey Senior High,1144,37.6756993007,0.694546617624
4,Southern Humboldt Joint Unified,63040,1237007,South Fork Junior - Senior Hi,58,41.275862069,0.682593856655
5,Burbank Unified,64337,1933332,"Monterey High, Cont.",56,15.0,0.808108640031
6,Shasta Union High,70136,4530200,Pioneer Continuation High,54,1.59259259259,0.35168792198
7,Bret Harte Union High,61556,532507,Bret Harte Union High,170,49.5294117647,0.348512011474
8,Shasta Union High,70136,4530218,Freedom High,16,13.0,0.35168792198
9,Santa Ana Unified,66670,114736,Hector G. Godinez,1764,53.3928571429,0.673099513341
10,Windsor Unified,75358,4930228,Windsor High,383,44.6579634465,0.690663417876
11,Santa Monica-Malibu Unified,64980,1933373,"Olympic High, Cont.",19,0.0,0.83513562224
12,Los Angeles Unified,64733,1933381,James A. Garfield Senior High,1627,44.0036877689,0.884973040556
13,East Side Union High,69427,4333639,Lick (James) High,702,35.0170940171,0.790654620853
14,Santa Paula Union High,72595,5636170,"Renaissance High, Cont.",63,3.30158730159,0.691237192231
15,Muroc Joint Unified,63685,1531987,Desert Junior-Senior High,11,64.0,0.289198606272
16,Los Angeles County Office of Education,10199,1933399,L.A. Co. High School/Arts,45,66.6444444444,0.750386750387
17,Corona-Norco Unified,67033,3334232,Norco High,603,47.1061359867,0.521374277896
18,Simi Valley Unified,72603,5636188,Simi Valley High,336,47.4107142857,0.510060259422
19,Lucia Mar Unified,68759,4030557,Arroyo Grande High,614,41.3534201954,0.530927105449
20,Tulare Joint Union High,72249,5435409,Tulare Union High,852,47.7018779343,0.509095204347
21,Berkeley Unified,61143,131177,Berkeley High,608,31.8009868421,0.95595970901
22,Redlands Unified,67843,118802,Citrus Valley High,724,54.6035911602,0.455927591103
23,Marin County Office of Education,10215,2130037,Marin County Community,55,7.72727272727,0.776995305164
24,Modesto City High,71175,5030010,Beyer (Fred C.) High,536,42.3376865672,0.503361941726
25,Elk Grove Unified,67314,3432572,Elk Grove High,390,47.2769230769,0.53358802929
26,Shasta Union High,70136,4530309,North State Independence High,88,21.6477272727,0.35168792198
27,Azusa Unified,64279,1933449,Gladstone High,819,39.5384615385,0.461583577713
28,Shasta County Office of Education,10454,4530317,Oasis Community,53,6.07547169811,0.35168792198
29,Escalon Unified,68502,3932308,Escalon High,262,31.8320610687,0.38561479177
