,District,District Code,School Code,School Name,number,score,vote
0,Alameda City Unified,61119,1,District Students in NPS,496,3.91330645161,0.643058547424
1,Hacienda la Puente Unified,73445,1933316,"Puente Hills High, Alter.",12,9.0,0.770707392088
2,Holtville Unified,63149,1335306,Holtville High,742,34.8665768194,0.586666666667
3,Pomona Unified,64907,1933324,Garey Senior High,2272,21.8908450704,0.694546617624
4,Southern Humboldt Joint Unified,63040,1237007,South Fork Junior - Senior Hi,69,37.5652173913,0.682593856655
5,Burbank Unified,64337,1933332,"Monterey High, Cont.",56,15.0,0.808108640031
6,Shasta Union High,70136,4530200,Pioneer Continuation High,67,2.83582089552,0.35168792198
7,Bret Harte Union High,61556,532507,Bret Harte Union High,295,39.0271186441,0.348512011474
8,Shasta Union High,70136,4530218,Freedom High,16,13.0,0.35168792198
9,Santa Ana Unified,66670,114736,Hector G. Godinez,3528,46.2990362812,0.673099513341
10,Windsor Unified,75358,4930228,Windsor High,681,34.9691629956,0.690663417876
11,Santa Monica-Malibu Unified,64980,1933373,"Olympic High, Cont.",19,0.0,0.83513562224
12,Los Angeles Unified,64733,1933381,James A. Garfield Senior High,3107,35.2111361442,0.884973040556
13,East Side Union High,69427,4333639,Lick (James) High,1363,24.3257520176,0.790654620853
14,Santa Paula Union High,72595,5636170,"Renaissance High, Cont.",114,2.73684210526,0.691237192231
15,Muroc Joint Unified,63685,1531987,Desert Junior-Senior High,11,64.0,0.289198606272
16,Los Angeles County Office of Education,10199,1933399,L.A. Co. High School/Arts,57,57.8771929825,0.750386750387
17,Corona-Norco Unified,67033,3334232,Norco High,1180,34.5847457627,0.521374277896
18,Simi Valley Unified,72603,5636188,Simi Valley High,643,35.8180404355,0.510060259422
19,Lucia Mar Unified,68759,4030557,Arroyo Grande High,1039,40.3310875842,0.530927105449
20,Tulare Joint Union High,72249,5435409,Tulare Union High,1677,37.7030411449,0.509095204347
21,Berkeley Unified,61143,131177,Berkeley High,1177,21.9252336449,0.95595970901
22,Redlands Unified,67843,118802,Citrus Valley High,1436,37.6643454039,0.455927591103
