,District,School Code,School Name,number,score,vote
0,Alameda City Unified,1,District Students in NPS,923,18.2643553629,0.643058547424
1,Pomona Unified,1933324,Garey Senior High,98,41.693877551,0.694546617624
2,Southern Humboldt Joint Unified,1237007,South Fork Junior - Senior Hi,84,47.7738095238,0.682593856655
3,Burbank Unified,1933332,"Monterey High, Cont.",56,23.0,0.808108640031
4,Shasta Union High,4530200,Pioneer Continuation High,16,0.0,0.35168792198
5,Bret Harte Union High,532507,Bret Harte Union High,325,73.7169230769,0.348512011474
6,Santa Ana Unified,114736,Hector G. Godinez,175,65.84,0.673099513341
7,Windsor Unified,4930228,Windsor High,771,67.3579766537,0.690663417876
8,Santa Monica-Malibu Unified,1933373,"Olympic High, Cont.",17,8.0,0.83513562224
9,Los Angeles Unified,1933381,James A. Garfield Senior High,92,48.7826086957,0.884973040556
10,Muroc Joint Unified,1531987,Desert Junior-Senior High,275,56.9418181818,0.289198606272
11,Los Angeles County Office of Education,1933399,L.A. Co. High School/Arts,409,84.5256723716,0.750386750387
12,Corona-Norco Unified,3334232,Norco High,949,66.5711275026,0.521374277896
13,Simi Valley Unified,5636188,Simi Valley High,1306,68.9624808576,0.510060259422
14,Lucia Mar Unified,4030557,Arroyo Grande High,991,70.6700302725,0.530927105449
15,Tulare Joint Union High,5435409,Tulare Union High,430,66.0627906977,0.509095204347
16,Berkeley Unified,131177,Berkeley High,1473,67.9266802444,0.95595970901
17,Marin County Office of Education,2130037,Marin County Community,26,8.0,0.776995305164
18,Modesto City High,5030010,Beyer (Fred C.) High,757,65.2655217966,0.503361941726
19,Elk Grove Unified,3432572,Elk Grove High,827,67.9177750907,0.53358802929
20,Novato Unified,2130045,Nova Ed. Ctr. (Indep. St),35,82.9714285714,0.740899191039
21,Placentia-Yorba Linda Unified,6119556,Parkview,50,73.78,0.503782332845
22,Shasta Union High,4530309,North State Independence High,37,27.1081081081,0.35168792198
23,Azusa Unified,1933449,Gladstone High,198,55.2373737374,0.461583577713
24,Escalon Unified,3932308,Escalon High,384,59.9140625,0.38561479177
25,Alvord Unified,3334299,Norte Vista High,253,55.2727272727,0.641564318035
26,Tamalpais Union High,2130078,Tamiscal High (Alternative),56,89.1964285714,0.758831277691
27,Glendale Unified,1933472,"Daily (Allan F.) High, Cont.",33,30.0,0.66717603912
28,Plumas Unified,3236007,Quincy Junior/Senior High,97,72.9587628866,0.579813250333
29,Davis Joint Unified,106674,Frances Ellen Watkins Harper,198,91.0,0.619047619048
30,Stanislaus County Office of Education,5030085,John B. Allard,57,3.66666666667,0.616432613708
31,San Diego Unified,3735750,Point Loma High,799,78.9136420526,0.687368103708
32,Nevada Joint Union High,2935500,Nevada Union High,1166,66.8524871355,0.486882716049
33,Glendale Unified,1933530,Glendale High,699,72.1759656652,0.649555830428
34,Hemet Unified,106716,Hamilton High,54,64.8518518519,0.306974190005
35,Hilmar Unified,2432409,Hilmar High,212,67.3632075472,0.595591030027
36,San Francisco Unified,3834082,Mission High,213,36.6056338028,0.938423268274
37,San Jose Unified,4333795,Lincoln (Abraham) High,506,67.6106719368,0.806573310314
38,Patterson Joint Unified,5030127,"Del Puerto High, Cont.",12,17.0,0.577589023195
39,Modesto City High,5030135,Johansen (Peter) High,353,54.0764872521,0.298161470823
40,Riverside Unified,3334406,North (John W.) High,492,69.8902439024,0.6940433213
41,Glendora Unified,1933597,Glendora High,1450,74.3903448276,0.519502353732
42,Poway Unified,3735842,Abraxas Continuation High,37,11.0,0.473045822102
43,Atascadero Unified,4030755,Atascadero High,706,73.0623229462,0.472904383491
44,Upper Lake Union High,1737006,Upper Lake High,58,48.2586206897,0.459459459459
45,Ukiah Unified,2335024,Ukiah High,467,65.0064239829,0.634938728983
46,Norwalk-La Mirada Unified,1934728,La Mirada High,934,63.0310492505,0.651520069242
47,Ceres Unified,5030200,"Argus High, Cont.",17,18.0,0.549878345499
48,Poway Unified,3735867,Poway High,1435,79.8885017422,0.473045822102
49,South San Francisco Unified,4137279,South San Francisco High,561,66.8288770053,0.823785517874
50,Stanislaus County Office of Education,5030226,Petersen Alternative Center f,70,4.37142857143,0.504190412337
51,Chico Unified,431502,Fair View High (Continuation),22,18.0,0.611191139281
52,Fontana Unified,3630480,Citrus High (Continuation),13,8.0,0.767511394713
53,Kern Union High,1533330,Highland High,471,63.6433121019,0.288645690834
54,Porterville Unified,5434931,Strathmore High,17,76.0,0.288544358312
55,Waterford Unified,5030259,Waterford High,184,65.4891304348,0.505358150028
56,Mammoth Unified,2630010,Mammoth High,89,72.7865168539,0.452304394427
57,Morgan Hill Unified,4333951,Live Oak High,576,68.6440972222,0.62508259548
58,Kern Union High,1532290,East Bakersfield High,229,56.6200873362,0.288645690834
59,San Juan Unified,3432838,Encina Preparatory High,46,28.2608695652,0.742994588094
60,Turlock Unified,5030283,Pitman (John H.) High,690,70.4492753623,0.434776749618
61,Corning Union High,5231709,Corning High,284,46.7676056338,0.349639855942
62,Ramona City Unified,3735958,"Montecito High, Cont.",16,31.0,0.315043052507
63,Chaffey Joint Union High,3637659,"Valley View High, Cont.",104,13.9903846154,0.740069892208
64,Petaluma Joint Union High,4930012,Casa Grande High,806,76.9652605459,0.76189277624
65,Los Molinos Unified,5235106,Los Molinos High,26,58.0,0.259711431743
66,Ramona City Unified,3735974,Ramona High,897,60.768115942,0.315043052507
67,East Side Union High,4333639,Lick (James) High,191,44.9685863874,0.790654620853
68,Sonora Union High,5530043,Bird High,21,24.0,0.402743379691
69,Santa Barbara Unified,4235727,Santa Barbara Senior High,895,77.782122905,0.772852128796
70,Santa Cruz City High,4432340,Harbor High,379,69.3245382586,0.838548185232
71,Conejo Valley Unified,123349,Century Academy,35,77.4571428571,0.573899239703
72,Colusa Unified,631259,Colusa High,93,63.311827957,0.338235294118
73,Fairfield-Suisun Unified,123356,Matt Garcia Learning Center,14,0.0,0.649664153932
74,Los Angeles Unified,1933795,Ulysses S. Grant Senior High,253,51.3280632411,0.743107540624
75,Stockton Unified,3932654,Franklin High,262,42.534351145,0.546288209607
76,Los Angeles Unified,107003,Northridge Academy High,199,66.8944723618,0.746801978509
77,Los Angeles Unified,107011,International Studies Learnin,47,53.0212765957,0.837803249499
78,Mt. Diablo Unified,737809,Ygnacio Valley High,245,55.6285714286,0.699944842802
79,Los Angeles Unified,1933852,Alexander Hamilton Senior Hig,875,67.1382857143,0.816042024447
80,Jurupa Unified,3334687,Nueva Vista Continuation High,20,10.0,0.588575560376
81,Mountain View-Los Altos Union High,4334116,Los Altos High,991,86.8890010091,0.776614310646
82,Jefferson Union High,4137535,Terra Nova High,697,67.8220946915,0.814388961892
83,Merced Union High,2433605,Livingston High,59,54.5593220339,0.572062084257
84,San Diego Unified,107078,Kearny Digital Media & Design,88,71.5795454545,0.63646714996
85,Vacaville Unified,4833869,Country High,31,6.0,0.570959803117
86,San Diego Unified,107086,Kearny SCT,73,64.2328767123,0.63646714996
87,San Diego Unified,107094,Kearny International Business,86,90.511627907,0.63646714996
88,Imperial Unified,1335900,Imperial High,468,64.2264957265,0.610309278351
89,San Diego Unified,107102,Kearny Construction Tech,48,45.8958333333,0.63646714996
90,Anderson Union High,4530804,Anderson High,126,61.0396825397,0.253796337651
91,Jefferson Union High,4137592,Thornton High,67,11.1194029851,0.809661649299
92,Centinela Valley Union High,1933951,Hawthorne High,152,31.5723684211,0.874346343312
93,West Sonoma County Union High,4930327,Laguna High,33,30.2121212121,0.788591562708
94,Newport-Mesa Unified,3031697,Corona del Mar High,1099,79.4904458599,0.47624178429
95,El Dorado Union High,934554,Independence Continuation,46,13.1304347826,0.376518218623
96,Western Placer Unified,3130036,"Phoenix High, Cont.",12,8.0,0.403606102635
97,Visalia Unified,5430046,Golden West High,486,58.1378600823,0.464601769912
98,Kern Union High,1532605,Foothill High,168,49.5297619048,0.288645690834
99,Fresno Unified,1032911,Herbert Hoover High,222,54.2387387387,0.574914546145
100,Los Angeles Unified,1934033,Hollywood Senior High,195,54.8205128205,0.869295923769
101,Chowchilla Union High,2032357,Chowchilla High,169,63.3727810651,0.42074776198
102,Porterville Unified,5432786,Monache High,553,64.0705244123,0.288544358312
103,Washington Unified,5735154,River City Senior High,493,55.8803245436,0.782843431314
104,Hesperia Unified,115444,Canyon Ridge High,13,8.0,0.291064388962
105,Vista Unified,115451,Major General Raymond Murray,17,18.0,0.523737297133
106,Victor Valley Union High,3638012,Victor Valley High,403,42.9503722084,0.447736654306
107,Santa Maria Joint Union High,4236030,Santa Maria High,163,35.736196319,0.488544474394
108,Willits Unified,2335487,Willits High,127,51.5118110236,0.610826064649
109,Folsom-Cordova Unified,3433216,Folsom High,1230,79.8910569106,0.496486605182
110,Glendale Unified,1934082,Herbert Hoover High,550,65.0127272727,0.657273715262
111,Roseville Joint Union High,3130119,"Independence High, Alt.",106,51.9716981132,0.465835086665
112,Placer Union High,3130135,Maidu High Independent Study,60,46.9333333333,0.643084541917
113,Los Gatos-Saratoga Joint Union High,4334371,Los Gatos High,1265,83.5415019763,0.708251857646
114,Rocklin Unified,3130150,Rocklin High,1175,84.0374468085,0.451236019092
115,Tehachapi Unified,1536135,Tehachapi High,660,68.2909090909,0.264682952183
116,Newport-Mesa Unified,3031853,Costa Mesa High,202,67.9851485149,0.47624178429
117,Twin Rivers Unified,3433265,Foothill High,263,52.9201520913,0.542284984841
118,Jefferson Union High,4137790,Westmoor High,782,61.6969309463,0.776695791369
119,Roseville Joint Union High,3130176,Woodcreek High,1343,75.9292628444,0.516927675612
120,Roseville Joint Union High,3130184,Granite Bay High,1523,81.9310571241,0.402407566638
121,San Diego Unified,3730231,Twain High,29,28.0,0.63646714996
122,Fremont Union High,4334421,Lynbrook High,1246,90.4357945425,0.737441286522
123,Huntington Beach Union High,3031895,Edison High,1603,77.4223331254,0.472830529622
124,Rocklin Unified,3130200,Victory High,27,33.0,0.451236019092
125,Rocklin Unified,3130218,Rocklin Independent (Alte,39,30.9230769231,0.451236019092
126,Placentia-Yorba Linda Unified,3031929,El Dorado High,1031,76.6779825412,0.503782332845
127,Fremont Union High,4334462,Monta Vista High,1778,91.9448818898,0.810852120749
128,Milpitas Unified,4334470,Milpitas High,1364,76.8423753666,0.761451562984
129,Placentia-Yorba Linda Unified,3031945,El Camino Real Continuation Hi,57,14.6666666667,0.503782332845
130,Poway Unified,118935,Del Norte High,1179,80.5487701442,0.480098943108
131,Conejo Valley Unified,5637004,Thousand Oaks High,1436,78.5201949861,0.573899239703
132,Orange Unified,3031952,El Modena High,857,78.0046674446,0.581574185766
133,San Francisco Unified,3834769,O'Connell (John) Alternative,76,33.0,0.927743252017
134,Placer County Office of Education,3130259,Placer County Community Schoo,23,26.0869565217,0.466746794872
135,Napa Valley Unified,2830149,Valley Oak High,30,10.0,0.635677083333
136,Inglewood Unified,1934231,Inglewood High,167,22.4431137725,0.841366589141
137,Morgan Hill Unified,4334488,"Central High, Cont.",27,26.0,0.62508259548
138,Mt. Diablo Unified,730044,Northgate High,1020,80.7245098039,0.675010429704
139,Newport-Mesa Unified,3032000,Estancia High,200,73.93,0.47624178429
140,San Ramon Valley Unified,730051,California High,1778,81.0562429696,0.689691871072
141,Tahoe-Truckee Joint Unified,3138500,Tahoe Truckee High,276,73.4492753623,0.738916256158
142,Roseville Joint Union High,3130309,"Adelante High, Cont.",28,7.0,0.465835086665
143,San Bernardino County Office of Educatio,107466,Community/Independent Altern.,13,15.0,0.743398985121
144,Oakland Unified,115667,Oakland International High,88,0.0,0.949256342957
145,Palm Springs Unified,3335130,Palm Springs High,521,67.5316698656,0.614053395947
146,Ceres Unified,5030879,Ceres High,240,70.1666666667,0.549878345499
147,Antioch Unified,730101,Live Oak High (Continuation),18,11.0,0.671317619435
148,Riverside Unified,115709,Riverside Virtual,28,75.3214285714,0.55196454629
149,Galt Joint Union High,3433471,Galt High,211,69.691943128,0.473642263464
150,Acalanes Union High,107524,Acalanes Center for Independe,24,54.0,0.770895807208
151,Victor Valley Union High,3630100,Goodwill High,22,14.0,0.499383401159
152,Los Angeles Unified,1934371,Thomas Jefferson Senior High,71,14.0,0.922107850668
153,Tustin Unified,3032109,Foothill High,1314,83.5388127854,0.624855443582
154,Santa Ynez Valley Union High,4236345,Santa Ynez Valley Union High,511,75.8845401174,0.605429172242
155,West Sonoma County Union High,4930400,Analy High,762,67.9422572178,0.788591562708
156,Sequoia Union High,4138053,Woodside High,557,78.3536804309,0.786446020489
157,Pittsburg Unified,730184,Riverside High (Continuation),14,0.0,0.811901646119
158,William S. Hart Union High,1934421,"Bowman (Jereann) High, Cont.",73,21.0,0.45738545338
159,Sutter Union High,5137500,Sutter High,366,51.6693989071,0.351928692178
160,Huntington Beach Union High,3032158,Fountain Valley High,2045,79.9545232274,0.534994634553
161,San Ramon Valley Unified,730218,Venture (Alternative),211,57.009478673,0.711773832098
162,South San Francisco Unified,4130324,"Baden High, Cont.",17,24.0,0.823785517874
163,Castro Valley Unified,132225,Castro Valley High,1643,72.1527693244,0.748513127992
164,Contra Costa County Office of Education,730242,Delta Vista High,27,10.7777777778,0.545821607733
165,Long Beach Unified,1934470,Jordan High,446,27.067264574,0.777751852068
166,Mountain View-Los Altos Union High,4334728,Mountain View High,1110,80.3972972973,0.829648526077
167,Mountain View-Los Altos Union High,4334736,"Alta Vista High, Cont.",58,53.0517241379,0.829648526077
168,Chaffey Joint Union High,3630225,Alta Loma High,1097,63.4056517776,0.475426024151
169,Antioch Unified,730259,Prospects High (Alternative),90,21.0444444444,0.671317619435
170,Los Banos Unified,2434207,Los Banos High,332,61.3102409639,0.609182058047
171,Rim of the World Unified,3630241,Mountain High,13,38.0,0.416916018352
172,West Contra Costa Unified,730275,North Campus Continuation,29,4.0,0.870163170163
173,Acalanes Union High,730283,Acalanes High,966,89.066252588,0.772479288745
174,West Contra Costa Unified,730291,Middle College High,108,85.1388888889,0.870163170163
175,Silver Valley Unified,3630274,Silver Valley High,189,53.5026455026,0.383355350066
176,Yuba City Unified,107722,River Valley High,513,63.0974658869,0.436825813714
177,Mt. Diablo Unified,730317,Horizons Alternative,90,40.7555555556,0.706974540128
178,San Diego County Office of Education,115923,South Region Community,56,7.71428571429,0.754522217853
179,West Contra Costa Unified,730325,Vista High (Alternative),61,24.3606557377,0.870163170163
180,Kerman Unified,1033430,Kerman High,200,59.5,0.604410751206
181,Alhambra Unified,1934553,Mark Keppel High,692,80.4580924855,0.663436301232
182,Mt. Diablo Unified,730341,"Nueva Vista High, Cont.",16,13.0,0.66013560674
183,Yucaipa-Calimesa Joint Unified,3638509,Yucaipa High,1063,65.433678269,0.383247817085
184,Los Angeles Unified,120360,Daniel Pearl Journalism & Comm,80,80.025,0.768974432634
185,Mt. Diablo Unified,730358,Prospect High (Continuation),20,20.0,0.706974540128
186,Gilroy Unified,4334850,Mt. Madonna High,23,22.0,0.697410402909
187,La Canada Unified,1934611,La Canada High,1059,90.3002832861,0.590101694915
188,Liberty Union High,107797,Heritage High,1419,74.8780831572,0.571727092258
189,Chaffey Joint Union High,3630373,Etiwanda High,1453,66.7721954577,0.52787952788
190,East Side Union High,4334900,Mt. Pleasant High,286,54.7412587413,0.790654620853
191,Colton Joint Unified,3630399,Washington High,15,13.0,0.621570090359
192,Twin Rivers Unified,3433794,Grant Union High,213,36.0046948357,0.606024488027
193,Hesperia Unified,3630407,Hesperia High,296,52.9459459459,0.346627880273
194,Martinez Unified,730440,Vicente Martinez High,39,10.3076923077,0.73651024615
195,Long Beach Unified,1934678,Lakewood High,1453,59.8134893324,0.627080240644
196,Apple Valley Unified,3630423,Apple Valley High,619,65.3117932149,0.412444444444
197,Morongo Unified,3638616,Yucca Valley High,348,63.5574712644,0.330801687764
198,Liberty Union High,730457,Freedom High,1311,60.3714721587,0.567729804007
199,Antioch Unified,730465,Deer Valley High,1008,61.369047619,0.720506845325
200,Martinez Unified,730473,Briones (Alternative),31,32.3548387097,0.73651024615
201,Upland Unified,3630456,Hillside High,29,14.0,0.610185756392
202,Hesperia Unified,3630472,Mojave High,13,0.0,0.346627880273
