,District,District Code,School Code,School Name,number,score,vote
0,Tulare Joint Union High,72249,5430145,Tulare Technical Preparatory,12,8.0,0.509095204347
1,Alameda City Unified,61119,1,District Students in NPS,923,18.2643553629,0.643058547424
2,San Diego Unified,68338,3733508,La Jolla High,857,84.3197199533,0.643146674673
3,Modesto City High,71175,110593,James C. Enochs High,1095,72.6210045662,0.503361941726
4,Winters Joint Unified,72702,5738505,Winters High,150,68.4,0.646812957158
5,Murrieta Valley Unified,75200,118794,Murrieta Mesa High,1142,71.8476357268,0.551023137622
6,Apple Valley Unified,75077,3630423,Apple Valley High,619,65.3117932149,0.412444444444
7,Pomona Unified,64907,1933324,Garey Senior High,98,41.693877551,0.694546617624
8,Ferndale Unified,75374,1232909,Ferndale High,66,51.5303030303,0.414024975985
9,Oakdale Joint Unified,75564,5031950,East Stanislaus High,12,0.0,0.381089459699
10,Southern Humboldt Joint Unified,63040,1237007,South Fork Junior - Senior Hi,84,47.7738095238,0.682593856655
11,Hemet Unified,67082,3330065,Alessandro High,45,9.0,0.467771639042
12,Redlands Unified,67843,118802,Citrus Valley High,875,70.8537142857,0.455927591103
13,Dixon Unified,70532,4832259,Dixon High,489,62.6809815951,0.670484122853
14,Burbank Unified,64337,1933332,"Monterey High, Cont.",56,23.0,0.808108640031
15,Fillmore Unified,72454,5632021,Fillmore Senior High,203,60.5960591133,0.614634146341
16,Coronado Unified,68031,3731478,Coronado High,781,81.3457106274,0.631088082902
17,Livermore Valley Joint Unified,61200,130393,Vineyard Alternative,53,32.0,0.429708222812
18,Shasta Union High,70136,4530200,Pioneer Continuation High,16,0.0,0.35168792198
19,West Contra Costa Unified,61796,732164,De Anza Senior High,211,42.355450237,0.8259762309
20,Bret Harte Union High,61556,532507,Bret Harte Union High,325,73.7169230769,0.348512011474
21,Ojai Unified,72520,5634076,Nordhoff High,370,64.1351351351,0.733727810651
22,San Marcos Unified,73791,3737632,San Marcos High,955,86.3267015707,0.556289356474
23,Garden Grove Unified,66522,3032752,Garden Grove High,708,65.7316384181,0.646146252027
24,Corona-Norco Unified,67033,110627,Eleanor Roosevelt High,1353,69.2971175166,0.469943247562
25,San Jose Unified,69666,4330502,Liberty High (Alternative,49,9.20408163265,0.723253757737
26,Whittier Union High,65128,1931302,California High,683,64.4597364568,0.678964637258
27,Riverside Unified,67215,3336237,Polytechnic High,1000,65.256,0.55196454629
28,Sweetwater Union High,68411,3731502,San Ysidro High,264,50.7954545455,0.653173965448
29,Santa Ana Unified,66670,114736,Hector G. Godinez,175,65.84,0.673099513341
30,Porterville Unified,75523,5430624,"Citrus High, Cont.",13,15.0,0.288544358312
31,North Monterey County Unified,73825,2730034,North Monterey County High,181,61.8121546961,0.724327897752
32,Center Joint Unified,73973,3430451,"McClellan High, Cont.",13,23.0,0.514728477984
33,Clovis Unified,62117,1030196,Clovis West High,1037,78.2198649952,0.410257742673
34,Chaffey Joint Union High,67652,3631157,Colony High,585,56.5299145299,0.584564584732
35,East Side Union High,69427,4330015,Yerba Buena High,243,49.9465020576,0.796362220492
36,San Mateo County Office of Education,10413,113332,Gateway Center,25,4.16,0.772713878794
37,Yuba City Unified,71464,5130018,Powell (Albert) Cont.,47,17.2978723404,0.402011581835
38,William S. Hart Union High,65136,102459,Golden Valley High,927,66.2276159655,0.493247068338
39,Santa Monica-Malibu Unified,64980,1933373,"Olympic High, Cont.",17,8.0,0.83513562224
40,San Diego Unified,68338,3730371,San Diego SCPA,301,84.6943521595,0.639748894279
41,Rim of the World Unified,67868,3635265,Rim of the World Senior High,504,63.2976190476,0.416916018352
42,Lake Elsinore Unified,75176,3330115,Ortega High,22,18.0,0.418744769874
43,Murrieta Valley Unified,75200,100420,Vista Murrieta High,1634,74.6474908201,0.408031308491
44,Los Angeles Unified,64733,1933381,James A. Garfield Senior High,92,48.7826086957,0.884973040556
45,Santa Ana Unified,66670,108365,Segerstrom High,359,74.1225626741,0.673099513341
46,Grossmont Union High,68130,3731809,El Capitan High,800,53.07,0.28692779613
47,Poway Unified,68296,3731528,Westview High,1553,84.3625241468,0.590174713507
48,El Monte Union High,64519,1937481,Rosemead High,214,71.1448598131,0.809498750164
49,Tulare Joint Union High,72249,5435466,Tulare Western High,304,69.1052631579,0.509095204347
50,William S. Hart Union High,65136,102475,West Ranch High,1884,73.9256900212,0.56037496028
51,Fremont Unified,61176,135244,Mission San Jose High,1563,94.638515675,0.766219839142
52,Elk Grove Unified,67314,3430477,Florin High,129,50.9689922481,0.724257282954
53,Grossmont Union High,68130,3731536,Grossmont Middle College,26,77.0,0.515335113302
54,West Covina Unified,65094,1939537,West Covina High,696,61.6091954023,0.722227984649
55,Muroc Joint Unified,63685,1531987,Desert Junior-Senior High,275,56.9418181818,0.289198606272
56,West Contra Costa Unified,61796,735316,Pinole Valley High,491,44.0407331976,0.820333432569
57,Palo Alto Unified,69641,4335782,Palo Alto High,1218,85.8382594417,0.900408841191
58,Los Angeles County Office of Education,10199,1933399,L.A. Co. High School/Arts,409,84.5256723716,0.750386750387
59,Corona-Norco Unified,67033,3334232,Norco High,949,66.5711275026,0.521374277896
60,Los Banos Unified,65755,120923,Pacheco High,328,54.9634146341,0.609182058047
61,Simi Valley Unified,72603,5636188,Simi Valley High,1306,68.9624808576,0.510060259422
62,San Juan Unified,67447,3430493,Bella Vista High,1108,74.9133574007,0.486412512219
63,El Dorado Union High,61853,930149,"Independent Learning Ctr., Alt",56,30.25,0.376518218623
64,Hanford Joint Union High,63925,1634401,Hanford High,581,54.9518072289,0.41235459286
65,Los Gatos-Saratoga Joint Union High,69534,4337762,Saratoga High,1021,88.7531831538,0.764052462527
66,Redlands Unified,67843,3630779,Redlands East Valley High,897,71.4816053512,0.560438237419
67,Simi Valley Unified,72603,5635008,Royal High,1046,67.2170172084,0.502965372106
68,Desert Sands Unified,67058,118885,Shadow Hills High,230,65.7826086957,0.680439104503
69,Tulare Joint Union High,72249,5435409,Tulare Union High,430,66.0627906977,0.509095204347
70,Berkeley Unified,61143,131177,Berkeley High,1473,67.9266802444,0.95595970901
71,Los Banos Unified,65755,119073,Crossroads Alternative Ed.,24,17.0,0.609182058047
72,West Sonoma County Union High,70607,4931507,El Molino High,312,71.2467948718,0.739003936334
73,San Benito High,67538,3537008,San Benito High,1148,63.6533101045,0.630313644324
74,Oxnard Union High,72546,5630066,"Frontier High, Cont.",31,16.0,0.562587476419
75,Marin County Office of Education,10215,2130037,Marin County Community,26,8.0,0.776995305164
76,Laguna Beach Unified,66555,3033206,Laguna Beach High,650,85.9107692308,0.55997588909
77,Martinez Unified,61739,730473,Briones (Alternative),31,32.3548387097,0.73651024615
78,Grossmont Union High,68130,3734548,Monte Vista High,416,52.2067307692,0.567637598284
79,Modesto City High,71175,5030010,Beyer (Fred C.) High,757,65.2655217966,0.503361941726
80,Perris Union High,67207,3330172,"Perris Lake High, Cont.",20,15.0,0.599527085125
81,Novato Unified,65417,2130045,Nova Ed. Ctr. (Indep. St),35,82.9714285714,0.740899191039
82,Vacaville Unified,70573,4830089,Wood (Will C.) High,769,55.3628088427,0.533185589272
83,Placentia-Yorba Linda Unified,66647,3031945,El Camino Real Continuation Hi,57,14.6666666667,0.503782332845
84,Placentia-Yorba Linda Unified,66647,6119556,Parkview,50,73.78,0.503782332845
85,Shasta Union High,70136,4530309,North State Independence High,37,27.1081081081,0.35168792198
86,Visalia Unified,72256,5435839,Sequoia High,55,9.0,0.573157315732
87,Hanford Joint Union High,63925,118919,Sierra Pacific High,352,57.4829545455,0.41235459286
88,Valley Center-Pauma Unified,75614,3731601,Valley Center Prep,23,25.6956521739,0.406335549472
89,Azusa Unified,64279,1933449,Gladstone High,198,55.2373737374,0.461583577713
90,South Monterey County Joint Union High,66068,2732170,King City High,148,64.0067567568,0.708883025506
91,Los Angeles Unified,64733,1939479,WESM Health/Sports Medicine,394,53.230964467,0.76065511572
92,Sacramento City Unified,67439,3434636,Johnson (Hiram W.) High,136,31.4411764706,0.797459584296
93,North Monterey County Unified,73825,2730125,North Monterey County Ctr,45,42.4444444444,0.638313875535
94,Fortuna Union High,62810,108688,Academy of the Redwoods,132,81.803030303,0.516473887136
95,Colton Joint Unified,67686,3630399,Washington High,15,13.0,0.621570090359
96,Torrance Unified,65060,1939602,West High,1253,79.8284118117,0.643809331448
97,Victor Valley Union High,67934,3630787,Silverado High,515,46.3708737864,0.562874603361
98,Escalon Unified,68502,3932308,Escalon High,384,59.9140625,0.38561479177
99,Fontana Unified,67710,3633302,Fontana High,199,44.6934673367,0.767511394713
100,Hayward Unified,61192,135319,Mt. Eden High,486,57.1851851852,0.805712270804
