,District,District Code,School Code,School Name,number,score,vote
0,Alameda City Unified,61119,1,District Students in NPS,268,19.3582089552,0.643058547424
1,Holtville Unified,63149,1335306,Holtville High,176,49.0738636364,0.586666666667
2,Pomona Unified,64907,1933324,Garey Senior High,619,39.9079159935,0.694546617624
3,Southern Humboldt Joint Unified,63040,1237007,South Fork Junior - Senior Hi,61,50.8360655738,0.682593856655
4,Burbank Unified,64337,1933332,"Monterey High, Cont.",37,17.0,0.808108640031
5,Shasta Union High,70136,4530200,Pioneer Continuation High,14,0.0,0.35168792198
6,Bret Harte Union High,61556,532507,Bret Harte Union High,249,71.5502008032,0.348512011474
7,Santa Ana Unified,66670,114736,Hector G. Godinez,1012,54.652173913,0.673099513341
8,Santa Monica-Malibu Unified,64980,1933373,"Olympic High, Cont.",14,11.0,0.83513562224
9,Los Angeles Unified,64733,1933381,James A. Garfield Senior High,890,43.7573033708,0.884973040556
10,East Side Union High,69427,4333639,Lick (James) High,429,40.4242424242,0.790654620853
11,Santa Paula Union High,72595,5636170,"Renaissance High, Cont.",19,0.0,0.691237192231
12,Muroc Joint Unified,63685,1531987,Desert Junior-Senior High,145,61.0551724138,0.289198606272
13,Los Angeles County Office of Education,10199,1933399,L.A. Co. High School/Arts,278,85.8021582734,0.750386750387
14,Corona-Norco Unified,67033,3334232,Norco High,773,63.0944372574,0.521374277896
15,Simi Valley Unified,72603,5636188,Simi Valley High,808,68.2351485149,0.510060259422
16,Lucia Mar Unified,68759,4030557,Arroyo Grande High,800,64.17125,0.530927105449
17,Tulare Joint Union High,72249,5435409,Tulare Union High,672,58.6830357143,0.509095204347
18,Berkeley Unified,61143,131177,Berkeley High,1095,62.2767123288,0.95595970901
19,Redlands Unified,67843,118802,Citrus Valley High,813,66.926199262,0.455927591103
20,Marin County Office of Education,10215,2130037,Marin County Community,30,3.73333333333,0.776995305164
21,Modesto City High,71175,5030010,Beyer (Fred C.) High,625,59.968,0.503361941726
22,Elk Grove Unified,67314,3432572,Elk Grove High,595,65.3781512605,0.53358802929
23,Placentia-Yorba Linda Unified,66647,6119556,Parkview,12,67.0,0.503782332845
24,Shasta Union High,70136,4530309,North State Independence High,83,28.0963855422,0.35168792198
25,Azusa Unified,64279,1933449,Gladstone High,522,43.8007662835,0.461583577713
26,Escalon Unified,68502,3932308,Escalon High,317,50.2050473186,0.38561479177
27,Alvord Unified,66977,3334299,Norte Vista High,845,40.8721893491,0.641564318035
28,Tamalpais Union High,65482,2130078,Tamiscal High (Alternative),43,86.3953488372,0.758831277691
29,Glendale Unified,64568,1933472,"Daily (Allan F.) High, Cont.",47,9.0,0.66717603912
30,Los Angeles Unified,64733,114850,West Adams Preparatory High,706,24.0184135977,0.904467987103
31,Plumas Unified,66969,3236007,Quincy Junior/Senior High,87,73.7931034483,0.579813250333
32,Davis Joint Unified,72678,106674,Frances Ellen Watkins Harper,119,87.0,0.619047619048
33,Stanislaus County Office of Education,10504,5030085,John B. Allard,108,4.57407407407,0.616432613708
34,San Diego Unified,68338,3735750,Point Loma High,665,72.5037593985,0.687368103708
35,Nevada Joint Union High,66357,2935500,Nevada Union High,708,64.9463276836,0.486882716049
36,Glendale Unified,64568,1933530,Glendale High,987,60.4468085106,0.649555830428
37,Hemet Unified,67082,106716,Hamilton High,113,53.4424778761,0.306974190005
38,Hilmar Unified,65698,2432409,Hilmar High,238,56.3277310924,0.595591030027
39,San Francisco Unified,68478,3834082,Mission High,296,35.5101351351,0.938423268274
40,San Jose Unified,69666,4333795,Lincoln (Abraham) High,657,54.9543378995,0.806573310314
41,Patterson Joint Unified,71217,5030127,"Del Puerto High, Cont.",30,7.0,0.577589023195
42,Modesto City High,71175,5030135,Johansen (Peter) High,624,49.125,0.298161470823
43,Riverside Unified,67215,3334406,North (John W.) High,873,49.4100801833,0.6940433213
44,Ceres Unified,71043,5030168,Endeavor Alternative,29,31.0,0.549878345499
45,Glendora Unified,64576,1933597,Glendora High,828,74.5241545894,0.519502353732
46,Poway Unified,68296,3735842,Abraxas Continuation High,20,5.0,0.473045822102
47,Atascadero Unified,68700,4030755,Atascadero High,500,69.886,0.472904383491
48,Upper Lake Union High,64071,1737006,Upper Lake High,102,36.431372549,0.459459459459
49,Windsor Unified,75358,4930269,Windsor Oaks Academy,12,0.0,0.690663417876
50,Ukiah Unified,65615,2335024,Ukiah High,579,51.0621761658,0.634938728983
51,Norwalk-La Mirada Unified,64840,1934728,La Mirada High,779,61.9062901155,0.651520069242
52,Val Verde Unified,75242,123190,Val Verde Academy,55,32.7636363636,0.553964887475
53,Ceres Unified,71043,5030200,"Argus High, Cont.",59,13.7288135593,0.549878345499
54,Fresno Unified,62166,1032507,Fresno High,788,32.6725888325,0.571761688236
55,South San Francisco Unified,69070,4137279,South San Francisco High,540,59.4592592593,0.823785517874
56,Norwalk-La Mirada Unified,64840,1933647,Glenn (John H.) High,596,43.0469798658,0.66824754731
57,Upland Unified,75069,3637584,Upland High,1302,60.8548387097,0.610185756392
58,Stanislaus County Office of Education,10504,5030226,Petersen Alternative Center f,50,1.96,0.504190412337
59,Chico Unified,61424,431502,Fair View High (Continuation),59,12.1016949153,0.611191139281
60,Fontana Unified,67710,3630480,Citrus High (Continuation),56,7.0,0.767511394713
61,Waterford Unified,75572,5030259,Waterford High,209,57.5358851675,0.505358150028
62,Mammoth Unified,73692,2630010,Mammoth High,100,49.81,0.452304394427
63,Morgan Hill Unified,69583,4333951,Live Oak High,463,61.8293736501,0.62508259548
64,Kern Union High,63529,1532290,East Bakersfield High,784,39.3711734694,0.288645690834
65,San Juan Unified,67447,3432838,Encina Preparatory High,212,26.2830188679,0.742994588094
66,Turlock Unified,75739,5030283,Pitman (John H.) High,760,56.3631578947,0.434776749618
67,Corning Union High,71506,5231709,Corning High,335,43.0805970149,0.349639855942
68,Ramona City Unified,68304,3735958,"Montecito High, Cont.",37,16.027027027,0.315043052507
69,Chaffey Joint Union High,67652,3637659,"Valley View High, Cont.",157,4.0,0.740069892208
70,Petaluma Joint Union High,70862,4930012,Casa Grande High,621,70.4959742351,0.76189277624
71,Davis Joint Unified,72678,6066245,Emerson (Ralph Waldo) Jr. High,74,84.0,0.521778584392
72,Los Molinos Unified,71571,5235106,Los Molinos High,56,39.0892857143,0.259711431743
73,Sonora Union High,72389,5530019,"Cassina (Dario) High, Cont.",16,25.0,0.402743379691
74,Ramona City Unified,68304,3735974,Ramona High,619,57.1276252019,0.315043052507
75,Sonora Union High,72389,5530043,Bird High,23,30.0,0.402743379691
76,Galt Joint Union High,67355,3432903,Estrellita Continuation High,16,13.0,0.473642263464
77,Los Angeles Unified,64733,110668,Frida Kahlo High,41,24.2195121951,0.922107850668
78,Santa Barbara Unified,76786,4235727,Santa Barbara Senior High,769,64.0611183355,0.772852128796
79,Santa Cruz City High,69823,4432340,Harbor High,338,58.7603550296,0.838548185232
80,Conejo Valley Unified,73759,123349,Century Academy,20,70.0,0.573899239703
81,Colusa Unified,61598,631259,Colusa High,112,53.5892857143,0.338235294118
82,Fairfield-Suisun Unified,70540,123356,Matt Garcia Learning Center,39,0.0,0.649664153932
83,Los Angeles Unified,64733,1933795,Ulysses S. Grant Senior High,812,46.5221674877,0.743107540624
84,San Bernardino County Office of Educatio,10363,123364,Bob Murphy Co. Community Day,11,9.0,0.797048080953
85,Stockton Unified,68676,3932654,Franklin High,728,35.6236263736,0.546288209607
86,Los Angeles Unified,64733,106997,Orthopaedic Hospital,376,59.6968085106,0.904467987103
87,Los Angeles Unified,64733,107003,Northridge Academy High,423,54.2884160757,0.746801978509
88,Los Angeles Unified,64733,107011,International Studies Learnin,149,48.2214765101,0.837803249499
89,Geyserville Unified,70706,4932109,Geyserville Educational Park H,11,45.0,0.619834710744
90,Mt. Diablo Unified,61754,737809,Ygnacio Valley High,455,35.5494505495,0.699944842802
91,San Diego Unified,68338,107029,San Diego International Studi,283,86.8197879859,0.703490464196
92,Los Angeles Unified,64733,1933852,Alexander Hamilton Senior Hig,1149,60.5030461271,0.816042024447
93,San Diego Unified,68338,107037,San Diego LEADS,163,35.9693251534,0.703490464196
94,Jurupa Unified,67090,3334687,Nueva Vista Continuation High,46,4.0,0.588575560376
95,Mountain View-Los Altos Union High,69609,4334116,Los Altos High,585,85.9435897436,0.776614310646
96,San Diego Unified,68338,107045,San Diego Communication,51,21.431372549,0.703490464196
97,San Diego Unified,68338,107052,San Diego Business,143,34.6293706294,0.703490464196
98,San Diego Unified,68338,107060,San Diego MVP Arts,162,40.7037037037,0.703490464196
99,Jefferson Union High,68924,4137535,Terra Nova High,419,68.7398568019,0.814388961892
100,Merced Union High,65789,2433605,Livingston High,413,52.6634382567,0.572062084257
101,San Diego Unified,68338,107078,Kearny Digital Media & Design,196,62.8979591837,0.63646714996
102,Anderson Union High,69856,4530762,North Valley High,15,20.0,0.253796337651
103,Vacaville Unified,70573,4833869,Country High,28,4.0,0.570959803117
104,San Diego Unified,68338,107086,Kearny SCT,128,59.0546875,0.63646714996
105,San Diego Unified,68338,107094,Kearny International Business,173,86.0520231214,0.63646714996
106,Imperial Unified,63164,1335900,Imperial High,358,57.8659217877,0.610309278351
107,San Diego Unified,68338,107102,Kearny Construction Tech,66,53.1363636364,0.63646714996
108,Del Norte County Unified,61820,836205,Sunset High,26,16.0769230769,0.407816091954
109,Anderson Union High,69856,4530804,Anderson High,206,48.8495145631,0.253796337651
110,Jefferson Union High,68924,4137592,Thornton High,35,11.7714285714,0.809661649299
111,Centinela Valley Union High,64352,1933951,Hawthorne High,660,37.3272727273,0.874346343312
112,Newport-Mesa Unified,66597,3031697,Corona del Mar High,564,82.4290780142,0.47624178429
113,El Dorado Union High,61853,934554,Independence Continuation,32,12.75,0.376518218623
114,San Diego Unified,68338,107177,Crawford Multimedia and Visua,106,33.8773584906,0.727572685539
115,San Diego Unified,68338,107185,Crawford CHAMPS,133,37.1052631579,0.727572685539
116,Visalia Unified,72256,5430046,Golden West High,624,51.0064102564,0.464601769912
117,San Diego Unified,68338,107193,Crawford Law and Business,81,27.1358024691,0.727572685539
118,Kern Union High,63529,1532605,Foothill High,688,42.2529069767,0.288645690834
119,San Diego Unified,68338,107201,Crawford IDEA,47,26.3404255319,0.727572685539
120,Stockton Unified,68676,115402,Edward C. Merlo Institute of,94,24.585106383,0.651608986035
121,Fresno Unified,62166,1032911,Herbert Hoover High,535,42.0803738318,0.574914546145
122,Los Angeles Unified,64733,1934033,Hollywood Senior High,659,59.5948406677,0.869295923769
123,San Diego Unified,68338,107219,San Diego Science and Technol,98,39.7959183673,0.703490464196
124,Los Angeles County Office of Education,10199,123604,Phoenix Academy Residential,23,12.9130434783,0.755491167399
125,Madera Unified,65243,123620,Eastin-Arcola High,58,12.0689655172,0.589822329458
126,Chowchilla Union High,65201,2032357,Chowchilla High,361,45.7063711911,0.42074776198
127,Reef-Sunset Unified,73932,1630953,Avenal High,221,27.9230769231,0.434539260221
128,Porterville Unified,75523,5432786,Monache High,673,50.102526003,0.288544358312
129,Washington Unified,72694,5735154,River City Senior High,746,49.836461126,0.782843431314
130,Hesperia Unified,75044,115444,Canyon Ridge High,50,9.98,0.291064388962
131,Modesto City High,71175,5031380,Davis (Grace M.) High,488,46.3176229508,0.557129407737
132,Vista Unified,68452,115451,Major General Raymond Murray,35,6.0,0.523737297133
133,Victor Valley Union High,67934,3638012,Victor Valley High,871,37.7818599311,0.447736654306
134,Santa Maria Joint Union High,69310,4236030,Santa Maria High,738,29.3008130081,0.488544474394
135,Willits Unified,65623,2335487,Willits High,139,44.345323741,0.610826064649
136,Folsom-Cordova Unified,67330,3433216,Folsom High,687,78.1397379913,0.496486605182
137,Glendale Unified,64568,1934082,Herbert Hoover High,673,58.4130757801,0.657273715262
138,Roseville Joint Union High,66928,3130119,"Independence High, Alt.",70,54.6571428571,0.465835086665
139,Placer Union High,66894,3130135,Maidu High Independent Study,55,56.6,0.643084541917
140,Los Gatos-Saratoga Joint Union High,69534,4334371,Los Gatos High,646,86.6408668731,0.708251857646
141,Rocklin Unified,75085,3130150,Rocklin High,694,86.1080691643,0.451236019092
142,Tehachapi Unified,63826,1536135,Tehachapi High,427,65.8407494145,0.264682952183
143,Newport-Mesa Unified,66597,3031853,Costa Mesa High,365,57.002739726,0.47624178429
144,Twin Rivers Unified,76505,3433265,Foothill High,386,48.1321243523,0.542284984841
145,Jefferson Union High,68924,4137790,Westmoor High,630,59.619047619,0.776695791369
146,Roseville Joint Union High,66928,3130176,Woodcreek High,761,77.3639947438,0.516927675612
147,Roseville Joint Union High,66928,3130184,Granite Bay High,764,83.5497382199,0.402407566638
148,San Diego Unified,68338,3730231,Twain High,55,29.2909090909,0.63646714996
149,Los Angeles Unified,64733,1934157,Huntington Park Senior High,1233,33.2587185726,0.876167739257
150,Fremont Union High,69468,4334421,Lynbrook High,657,89.4748858447,0.737441286522
151,Huntington Beach Union High,66548,3031895,Edison High,817,80.8200734394,0.472830529622
152,Rocklin Unified,75085,3130200,Victory High,13,25.0,0.451236019092
153,Rocklin Unified,75085,3130218,Rocklin Independent (Alte,28,35.8214285714,0.451236019092
154,Placentia-Yorba Linda Unified,66647,3031929,El Dorado High,625,74.8112,0.503782332845
155,Fremont Union High,69468,4334462,Monta Vista High,915,91.0142076503,0.810852120749
156,Konocti Unified,64022,1730027,Carle (William C.) High (Cont,15,21.0,0.431428571429
157,Milpitas Unified,73387,4334470,Milpitas High,1094,68.8610603291,0.761451562984
158,Placentia-Yorba Linda Unified,66647,3031945,El Camino Real Continuation Hi,36,17.0,0.503782332845
159,Hayward Unified,61192,135319,Mt. Eden High,635,45.7181102362,0.805712270804
160,Conejo Valley Unified,73759,5637004,Thousand Oaks High,829,77.5693606755,0.573899239703
161,Orange Unified,66621,3031952,El Modena High,767,67.7118644068,0.581574185766
162,San Francisco Unified,68478,3834769,O'Connell (John) Alternative,147,36.4285714286,0.927743252017
163,Placer County Office of Education,10314,3130259,Placer County Community Schoo,13,15.0,0.466746794872
164,Napa Valley Unified,66266,2830149,Valley Oak High,32,3.0,0.635677083333
165,Inglewood Unified,64634,1934231,Inglewood High,481,26.6548856549,0.841366589141
166,Morgan Hill Unified,69583,4334488,"Central High, Cont.",30,17.0,0.62508259548
167,Oakland Unified,61259,107417,Leadership Prep High,60,13.5,0.879256384577
168,Inglewood Unified,64634,1934249,Hillcrest High,11,0.0,0.841366589141
169,Mt. Diablo Unified,61754,730044,Northgate High,567,80.2962962963,0.675010429704
170,Newport-Mesa Unified,66597,3032000,Estancia High,399,45.9348370927,0.47624178429
171,San Ramon Valley Unified,61804,730051,California High,895,83.1340782123,0.689691871072
172,Tahoe-Truckee Joint Unified,66944,3138500,Tahoe Truckee High,204,72.1421568627,0.738916256158
173,Roseville Joint Union High,66928,3130309,"Adelante High, Cont.",42,2.66666666667,0.465835086665
174,San Bernardino County Office of Educatio,10363,107466,Community/Independent Altern.,52,17.2692307692,0.743398985121
175,Oakland Unified,61259,115667,Oakland International High,98,1.12244897959,0.949256342957
176,Palm Springs Unified,67173,3335130,Palm Springs High,778,54.971722365,0.614053395947
177,Ceres Unified,71043,5030879,Ceres High,486,55.9773662551,0.549878345499
178,Antioch Unified,61648,730101,Live Oak High (Continuation),30,10.0,0.671317619435
179,Turlock Unified,75739,5036884,"Roselawn High, Cont.",34,2.70588235294,0.616432613708
180,Riverside Unified,67215,115709,Riverside Virtual,32,50.21875,0.55196454629
181,Galt Joint Union High,67355,3433471,Galt High,327,56.1162079511,0.473642263464
182,Victor Valley Union High,67934,3630100,Goodwill High,80,2.4,0.499383401159
183,Los Angeles Unified,64733,1934371,Thomas Jefferson Senior High,451,18.9046563193,0.922107850668
184,Tustin Unified,73643,3032109,Foothill High,911,79.144895719,0.624855443582
185,Santa Ynez Valley Union High,69328,4236345,Santa Ynez Valley Union High,344,75.1279069767,0.605429172242
186,West Sonoma County Union High,70607,4930400,Analy High,468,68.264957265,0.788591562708
187,Sequoia Union High,69062,4138053,Woodside High,585,64.6871794872,0.786446020489
188,Pittsburg Unified,61788,730184,Riverside High (Continuation),29,0.0,0.811901646119
189,Rialto Unified,67850,3630159,Milor Continuation High,24,8.0,0.797048080953
