,District,District Code,School Code,School Name,number,score,vote
0,Alameda City Unified,61119,1,District Students in NPS,586,7.28156996587,0.643058547424
1,Hacienda la Puente Unified,73445,1933316,"Puente Hills High, Alter.",27,11.1111111111,0.770707392088
2,Holtville Unified,63149,1335306,Holtville High,662,32.5377643505,0.586666666667
3,Pomona Unified,64907,1933324,Garey Senior High,2326,21.4552880482,0.694546617624
4,Burbank Unified,64337,1933332,"Monterey High, Cont.",59,14.0,0.808108640031
5,Bret Harte Union High,61556,532507,Bret Harte Union High,110,44.5909090909,0.348512011474
6,Santa Ana Unified,66670,114736,Hector G. Godinez,3765,46.1984063745,0.673099513341
7,Windsor Unified,75358,4930228,Windsor High,759,34.9354413702,0.690663417876
8,Santa Monica-Malibu Unified,64980,1933373,"Olympic High, Cont.",21,0.0,0.83513562224
9,Los Angeles Unified,64733,1933381,James A. Garfield Senior High,3244,35.3165844636,0.884973040556
10,East Side Union High,69427,4333639,Lick (James) High,1343,23.1958302308,0.790654620853
11,Santa Paula Union High,72595,5636170,"Renaissance High, Cont.",132,4.06060606061,0.691237192231
12,Orange Unified,66621,114769,OUSD Community Day,11,27.0,0.581574185766
13,Muroc Joint Unified,63685,1531987,Desert Junior-Senior High,44,45.1818181818,0.289198606272
14,Los Angeles County Office of Education,10199,1933399,L.A. Co. High School/Arts,183,48.4754098361,0.750386750387
15,Corona-Norco Unified,67033,3334232,Norco High,1264,35.1875,0.521374277896
16,Simi Valley Unified,72603,5636188,Simi Valley High,711,36.2981715893,0.510060259422
17,Lucia Mar Unified,68759,4030557,Arroyo Grande High,866,40.2678983834,0.530927105449
18,Tulare Joint Union High,72249,5435409,Tulare Union High,1631,38.0790925812,0.509095204347
19,Berkeley Unified,61143,131177,Berkeley High,793,29.3404791929,0.95595970901
20,Redlands Unified,67843,118802,Citrus Valley High,1505,35.9315614618,0.455927591103
21,Marin County Office of Education,10215,2130037,Marin County Community,53,5.39622641509,0.776995305164
22,Modesto City High,71175,5030010,Beyer (Fred C.) High,924,34.066017316,0.503361941726
23,Elk Grove Unified,67314,3432572,Elk Grove High,480,41.8479166667,0.53358802929
24,Azusa Unified,64279,1933449,Gladstone High,1837,25.5857376157,0.461583577713
25,Escalon Unified,68502,3932308,Escalon High,508,24.8346456693,0.38561479177
26,Alvord Unified,66977,3334299,Norte Vista High,2828,26.8122347949,0.641564318035
