,District,District Code,School Code,School Name,number,score,vote
0,Alameda City Unified,61119,1,District Students in NPS,184,4.375,0.643058547424
1,Hacienda la Puente Unified,73445,1933316,"Puente Hills High, Alter.",12,9.0,0.770707392088
2,Holtville Unified,63149,1335306,Holtville High,329,44.7234042553,0.586666666667
3,Pomona Unified,64907,1933324,Garey Senior High,1079,37.0417052827,0.694546617624
4,Burbank Unified,64337,1933332,"Monterey High, Cont.",37,11.0,0.808108640031
5,Bret Harte Union High,61556,532507,Bret Harte Union High,51,41.3333333333,0.348512011474
6,Santa Ana Unified,66670,114736,Hector G. Godinez,1723,52.4039466048,0.673099513341
7,San Mateo County Office of Education,10413,113332,Gateway Center,28,0.0,0.772713878794
8,Santa Monica-Malibu Unified,64980,1933373,"Olympic High, Cont.",11,0.0,0.83513562224
9,Los Angeles Unified,64733,1933381,James A. Garfield Senior High,1610,44.0049689441,0.884973040556
10,East Side Union High,69427,4333639,Lick (James) High,582,34.0756013746,0.790654620853
11,Santa Paula Union High,72595,5636170,"Renaissance High, Cont.",63,3.30158730159,0.691237192231
12,Corona-Norco Unified,67033,3334232,Norco High,390,43.4051282051,0.521374277896
13,Simi Valley Unified,72603,5636188,Simi Valley High,173,36.5722543353,0.510060259422
14,Lucia Mar Unified,68759,4030557,Arroyo Grande High,352,36.9602272727,0.530927105449
15,Tulare Joint Union High,72249,5435409,Tulare Union High,661,46.3222390318,0.509095204347
16,Berkeley Unified,61143,131177,Berkeley High,195,33.7487179487,0.95595970901
17,Redlands Unified,67843,118802,Citrus Valley High,448,46.6160714286,0.455927591103
18,Marin County Office of Education,10215,2130037,Marin County Community,30,10.0,0.776995305164
19,Modesto City High,71175,5030010,Beyer (Fred C.) High,274,42.8686131387,0.503361941726
20,Elk Grove Unified,67314,3432572,Elk Grove High,123,40.9593495935,0.53358802929
21,Azusa Unified,64279,1933449,Gladstone High,773,38.9275549806,0.461583577713
22,Escalon Unified,68502,3932308,Escalon High,195,28.8051282051,0.38561479177
23,Alvord Unified,66977,3334299,Norte Vista High,1285,35.5245136187,0.641564318035
24,Glendale Unified,64568,1933472,"Daily (Allan F.) High, Cont.",55,4.0,0.66717603912
25,Los Angeles Unified,64733,114850,West Adams Preparatory High,1337,24.1264023934,0.904467987103
26,Davis Joint Unified,72678,106674,Frances Ellen Watkins Harper,22,57.0,0.619047619048
27,Stanislaus County Office of Education,10504,5030069,Stanislaus Community,21,0.0,0.504190412337
28,Stanislaus County Office of Education,10504,5030085,John B. Allard,161,5.54037267081,0.616432613708
29,San Diego Unified,68338,3735750,Point Loma High,367,47.5885558583,0.687368103708
30,Nevada Joint Union High,66357,2935500,Nevada Union High,21,33.0,0.486882716049
31,Glendale Unified,64568,1933530,Glendale High,509,43.1886051081,0.649555830428
32,Hemet Unified,67082,106716,Hamilton High,67,29.8358208955,0.306974190005
33,Hilmar Unified,65698,2432409,Hilmar High,133,43.0601503759,0.595591030027
34,San Francisco Unified,68478,3834082,Mission High,168,15.9821428571,0.938423268274
35,San Jose Unified,69666,4333795,Lincoln (Abraham) High,654,37.0825688073,0.806573310314
36,Patterson Joint Unified,71217,5030127,"Del Puerto High, Cont.",41,7.0,0.577589023195
37,Modesto City High,71175,5030135,Johansen (Peter) High,574,37.9059233449,0.298161470823
38,Riverside Unified,67215,3334406,North (John W.) High,984,37.8526422764,0.6940433213
39,Ceres Unified,71043,5030168,Endeavor Alternative,34,6.0,0.549878345499
40,Glendora Unified,64576,1933597,Glendora High,153,46.6274509804,0.519502353732
41,Atascadero Unified,68700,4030755,Atascadero High,137,34.2700729927,0.472904383491
42,Upper Lake Union High,64071,1737006,Upper Lake High,42,28.7619047619,0.459459459459
43,Windsor Unified,75358,4930269,Windsor Oaks Academy,14,0.0,0.690663417876
44,Ukiah Unified,65615,2335024,Ukiah High,394,29.2131979695,0.634938728983
45,Hesperia Unified,75044,3630472,Mojave High,83,9.80722891566,0.346627880273
46,Val Verde Unified,75242,123190,Val Verde Academy,41,34.2682926829,0.553964887475
47,Ceres Unified,71043,5030200,"Argus High, Cont.",116,9.69827586207,0.549878345499
48,Fresno Unified,62166,1032507,Fresno High,1086,25.7366482505,0.571761688236
49,South San Francisco Unified,69070,4137279,South San Francisco High,331,40.2416918429,0.823785517874
50,Norwalk-La Mirada Unified,64840,1933647,Glenn (John H.) High,919,37.3949945593,0.66824754731
51,Upland Unified,75069,3637584,Upland High,776,42.131443299,0.610185756392
52,Stanislaus County Office of Education,10504,5030226,Petersen Alternative Center f,61,6.70491803279,0.504190412337
53,Chico Unified,61424,431502,Fair View High (Continuation),34,6.08823529412,0.611191139281
54,Fontana Unified,67710,3630480,Citrus High (Continuation),112,6.0,0.767511394713
55,Waterford Unified,75572,5030259,Waterford High,143,39.9160839161,0.505358150028
56,Mammoth Unified,73692,2630010,Mammoth High,90,26.0777777778,0.452304394427
57,Morgan Hill Unified,69583,4333951,Live Oak High,237,27.3755274262,0.62508259548
58,Kern Union High,63529,1532290,East Bakersfield High,1122,32.807486631,0.288645690834
59,San Juan Unified,67447,3432838,Encina Preparatory High,152,22.0,0.742994588094
60,Turlock Unified,75739,5030283,Pitman (John H.) High,511,36.6301369863,0.434776749618
61,Ramona City Unified,68304,3735958,"Montecito High, Cont.",41,0.0,0.315043052507
62,Chaffey Joint Union High,67652,3637659,"Valley View High, Cont.",213,2.6338028169,0.740069892208
63,Davis Joint Unified,72678,6066245,Emerson (Ralph Waldo) Jr. High,14,43.0,0.521778584392
64,Los Molinos Unified,71571,5235106,Los Molinos High,58,32.7413793103,0.259711431743
65,Ramona City Unified,68304,3735974,Ramona High,254,30.4921259843,0.315043052507
66,Riverside County Office of Education,10330,3330123,Riverside County Juvenile Cou,55,14.9818181818,0.666864608076
67,Galt Joint Union High,67355,3432903,Estrellita Continuation High,27,11.0,0.473642263464
68,Santa Barbara Unified,76786,4235727,Santa Barbara Senior High,543,37.4696132597,0.772852128796
69,Santa Cruz City High,69823,4432340,Harbor High,250,26.84,0.838548185232
70,Colusa Unified,61598,631259,Colusa High,121,34.5041322314,0.338235294118
71,Los Angeles Unified,64733,1933795,Ulysses S. Grant Senior High,982,37.7433808554,0.743107540624
72,San Bernardino County Office of Educatio,10363,123364,Bob Murphy Co. Community Day,34,0.0,0.797048080953
73,San Bernardino County Office of Educatio,10363,123372,High Desert Assessment Ctr.,21,0.0,0.285087719298
74,Stockton Unified,68676,3932654,Franklin High,899,31.4015572859,0.546288209607
75,Los Angeles Unified,64733,106997,Orthopaedic Hospital,598,60.5986622074,0.904467987103
76,Los Angeles Unified,64733,107003,Northridge Academy High,444,46.6689189189,0.746801978509
77,Los Angeles Unified,64733,107011,International Studies Learnin,243,45.5679012346,0.837803249499
78,California Education Authority,32276,3990025,Chaderjian (N.A.) High,31,0.0,0.484574111335
79,Geyserville Unified,70706,4932109,Geyserville Educational Park H,12,42.0,0.619834710744
80,Mt. Diablo Unified,61754,737809,Ygnacio Valley High,473,19.8858350951,0.699944842802
81,San Diego Unified,68338,107029,San Diego International Studi,244,76.2295081967,0.703490464196
82,Los Angeles Unified,64733,1933852,Alexander Hamilton Senior Hig,879,47.7258248009,0.816042024447
83,San Diego Unified,68338,107037,San Diego LEADS,210,28.0,0.703490464196
84,Jurupa Unified,67090,3334687,Nueva Vista Continuation High,70,11.0,0.588575560376
85,Mountain View-Los Altos Union High,69609,4334116,Los Altos High,138,51.6231884058,0.776614310646
86,San Diego Unified,68338,107045,San Diego Communication,84,10.9761904762,0.703490464196
87,Escondido Union High,68106,123430,Escondido Community Day,12,17.0,0.369605142332
88,San Diego Unified,68338,107052,San Diego Business,217,33.3917050691,0.703490464196
89,San Diego Unified,68338,107060,San Diego MVP Arts,216,31.7546296296,0.703490464196
90,Jefferson Union High,68924,4137535,Terra Nova High,69,36.6956521739,0.814388961892
91,Merced Union High,65789,2433605,Livingston High,569,46.834797891,0.572062084257
92,San Diego Unified,68338,107078,Kearny Digital Media & Design,120,57.35,0.63646714996
93,Vacaville Unified,70573,4833869,Country High,21,0.0,0.570959803117
94,San Diego Unified,68338,107086,Kearny SCT,92,46.3369565217,0.63646714996
95,San Diego Unified,68338,107094,Kearny International Business,95,88.2842105263,0.63646714996
96,Imperial Unified,63164,1335900,Imperial High,234,50.4102564103,0.610309278351
97,San Diego Unified,68338,107102,Kearny Construction Tech,134,37.2388059701,0.63646714996
98,Anderson Union High,69856,4530804,Anderson High,65,30.8,0.253796337651
99,Jefferson Union High,68924,4137592,Thornton High,11,0.0,0.809661649299
100,Centinela Valley Union High,64352,1933951,Hawthorne High,996,35.4859437751,0.874346343312
101,Tahoe-Truckee Joint Unified,66944,3130010,North Tahoe High,81,19.7901234568,0.738916256158
102,San Diego Unified,68338,107177,Crawford Multimedia and Visua,108,30.5555555556,0.727572685539
103,San Diego Unified,68338,107185,Crawford CHAMPS,64,31.296875,0.727572685539
104,East Side Union High,69427,4332318,Foothill High,85,8.0,0.790654620853
105,San Diego Unified,68338,107193,Crawford Law and Business,76,23.7631578947,0.727572685539
106,Kern Union High,63529,1532605,Foothill High,999,39.3283283283,0.288645690834
107,San Diego Unified,68338,107201,Crawford IDEA,82,28.3414634146,0.727572685539
108,Stockton Unified,68676,115402,Edward C. Merlo Institute of,161,18.701863354,0.651608986035
109,Fresno Unified,62166,1032911,Herbert Hoover High,486,35.3909465021,0.574914546145
110,Los Angeles Unified,64733,1934033,Hollywood Senior High,756,56.3835978836,0.869295923769
111,San Diego Unified,68338,107219,San Diego Science and Technol,210,39.8857142857,0.703490464196
112,Los Angeles County Office of Education,10199,123604,Phoenix Academy Residential,45,9.2,0.755491167399
113,Los Angeles County Office of Education,10199,123612,Pacific Lodge Residential,11,0.0,0.755491167399
114,Madera Unified,65243,123620,Eastin-Arcola High,130,7.81538461538,0.589822329458
115,Chowchilla Union High,65201,2032357,Chowchilla High,360,32.6916666667,0.42074776198
116,Reef-Sunset Unified,73932,1630953,Avenal High,407,26.7100737101,0.434539260221
117,Porterville Unified,75523,5432786,Monache High,716,38.9008379888,0.288544358312
118,Washington Unified,72694,5735154,River City Senior High,481,28.5862785863,0.782843431314
119,Hesperia Unified,75044,115444,Canyon Ridge High,80,4.025,0.291064388962
120,San Bernardino City Unified,67876,3630548,Alternative Learning Cent,15,40.0,0.540065016539
121,Vista Unified,68452,115451,Major General Raymond Murray,102,7.13725490196,0.523737297133
122,Victor Valley Union High,67934,3638012,Victor Valley High,812,34.6650246305,0.447736654306
123,Santa Maria Joint Union High,69310,4236030,Santa Maria High,1366,26.0614934114,0.488544474394
124,Willits Unified,65623,2335487,Willits High,69,27.5072463768,0.610826064649
125,Folsom-Cordova Unified,67330,3433216,Folsom High,41,38.8780487805,0.496486605182
126,Glendale Unified,64568,1934082,Herbert Hoover High,234,43.0341880342,0.657273715262
127,Rocklin Unified,75085,3130150,Rocklin High,47,53.0638297872,0.451236019092
128,Tehachapi Unified,63826,1536135,Tehachapi High,117,32.1196581197,0.264682952183
129,Newport-Mesa Unified,66597,3031853,Costa Mesa High,372,42.564516129,0.47624178429
130,Twin Rivers Unified,76505,3433265,Foothill High,193,37.2124352332,0.542284984841
131,Jefferson Union High,68924,4137790,Westmoor High,141,35.5035460993,0.776695791369
132,Roseville Joint Union High,66928,3130176,Woodcreek High,61,60.7704918033,0.516927675612
133,San Diego Unified,68338,3730231,Twain High,80,12.6,0.63646714996
134,Los Angeles Unified,64733,1934157,Huntington Park Senior High,2543,30.5930003932,0.876167739257
135,Huntington Beach Union High,66548,3031895,Edison High,26,53.8461538462,0.472830529622
136,Placentia-Yorba Linda Unified,66647,3031929,El Dorado High,172,43.2151162791,0.503782332845
137,Milpitas Unified,73387,4334470,Milpitas High,224,39.2008928571,0.761451562984
