,District,District Code,School Code,School Name,number,score,vote
0,Alameda City Unified,61119,1,District Students in NPS,221,13.8552036199,0.643058547424
1,San Diego Unified,68338,3733508,La Jolla High,116,64.9568965517,0.643146674673
2,Modesto City High,71175,110593,James C. Enochs High,302,65.5198675497,0.503361941726
3,Winters Joint Unified,72702,5738505,Winters High,44,47.6818181818,0.646812957158
4,Murrieta Valley Unified,75200,118794,Murrieta Mesa High,316,72.9113924051,0.551023137622
5,Apple Valley Unified,75077,3630423,Apple Valley High,141,62.3191489362,0.412444444444
6,Pomona Unified,64907,1933324,Garey Senior High,86,40.6162790698,0.694546617624
7,Hemet Unified,67082,3330065,Alessandro High,16,13.0,0.467771639042
8,Redlands Unified,67843,118802,Citrus Valley High,310,64.9677419355,0.455927591103
9,Dixon Unified,70532,4832259,Dixon High,125,44.12,0.670484122853
10,Burbank Unified,64337,1933332,"Monterey High, Cont.",22,18.0,0.808108640031
11,Fillmore Unified,72454,5632021,Fillmore Senior High,141,56.9716312057,0.614634146341
12,Coronado Unified,68031,3731478,Coronado High,112,76.7142857143,0.631088082902
13,Los Angeles Unified,64733,1939479,WESM Health/Sports Medicine,27,48.1111111111,0.76065511572
14,Bret Harte Union High,61556,532507,Bret Harte Union High,16,63.0,0.348512011474
15,Ojai Unified,72520,5634076,Nordhoff High,58,63.8275862069,0.733727810651
16,San Marcos Unified,73791,3737632,San Marcos High,152,69.9078947368,0.556289356474
17,Garden Grove Unified,66522,3032752,Garden Grove High,241,52.2863070539,0.646146252027
18,Corona-Norco Unified,67033,110627,Eleanor Roosevelt High,505,62.1861386139,0.469943247562
19,San Jose Unified,69666,4330502,Liberty High (Alternative,29,15.1034482759,0.723253757737
20,Whittier Union High,65128,1931302,California High,497,63.2494969819,0.678964637258
21,Riverside Unified,67215,3336237,Polytechnic High,278,57.8597122302,0.55196454629
22,Sweetwater Union High,68411,3731502,San Ysidro High,211,44.8862559242,0.653173965448
23,Santa Ana Unified,66670,114736,Hector G. Godinez,160,63.5375,0.673099513341
24,North Monterey County Unified,73825,2730034,North Monterey County High,74,55.2972972973,0.724327897752
25,Clovis Unified,62117,1030196,Clovis West High,223,68.331838565,0.410257742673
26,Chaffey Joint Union High,67652,3631157,Colony High,317,51.858044164,0.584564584732
27,William S. Hart Union High,65136,102459,Golden Valley High,296,56.7398648649,0.493247068338
28,San Diego Unified,68338,3730371,San Diego SCPA,67,76.2089552239,0.639748894279
29,Rim of the World Unified,67868,3635265,Rim of the World Senior High,57,59.8596491228,0.416916018352
30,Lake Elsinore Unified,75176,3330115,Ortega High,12,17.0,0.418744769874
31,Murrieta Valley Unified,75200,100420,Vista Murrieta High,435,67.1264367816,0.408031308491
32,Los Angeles Unified,64733,1933381,James A. Garfield Senior High,90,49.1111111111,0.884973040556
33,Santa Ana Unified,66670,108365,Segerstrom High,221,66.1357466063,0.673099513341
34,Grossmont Union High,68130,3731809,El Capitan High,112,44.5089285714,0.28692779613
35,Poway Unified,68296,3731528,Westview High,126,76.3333333333,0.590174713507
36,El Monte Union High,64519,1937481,Rosemead High,79,59.5696202532,0.809498750164
37,Tulare Joint Union High,72249,5435466,Tulare Western High,145,66.4965517241,0.509095204347
38,William S. Hart Union High,65136,102475,West Ranch High,340,57.3088235294,0.56037496028
39,Lynwood Unified,64774,1935436,Lynwood High,195,29.7794871795,0.818173573955
40,West Covina Unified,65094,1939537,West Covina High,459,54.651416122,0.722227984649
41,Muroc Joint Unified,63685,1531987,Desert Junior-Senior High,31,51.2580645161,0.289198606272
42,West Contra Costa Unified,61796,735316,Pinole Valley High,132,36.3939393939,0.820333432569
43,San Jose Unified,69666,4335949,Pioneer High,166,69.2168674699,0.722009598445
44,Los Angeles County Office of Education,10199,1933399,L.A. Co. High School/Arts,84,83.5357142857,0.750386750387
45,Corona-Norco Unified,67033,3334232,Norco High,257,59.0817120623,0.521374277896
46,Los Banos Unified,65755,120923,Pacheco High,202,50.2475247525,0.609182058047
47,Simi Valley Unified,72603,5636188,Simi Valley High,192,61.4375,0.510060259422
48,San Juan Unified,67447,3430493,Bella Vista High,88,65.0454545455,0.486412512219
49,San Luis Coastal Unified,68809,4036703,San Luis Obispo High,77,66.4415584416,0.644798745426
50,Hanford Joint Union High,63925,1634401,Hanford High,242,48.0165289256,0.41235459286
51,Los Gatos-Saratoga Joint Union High,69534,4337762,Saratoga High,54,70.5185185185,0.764052462527
52,Redlands Unified,67843,3630779,Redlands East Valley High,293,61.4675767918,0.560438237419
53,Simi Valley Unified,72603,5635008,Royal High,129,51.2325581395,0.502965372106
54,Desert Sands Unified,67058,118885,Shadow Hills High,125,63.736,0.680439104503
55,Tulare Joint Union High,72249,5435409,Tulare Union High,168,55.5654761905,0.509095204347
56,Berkeley Unified,61143,131177,Berkeley High,204,54.2058823529,0.95595970901
57,San Benito High,67538,3537008,San Benito High,508,54.7342519685,0.630313644324
58,Oxnard Union High,72546,5630066,"Frontier High, Cont.",23,13.0,0.562587476419
59,Laguna Beach Unified,66555,3033206,Laguna Beach High,45,77.7333333333,0.55997588909
60,Capistrano Unified,66464,3038569,Dana Hills High,186,67.7903225806,0.456465596753
61,Grossmont Union High,68130,3734548,Monte Vista High,164,39.2073170732,0.567637598284
62,Modesto City High,71175,5030010,Beyer (Fred C.) High,195,52.0615384615,0.503361941726
63,Elk Grove Unified,67314,3432572,Elk Grove High,127,63.2204724409,0.53358802929
64,Salinas Union High,66159,2730109,Alisal High,393,35.3740458015,0.845149851011
65,Placentia-Yorba Linda Unified,66647,3031945,El Camino Real Continuation Hi,26,12.0,0.503782332845
66,Hanford Joint Union High,63925,118919,Sierra Pacific High,151,41.6622516556,0.41235459286
67,Modesto City High,71175,121129,Gregori High,241,50.8008298755,0.624695161083
68,Azusa Unified,64279,1933449,Gladstone High,160,50.925,0.461583577713
69,South Monterey County Joint Union High,66068,2732170,King City High,76,51.3552631579,0.708883025506
70,Sacramento City Unified,67439,3434636,Johnson (Hiram W.) High,50,14.0,0.797459584296
71,North Monterey County Unified,73825,2730125,North Monterey County Ctr,12,17.0,0.638313875535
72,Torrance Unified,65060,1939602,West High,181,70.9060773481,0.643809331448
73,Escalon Unified,68502,3932308,Escalon High,76,47.3552631579,0.38561479177
74,Fontana Unified,67710,3633302,Fontana High,167,41.9700598802,0.767511394713
75,Hayward Unified,61192,135319,Mt. Eden High,137,43.3357664234,0.805712270804
76,Brawley Union High,63081,1331354,"Desert Valley High, Cont.",25,24.0,0.697323900338
77,Alvord Unified,66977,3334299,Norte Vista High,174,49.9712643678,0.641564318035
78,Rowland Unified,73452,1937564,Rowland (John A.) High,187,65.7486631016,0.58049122807
79,Oakland Unified,61259,112797,Coliseum College Prep Academy,52,21.1923076923,0.78
80,Los Angeles Unified,64733,1935519,Manual Arts Senior High,60,9.93333333333,0.87685560054
81,Glendale Unified,64568,1933472,"Daily (Allan F.) High, Cont.",15,40.0,0.66717603912
82,Elk Grove Unified,67314,116897,Cosumnes Oaks High,142,65.3098591549,0.635654169855
83,Anaheim Union High,66431,3033115,John F. Kennedy High,246,71.2032520325,0.620361429163
84,Fullerton Joint Union High,66514,3037348,Sunny Hills High,218,77.3899082569,0.634521880065
85,Banning Unified,66985,3330214,Banning High,45,37.8222222222,0.449500318945
86,Corona-Norco Unified,67033,110759,John F. Kennedy High,56,73.5357142857,0.521374277896
87,San Juan Unified,67447,3436714,Rio Americano High,81,67.9012345679,0.613832853026
88,San Juan Unified,67447,3431111,Casa Roble Fundamental High,56,51.8214285714,0.442007644589
89,Simi Valley Unified,72603,5630322,Santa Susana High,98,75.7857142857,0.510060259422
90,Pittsburg Unified,61788,735407,Pittsburg Senior High,182,41.0549450549,0.811901646119
91,San Mateo Union High,69047,4133070,Hillsdale High,126,55.1746031746,0.779979830754
92,Sequoia Union High,69062,4130993,Carlmont High,119,70.9075630252,0.798728472558
93,Davis Joint Unified,72678,106674,Frances Ellen Watkins Harper,14,71.0,0.619047619048
94,Waterford Unified,75572,5030259,Waterford High,32,56.25,0.505358150028
95,Oak Park Unified,73874,5630132,Oak Park High,40,92.525,0.679618001047
96,Salinas Union High,66159,2730166,Everett Alvarez High,458,51.231441048,0.766725159026
97,Oxnard Union High,72546,5634761,Rio Mesa High,260,49.1384615385,0.733040003592
98,Natomas Unified,75283,3430584,Natomas High,66,57.6818181818,0.638572425017
99,South Monterey County Joint Union High,66068,2730174,Greenfield High,68,42.3529411765,0.578772189349
100,Jefferson Union High,68924,4135075,Oceana High,61,58.3278688525,0.814388961892
101,Elk Grove Unified,67314,3430592,Laguna Creek High,112,59.0,0.669520992267
102,San Diego Unified,68338,3733698,Madison High,70,55.8571428571,0.604657849339
103,Lompoc Unified,69229,4230454,Cabrillo High,140,54.3714285714,0.409012131716
104,Stanislaus County Office of Education,10504,5030085,John B. Allard,23,4.69565217391,0.616432613708
105,San Diego Unified,68338,3735750,Point Loma High,141,65.9503546099,0.687368103708
106,Sweetwater Union High,68411,3730124,Southwest Senior High,234,47.5128205128,0.653173965448
107,Brawley Union High,63081,1331404,Brawley High,294,60.1224489796,0.697323900338
108,San Gabriel Unified,75291,1995810,Gabrielino High,157,57.5796178344,0.733281579239
109,Soledad Unified,75440,2730190,Soledad High,68,39.8088235294,0.819921302369
110,East Side Union High,69427,4330361,Apollo High,11,18.0,0.796362220492
111,Los Angeles Unified,64733,1935568,John Marshall Senior High,177,43.4350282486,0.690659481653
112,Saddleback Valley Unified,73635,3030392,Trabuco Hills High,272,72.3088235294,0.475959441779
113,Los Angeles Unified,64733,1931476,Canoga Park Senior High,89,45.3370786517,0.744038635678
114,Vista Unified,68452,3730728,Rancho Buena Vista High,263,56.5779467681,0.523737297133
115,Placer Union High,66894,3135704,Placer High,56,67.9464285714,0.466746794872
116,Glendale Unified,64568,1933530,Glendale High,138,63.9347826087,0.649555830428
117,Glendora Unified,64576,1939677,Whitcomb Continuation High,15,0.0,0.525503015274
118,Placer Union High,66894,3132453,Del Oro High,99,87.6262626263,0.406476190476
119,Patterson Joint Unified,71217,5036256,Patterson High,161,46.0931677019,0.577589023195
120,Long Beach Unified,64725,125153,Beach High-ILP,20,11.0,0.575231756596
121,San Francisco Unified,68478,3834082,Mission High,68,21.8088235294,0.938423268274
122,San Jose Unified,69666,4333795,Lincoln (Abraham) High,221,54.0407239819,0.806573310314
123,William S. Hart Union High,65136,1931492,Canyon High,383,50.5248041775,0.579585410653
124,Lodi Unified,68585,3930344,Independence,13,8.0,0.41589295467
125,Twin Rivers Unified,76505,3430634,Elwood J. Keema High,34,0.0,0.524216204068
126,East Side Union High,69427,4337903,Silver Creek High,195,42.5333333333,0.772476732629
127,Central Unified,73965,1030386,Central Unif. Alter/Opp,65,9.32307692308,0.586681844052
128,Sweetwater Union High,68411,3731155,Options Secondary,46,52.8913043478,0.754016957886
129,Mt. Diablo Unified,61754,731380,Clayton Valley High,158,53.2658227848,0.66013560674
130,Whittier Union High,65128,1939701,Whittier High,356,59.3483146067,0.78215661104
131,Desert Sands Unified,67058,3331113,"Amistad High, Cont.",13,0.0,0.680439104503
132,Morgan Hill Unified,69583,4333951,Live Oak High,167,61.125748503,0.62508259548
133,Colton Joint Unified,67686,3636131,"Slover Mountain High, Cont.",16,0.0,0.621570090359
134,Lake Elsinore Unified,75176,3332350,Elsinore High,196,59.9642857143,0.382344624781
135,Napa Valley Unified,66266,121087,American Canyon High,100,55.8,0.717882632831
136,Kern Union High,63529,1530112,Vista West Continuation,13,8.0,0.184210526316
137,Bellflower Unified,64303,1935618,Mayfair High,244,57.9385245902,0.728351881293
138,Los Angeles Unified,64733,1931526,Carson Senior High,206,39.1116504854,0.776502242152
139,Moorpark Unified,73940,5630215,Community High,11,27.0,0.518262586377
140,Tustin Unified,73643,3032109,Foothill High,289,72.446366782,0.624855443582
141,Sacramento City Unified,67439,3434768,Kennedy (John F.) High,107,60.8411214953,0.746039824416
142,Orange Unified,66621,3035409,Orange High,144,49.8472222222,0.569069526537
143,Fullerton Joint Union High,66514,3033362,La Habra High,558,62.3870967742,0.532154474935
144,Livermore Valley Joint Unified,61200,133397,Granada High,194,71.8711340206,0.429708222812
145,Fremont Union High,69468,4331799,Cupertino High,102,64.5294117647,0.810852120749
146,Monterey County Office of Education,10272,2730265,Salinas Community,11,0.0,0.766725159026
147,Mountain View-Los Altos Union High,69609,4334728,Mountain View High,95,53.6526315789,0.829648526077
148,Santa Maria Joint Union High,69310,4231452,Delta High,34,24.0,0.43197728687
149,Glendora Unified,64576,1933597,Glendora High,449,66.6770601336,0.519502353732
150,El Dorado Union High,61853,930081,Oak Ridge High,109,71.6972477064,0.455197962491
151,Atascadero Unified,68700,4030755,Atascadero High,82,58.3902439024,0.472904383491
152,East Side Union High,69427,4330023,Santa Teresa High,376,51.2579787234,0.723253757737
153,Riverside Unified,67215,3336492,Ramona High,148,55.777027027,0.554218787348
154,Exeter Union High,71928,5431598,Exeter High,109,48.7339449541,0.455
155,Compton Unified,73437,1931567,Centennial High,33,18.0303030303,0.843711153803
156,Novato Unified,65417,2132272,Novato High,86,55.9186046512,0.740899191039
157,El Monte Union High,64519,1932680,Mountain View High,54,46.1666666667,0.779574617683
158,Woodland Joint Unified,72710,5738802,Woodland Senior High,134,45.7537313433,0.655936454849
159,Central Union High,63115,1333558,"Desert Oasis High, Cont.",14,7.0,0.660288270378
160,Fullerton Joint Union High,66514,3037496,Troy High,280,78.2,0.591143294806
161,Riverside Unified,67215,3330362,Summit View Ind. Stdy.,28,11.0,0.55196454629
162,Poway Unified,68296,3735867,Poway High,145,71.9448275862,0.473045822102
163,South San Francisco Unified,69070,4137279,South San Francisco High,178,56.9887640449,0.823785517874
164,Temecula Valley Unified,75192,3330370,Temecula Valley High,339,60.8230088496,0.408742194469
165,Arcadia Unified,64261,1930288,Arcadia High,207,67.7391304348,0.641412361689
166,Ventura Unified,72652,5630348,Foothill Technology High,106,90.4056603774,0.640656361139
167,Bonita Unified,64329,1937739,San Dimas High,276,62.3007246377,0.532519190509
168,Los Angeles Unified,64733,117069,Helen Bernstein High,60,23.3333333333,0.869295923769
169,Norwalk-La Mirada Unified,64840,1933647,Glenn (John H.) High,147,41.0340136054,0.66824754731
170,Upland Unified,75069,3637584,Upland High,439,60.1366742597,0.610185756392
171,Stanislaus County Office of Education,10504,5030226,Petersen Alternative Center f,28,0.0,0.504190412337
172,Desert Sands Unified,67058,3330388,Palm Desert High,108,74.3055555556,0.505620848237
173,Corona-Norco Unified,67033,3330446,Centennial High,337,63.6083086053,0.432162875041
174,Ventura Unified,72652,5630298,El Camino High,28,79.0,0.733727810651
175,Galt Joint Union High,67355,119131,Liberty Ranch High,100,62.88,0.473642263464
176,Moreno Valley Unified,67124,3330396,Canyon Springs High,200,51.335,0.601864262215
177,Capistrano Unified,66464,113381,San Juan Hills High,129,76.9147286822,0.43391730904
178,Covina-Valley Unified,64436,1931617,"Fairvalley High, Cont.",16,13.0,0.712248743719
179,Clovis Unified,62117,1030501,Buchanan High,213,66.2018779343,0.398396767466
180,Downey Unified,64451,1931625,Columbus Continuation,38,8.0,0.687788741231
181,San Diego Unified,68338,3737962,Garfield High,12,8.0,0.703490464196
182,Jurupa Unified,67090,3330412,Jurupa Valley High,166,41.686746988,0.58273381295
183,Castro Valley Unified,61150,135533,Redwood Continuation High,13,0.0,0.748513127992
184,El Dorado Union High,61853,936302,Ponderosa High,97,62.9072164948,0.378048780488
185,Tustin Unified,73643,3037553,Tustin High,187,59.5240641711,0.624855443582
186,Pierce Joint Unified,61614,635250,Pierce High,11,55.0,0.428927680798
187,Fontana Unified,67710,3630480,Citrus High (Continuation),12,8.0,0.767511394713
188,San Leandro Unified,61291,137588,San Leandro High,192,40.9947916667,0.737482842991
189,Madera Unified,65243,110965,Madera South High,146,48.6506849315,0.589822329458
190,ABC Unified,64212,1931641,"Tracy High, Cont.",32,6.375,0.669346150659
191,Hacienda la Puente Unified,73445,1939834,Glen A. Wilson High,197,59.6700507614,0.629021981523
192,San Luis Coastal Unified,68809,4034807,Morro Bay High,52,50.0576923077,0.582924435721
193,Selma Unified,62430,1036672,Selma High,158,65.6898734177,0.409964736662
194,Kern Union High,63529,1532290,East Bakersfield High,168,50.0476190476,0.288645690834
195,Scotts Valley Unified,75432,4430211,Scotts Valley High,47,82.8085106383,0.715371868603
196,Moreno Valley Unified,67124,3330438,Valley View High,209,45.4401913876,0.546990496304
197,Sweetwater Union High,68411,3731064,Chula Vista Senior High,415,50.7060240964,0.754016957886
198,Turlock Unified,75739,5030283,Pitman (John H.) High,179,60.9217877095,0.434776749618
199,Kern Union High,63529,1530252,Arvin High,102,35.2058823529,0.645581395349
200,Long Beach Unified,64725,1935758,Millikan High,394,56.154822335,0.575231756596
201,Salinas Union High,66159,2734481,Mt. Toro High,17,6.0,0.766725159026
202,Charter Oak Unified,64378,1931666,Charter Oak High,463,54.8444924406,0.544794738036
203,Los Angeles Unified,64733,1939859,Woodrow Wilson Senior High,109,37.2385321101,0.750386750387
204,Kern Union High,63529,110999,Frontier High,296,55.5168918919,0.413674372848
205,Pasadena Unified,64881,1931674,Marshall Fundamental,76,72.3026315789,0.640983033059
206,Chaffey Joint Union High,67652,3637659,"Valley View High, Cont.",72,12.6388888889,0.740069892208
207,Petaluma Joint Union High,70862,4930012,Casa Grande High,93,62.8279569892,0.76189277624
208,Los Angeles Unified,64733,1930650,Phineas Banning Senior High,233,41.4678111588,0.810384159139
209,Sequoia Union High,69062,4138053,Woodside High,159,67.7987421384,0.786446020489
210,Long Beach Unified,64725,1939875,Wilson High,326,58.7944785276,0.742538438348
211,Ramona City Unified,68304,3735974,Ramona High,105,60.1714285714,0.315043052507
212,Los Angeles Unified,64733,1931690,Independence Continuation,15,20.0,0.768974432634
213,East Side Union High,69427,4333639,Lick (James) High,114,39.298245614,0.790654620853
214,Washington Unified,72694,5735154,River City Senior High,115,48.4869565217,0.782843431314
215,Los Angeles Unified,64733,1937838,San Pedro Senior High,336,44.3869047619,0.721876046901
216,Beaumont Unified,66993,3330479,Beaumont Senior High,219,57.2237442922,0.465511092089
217,Desert Sands Unified,67058,3333192,Indio High,99,58.4242424242,0.680439104503
218,Merced Union High,65789,2439602,"Yosemite High, Cont.",11,9.0,0.541278550466
219,Twin Rivers Unified,76505,3436979,Rio Linda High,78,39.6666666667,0.671213208902
220,Oxnard Union High,72546,5630389,Pacifica,393,58.1195928753,0.647087467283
221,Lake Elsinore Unified,75176,3330487,Temescal Canyon High,189,54.6984126984,0.453914327917
222,Wasco Union High,63859,1536440,Wasco High,127,55.0,0.391639871383
223,Los Angeles Unified,64733,1931708,Chatsworth Senior High,226,48.8938053097,0.545961333175
224,Garden Grove Unified,66522,3035581,Pacifica High,178,58.1966292135,0.475728758779
225,Temecula Valley Unified,75192,3330495,Rancho Vista High,35,14.0,0.408742194469
226,Manhattan Beach Unified,75333,1935808,Mira Costa High,196,78.4285714286,0.682744775044
227,Sweetwater Union High,68411,3733953,Mar Vista Senior High,160,55.63125,0.669663669664
228,Marysville Joint Unified,72736,5835202,Marysville High,23,38.7391304348,0.226726726727
229,Kern County Office of Education,10157,1530310,Kern County Community,28,7.46428571429,0.42465976693
230,Hemet Unified,67082,3330503,Helen Hunt Jackson Alternativ,13,23.0,0.467771639042
231,Garden Grove Unified,66522,3030434,Bolsa Grande High,107,48.6635514019,0.646395958811
232,Riverside Unified,67215,3330511,Opportunity Program,13,8.0,0.55196454629
233,Sacramento City Unified,67439,3430865,West Campus,79,89.835443038,0.797459584296
234,Hacienda la Puente Unified,73445,1939925,Workman (William) High,91,40.5494505495,0.765904748425
235,Tustin Unified,73643,102871,Arnold O. Beckman High,152,69.5460526316,0.624855443582
236,Elk Grove Unified,67314,3430873,Franklin High,221,59.3031674208,0.635654169855
237,West Contra Costa Unified,61796,733659,Kennedy High,27,14.6666666667,0.886746643816
238,William S. Hart Union High,65136,1931740,Saugus High,277,59.6642599278,0.45738545338
239,San Ramon Valley Unified,61804,113118,Dougherty Valley High,73,83.3835616438,0.711773832098
240,Murrieta Valley Unified,75200,3330529,Murrieta Valley High,247,70.6923076923,0.551023137622
241,Central Unified,73965,1030626,Central High East Campus,363,50.1267217631,0.586681844052
242,Los Angeles Unified,64733,1933795,Ulysses S. Grant Senior High,94,42.5531914894,0.743107540624
243,Los Angeles Unified,64733,1939941,John F. Kennedy High,305,44.868852459,0.607977991747
244,Vista Unified,68452,3738705,Vista High,189,58.2063492063,0.523737297133
245,Kern Union High,63529,1530344,Stockdale High,270,60.9111111111,0.815833333333
246,Hemet Unified,67082,3330537,West Valley High,66,56.1818181818,0.410739052903
247,Garden Grove Unified,66522,3033578,La Quinta High,41,55.9024390244,0.601399900892
248,San Francisco Unified,68478,3830254,Burton (Phillip and Sala) Aca,28,50.0,0.852908045296
249,Whittier Union High,65128,1937903,Santa Fe High,369,58.9051490515,0.783517010062
250,Oxnard Union High,72546,5634548,Oxnard High,468,58.5384615385,0.647087467283
251,Azusa Unified,64279,1931765,Sierra High,28,7.0,0.461583577713
252,Val Verde Unified,75242,3330552,Rancho Verde High,250,55.848,0.553964887475
253,Stockton Unified,68676,3932654,Franklin High,157,34.2993630573,0.546288209607
254,Fortuna Union High,62810,1233402,Fortuna Union High,35,54.0,0.516473887136
255,Kern Union High,63529,1530385,Ridgeview High,233,46.8197424893,0.441355674029
256,Mt. Diablo Unified,61754,731646,College Park High,136,59.625,0.706974540128
257,Val Verde Unified,75242,3330560,Val Verde High,16,13.0,0.624669797476
258,Kern Union High,63529,1530369,Centennial High,206,64.6553398058,0.298972449739
259,Los Angeles Unified,64733,107011,International Studies Learnin,46,51.7608695652,0.837803249499
260,Las Virgenes Unified,64683,1931781,Calabasas High,64,56.3125,0.64766536965
261,Hemet Unified,67082,113159,Tahquitz High,67,46.3134328358,0.410739052903
262,Campbell Union High,69401,4336137,Prospect High,149,48.4429530201,0.764052462527
263,Fullerton Joint Union High,66514,3033610,"La Vista High, Cont.",64,17.0,0.591143294806
264,Visalia Unified,72256,5434527,Redwood High,304,59.1019736842,0.573157315732
265,Palm Springs Unified,67173,3330818,Desert Hot Springs High,48,41.9375,0.528595296234
266,Shasta Union High,70136,4532750,Enterprise High,42,59.2857142857,0.295739575316
267,San Francisco Unified,68478,3830288,Balboa High,60,42.65,0.857183118439
268,San Lorenzo Unified,61309,137745,Royal Sunset (Continuation),15,7.0,0.819102405629
269,Palm Springs Unified,67173,3330578,Cathedral City High,175,52.1657142857,0.696723575888
270,Carmel Unified,65987,2730414,Carmel High,55,69.1090909091,0.679044744784
271,Corona-Norco Unified,67033,3330586,Lee V. Pollard High (Cont.),45,27.0,0.581043375328
272,Monrovia Unified,64790,1935899,Canyon Oaks High,14,29.0,0.687778528022
273,Los Angeles Unified,64733,1933852,Alexander Hamilton Senior Hig,251,51.2390438247,0.816042024447
274,Acalanes Union High,61630,733725,Las Lomas High,73,64.2602739726,0.74777603349
275,Jurupa Unified,67090,3334687,Nueva Vista Continuation High,14,14.0,0.588575560376
276,Mountain View-Los Altos Union High,69609,4334116,Los Altos High,131,58.0076335878,0.776614310646
277,Hughson Unified,75549,5032651,Hughson High,69,63.6086956522,0.390536723164
278,Perris Union High,67207,113191,Heritage High,209,57.2488038278,0.502294893861
279,Sutter Union High,71449,5137500,Sutter High,39,35.641025641,0.351928692178
280,Roseville Joint Union High,66928,3130119,"Independence High, Alt.",14,29.0,0.465835086665
281,Modesto City High,71175,5030135,Johansen (Peter) High,132,44.696969697,0.298161470823
282,Claremont Unified,64394,1931823,Claremont High,336,65.619047619,0.593502314996
283,Monterey Peninsula Unified,66092,2732808,Monterey High,111,65.8648648649,0.678728493172
284,Monrovia Unified,64790,1935923,Monrovia High,196,59.7040816327,0.687778528022
