,District,District Code,School Code,School Name,number,score,vote
0,Alameda City Unified,61119,1,District Students in NPS,300,10.58,0.643058547424
1,San Diego Unified,68338,3733508,La Jolla High,196,55.2040816327,0.643146674673
2,Modesto City High,71175,110593,James C. Enochs High,595,49.8823529412,0.503361941726
3,Winters Joint Unified,72702,5738505,Winters High,44,47.6818181818,0.646812957158
4,Murrieta Valley Unified,75200,118794,Murrieta Mesa High,603,53.583747927,0.551023137622
5,Apple Valley Unified,75077,3630423,Apple Valley High,235,45.9276595745,0.412444444444
6,Pomona Unified,64907,1933324,Garey Senior High,130,26.8692307692,0.694546617624
7,Hemet Unified,67082,3330065,Alessandro High,16,13.0,0.467771639042
8,Redlands Unified,67843,118802,Citrus Valley High,607,42.1219110379,0.455927591103
9,Dixon Unified,70532,4832259,Dixon High,208,32.3317307692,0.670484122853
10,Burbank Unified,64337,1933332,"Monterey High, Cont.",22,18.0,0.808108640031
11,Fillmore Unified,72454,5632021,Fillmore Senior High,266,45.7443609023,0.614634146341
12,Coronado Unified,68031,3731478,Coronado High,195,60.0,0.631088082902
13,Los Angeles Unified,64733,1939479,WESM Health/Sports Medicine,27,48.1111111111,0.76065511572
14,Bret Harte Union High,61556,532507,Bret Harte Union High,16,63.0,0.348512011474
15,Ojai Unified,72520,5634076,Nordhoff High,71,53.6056338028,0.733727810651
16,San Marcos Unified,73791,3737632,San Marcos High,274,58.1788321168,0.556289356474
17,Garden Grove Unified,66522,3032752,Garden Grove High,446,35.9506726457,0.646146252027
18,Corona-Norco Unified,67033,110627,Eleanor Roosevelt High,1001,39.5954045954,0.469943247562
19,San Jose Unified,69666,4330502,Liberty High (Alternative,29,15.1034482759,0.723253757737
20,Whittier Union High,65128,1931302,California High,970,50.1742268041,0.678964637258
21,Riverside Unified,67215,3336237,Polytechnic High,513,39.9512670565,0.55196454629
22,Sweetwater Union High,68411,3731502,San Ysidro High,406,41.5812807882,0.653173965448
23,Santa Ana Unified,66670,114736,Hector G. Godinez,303,52.4191419142,0.673099513341
24,North Monterey County Unified,73825,2730034,North Monterey County High,103,44.6213592233,0.724327897752
25,Clovis Unified,62117,1030196,Clovis West High,439,56.1298405467,0.410257742673
26,Chaffey Joint Union High,67652,3631157,Colony High,548,39.2116788321,0.584564584732
27,William S. Hart Union High,65136,102459,Golden Valley High,574,39.2578397213,0.493247068338
28,San Diego Unified,68338,3730371,San Diego SCPA,114,57.1578947368,0.639748894279
29,Rim of the World Unified,67868,3635265,Rim of the World Senior High,81,48.3456790123,0.416916018352
30,Lake Elsinore Unified,75176,3330115,Ortega High,12,17.0,0.418744769874
