,District,District Code,School Code,School Name,number,score,vote
0,Alameda City Unified,61119,1,District Students in NPS,1354,10.3397341211,0.643058547424
1,Holtville Unified,63149,1335306,Holtville High,390,32.1205128205,0.586666666667
2,Pomona Unified,64907,1933324,Garey Senior High,1238,22.0605815832,0.694546617624
3,Southern Humboldt Joint Unified,63040,1237007,South Fork Junior - Senior Hi,94,37.0106382979,0.682593856655
4,Burbank Unified,64337,1933332,"Monterey High, Cont.",75,20.0,0.808108640031
5,Shasta Union High,70136,4530200,Pioneer Continuation High,74,4.05405405405,0.35168792198
6,Bret Harte Union High,61556,532507,Bret Harte Union High,450,45.9844444444,0.348512011474
7,Shasta Union High,70136,4530218,Freedom High,15,7.0,0.35168792198
8,Santa Ana Unified,66670,114736,Hector G. Godinez,1853,48.4500809498,0.673099513341
9,Windsor Unified,75358,4930228,Windsor High,996,40.390562249,0.690663417876
10,Santa Monica-Malibu Unified,64980,1933373,"Olympic High, Cont.",23,0.0,0.83513562224
11,Los Angeles Unified,64733,1933381,James A. Garfield Senior High,1569,37.0433397068,0.884973040556
12,East Side Union High,69427,4333639,Lick (James) High,884,24.3902714932,0.790654620853
13,Santa Paula Union High,72595,5636170,"Renaissance High, Cont.",71,7.01408450704,0.691237192231
14,Orange Unified,66621,114769,OUSD Community Day,14,36.0,0.581574185766
15,Muroc Joint Unified,63685,1531987,Desert Junior-Senior High,272,40.6985294118,0.289198606272
16,Los Angeles County Office of Education,10199,1933399,L.A. Co. High School/Arts,333,51.1561561562,0.750386750387
17,Corona-Norco Unified,67033,3334232,Norco High,1542,42.8339818418,0.521374277896
18,Simi Valley Unified,72603,5636188,Simi Valley High,1607,47.4113254512,0.510060259422
19,Lucia Mar Unified,68759,4030557,Arroyo Grande High,1432,52.7423184358,0.530927105449
20,Tulare Joint Union High,72249,5435409,Tulare Union High,1187,39.7177759056,0.509095204347
21,Berkeley Unified,61143,131177,Berkeley High,2024,39.4866600791,0.95595970901
22,Redlands Unified,67843,118802,Citrus Valley High,1558,43.3523748395,0.455927591103
23,Marin County Office of Education,10215,2130037,Marin County Community,47,7.72340425532,0.776995305164
24,Modesto City High,71175,5030010,Beyer (Fred C.) High,1319,39.5633055345,0.503361941726
25,Elk Grove Unified,67314,3432572,Elk Grove High,1226,47.2756933116,0.53358802929
