,District,District Code,School Code,School Name,number,score,vote
0,Alameda City Unified,61119,1,District Students in NPS,337,26.9584569733,0.643058547424
1,San Diego Unified,68338,3733508,La Jolla High,634,87.7192429022,0.643146674673
2,Modesto City High,71175,110593,James C. Enochs High,701,74.0556348074,0.503361941726
3,Winters Joint Unified,72702,5738505,Winters High,134,72.5149253731,0.646812957158
4,Holtville Unified,63149,1335306,Holtville High,31,70.8387096774,0.586666666667
5,Apple Valley Unified,75077,3630423,Apple Valley High,627,64.8915470494,0.412444444444
6,Simi Valley Unified,72603,5630249,Monte Vista,74,40.7027027027,0.502965372106
7,Ferndale Unified,75374,1232909,Ferndale High,70,52.7428571429,0.414024975985
8,Oakdale Joint Unified,75564,5031950,East Stanislaus High,30,3.16666666667,0.381089459699
9,Southern Humboldt Joint Unified,63040,1237007,South Fork Junior - Senior Hi,110,47.0545454545,0.682593856655
10,Hemet Unified,67082,3330065,Alessandro High,82,15.0,0.467771639042
11,Redlands Unified,67843,118802,Citrus Valley High,530,72.558490566,0.455927591103
12,Dixon Unified,70532,4832259,Dixon High,374,67.3529411765,0.670484122853
13,Burbank Unified,64337,1933332,"Monterey High, Cont.",38,30.0,0.808108640031
14,Fillmore Unified,72454,5632021,Fillmore Senior High,84,65.2857142857,0.614634146341
15,Coronado Unified,68031,3731478,Coronado High,606,82.2607260726,0.631088082902
16,Liberty Union High,61721,730457,Freedom High,704,65.6519886364,0.567729804007
17,Shasta Union High,70136,4530200,Pioneer Continuation High,49,4.22448979592,0.35168792198
18,West Contra Costa Unified,61796,732164,De Anza Senior High,55,43.6727272727,0.8259762309
19,Bret Harte Union High,61556,532507,Bret Harte Union High,376,68.8936170213,0.348512011474
20,Ojai Unified,72520,5634076,Nordhoff High,357,60.1344537815,0.733727810651
21,San Marcos Unified,73791,3737632,San Marcos High,716,88.1787709497,0.556289356474
22,Garden Grove Unified,66522,3032752,Garden Grove High,228,63.7587719298,0.646146252027
23,Corona-Norco Unified,67033,110627,Eleanor Roosevelt High,496,72.7540322581,0.469943247562
24,San Jose Unified,69666,4330502,Liberty High (Alternative,16,0.0,0.723253757737
25,Whittier Union High,65128,1931302,California High,293,63.1194539249,0.678964637258
26,Shasta Union High,70136,4530218,Freedom High,13,15.0,0.35168792198
27,Riverside Unified,67215,3336237,Polytechnic High,734,66.0326975477,0.55196454629
28,Sweetwater Union High,68411,3731502,San Ysidro High,12,67.0,0.653173965448
29,Porterville Unified,75523,5430624,"Citrus High, Cont.",12,8.0,0.288544358312
30,North Monterey County Unified,73825,2730034,North Monterey County High,157,57.2547770701,0.724327897752
31,Center Joint Unified,73973,3430451,"McClellan High, Cont.",26,15.0,0.514728477984
32,Clovis Unified,62117,1030196,Clovis West High,726,76.8154269972,0.410257742673
33,Chaffey Joint Union High,67652,3631157,Colony High,183,57.781420765,0.584564584732
34,Windsor Unified,75358,4930228,Windsor High,652,67.9892638037,0.690663417876
35,William S. Hart Union High,65136,102459,Golden Valley High,402,70.3532338308,0.493247068338
36,Poway Unified,68296,118935,Del Norte High,704,76.8181818182,0.480098943108
37,Murrieta Valley Unified,75200,118794,Murrieta Mesa High,747,72.875502008,0.551023137622
38,San Diego Unified,68338,3730371,San Diego SCPA,125,88.768,0.639748894279
39,Rim of the World Unified,67868,3635265,Rim of the World Senior High,635,56.8724409449,0.416916018352
40,Lake Elsinore Unified,75176,3330115,Ortega High,15,13.0,0.418744769874
41,Murrieta Valley Unified,75200,100420,Vista Murrieta High,881,75.0885357548,0.408031308491
42,Davis Joint Unified,72678,6066245,Emerson (Ralph Waldo) Jr. High,94,89.0,0.521778584392
43,Santa Ana Unified,66670,108365,Segerstrom High,47,82.7446808511,0.673099513341
44,Vista Unified,68452,3730785,Palomar High Independent Stud,14,57.0,0.523737297133
45,Poway Unified,68296,3731528,Westview High,871,81.6371986223,0.590174713507
46,El Monte Union High,64519,1937481,Rosemead High,13,54.0,0.809498750164
47,Tulare Joint Union High,72249,5435466,Tulare Western High,224,61.6294642857,0.509095204347
48,William S. Hart Union High,65136,102475,West Ranch High,1084,72.9151291513,0.56037496028
49,Fremont Unified,61176,135244,Mission San Jose High,149,86.4832214765,0.766219839142
50,Elk Grove Unified,67314,3430477,Florin High,82,51.2926829268,0.724257282954
51,Grossmont Union High,68130,3731536,Grossmont Middle College,30,83.0,0.515335113302
52,West Covina Unified,65094,1939537,West Covina High,114,71.4473684211,0.722227984649
53,Muroc Joint Unified,63685,1531987,Desert Junior-Senior High,157,63.7515923567,0.289198606272
54,West Contra Costa Unified,61796,735316,Pinole Valley High,180,47.75,0.820333432569
55,San Jose Unified,69666,4335949,Pioneer High,537,83.2569832402,0.722009598445
56,Los Angeles County Office of Education,10199,1933399,L.A. Co. High School/Arts,238,85.7521008403,0.750386750387
57,Corona-Norco Unified,67033,3334232,Norco High,765,65.5490196078,0.521374277896
58,Visalia Unified,72256,5435839,Sequoia High,23,14.0,0.573157315732
59,Los Banos Unified,65755,120923,Pacheco High,119,63.025210084,0.609182058047
60,Simi Valley Unified,72603,5636188,Simi Valley High,1038,66.0568400771,0.510060259422
61,San Juan Unified,67447,3430493,Bella Vista High,1097,72.2333637192,0.486412512219
62,El Dorado Union High,61853,930149,"Independent Learning Ctr., Alt",54,31.2962962963,0.376518218623
63,Hanford Joint Union High,63925,1634401,Hanford High,348,57.9137931034,0.41235459286
64,Los Gatos-Saratoga Joint Union High,69534,4337762,Saratoga High,330,81.2787878788,0.764052462527
65,Redlands Unified,67843,3630779,Redlands East Valley High,645,72.8620155039,0.560438237419
66,Simi Valley Unified,72603,5635008,Royal High,964,65.7489626556,0.502965372106
67,Desert Sands Unified,67058,118885,Shadow Hills High,135,64.637037037,0.680439104503
68,Tulare Joint Union High,72249,5435409,Tulare Union High,343,70.084548105,0.509095204347
69,Berkeley Unified,61143,131177,Berkeley High,704,83.7144886364,0.95595970901
70,Moorpark Unified,73940,5630371,Moorpark College,36,72.0,0.518262586377
71,San Benito High,67538,3537008,San Benito High,636,69.5172955975,0.630313644324
72,Oxnard Union High,72546,5630066,"Frontier High, Cont.",18,17.0,0.562587476419
73,Laguna Beach Unified,66555,3033206,Laguna Beach High,590,85.3372881356,0.55997588909
74,Baldwin Park Unified,64287,1930601,Baldwin Park High,13,46.0,0.761875699318
