,District,District Code,School Code,School Name,number,score,vote
0,Alameda City Unified,61119,1,District Students in NPS,466,19.7210300429,0.643058547424
1,San Diego Unified,68338,3733508,La Jolla High,1225,69.4130612245,0.643146674673
2,Modesto City High,71175,110593,James C. Enochs High,1398,55.9020028612,0.503361941726
3,Winters Joint Unified,72702,5738505,Winters High,226,53.1460176991,0.646812957158
4,Holtville Unified,63149,1335306,Holtville High,31,70.8387096774,0.586666666667
5,Apple Valley Unified,75077,3630423,Apple Valley High,1222,46.8453355155,0.412444444444
6,Simi Valley Unified,72603,5630249,Monte Vista,74,40.7027027027,0.502965372106
7,Ferndale Unified,75374,1232909,Ferndale High,83,48.0843373494,0.414024975985
8,Oakdale Joint Unified,75564,5031950,East Stanislaus High,30,3.16666666667,0.381089459699
9,Southern Humboldt Joint Unified,63040,1237007,South Fork Junior - Senior Hi,152,40.0,0.682593856655
10,Hemet Unified,67082,3330065,Alessandro High,150,9.74,0.467771639042
11,Redlands Unified,67843,118802,Citrus Valley High,1045,50.4,0.455927591103
12,Dixon Unified,70532,4832259,Dixon High,715,52.5986013986,0.670484122853
13,Burbank Unified,64337,1933332,"Monterey High, Cont.",38,30.0,0.808108640031
14,Fillmore Unified,72454,5632021,Fillmore Senior High,109,62.1743119266,0.614634146341
15,Coronado Unified,68031,3731478,Coronado High,1179,65.925360475,0.631088082902
16,Liberty Union High,61721,730457,Freedom High,1275,51.4235294118,0.567729804007
17,Shasta Union High,70136,4530200,Pioneer Continuation High,49,4.22448979592,0.35168792198
18,West Contra Costa Unified,61796,732164,De Anza Senior High,69,46.3768115942,0.8259762309
19,Bret Harte Union High,61556,532507,Bret Harte Union High,704,50.328125,0.348512011474
20,Ojai Unified,72520,5634076,Nordhoff High,690,50.6333333333,0.733727810651
21,San Marcos Unified,73791,3737632,San Marcos High,1402,74.9964336662,0.556289356474
22,Garden Grove Unified,66522,3032752,Garden Grove High,431,44.8584686775,0.646146252027
23,Corona-Norco Unified,67033,110627,Eleanor Roosevelt High,991,47.6104944501,0.469943247562
24,San Jose Unified,69666,4330502,Liberty High (Alternative,16,0.0,0.723253757737
25,Whittier Union High,65128,1931302,California High,568,51.4577464789,0.678964637258
26,Shasta Union High,70136,4530218,Freedom High,13,15.0,0.35168792198
27,Riverside Unified,67215,3336237,Polytechnic High,1429,48.4723582925,0.55196454629
28,Sweetwater Union High,68411,3731502,San Ysidro High,12,67.0,0.653173965448
29,Porterville Unified,75523,5430624,"Citrus High, Cont.",24,8.0,0.288544358312
30,North Monterey County Unified,73825,2730034,North Monterey County High,277,37.8628158845,0.724327897752
31,Center Joint Unified,73973,3430451,"McClellan High, Cont.",26,15.0,0.514728477984
32,Clovis Unified,62117,1030196,Clovis West High,1434,67.0676429568,0.410257742673
33,Chaffey Joint Union High,67652,3631157,Colony High,315,47.1904761905,0.584564584732
34,Windsor Unified,75358,4930228,Windsor High,1206,51.0854063018,0.690663417876
35,William S. Hart Union High,65136,102459,Golden Valley High,779,50.3594351733,0.493247068338
36,Poway Unified,68296,118935,Del Norte High,1366,58.5021961933,0.480098943108
37,Murrieta Valley Unified,75200,118794,Murrieta Mesa High,1488,56.5490591398,0.551023137622
38,San Diego Unified,68338,3730371,San Diego SCPA,209,68.3301435407,0.639748894279
39,Rim of the World Unified,67868,3635265,Rim of the World Senior High,1153,44.8291413703,0.416916018352
40,Lake Elsinore Unified,75176,3330115,Ortega High,15,13.0,0.418744769874
41,Murrieta Valley Unified,75200,100420,Vista Murrieta High,1718,56.8474970896,0.408031308491
42,Davis Joint Unified,72678,6066245,Emerson (Ralph Waldo) Jr. High,181,83.9447513812,0.521778584392
43,Santa Ana Unified,66670,108365,Segerstrom High,47,82.7446808511,0.673099513341
44,Vista Unified,68452,3730785,Palomar High Independent Stud,14,57.0,0.523737297133
45,Poway Unified,68296,3731528,Westview High,1675,61.8220895522,0.590174713507
46,El Monte Union High,64519,1937481,Rosemead High,13,54.0,0.809498750164
47,Tulare Joint Union High,72249,5435466,Tulare Western High,418,45.9043062201,0.509095204347
48,William S. Hart Union High,65136,102475,West Ranch High,2086,60.7713326942,0.56037496028
49,Fremont Unified,61176,135244,Mission San Jose High,276,75.2572463768,0.766219839142
50,Elk Grove Unified,67314,3430477,Florin High,130,35.5230769231,0.724257282954
51,Grossmont Union High,68130,3731536,Grossmont Middle College,51,70.2352941176,0.515335113302
52,West Covina Unified,65094,1939537,West Covina High,171,62.350877193,0.722227984649
53,Muroc Joint Unified,63685,1531987,Desert Junior-Senior High,290,45.9344827586,0.289198606272
54,West Contra Costa Unified,61796,735316,Pinole Valley High,337,30.2492581602,0.820333432569
55,San Jose Unified,69666,4335949,Pioneer High,1053,65.7150997151,0.722009598445
56,Los Angeles County Office of Education,10199,1933399,L.A. Co. High School/Arts,463,55.3023758099,0.750386750387
57,Corona-Norco Unified,67033,3334232,Norco High,1517,48.762030323,0.521374277896
58,Visalia Unified,72256,5435839,Sequoia High,23,14.0,0.573157315732
59,Los Banos Unified,65755,120923,Pacheco High,206,43.7524271845,0.609182058047
60,Simi Valley Unified,72603,5636188,Simi Valley High,1986,49.6263846928,0.510060259422
61,San Juan Unified,67447,3430493,Bella Vista High,2050,66.9912195122,0.486412512219
62,El Dorado Union High,61853,930149,"Independent Learning Ctr., Alt",70,24.1428571429,0.376518218623
63,Hanford Joint Union High,63925,1634401,Hanford High,679,39.4197349043,0.41235459286
64,Los Gatos-Saratoga Joint Union High,69534,4337762,Saratoga High,642,69.6152647975,0.764052462527
65,Redlands Unified,67843,3630779,Redlands East Valley High,1279,52.8991399531,0.560438237419
66,Simi Valley Unified,72603,5635008,Royal High,1773,47.7986463621,0.502965372106
67,Desert Sands Unified,67058,118885,Shadow Hills High,213,54.5399061033,0.680439104503
68,Tulare Joint Union High,72249,5435409,Tulare Union High,672,55.4107142857,0.509095204347
69,Berkeley Unified,61143,131177,Berkeley High,1388,64.2312680115,0.95595970901
70,Moorpark Unified,73940,5630371,Moorpark College,51,64.6470588235,0.518262586377
71,San Benito High,67538,3537008,San Benito High,1252,48.7220447284,0.630313644324
72,Oxnard Union High,72546,5630066,"Frontier High, Cont.",18,17.0,0.562587476419
73,Laguna Beach Unified,66555,3033206,Laguna Beach High,1170,73.188034188,0.55997588909
74,Baldwin Park Unified,64287,1930601,Baldwin Park High,13,46.0,0.761875699318
75,Grossmont Union High,68130,3734548,Monte Vista High,394,47.2944162437,0.567637598284
76,Modesto City High,71175,5030010,Beyer (Fred C.) High,1106,46.9240506329,0.503361941726
77,Perris Union High,67207,3330172,"Perris Lake High, Cont.",21,19.0,0.599527085125
78,Lodi Unified,68585,3930237,Bear Creek High,515,54.1766990291,0.613983375582
79,Santa Paula Union High,72595,5635776,Santa Paula High,70,57.0857142857,0.691237192231
80,Placentia-Yorba Linda Unified,66647,6119556,Parkview,26,61.1538461538,0.503782332845
81,Shasta Union High,70136,4530309,North State Independence High,131,21.3511450382,0.35168792198
82,Kern Union High,63529,125062,Tierra Del Sol Continuation Hi,12,17.0,0.568197553658
83,Hanford Joint Union High,63925,118919,Sierra Pacific High,382,48.9397905759,0.41235459286
84,Modesto City High,71175,121129,Gregori High,868,39.2995391705,0.624695161083
85,Azusa Unified,64279,1933449,Gladstone High,21,38.0,0.461583577713
86,South Monterey County Joint Union High,66068,2732170,King City High,107,73.6168224299,0.708883025506
87,Los Angeles Unified,64733,1939479,WESM Health/Sports Medicine,111,65.7657657658,0.76065511572
88,Sacramento City Unified,67439,3434636,Johnson (Hiram W.) High,95,39.7368421053,0.797459584296
89,North Monterey County Unified,73825,2730125,North Monterey County Ctr,16,44.0,0.638313875535
90,Fresno Unified,62166,1030287,Young Academic Center,166,13.9759036145,0.770626242545
91,Fortuna Union High,62810,108688,Academy of the Redwoods,176,66.4318181818,0.516473887136
92,Torrance Unified,65060,1939602,West High,936,59.641025641,0.643809331448
93,Victor Valley Union High,67934,3630787,Silverado High,487,33.1190965092,0.562874603361
94,Escalon Unified,68502,3932308,Escalon High,662,42.0196374622,0.38561479177
95,Fontana Unified,67710,3633302,Fontana High,75,49.3466666667,0.767511394713
96,Hayward Unified,61192,135319,Mt. Eden High,130,42.9692307692,0.805712270804
97,Los Angeles Unified,64733,1931419,Leonis (Miguel) Continuation,11,9.0,0.658119126159
98,Rowland Unified,73452,1937564,Rowland (John A.) High,113,61.1061946903,0.58049122807
99,Tamalpais Union High,65482,2130078,Tamiscal High (Alternative),82,70.5487804878,0.758831277691
100,Glendale Unified,64568,1933472,"Daily (Allan F.) High, Cont.",67,10.4925373134,0.66717603912
101,Firebaugh-Las Deltas Joint Unified,73809,1030121,Firebaugh High,27,63.0,0.395764394441
102,Anaheim Union High,66431,3033115,John F. Kennedy High,789,66.6108998733,0.620361429163
103,Fullerton Joint Union High,66514,3037348,Sunny Hills High,584,66.470890411,0.634521880065
104,Banning Unified,66985,3330214,Banning High,181,22.6629834254,0.449500318945
105,Plumas Unified,66969,3236007,Quincy Junior/Senior High,187,60.0320855615,0.579813250333
106,San Juan Unified,67447,3436714,Rio Americano High,1567,58.3573707722,0.613832853026
107,San Juan Unified,67447,3431111,Casa Roble Fundamental High,1582,43.4058154235,0.442007644589
108,Simi Valley Unified,72603,5630322,Santa Susana High,1194,63.3793969849,0.510060259422
109,Pittsburg Unified,61788,735407,Pittsburg Senior High,252,38.2341269841,0.811901646119
110,San Mateo Union High,69047,4133070,Hillsdale High,643,62.2612752722,0.779979830754
111,Delano Joint Union High,63412,100529,Cesar E. Chavez High,26,92.1538461538,0.800452147702
112,Davis Joint Unified,72678,106674,Frances Ellen Watkins Harper,258,85.2558139535,0.619047619048
113,Oak Park Unified,73874,5630132,Oak Park High,1613,78.9107253565,0.679618001047
114,Salinas Union High,66159,2730166,Everett Alvarez High,234,45.094017094,0.766725159026
115,Natomas Unified,75283,3430584,Natomas High,100,47.08,0.638572425017
116,San Leandro Unified,61291,137588,San Leandro High,385,35.561038961,0.737482842991
117,Tracy Joint Unified,75499,3930302,Merrill F. West High,608,43.40625,0.628774661119
118,Jefferson Union High,68924,4135075,Oceana High,138,61.768115942,0.814388961892
119,Elk Grove Unified,67314,3430592,Laguna Creek High,499,48.4368737475,0.669520992267
120,Fresno County Office of Education,10108,1030337,Fresno County Court,11,10.0,0.604175194433
121,San Diego Unified,68338,3733698,Madison High,377,36.0265251989,0.604657849339
122,Lompoc Unified,69229,4230454,Cabrillo High,904,48.8517699115,0.409012131716
123,Stanislaus County Office of Education,10504,5030085,John B. Allard,136,2.86764705882,0.616432613708
124,Sierra Sands Unified,73742,1530054,Mesquite Cont. High,57,15.7192982456,0.31420233463
125,Yucaipa-Calimesa Joint Unified,67959,3633351,Green Valley High,33,6.36363636364,0.383247817085
126,Sweetwater Union High,68411,3730124,Southwest Senior High,12,58.0,0.653173965448
127,Brawley Union High,63081,1331404,Brawley High,224,61.4955357143,0.697323900338
128,San Gabriel Unified,75291,1995810,Gabrielino High,106,66.0471698113,0.733281579239
129,Soledad Unified,75440,2730190,Soledad High,13,46.0,0.819921302369
130,Turlock Unified,75739,5036884,"Roselawn High, Cont.",34,0.0,0.616432613708
131,Los Angeles Unified,64733,1935568,John Marshall Senior High,433,43.415704388,0.690659481653
132,Elk Grove Unified,67314,108753,Pleasant Grove High,1403,71.2786885246,0.53358802929
133,Kern Union High,63529,1530385,Ridgeview High,515,42.1514563107,0.441355674029
134,Placer Union High,66894,3135704,Placer High,1272,47.3011006289,0.466746794872
135,Glendale Unified,64568,1933530,Glendale High,1886,46.3886532344,0.649555830428
136,Hemet Unified,67082,106716,Hamilton High,255,45.8509803922,0.306974190005
137,Glendora Unified,64576,1939677,Whitcomb Continuation High,12,17.0,0.525503015274
138,Placer Union High,66894,3132453,Del Oro High,2001,65.8155922039,0.406476190476
139,Patterson Joint Unified,71217,5036256,Patterson High,368,45.339673913,0.577589023195
140,Tulelake Basin Joint Unified,73593,4737250,Tulelake High,20,80.0,0.294797687861
141,Dos Palos Oro Loma Joint Unified,75317,2431203,Dos Palos High,146,43.8356164384,0.372367312553
142,William S. Hart Union High,65136,1931492,Canyon High,1647,56.9137826351,0.579585410653
143,Surprise Valley Joint Unified,65896,2537702,Surprise Valley High,13,46.0,0.266339869281
144,San Juan Unified,67447,3430097,La Entrada Continuation High,29,0.0,0.527574273001
145,Lodi Unified,68585,3930344,Independence,73,12.6849315068,0.41589295467
146,Twin Rivers Unified,76505,3430634,Elwood J. Keema High,147,13.6462585034,0.524216204068
147,East Side Union High,69427,4337903,Silver Creek High,61,73.7704918033,0.772476732629
148,East Side Union High,69427,4335204,Oak Grove High,278,40.9928057554,0.723253757737
