,District,District Code,School Code,School Name,number,score,vote
0,Alameda City Unified,61119,1,District Students in NPS,24,9.0,0.643058547424
1,San Diego Unified,68338,3733508,La Jolla High,37,78.4054054054,0.643146674673
2,Modesto City High,71175,110593,James C. Enochs High,314,50.6210191083,0.503361941726
3,Winters Joint Unified,72702,5738505,Winters High,13,62.0,0.646812957158
4,Holtville Unified,63149,1335306,Holtville High,30,73.0666666667,0.586666666667
5,Southern Humboldt Joint Unified,63040,1237007,South Fork Junior - Senior Hi,41,48.5609756098,0.682593856655
6,Hemet Unified,67082,3330065,Alessandro High,115,12.2173913043,0.467771639042
7,Redlands Unified,67843,118802,Citrus Valley High,222,48.7162162162,0.455927591103
8,Dixon Unified,70532,4832259,Dixon High,58,46.1551724138,0.670484122853
9,Burbank Unified,64337,1933332,"Monterey High, Cont.",13,33.0,0.808108640031
10,Fillmore Unified,72454,5632021,Fillmore Senior High,11,64.0,0.614634146341
11,Shasta Union High,70136,4530200,Pioneer Continuation High,27,4.0,0.35168792198
12,Bret Harte Union High,61556,532507,Bret Harte Union High,162,47.1049382716,0.348512011474
13,Ojai Unified,72520,5634076,Nordhoff High,115,42.5913043478,0.733727810651
14,San Marcos Unified,73791,3737632,San Marcos High,70,71.5857142857,0.556289356474
15,Kern Union High,63529,116400,Mira Monte High,26,26.6538461538,0.568197553658
16,Corona-Norco Unified,67033,110627,Eleanor Roosevelt High,172,49.3779069767,0.469943247562
17,Whittier Union High,65128,1931302,California High,270,47.3111111111,0.678964637258
18,Shasta Union High,70136,4530218,Freedom High,11,18.0,0.35168792198
19,Riverside Unified,67215,3336237,Polytechnic High,282,39.4432624113,0.55196454629
20,North Monterey County Unified,73825,2730034,North Monterey County High,92,38.8369565217,0.724327897752
21,Clovis Unified,62117,1030196,Clovis West High,191,41.9057591623,0.410257742673
22,Chaffey Joint Union High,67652,3631157,Colony High,64,40.875,0.584564584732
23,William S. Hart Union High,65136,102459,Golden Valley High,75,53.3866666667,0.493247068338
24,Poway Unified,68296,118935,Del Norte High,12,45.0,0.480098943108
25,Murrieta Valley Unified,75200,118794,Murrieta Mesa High,254,52.1377952756,0.551023137622
26,Rim of the World Unified,67868,3635265,Rim of the World Senior High,346,36.5693641618,0.416916018352
