,District,District Code,School Code,School Name,number,score,vote
0,Alameda City Unified,61119,1,District Students in NPS,283,29.332155477,0.643058547424
1,San Diego Unified,68338,3733508,La Jolla High,594,88.702020202,0.643146674673
2,Modesto City High,71175,110593,James C. Enochs High,534,76.7602996255,0.503361941726
3,Winters Joint Unified,72702,5738505,Winters High,102,77.5294117647,0.646812957158
4,Murrieta Valley Unified,75200,118794,Murrieta Mesa High,605,73.6842975207,0.551023137622
5,Apple Valley Unified,75077,3630423,Apple Valley High,410,67.287804878,0.412444444444
6,Simi Valley Unified,72603,5630249,Monte Vista,58,44.9310344828,0.502965372106
7,Ferndale Unified,75374,1232909,Ferndale High,63,54.0476190476,0.414024975985
8,Southern Humboldt Joint Unified,63040,1237007,South Fork Junior - Senior Hi,69,46.3188405797,0.682593856655
9,Hemet Unified,67082,3330065,Alessandro High,19,5.0,0.467771639042
10,Redlands Unified,67843,118802,Citrus Valley High,403,73.8511166253,0.455927591103
11,Dixon Unified,70532,4832259,Dixon High,329,70.2188449848,0.670484122853
12,Burbank Unified,64337,1933332,"Monterey High, Cont.",25,28.0,0.808108640031
13,Fillmore Unified,72454,5632021,Fillmore Senior High,58,70.7931034483,0.614634146341
14,Coronado Unified,68031,3731478,Coronado High,594,81.9225589226,0.631088082902
15,Liberty Union High,61721,730457,Freedom High,633,66.3333333333,0.567729804007
16,Bret Harte Union High,61556,532507,Bret Harte Union High,276,73.8913043478,0.348512011474
17,Ojai Unified,72520,5634076,Nordhoff High,278,63.4064748201,0.733727810651
18,San Marcos Unified,73791,3737632,San Marcos High,646,89.8575851393,0.556289356474
19,Apple Valley Unified,75077,3631009,High Desert Premier Academy,29,3.31034482759,0.412444444444
20,Corona-Norco Unified,67033,110627,Eleanor Roosevelt High,392,72.3775510204,0.469943247562
21,San Jose Unified,69666,4330502,Liberty High (Alternative,12,0.0,0.723253757737
22,Whittier Union High,65128,1931302,California High,143,70.0839160839,0.678964637258
23,Riverside Unified,67215,3336237,Polytechnic High,571,69.7758318739,0.55196454629
24,North Monterey County Unified,73825,2730034,North Monterey County High,88,65.0,0.724327897752
25,Clovis Unified,62117,1030196,Clovis West High,610,81.4918032787,0.410257742673
26,Chaffey Joint Union High,67652,3631157,Colony High,135,61.4,0.584564584732
27,William S. Hart Union High,65136,102459,Golden Valley High,341,72.1524926686,0.493247068338
28,Rim of the World Unified,67868,3635265,Rim of the World Senior High,423,63.7730496454,0.416916018352
29,Murrieta Valley Unified,75200,100420,Vista Murrieta High,740,77.4608108108,0.408031308491
30,Davis Joint Unified,72678,6066245,Emerson (Ralph Waldo) Jr. High,87,92.0,0.521778584392
31,Vista Unified,68452,3730785,Palomar High Independent Stud,11,55.0,0.523737297133
32,Poway Unified,68296,3731528,Westview High,815,82.5693251534,0.590174713507
33,Tulare Joint Union High,72249,5435466,Tulare Western High,140,71.8642857143,0.509095204347
34,William S. Hart Union High,65136,102475,West Ranch High,1044,73.9176245211,0.56037496028
35,Fremont Unified,61176,135244,Mission San Jose High,142,87.2535211268,0.766219839142
36,Grossmont Union High,68130,3731536,Grossmont Middle College,21,76.0,0.515335113302
37,West Covina Unified,65094,1939537,West Covina High,55,85.2363636364,0.722227984649
38,Muroc Joint Unified,63685,1531987,Desert Junior-Senior High,147,64.6802721088,0.289198606272
39,West Contra Costa Unified,61796,735316,Pinole Valley High,130,48.1769230769,0.820333432569
40,Los Angeles County Office of Education,10199,1933399,L.A. Co. High School/Arts,232,85.5215517241,0.750386750387
41,Corona-Norco Unified,67033,3334232,Norco High,611,68.9230769231,0.521374277896
42,Los Banos Unified,65755,120923,Pacheco High,75,69.48,0.609182058047
43,Simi Valley Unified,72603,5636188,Simi Valley High,905,67.2662983425,0.510060259422
44,San Juan Unified,67447,3430493,Bella Vista High,890,76.4573033708,0.486412512219
45,El Dorado Union High,61853,930149,"Independent Learning Ctr., Alt",46,34.7826086957,0.376518218623
46,Hanford Joint Union High,63925,1634401,Hanford High,282,60.7836879433,0.41235459286
47,Los Gatos-Saratoga Joint Union High,69534,4337762,Saratoga High,329,81.5927051672,0.764052462527
48,Simi Valley Unified,72603,5635008,Royal High,824,69.036407767,0.502965372106
49,Desert Sands Unified,67058,118885,Shadow Hills High,85,70.5058823529,0.680439104503
50,Tulare Joint Union High,72249,5435409,Tulare Union High,233,74.2060085837,0.509095204347
51,Berkeley Unified,61143,131177,Berkeley High,653,85.7687595712,0.95595970901
52,San Benito High,67538,3537008,San Benito High,572,70.472027972,0.630313644324
53,Laguna Beach Unified,66555,3033206,Laguna Beach High,556,85.9568345324,0.55997588909
54,Sacramento City Unified,67439,3430519,Capital City,23,26.2173913043,0.810262114997
55,Modesto City High,71175,5030010,Beyer (Fred C.) High,414,69.4710144928,0.503361941726
56,Elk Grove Unified,67314,3432572,Elk Grove High,526,68.5969581749,0.53358802929
57,Lodi Unified,68585,3930237,Bear Creek High,167,67.6646706587,0.613983375582
58,Santa Paula Union High,72595,5635776,Santa Paula High,26,58.0,0.691237192231
59,Placentia-Yorba Linda Unified,66647,6119556,Parkview,15,73.0,0.503782332845
60,William S. Hart Union High,65136,1932532,Learning Post High (Alternati,52,63.3461538462,0.553500458575
61,Visalia Unified,72256,5435839,Sequoia High,14,15.0,0.573157315732
62,Hanford Joint Union High,63925,118919,Sierra Pacific High,154,70.2467532468,0.41235459286
63,Davis Joint Unified,72678,6060396,Holmes (Oliver Wendell),130,89.0,0.521778584392
64,South Monterey County Joint Union High,66068,2732170,King City High,62,83.9677419355,0.708883025506
65,Los Angeles Unified,64733,1939479,WESM Health/Sports Medicine,43,76.7674418605,0.76065511572
66,North Monterey County Unified,73825,2730125,North Monterey County Ctr,15,47.0,0.638313875535
67,Fortuna Union High,62810,108688,Academy of the Redwoods,94,78.5,0.516473887136
68,Torrance Unified,65060,1939602,West High,418,77.04784689,0.643809331448
69,Victor Valley Union High,67934,3630787,Silverado High,110,57.9272727273,0.562874603361
70,Escalon Unified,68502,3932308,Escalon High,284,62.5598591549,0.38561479177
71,Hayward Unified,61192,135319,Mt. Eden High,53,67.0943396226,0.805712270804
72,Alvord Unified,66977,3334299,Norte Vista High,51,60.6078431373,0.641564318035
73,Rowland Unified,73452,1937564,Rowland (John A.) High,51,72.3529411765,0.58049122807
74,Tamalpais Union High,65482,2130078,Tamiscal High (Alternative),50,89.78,0.758831277691
75,Glendale Unified,64568,1933472,"Daily (Allan F.) High, Cont.",15,20.0,0.66717603912
76,Elk Grove Unified,67314,116897,Cosumnes Oaks High,357,77.974789916,0.635654169855
77,Anaheim Union High,66431,3033115,John F. Kennedy High,319,86.8777429467,0.620361429163
78,Fullerton Joint Union High,66514,3037348,Sunny Hills High,255,79.8156862745,0.634521880065
79,Banning Unified,66985,3330214,Banning High,12,50.0,0.449500318945
80,Plumas Unified,66969,3236007,Quincy Junior/Senior High,84,78.5238095238,0.579813250333
81,San Juan Unified,67447,3436714,Rio Americano High,717,74.1994421199,0.613832853026
82,San Juan Unified,67447,3431111,Casa Roble Fundamental High,589,60.3140916808,0.442007644589
83,Simi Valley Unified,72603,5630322,Santa Susana High,505,85.2871287129,0.510060259422
84,Pittsburg Unified,61788,735407,Pittsburg Senior High,71,61.1267605634,0.811901646119
85,Sequoia Union High,69062,4130993,Carlmont High,654,86.2262996942,0.798728472558
86,Davis Joint Unified,72678,106674,Frances Ellen Watkins Harper,128,92.0,0.619047619048
87,Oak Park Unified,73874,5630132,Oak Park High,819,90.5433455433,0.679618001047
88,Salinas Union High,66159,2730166,Everett Alvarez High,89,69.7752808989,0.766725159026
89,Natomas Unified,75283,3430584,Natomas High,26,61.1538461538,0.638572425017
90,San Leandro Unified,61291,137588,San Leandro High,140,62.4142857143,0.737482842991
91,Tracy Joint Unified,75499,3930302,Merrill F. West High,241,60.5767634855,0.628774661119
92,Jefferson Union High,68924,4135075,Oceana High,74,78.3513513514,0.814388961892
93,Elk Grove Unified,67314,3430592,Laguna Creek High,199,74.5025125628,0.669520992267
94,San Diego Unified,68338,3733698,Madison High,121,59.0826446281,0.604657849339
95,Lompoc Unified,69229,4230454,Cabrillo High,376,72.914893617,0.409012131716
96,Sierra Sands Unified,73742,1530054,Mesquite Cont. High,16,25.0,0.31420233463
97,Brawley Union High,63081,1331404,Brawley High,104,75.7980769231,0.697323900338
98,San Gabriel Unified,75291,1995810,Gabrielino High,66,81.6818181818,0.733281579239
99,San Mateo Union High,69047,4133070,Hillsdale High,308,75.762987013,0.779979830754
100,Los Angeles Unified,64733,1935568,John Marshall Senior High,107,69.2523364486,0.690659481653
101,Elk Grove Unified,67314,108753,Pleasant Grove High,642,79.6261682243,0.53358802929
102,Los Angeles Unified,64733,1931476,Canoga Park Senior High,11,91.0,0.744038635678
103,Placer Union High,66894,3135704,Placer High,530,70.8471698113,0.466746794872
104,Glendale Unified,64568,1933530,Glendale High,339,67.8967551622,0.649555830428
105,Hemet Unified,67082,106716,Hamilton High,32,65.9375,0.306974190005
106,Hacienda la Puente Unified,73445,1939834,Glen A. Wilson High,46,67.347826087,0.629021981523
107,Placer Union High,66894,3132453,Del Oro High,903,81.1782945736,0.406476190476
108,Patterson Joint Unified,71217,5036256,Patterson High,122,66.4672131148,0.577589023195
109,San Francisco Unified,68478,3834082,Mission High,33,67.0,0.938423268274
110,San Jose Unified,69666,4333795,Lincoln (Abraham) High,184,83.4130434783,0.806573310314
111,William S. Hart Union High,65136,1931492,Canyon High,760,70.9789473684,0.579585410653
112,Lodi Unified,68585,3930344,Independence,42,14.3571428571,0.41589295467
113,Twin Rivers Unified,76505,3430634,Elwood J. Keema High,49,14.2857142857,0.524216204068
114,East Side Union High,69427,4337903,Silver Creek High,44,77.0909090909,0.772476732629
115,Central Unified,73965,1030386,Central Unif. Alter/Opp,18,22.0,0.586681844052
116,Sweetwater Union High,68411,3731155,Options Secondary,11,55.0,0.754016957886
117,Mt. Diablo Unified,61754,731380,Clayton Valley High,688,69.2965116279,0.66013560674
118,Whittier Union High,65128,1939701,Whittier High,47,64.0638297872,0.78215661104
119,San Luis Coastal Unified,68809,4034807,Morro Bay High,261,76.7356321839,0.582924435721
120,West Sonoma County Union High,70607,4931507,El Molino High,259,72.1853281853,0.739003936334
121,Lake Elsinore Unified,75176,3332350,Elsinore High,417,69.7841726619,0.382344624781
122,Napa Valley Unified,66266,121087,American Canyon High,106,69.0943396226,0.717882632831
123,Kern Union High,63529,1530112,Vista West Continuation,32,6.0,0.184210526316
124,Bellflower Unified,64303,1935618,Mayfair High,242,65.8884297521,0.728351881293
125,San Diego Unified,68338,3730173,Serra High,293,82.1979522184,0.582085269983
126,Riverside Unified,67215,3334406,North (John W.) High,158,79.0189873418,0.6940433213
