,District,District Code,School Code,School Name,number,score,vote
0,Alameda City Unified,61119,1,District Students in NPS,399,21.0676691729,0.643058547424
1,San Diego Unified,68338,3733508,La Jolla High,1153,70.2653946227,0.643146674673
2,Modesto City High,71175,110593,James C. Enochs High,1062,57.9369114878,0.503361941726
3,Winters Joint Unified,72702,5738505,Winters High,177,57.186440678,0.646812957158
4,Murrieta Valley Unified,75200,118794,Murrieta Mesa High,1204,57.6320598007,0.551023137622
5,Apple Valley Unified,75077,3630423,Apple Valley High,780,48.8051282051,0.412444444444
6,Simi Valley Unified,72603,5630249,Monte Vista,58,44.9310344828,0.502965372106
7,Ferndale Unified,75374,1232909,Ferndale High,75,49.4,0.414024975985
8,Southern Humboldt Joint Unified,63040,1237007,South Fork Junior - Senior Hi,69,46.3188405797,0.682593856655
9,Hemet Unified,67082,3330065,Alessandro High,33,2.87878787879,0.467771639042
10,Redlands Unified,67843,118802,Citrus Valley High,797,52.3764115433,0.455927591103
11,Dixon Unified,70532,4832259,Dixon High,624,55.7900641026,0.670484122853
12,Burbank Unified,64337,1933332,"Monterey High, Cont.",25,28.0,0.808108640031
13,Fillmore Unified,72454,5632021,Fillmore Senior High,69,71.1449275362,0.614634146341
14,Coronado Unified,68031,3731478,Coronado High,1155,65.8043290043,0.631088082902
15,Liberty Union High,61721,730457,Freedom High,1145,52.527510917,0.567729804007
16,Bret Harte Union High,61556,532507,Bret Harte Union High,520,52.7942307692,0.348512011474
17,Ojai Unified,72520,5634076,Nordhoff High,540,53.3722222222,0.733727810651
18,San Marcos Unified,73791,3737632,San Marcos High,1269,76.2324665091,0.556289356474
19,Apple Valley Unified,75077,3631009,High Desert Premier Academy,29,3.31034482759,0.412444444444
20,Corona-Norco Unified,67033,110627,Eleanor Roosevelt High,785,47.7707006369,0.469943247562
21,San Jose Unified,69666,4330502,Liberty High (Alternative,12,0.0,0.723253757737
22,Whittier Union High,65128,1931302,California High,265,54.8037735849,0.678964637258
23,Riverside Unified,67215,3336237,Polytechnic High,1104,51.7300724638,0.55196454629
24,North Monterey County Unified,73825,2730034,North Monterey County High,131,52.1374045802,0.724327897752
25,Clovis Unified,62117,1030196,Clovis West High,1207,71.5302402651,0.410257742673
26,Chaffey Joint Union High,67652,3631157,Colony High,227,51.9823788546,0.584564584732
27,William S. Hart Union High,65136,102459,Golden Valley High,655,52.2900763359,0.493247068338
28,Rim of the World Unified,67868,3635265,Rim of the World Senior High,776,49.2770618557,0.416916018352
29,Murrieta Valley Unified,75200,100420,Vista Murrieta High,1443,58.7567567568,0.408031308491
30,Davis Joint Unified,72678,6066245,Emerson (Ralph Waldo) Jr. High,172,85.6802325581,0.521778584392
31,Vista Unified,68452,3730785,Palomar High Independent Stud,11,55.0,0.523737297133
32,Poway Unified,68296,3731528,Westview High,1569,62.8228170809,0.590174713507
33,Tulare Joint Union High,72249,5435466,Tulare Western High,254,56.4842519685,0.509095204347
34,William S. Hart Union High,65136,102475,West Ranch High,2013,61.5494287134,0.56037496028
35,Fremont Unified,61176,135244,Mission San Jose High,265,75.8490566038,0.766219839142
36,Grossmont Union High,68130,3731536,Grossmont Middle College,36,63.9166666667,0.515335113302
37,West Covina Unified,65094,1939537,West Covina High,85,71.6,0.722227984649
38,Muroc Joint Unified,63685,1531987,Desert Junior-Senior High,272,47.0919117647,0.289198606272
39,West Contra Costa Unified,61796,735316,Pinole Valley High,245,30.9183673469,0.820333432569
40,Los Angeles County Office of Education,10199,1933399,L.A. Co. High School/Arts,453,55.2715231788,0.750386750387
41,Corona-Norco Unified,67033,3334232,Norco High,1216,51.3569078947,0.521374277896
42,Los Banos Unified,65755,120923,Pacheco High,115,55.8086956522,0.609182058047
43,Simi Valley Unified,72603,5636188,Simi Valley High,1732,50.8169745958,0.510060259422
