,District,School Code,School Name,number,score,vote
0,Alameda City Unified,1,District Students in NPS,24,9.0,0.643058547424
1,San Diego Unified,3733508,La Jolla High,37,78.4054054054,0.643146674673
2,Modesto City High,110593,James C. Enochs High,314,50.6210191083,0.503361941726
3,Winters Joint Unified,5738505,Winters High,13,62.0,0.646812957158
4,Southern Humboldt Joint Unified,1237007,South Fork Junior - Senior Hi,41,48.5609756098,0.682593856655
5,Hemet Unified,3330065,Alessandro High,115,12.2173913043,0.467771639042
6,Redlands Unified,118802,Citrus Valley High,222,48.7162162162,0.455927591103
7,Dixon Unified,4832259,Dixon High,58,46.1551724138,0.670484122853
8,Burbank Unified,1933332,"Monterey High, Cont.",13,33.0,0.808108640031
9,Fillmore Unified,5632021,Fillmore Senior High,11,64.0,0.614634146341
10,Shasta Union High,4530200,Pioneer Continuation High,27,4.0,0.35168792198
11,Bret Harte Union High,532507,Bret Harte Union High,162,47.1049382716,0.348512011474
12,Rialto Unified,102830,Wilmer Amina Carter High,67,53.7611940299,0.666440562998
13,San Marcos Unified,3737632,San Marcos High,70,71.5857142857,0.556289356474
14,Garden Grove Unified,3032752,Garden Grove High,90,46.8222222222,0.646146252027
15,Corona-Norco Unified,110627,Eleanor Roosevelt High,172,49.3779069767,0.469943247562
16,Whittier Union High,1931302,California High,270,47.3111111111,0.678964637258
17,Shasta Union High,4530218,Freedom High,11,18.0,0.35168792198
18,Riverside Unified,3336237,Polytechnic High,282,39.4432624113,0.55196454629
19,North Monterey County Unified,2730034,North Monterey County High,92,38.8369565217,0.724327897752
20,Clovis Unified,1030196,Clovis West High,191,41.9057591623,0.410257742673
21,Chaffey Joint Union High,3631157,Colony High,64,40.875,0.584564584732
22,William S. Hart Union High,102459,Golden Valley High,75,53.3866666667,0.493247068338
23,Poway Unified,118935,Del Norte High,12,45.0,0.480098943108
24,Holtville Unified,1335306,Holtville High,30,73.0666666667,0.586666666667
25,Rim of the World Unified,3635265,Rim of the World Senior High,346,36.5693641618,0.416916018352
26,Murrieta Valley Unified,100420,Vista Murrieta High,247,45.7651821862,0.408031308491
27,East Side Union High,4333639,Lick (James) High,14,7.0,0.790654620853
28,Poway Unified,3731528,Westview High,70,60.0571428571,0.590174713507
29,Tulare Joint Union High,5435466,Tulare Western High,109,36.9908256881,0.509095204347
30,William S. Hart Union High,102475,West Ranch High,32,56.21875,0.56037496028
31,Elk Grove Unified,3430477,Florin High,93,34.2150537634,0.724257282954
32,West Covina Unified,1939537,West Covina High,52,55.4230769231,0.722227984649
33,West Contra Costa Unified,735316,Pinole Valley High,61,42.5245901639,0.820333432569
34,San Jose Unified,4335949,Pioneer High,69,44.9855072464,0.722009598445
35,Corona-Norco Unified,3334232,Norco High,260,40.2730769231,0.521374277896
36,Los Banos Unified,120923,Pacheco High,44,52.25,0.609182058047
37,Simi Valley Unified,5636188,Simi Valley High,234,45.4786324786,0.510060259422
38,San Luis Coastal Unified,4036703,San Luis Obispo High,123,52.0325203252,0.644798745426
39,Hanford Joint Union High,1634401,Hanford High,82,39.1951219512,0.41235459286
40,San Jose Unified,4338950,Willow Glen High,53,41.4150943396,0.745581677036
41,Redlands Unified,3630779,Redlands East Valley High,344,43.9069767442,0.560438237419
42,Desert Sands Unified,118885,Shadow Hills High,59,51.1694915254,0.680439104503
43,Berkeley Unified,131177,Berkeley High,48,43.0833333333,0.95595970901
44,San Benito High,3537008,San Benito High,89,49.4382022472,0.630313644324
45,Oxnard Union High,5630066,"Frontier High, Cont.",11,9.0,0.562587476419
46,Laguna Beach Unified,3033206,Laguna Beach High,14,79.0,0.55997588909
47,Capistrano Unified,3038569,Dana Hills High,181,50.7348066298,0.456465596753
48,Modesto City High,5030010,Beyer (Fred C.) High,268,32.3843283582,0.503361941726
49,Perris Union High,3330172,"Perris Lake High, Cont.",11,9.0,0.599527085125
50,Lodi Unified,3930237,Bear Creek High,188,45.170212766,0.613983375582
51,Shasta Union High,4530309,North State Independence High,58,23.9482758621,0.35168792198
52,Hanford Joint Union High,118919,Sierra Pacific High,35,43.0571428571,0.41235459286
53,Modesto City High,121129,Gregori High,168,37.0,0.624695161083
54,Azusa Unified,1933449,Gladstone High,14,36.0,0.461583577713
55,Sacramento City Unified,3434636,Johnson (Hiram W.) High,67,38.8059701493,0.797459584296
56,Fresno Unified,1030287,Young Academic Center,166,13.9759036145,0.770626242545
57,Fortuna Union High,108688,Academy of the Redwoods,24,62.3333333333,0.516473887136
58,Torrance Unified,1939602,West High,70,47.5285714286,0.643809331448
59,Escalon Unified,3932308,Escalon High,69,36.1304347826,0.38561479177
