,District,School Code,School Name,number,score,vote
0,Alameda City Unified,1,District Students in NPS,283,29.332155477,0.643058547424
1,San Diego Unified,3733508,La Jolla High,594,88.702020202,0.643146674673
2,Modesto City High,110593,James C. Enochs High,534,76.7602996255,0.503361941726
3,Winters Joint Unified,5738505,Winters High,102,77.5294117647,0.646812957158
4,Apple Valley Unified,3630423,Apple Valley High,410,67.287804878,0.412444444444
5,Simi Valley Unified,5630249,Monte Vista,58,44.9310344828,0.502965372106
6,Ferndale Unified,1232909,Ferndale High,63,54.0476190476,0.414024975985
7,Southern Humboldt Joint Unified,1237007,South Fork Junior - Senior Hi,69,46.3188405797,0.682593856655
8,Hemet Unified,3330065,Alessandro High,19,5.0,0.467771639042
9,Redlands Unified,118802,Citrus Valley High,403,73.8511166253,0.455927591103
10,Dixon Unified,4832259,Dixon High,329,70.2188449848,0.670484122853
11,Burbank Unified,1933332,"Monterey High, Cont.",25,28.0,0.808108640031
12,Fillmore Unified,5632021,Fillmore Senior High,58,70.7931034483,0.614634146341
13,Coronado Unified,3731478,Coronado High,594,81.9225589226,0.631088082902
14,Liberty Union High,730457,Freedom High,633,66.3333333333,0.567729804007
15,Bret Harte Union High,532507,Bret Harte Union High,276,73.8913043478,0.348512011474
16,Rialto Unified,102830,Wilmer Amina Carter High,97,75.381443299,0.666440562998
17,San Marcos Unified,3737632,San Marcos High,646,89.8575851393,0.556289356474
18,Apple Valley Unified,3631009,High Desert Premier Academy,29,3.31034482759,0.412444444444
19,Corona-Norco Unified,110627,Eleanor Roosevelt High,392,72.3775510204,0.469943247562
20,San Jose Unified,4330502,Liberty High (Alternative,12,0.0,0.723253757737
21,Whittier Union High,1931302,California High,143,70.0839160839,0.678964637258
22,Riverside Unified,3336237,Polytechnic High,571,69.7758318739,0.55196454629
23,North Monterey County Unified,2730034,North Monterey County High,88,65.0,0.724327897752
24,Clovis Unified,1030196,Clovis West High,610,81.4918032787,0.410257742673
25,Chaffey Joint Union High,3631157,Colony High,135,61.4,0.584564584732
26,William S. Hart Union High,102459,Golden Valley High,341,72.1524926686,0.493247068338
27,Murrieta Valley Unified,118794,Murrieta Mesa High,605,73.6842975207,0.551023137622
28,Rim of the World Unified,3635265,Rim of the World Senior High,423,63.7730496454,0.416916018352
29,Murrieta Valley Unified,100420,Vista Murrieta High,740,77.4608108108,0.408031308491
30,Davis Joint Unified,6066245,Emerson (Ralph Waldo) Jr. High,87,92.0,0.521778584392
31,Palo Alto Unified,4335782,Palo Alto High,712,86.4592696629,0.900408841191
32,Vista Unified,3730785,Palomar High Independent Stud,11,55.0,0.523737297133
33,Poway Unified,3731528,Westview High,815,82.5693251534,0.590174713507
34,Tulare Joint Union High,5435466,Tulare Western High,140,71.8642857143,0.509095204347
35,William S. Hart Union High,102475,West Ranch High,1044,73.9176245211,0.56037496028
36,Fremont Unified,135244,Mission San Jose High,142,87.2535211268,0.766219839142
37,Grossmont Union High,3731536,Grossmont Middle College,21,76.0,0.515335113302
38,West Covina Unified,1939537,West Covina High,55,85.2363636364,0.722227984649
39,Muroc Joint Unified,1531987,Desert Junior-Senior High,147,64.6802721088,0.289198606272
40,West Contra Costa Unified,735316,Pinole Valley High,130,48.1769230769,0.820333432569
41,Los Angeles County Office of Education,1933399,L.A. Co. High School/Arts,232,85.5215517241,0.750386750387
42,Corona-Norco Unified,3334232,Norco High,611,68.9230769231,0.521374277896
43,Los Banos Unified,120923,Pacheco High,75,69.48,0.609182058047
44,Simi Valley Unified,5636188,Simi Valley High,905,67.2662983425,0.510060259422
45,Clovis Unified,1030501,Buchanan High,862,79.0162412993,0.398396767466
46,Hanford Joint Union High,1634401,Hanford High,282,60.7836879433,0.41235459286
47,Los Gatos-Saratoga Joint Union High,4337762,Saratoga High,329,81.5927051672,0.764052462527
48,Simi Valley Unified,5635008,Royal High,824,69.036407767,0.502965372106
49,Desert Sands Unified,118885,Shadow Hills High,85,70.5058823529,0.680439104503
50,Berkeley Unified,131177,Berkeley High,653,85.7687595712,0.95595970901
51,San Benito High,3537008,San Benito High,572,70.472027972,0.630313644324
52,Laguna Beach Unified,3033206,Laguna Beach High,556,85.9568345324,0.55997588909
53,Sacramento City Unified,3430519,Capital City,23,26.2173913043,0.810262114997
54,Modesto City High,5030010,Beyer (Fred C.) High,414,69.4710144928,0.503361941726
55,Murrieta Valley Unified,102079,Tenaja Canyon Academy,16,63.0,0.408031308491
56,Elk Grove Unified,3432572,Elk Grove High,526,68.5969581749,0.53358802929
57,Lodi Unified,3930237,Bear Creek High,167,67.6646706587,0.613983375582
58,Santa Paula Union High,5635776,Santa Paula High,26,58.0,0.691237192231
59,Shasta Union High,4530309,North State Independence High,21,24.0,0.35168792198
60,Visalia Unified,5435839,Sequoia High,14,15.0,0.573157315732
61,Hanford Joint Union High,118919,Sierra Pacific High,154,70.2467532468,0.41235459286
62,South Monterey County Joint Union High,2732170,King City High,62,83.9677419355,0.708883025506
63,Los Angeles Unified,1939479,WESM Health/Sports Medicine,43,76.7674418605,0.76065511572
64,North Monterey County Unified,2730125,North Monterey County Ctr,15,47.0,0.638313875535
65,Fortuna Union High,108688,Academy of the Redwoods,94,78.5,0.516473887136
66,Torrance Unified,1939602,West High,418,77.04784689,0.643809331448
67,Victor Valley Union High,3630787,Silverado High,110,57.9272727273,0.562874603361
68,Escalon Unified,3932308,Escalon High,284,62.5598591549,0.38561479177
69,Hayward Unified,135319,Mt. Eden High,53,67.0943396226,0.805712270804
70,Alvord Unified,3334299,Norte Vista High,51,60.6078431373,0.641564318035
71,Rowland Unified,1937564,Rowland (John A.) High,51,72.3529411765,0.58049122807
72,Tamalpais Union High,2130078,Tamiscal High (Alternative),50,89.78,0.758831277691
73,Glendale Unified,1933472,"Daily (Allan F.) High, Cont.",15,20.0,0.66717603912
74,Elk Grove Unified,116897,Cosumnes Oaks High,357,77.974789916,0.635654169855
75,Anaheim Union High,3033115,John F. Kennedy High,319,86.8777429467,0.620361429163
76,Fullerton Joint Union High,3037348,Sunny Hills High,255,79.8156862745,0.634521880065
77,Banning Unified,3330214,Banning High,12,50.0,0.449500318945
78,Plumas Unified,3236007,Quincy Junior/Senior High,84,78.5238095238,0.579813250333
79,San Juan Unified,3436714,Rio Americano High,717,74.1994421199,0.613832853026
80,San Juan Unified,3431111,Casa Roble Fundamental High,589,60.3140916808,0.442007644589
81,Simi Valley Unified,5630322,Santa Susana High,505,85.2871287129,0.510060259422
82,Pittsburg Unified,735407,Pittsburg Senior High,71,61.1267605634,0.811901646119
83,Sequoia Union High,4130993,Carlmont High,654,86.2262996942,0.798728472558
84,Davis Joint Unified,106674,Frances Ellen Watkins Harper,128,92.0,0.619047619048
85,Oak Park Unified,5630132,Oak Park High,819,90.5433455433,0.679618001047
86,Salinas Union High,2730166,Everett Alvarez High,89,69.7752808989,0.766725159026
87,Natomas Unified,3430584,Natomas High,26,61.1538461538,0.638572425017
88,San Leandro Unified,137588,San Leandro High,140,62.4142857143,0.737482842991
89,Tracy Joint Unified,3930302,Merrill F. West High,241,60.5767634855,0.628774661119
90,Jefferson Union High,4135075,Oceana High,74,78.3513513514,0.814388961892
91,Elk Grove Unified,3430592,Laguna Creek High,199,74.5025125628,0.669520992267
92,San Diego Unified,3733698,Madison High,121,59.0826446281,0.604657849339
93,Lompoc Unified,4230454,Cabrillo High,376,72.914893617,0.409012131716
94,Sierra Sands Unified,1530054,Mesquite Cont. High,16,25.0,0.31420233463
95,Brawley Union High,1331404,Brawley High,104,75.7980769231,0.697323900338
96,San Gabriel Unified,1995810,Gabrielino High,66,81.6818181818,0.733281579239
97,San Mateo Union High,4133070,Hillsdale High,308,75.762987013,0.779979830754
98,Los Angeles Unified,1935568,John Marshall Senior High,107,69.2523364486,0.690659481653
99,Elk Grove Unified,108753,Pleasant Grove High,642,79.6261682243,0.53358802929
100,Los Angeles Unified,1931476,Canoga Park Senior High,11,91.0,0.744038635678
101,Placer Union High,3135704,Placer High,530,70.8471698113,0.466746794872
102,Glendale Unified,1933530,Glendale High,339,67.8967551622,0.649555830428
103,Hemet Unified,106716,Hamilton High,32,65.9375,0.306974190005
104,Mammoth Unified,2630010,Mammoth High,77,79.4155844156,0.452304394427
105,Placer Union High,3132453,Del Oro High,903,81.1782945736,0.406476190476
106,Patterson Joint Unified,5036256,Patterson High,122,66.4672131148,0.577589023195
107,San Francisco Unified,3834082,Mission High,33,67.0,0.938423268274
108,San Jose Unified,4333795,Lincoln (Abraham) High,184,83.4130434783,0.806573310314
109,William S. Hart Union High,1931492,Canyon High,760,70.9789473684,0.579585410653
110,Lodi Unified,3934759,Tokay High,338,63.4763313609,0.41589295467
111,Twin Rivers Unified,3430634,Elwood J. Keema High,49,14.2857142857,0.524216204068
112,East Side Union High,4337903,Silver Creek High,44,77.0909090909,0.772476732629
113,Central Unified,1030386,Central Unif. Alter/Opp,18,22.0,0.586681844052
114,Mt. Diablo Unified,731380,Clayton Valley High,688,69.2965116279,0.66013560674
115,Whittier Union High,1939701,Whittier High,47,64.0638297872,0.78215661104
116,Conejo Valley Unified,5633748,Newbury Park High,1183,83.639898563,0.493549203137
117,West Sonoma County Union High,4931507,El Molino High,259,72.1853281853,0.739003936334
118,Lake Elsinore Unified,3332350,Elsinore High,417,69.7841726619,0.382344624781
119,Napa Valley Unified,121087,American Canyon High,106,69.0943396226,0.717882632831
120,Kern Union High,1530112,Vista West Continuation,32,6.0,0.184210526316
121,Bellflower Unified,1935618,Mayfair High,242,65.8884297521,0.728351881293
122,Riverside Unified,3334406,North (John W.) High,158,79.0189873418,0.6940433213
123,Moorpark Unified,5630215,Community High,16,44.0,0.518262586377
124,Northern Humboldt Union High,1235209,McKinleyville High,205,67.1170731707,0.657088577535
125,Long Beach Unified,1996503,Renaissance High for the Arts,50,87.9,0.836324705586
126,Tustin Unified,3032109,Foothill High,868,85.6785714286,0.624855443582
127,Sacramento City Unified,3434768,Kennedy (John F.) High,112,71.5803571429,0.746039824416
128,Orange Unified,3035409,Orange High,94,70.9361702128,0.569069526537
129,Chawanakee Unified,117010,Minarets High,100,72.64,0.315913688469
130,Poway Unified,3730819,Rancho Bernardo High,836,72.9545454545,0.555760188088
131,Livermore Valley Joint Unified,133397,Granada High,832,77.2139423077,0.429708222812
132,Fremont Union High,4331799,Cupertino High,287,80.4111498258,0.810852120749
133,Taft Union High,1530138,"Buena Vista High, Cont.",11,18.0,0.191363777571
134,Glendora Unified,1933597,Glendora High,782,76.2826086957,0.519502353732
135,El Dorado Union High,930081,Oak Ridge High,1154,82.3518197574,0.455197962491
136,Poway Unified,3735842,Abraxas Continuation High,24,8.0,0.473045822102
137,San Juan Unified,3432838,Encina Preparatory High,16,31.0,0.742994588094
138,Shoreline Unified,2134310,Tomales High,60,69.8666666667,0.77648878577
139,Placer Union High,3131687,"Chana High, Cont.",28,14.2857142857,0.643084541917
140,Folsom-Cordova Unified,3434792,"Kinney High, Cont.",14,23.0,0.513401072086
141,East Side Union High,4330023,Santa Teresa High,488,68.3422131148,0.723253757737
142,Riverside Unified,3336492,Ramona High,129,69.8527131783,0.554218787348
143,Upper Lake Union High,1737006,Upper Lake High,41,53.6829268293,0.459459459459
144,Novato Unified,2132272,Novato High,512,79.517578125,0.740899191039
145,Livermore Valley Joint Unified,134536,Livermore High,668,75.9086826347,0.429708222812
146,Woodland Joint Unified,5738802,Woodland Senior High,216,66.6574074074,0.655936454849
147,Willows Unified,1132851,Willows High,113,47.7256637168,0.319185059423
148,Folsom-Cordova Unified,3430709,Folsom Lake High,31,35.3548387097,0.496486605182
149,Fullerton Joint Union High,3037496,Troy High,427,87.0281030445,0.591143294806
150,Riverside Unified,3330362,Summit View Ind. Stdy.,54,38.7037037037,0.55196454629
151,Poway Unified,3735867,Poway High,1088,80.9613970588,0.473045822102
152,South San Francisco Unified,4137279,South San Francisco High,58,70.8103448276,0.823785517874
153,Amador County Unified,330050,North Star Independent Study,26,22.7307692308,0.385672227674
154,Arcadia Unified,1930288,Arcadia High,355,81.7098591549,0.641412361689
155,San Jose Unified,4335949,Pioneer High,491,85.9022403259,0.722009598445
156,Upland Unified,3637584,Upland High,650,74.7692307692,0.610185756392
157,Desert Sands Unified,3330388,Palm Desert High,523,84.4684512428,0.505620848237
158,Calistoga Joint Unified,2831758,Calistoga Junior-Senior High,24,83.0,0.715970515971
159,Konocti Unified,1735000,Lower Lake High,54,61.0,0.431428571429
160,Galt Joint Union High,119131,Liberty Ranch High,319,66.9153605016,0.473642263464
161,Moreno Valley Unified,3330396,Canyon Springs High,190,69.0842105263,0.601864262215
162,Capistrano Unified,113381,San Juan Hills High,707,87.946251768,0.43391730904
163,Grossmont Union High,3731809,El Capitan High,631,54.2725832013,0.28692779613
164,Paso Robles Joint Unified,119354,Independence High,47,34.8510638298,0.421278073628
165,El Dorado Union High,930149,"Independent Learning Ctr., Alt",46,34.7826086957,0.376518218623
166,Jurupa Unified,3330412,Jurupa Valley High,88,47.6818181818,0.58273381295
167,Castro Valley Unified,135533,Redwood Continuation High,28,18.6071428571,0.748513127992
168,El Dorado Union High,936302,Ponderosa High,943,70.7656415695,0.378048780488
169,Trinity Alps Unified,5337456,Trinity High,104,56.0769230769,0.41028128031
170,Tustin Unified,3037553,Tustin High,207,82.3526570048,0.624855443582
