,District,School Code,School Name,number,score,vote
0,Alameda City Unified,1,District Students in NPS,80,2.65,0.643058547424
1,Modesto City High,110593,James C. Enochs High,11,45.0,0.503361941726
2,Murrieta Valley Unified,118794,Murrieta Mesa High,45,59.4,0.551023137622
3,Hemet Unified,3330065,Alessandro High,18,0.0,0.467771639042
4,Redlands Unified,118802,Citrus Valley High,59,54.2711864407,0.455927591103
5,Los Angeles Unified,1939479,WESM Health/Sports Medicine,378,32.0079365079,0.76065511572
6,Anaheim Union High,3033115,John F. Kennedy High,33,72.8787878788,0.620361429163
7,Corona-Norco Unified,110627,Eleanor Roosevelt High,118,54.3559322034,0.469943247562
8,Riverside Unified,3336237,Polytechnic High,107,24.308411215,0.55196454629
9,Clovis Unified,1030196,Clovis West High,39,35.7435897436,0.410257742673
10,Chaffey Joint Union High,3631157,Colony High,114,35.3070175439,0.584564584732
11,William S. Hart Union High,102459,Golden Valley High,50,37.88,0.493247068338
12,Murrieta Valley Unified,100420,Vista Murrieta High,50,52.22,0.408031308491
13,West Contra Costa Unified,733253,Gompers (Samuel) Continuation,27,10.0,0.921564694082
14,Antioch Unified,730465,Deer Valley High,347,31.6974063401,0.720506845325
15,Tulare Joint Union High,5435466,Tulare Western High,26,42.0,0.509095204347
16,Riverside County Office of Education,3330123,Riverside County Juvenile Cou,13,0.0,0.666864608076
17,Lynwood Unified,1935436,Lynwood High,56,32.2321428571,0.818173573955
18,Elk Grove Unified,3430477,Florin High,125,29.696,0.724257282954
19,West Covina Unified,1939537,West Covina High,58,61.8103448276,0.722227984649
20,West Contra Costa Unified,735316,Pinole Valley High,117,18.2051282051,0.820333432569
21,Corona-Norco Unified,3334232,Norco High,14,43.0,0.521374277896
22,Los Banos Unified,120923,Pacheco High,11,36.0,0.609182058047
23,Hanford Joint Union High,1634401,Hanford High,11,0.0,0.41235459286
24,Tulare Joint Union High,5435409,Tulare Union High,47,32.0,0.509095204347
25,Berkeley Unified,131177,Berkeley High,208,15.2836538462,0.95595970901
26,Sacramento City Unified,3430519,Capital City,68,4.32352941176,0.810262114997
27,Grossmont Union High,3734548,Monte Vista High,88,38.7954545455,0.567637598284
28,Modesto City High,5030010,Beyer (Fred C.) High,26,38.7692307692,0.503361941726
29,Elk Grove Unified,3432572,Elk Grove High,48,39.6458333333,0.53358802929
30,Lodi Unified,3930237,Bear Creek High,152,33.6710526316,0.613983375582
31,Elk Grove Unified,3430527,"Insights High, Cont.",18,11.0,0.724257282954
32,Fresno Unified,1030279,Bullard High,147,33.4897959184,0.571761688236
33,Sacramento City Unified,3434636,Johnson (Hiram W.) High,89,21.0786516854,0.797459584296
34,Fresno Unified,1030287,Young Academic Center,69,4.52173913043,0.770626242545
35,Fontana Unified,3633302,Fontana High,54,29.5740740741,0.767511394713
36,Hayward Unified,135319,Mt. Eden High,99,19.7676767677,0.805712270804
37,Los Angeles Unified,1935519,Manual Arts Senior High,258,17.2984496124,0.87685560054
38,Elk Grove Unified,116897,Cosumnes Oaks High,114,36.7719298246,0.635654169855
39,Los Angeles Unified,114850,West Adams Preparatory High,107,24.2990654206,0.904467987103
40,Banning Unified,3330214,Banning High,63,20.8095238095,0.449500318945
41,Sweetwater Union High,3731627,Otay Ranch Senior High,11,45.0,0.675064800415
42,Pittsburg Unified,735407,Pittsburg Senior High,305,27.4491803279,0.811901646119
43,San Bernardino City Unified,3631082,Arroyo Valley,201,31.2338308458,0.736587270597
44,Natomas Unified,3430584,Natomas High,96,33.3333333333,0.638572425017
45,Tracy Joint Unified,3930302,Merrill F. West High,57,30.6315789474,0.628774661119
46,Elk Grove Unified,3430592,Laguna Creek High,176,30.0227272727,0.669520992267
47,Fresno County Office of Education,1030337,Fresno County Court,37,10.8378378378,0.604175194433
48,San Diego Unified,3733698,Madison High,85,34.9882352941,0.604657849339
49,San Diego Unified,3735750,Point Loma High,48,52.2291666667,0.687368103708
50,Los Angeles Unified,1935568,John Marshall Senior High,24,46.0,0.690659481653
51,Elk Grove Unified,108753,Pleasant Grove High,69,41.8550724638,0.53358802929
52,Los Angeles Unified,1931476,Canoga Park Senior High,51,50.9803921569,0.744038635678
53,Elk Grove Unified,3430618,Sheldon High,180,29.85,0.599445599446
54,Stockton Unified,3932654,Franklin High,79,15.5189873418,0.546288209607
55,Patterson Joint Unified,5036256,Patterson High,53,45.3773584906,0.577589023195
56,Long Beach Unified,125153,Beach High-ILP,52,5.80769230769,0.575231756596
57,San Francisco Unified,3834082,Mission High,50,12.24,0.938423268274
58,Oakland Unified,125161,Castlemont High,35,17.0,0.879256384577
59,Twin Rivers Unified,3430634,Elwood J. Keema High,44,0.0,0.524216204068
60,East Side Union High,4337903,Silver Creek High,16,38.0,0.772476732629
61,Modesto City High,5030135,Johansen (Peter) High,28,28.2142857143,0.298161470823
62,Tracy Joint Unified,119040,John C. Kimball High,15,60.0,0.622109275731
63,Bellflower Unified,1935618,Mayfair High,121,40.694214876,0.728351881293
