,District,School Code,School Name,number,score,vote
0,Alameda City Unified,1,District Students in NPS,408,9.91911764706,0.643058547424
1,Hacienda la Puente Unified,1933316,"Puente Hills High, Alter.",27,11.1111111111,0.770707392088
2,Holtville Unified,1335306,Holtville High,329,44.7234042553,0.586666666667
3,Pomona Unified,1933324,Garey Senior High,1166,37.346483705,0.694546617624
4,Burbank Unified,1933332,"Monterey High, Cont.",59,14.0,0.808108640031
5,Bret Harte Union High,532507,Bret Harte Union High,80,53.75,0.348512011474
6,Santa Ana Unified,114736,Hector G. Godinez,1883,53.7031332979,0.673099513341
7,Windsor Unified,4930228,Windsor High,418,46.3851674641,0.690663417876
8,Santa Monica-Malibu Unified,1933373,"Olympic High, Cont.",21,0.0,0.83513562224
9,Los Angeles Unified,1933381,James A. Garfield Senior High,1700,43.9282352941,0.884973040556
10,Santa Paula Union High,5636170,"Renaissance High, Cont.",68,4.76470588235,0.691237192231
11,Orange Unified,114769,OUSD Community Day,11,27.0,0.581574185766
12,Muroc Joint Unified,1531987,Desert Junior-Senior High,44,45.1818181818,0.289198606272
13,Los Angeles County Office of Education,1933399,L.A. Co. High School/Arts,106,79.0188679245,0.750386750387
14,Corona-Norco Unified,3334232,Norco High,647,49.6105100464,0.521374277896
15,Simi Valley Unified,5636188,Simi Valley High,365,49.7917808219,0.510060259422
16,Lucia Mar Unified,4030557,Arroyo Grande High,505,43.8217821782,0.530927105449
17,Tulare Joint Union High,5435409,Tulare Union High,829,48.41013269,0.509095204347
18,Berkeley Unified,131177,Berkeley High,409,44.271393643,0.95595970901
19,Redlands Unified,118802,Citrus Valley High,758,54.364116095,0.455927591103
20,Marin County Office of Education,2130037,Marin County Community,53,5.39622641509,0.776995305164
21,Modesto City High,5030010,Beyer (Fred C.) High,469,47.0980810235,0.503361941726
22,Elk Grove Unified,3432572,Elk Grove High,250,52.2,0.53358802929
23,Azusa Unified,1933449,Gladstone High,933,41.1254019293,0.461583577713
24,Escalon Unified,3932308,Escalon High,271,33.9151291513,0.38561479177
25,Alvord Unified,3334299,Norte Vista High,1468,37.2438692098,0.641564318035
26,Glendale Unified,1933472,"Daily (Allan F.) High, Cont.",70,11.0,0.66717603912
27,Los Angeles Unified,114850,West Adams Preparatory High,1337,24.1264023934,0.904467987103
28,Davis Joint Unified,106674,Frances Ellen Watkins Harper,36,63.0,0.619047619048
29,Stanislaus County Office of Education,5030069,Stanislaus Community,21,0.0,0.504190412337
30,Stanislaus County Office of Education,5030085,John B. Allard,194,5.9587628866,0.616432613708
31,San Diego Unified,3735750,Point Loma High,508,52.6653543307,0.687368103708
32,Sweetwater Union High,3730124,Southwest Senior High,1074,37.9236499069,0.653173965448
33,Glendale Unified,1933530,Glendale High,647,47.7882534776,0.649555830428
34,Hemet Unified,106716,Hamilton High,76,35.6315789474,0.306974190005
35,San Francisco Unified,3834082,Mission High,236,17.5423728814,0.938423268274
36,San Jose Unified,4333795,Lincoln (Abraham) High,875,41.424,0.806573310314
37,Kelseyville Unified,1734359,Kelseyville High,135,29.7185185185,0.532676348548
38,Patterson Joint Unified,5030127,"Del Puerto High, Cont.",48,10.0,0.577589023195
39,Modesto City High,5030135,Johansen (Peter) High,706,39.0127478754,0.298161470823
40,Riverside Unified,3334406,North (John W.) High,1135,40.1286343612,0.6940433213
41,Ceres Unified,5030168,Endeavor Alternative,39,5.0,0.549878345499
42,Glendora Unified,1933597,Glendora High,602,61.523255814,0.519502353732
43,Poway Unified,3735842,Abraxas Continuation High,12,17.0,0.473045822102
44,Atascadero Unified,4030755,Atascadero High,219,43.5388127854,0.472904383491
45,Upper Lake Union High,1737006,Upper Lake High,53,28.5094339623,0.459459459459
46,Ukiah Unified,2335024,Ukiah High,453,30.9933774834,0.634938728983
47,Hesperia Unified,3630472,Mojave High,91,8.61538461538,0.346627880273
48,Val Verde Unified,123190,Val Verde Academy,49,34.5714285714,0.553964887475
49,Ceres Unified,5030200,"Argus High, Cont.",128,9.40625,0.549878345499
50,Fresno Unified,1032507,Fresno High,1086,25.7366482505,0.571761688236
51,South San Francisco Unified,4137279,South San Francisco High,516,45.6124031008,0.823785517874
52,Stanislaus County Office of Education,5030226,Petersen Alternative Center f,95,4.22105263158,0.504190412337
53,Chico Unified,431502,Fair View High (Continuation),39,4.84615384615,0.611191139281
54,Porterville Unified,5434931,Strathmore High,172,27.011627907,0.288544358312
55,Waterford Unified,5030259,Waterford High,185,44.0486486486,0.505358150028
56,Mammoth Unified,2630010,Mammoth High,97,24.3402061856,0.452304394427
57,Morgan Hill Unified,4333951,Live Oak High,404,41.3886138614,0.62508259548
58,Kern Union High,1532290,East Bakersfield High,1290,35.0527131783,0.288645690834
59,San Juan Unified,3432838,Encina Preparatory High,165,23.0,0.742994588094
60,Turlock Unified,5030283,Pitman (John H.) High,690,43.0492753623,0.434776749618
61,Corning Union High,5231709,Corning High,349,33.2636103152,0.349639855942
62,Ramona City Unified,3735958,"Montecito High, Cont.",44,4.45454545455,0.315043052507
