,District,District Code,School Code,School Name,number,score,vote
0,Alameda City Unified,61119,1,District Students in NPS,263,5.68821292776,0.643058547424
1,San Diego Unified,68338,3733508,La Jolla High,11,55.0,0.643146674673
2,Modesto City High,71175,110593,James C. Enochs High,68,55.8088235294,0.503361941726
3,Murrieta Valley Unified,75200,118794,Murrieta Mesa High,120,58.3416666667,0.551023137622
4,Hemet Unified,67082,3330065,Alessandro High,25,4.0,0.467771639042
5,Redlands Unified,67843,118802,Citrus Valley High,103,57.4368932039,0.455927591103
6,Anaheim Union High,66431,3033115,John F. Kennedy High,87,65.6091954023,0.620361429163
7,San Marcos Unified,73791,3737632,San Marcos High,42,85.5,0.556289356474
8,Corona-Norco Unified,67033,110627,Eleanor Roosevelt High,300,60.56,0.469943247562
9,Riverside Unified,67215,3336237,Polytechnic High,177,34.3728813559,0.55196454629
10,Sweetwater Union High,68411,3731502,San Ysidro High,12,67.0,0.653173965448
11,Center Joint Unified,73973,3430378,Center High,133,38.3533834586,0.514728477984
12,Clovis Unified,62117,1030196,Clovis West High,68,45.5588235294,0.410257742673
13,Chaffey Joint Union High,67652,3631157,Colony High,188,43.8936170213,0.584564584732
14,Murrieta Valley Unified,75200,100420,Vista Murrieta High,168,65.4285714286,0.408031308491
15,West Contra Costa Unified,61796,733253,Gompers (Samuel) Continuation,32,9.0,0.921564694082
16,Antioch Unified,61648,730465,Deer Valley High,564,36.884751773,0.720506845325
17,Poway Unified,68296,3731528,Westview High,24,58.5833333333,0.590174713507
18,Tulare Joint Union High,72249,5435466,Tulare Western High,33,45.5454545455,0.509095204347
19,Riverside County Office of Education,10330,3330123,Riverside County Juvenile Cou,13,0.0,0.666864608076
20,Elk Grove Unified,67314,3430477,Florin High,148,31.8243243243,0.724257282954
21,Muroc Joint Unified,63685,1531987,Desert Junior-Senior High,54,53.8333333333,0.289198606272
22,West Contra Costa Unified,61796,735316,Pinole Valley High,212,18.4433962264,0.820333432569
23,Corona-Norco Unified,67033,3334232,Norco High,62,61.2096774194,0.521374277896
24,Los Banos Unified,65755,120923,Pacheco High,50,35.9,0.609182058047
25,San Juan Unified,67447,3430493,Bella Vista High,30,43.0,0.486412512219
26,Hanford Joint Union High,63925,1634401,Hanford High,59,35.6779661017,0.41235459286
27,San Jose Unified,69666,4338950,Willow Glen High,49,57.2244897959,0.745581677036
28,Tulare Joint Union High,72249,5435409,Tulare Union High,58,32.6206896552,0.509095204347
29,Berkeley Unified,61143,131177,Berkeley High,452,17.2654867257,0.95595970901
30,Sacramento City Unified,67439,3430519,Capital City,106,4.70754716981,0.810262114997
31,Grossmont Union High,68130,3734548,Monte Vista High,161,43.0124223602,0.567637598284
32,Modesto City High,71175,5030010,Beyer (Fred C.) High,51,47.1176470588,0.503361941726
33,Elk Grove Unified,67314,3432572,Elk Grove High,83,49.5060240964,0.53358802929
