,District,District Code,School Code,School Name,number,score,vote
0,Alameda City Unified,61119,1,District Students in NPS,80,2.65,0.643058547424
1,Modesto City High,71175,110593,James C. Enochs High,11,45.0,0.503361941726
2,Murrieta Valley Unified,75200,118794,Murrieta Mesa High,45,59.4,0.551023137622
3,Hemet Unified,67082,3330065,Alessandro High,18,0.0,0.467771639042
4,Redlands Unified,67843,118802,Citrus Valley High,59,54.2711864407,0.455927591103
5,Anaheim Union High,66431,3033115,John F. Kennedy High,33,72.8787878788,0.620361429163
6,Corona-Norco Unified,67033,110627,Eleanor Roosevelt High,118,54.3559322034,0.469943247562
7,Riverside Unified,67215,3336237,Polytechnic High,107,24.308411215,0.55196454629
8,Center Joint Unified,73973,3430378,Center High,71,30.7746478873,0.514728477984
9,Clovis Unified,62117,1030196,Clovis West High,39,35.7435897436,0.410257742673
10,Chaffey Joint Union High,67652,3631157,Colony High,114,35.3070175439,0.584564584732
11,Murrieta Valley Unified,75200,100420,Vista Murrieta High,50,52.22,0.408031308491
12,West Contra Costa Unified,61796,733253,Gompers (Samuel) Continuation,27,10.0,0.921564694082
13,Antioch Unified,61648,730465,Deer Valley High,347,31.6974063401,0.720506845325
14,Tulare Joint Union High,72249,5435466,Tulare Western High,26,42.0,0.509095204347
15,Riverside County Office of Education,10330,3330123,Riverside County Juvenile Cou,13,0.0,0.666864608076
16,Elk Grove Unified,67314,3430477,Florin High,125,29.696,0.724257282954
17,West Contra Costa Unified,61796,735316,Pinole Valley High,117,18.2051282051,0.820333432569
18,Corona-Norco Unified,67033,3334232,Norco High,14,43.0,0.521374277896
19,Los Banos Unified,65755,120923,Pacheco High,11,36.0,0.609182058047
20,Hanford Joint Union High,63925,1634401,Hanford High,11,0.0,0.41235459286
21,Tulare Joint Union High,72249,5435409,Tulare Union High,47,32.0,0.509095204347
22,Berkeley Unified,61143,131177,Berkeley High,208,15.2836538462,0.95595970901
23,Sacramento City Unified,67439,3430519,Capital City,68,4.32352941176,0.810262114997
24,Grossmont Union High,68130,3734548,Monte Vista High,88,38.7954545455,0.567637598284
25,Modesto City High,71175,5030010,Beyer (Fred C.) High,26,38.7692307692,0.503361941726
26,Elk Grove Unified,67314,3432572,Elk Grove High,48,39.6458333333,0.53358802929
27,Lodi Unified,68585,3930237,Bear Creek High,152,33.6710526316,0.613983375582
28,Elk Grove Unified,67314,3430527,"Insights High, Cont.",18,11.0,0.724257282954
29,Fresno Unified,62166,1030279,Bullard High,147,33.4897959184,0.571761688236
30,Sacramento City Unified,67439,3434636,Johnson (Hiram W.) High,89,21.0786516854,0.797459584296
31,Fresno Unified,62166,1030287,Young Academic Center,69,4.52173913043,0.770626242545
32,Fontana Unified,67710,3633302,Fontana High,54,29.5740740741,0.767511394713
33,Hayward Unified,61192,135319,Mt. Eden High,99,19.7676767677,0.805712270804
34,Elk Grove Unified,67314,116897,Cosumnes Oaks High,114,36.7719298246,0.635654169855
35,Banning Unified,66985,3330214,Banning High,63,20.8095238095,0.449500318945
36,Sweetwater Union High,68411,3731627,Otay Ranch Senior High,11,45.0,0.675064800415
37,Pittsburg Unified,61788,735407,Pittsburg Senior High,305,27.4491803279,0.811901646119
38,Natomas Unified,75283,3430584,Natomas High,96,33.3333333333,0.638572425017
39,Tracy Joint Unified,75499,3930302,Merrill F. West High,57,30.6315789474,0.628774661119
40,Elk Grove Unified,67314,3430592,Laguna Creek High,176,30.0227272727,0.669520992267
41,Fresno County Office of Education,10108,1030337,Fresno County Court,37,10.8378378378,0.604175194433
42,San Diego Unified,68338,3733698,Madison High,85,34.9882352941,0.604657849339
43,San Diego Unified,68338,3735750,Point Loma High,48,52.2291666667,0.687368103708
44,Elk Grove Unified,67314,108753,Pleasant Grove High,69,41.8550724638,0.53358802929
45,Kern Union High,63529,1530385,Ridgeview High,92,32.6304347826,0.441355674029
46,Colton Joint Unified,67686,3631322,Bloomington High,33,27.5454545455,0.760985136161
47,Patterson Joint Unified,71217,5036256,Patterson High,53,45.3773584906,0.577589023195
48,Oakland Unified,61259,125161,Castlemont High,35,17.0,0.879256384577
49,Twin Rivers Unified,76505,3430634,Elwood J. Keema High,44,0.0,0.524216204068
50,East Side Union High,69427,4337903,Silver Creek High,16,38.0,0.772476732629
51,Modesto City High,71175,5030135,Johansen (Peter) High,28,28.2142857143,0.298161470823
52,Lake Elsinore Unified,75176,3332350,Elsinore High,35,43.0,0.382344624781
53,Tracy Joint Unified,75499,119040,John C. Kimball High,15,60.0,0.622109275731
54,Riverside Unified,67215,3334406,North (John W.) High,130,43.0769230769,0.6940433213
55,Sacramento City Unified,67439,3434768,Kennedy (John F.) High,143,34.965034965,0.746039824416
56,East Side Union High,69427,4335907,Piedmont Hills High,13,23.0,0.675513501039
57,Moreno Valley Unified,67124,3330438,Valley View High,164,33.8170731707,0.546990496304
58,Folsom-Cordova Unified,67330,3434792,"Kinney High, Cont.",13,8.0,0.513401072086
59,Riverside Unified,67215,3336492,Ramona High,62,43.435483871,0.554218787348
60,Novato Unified,65417,2132272,Novato High,24,20.5,0.740899191039
61,Fresno Unified,62166,1032507,Fresno High,131,16.1908396947,0.571761688236
62,Hesperia Unified,75044,119115,Oak Hills High,91,34.2087912088,0.291064388962
63,Upland Unified,75069,3637584,Upland High,128,39.9375,0.610185756392
64,Desert Sands Unified,67058,3330388,Palm Desert High,24,45.5416666667,0.505620848237
65,Moreno Valley Unified,67124,3330396,Canyon Springs High,275,35.7054545455,0.601864262215
66,San Joaquin County Office of Education,10397,3930468,San Joaquin County Community,119,1.64705882353,0.484574111335
67,Tustin Unified,73643,3037553,Tustin High,19,26.0,0.624855443582
68,San Leandro Unified,61291,137588,San Leandro High,183,32.6174863388,0.737482842991
69,Madera Unified,65243,110965,Madera South High,29,34.4827586207,0.589822329458
70,Kern Union High,63529,1532290,East Bakersfield High,46,24.3043478261,0.288645690834
71,San Juan Unified,67447,3432838,Encina Preparatory High,96,21.0104166667,0.742994588094
72,Corona-Norco Unified,67033,3330446,Centennial High,77,44.1428571429,0.432162875041
73,Sacramento City Unified,67439,108951,Arthur A. Benjamin Health Pro,46,39.0434782609,0.813576409309
74,Chaffey Joint Union High,67652,3637659,"Valley View High, Cont.",18,0.0,0.740069892208
75,Vacaville Unified,70573,4837803,Vacaville High,36,31.6666666667,0.570959803117
76,Washington Unified,72694,5735154,River City Senior High,50,28.12,0.782843431314
77,Rialto Unified,67850,102830,Wilmer Amina Carter High,244,30.0081967213,0.666440562998
78,Beaumont Unified,66993,3330479,Beaumont Senior High,58,51.7068965517,0.465511092089
79,Desert Sands Unified,67058,3333192,Indio High,11,55.0,0.680439104503
80,Twin Rivers Unified,76505,3436979,Rio Linda High,58,28.1896551724,0.671213208902
81,Lake Elsinore Unified,75176,3330487,Temescal Canyon High,31,32.6774193548,0.453914327917
82,Wasco Union High,63859,1536440,Wasco High,13,38.0,0.391639871383
83,Kern County Office of Education,10157,1530302,Kern County Juvenile Court,32,3.28125,0.42465976693
84,Sweetwater Union High,68411,3733953,Mar Vista Senior High,13,38.0,0.669663669664
85,Kern County Office of Education,10157,1530310,Kern County Community,143,3.37062937063,0.42465976693
86,Sacramento City Unified,67439,3430865,West Campus,15,80.0,0.797459584296
87,Elk Grove Unified,67314,3430873,Franklin High,125,42.472,0.635654169855
88,Oakland Unified,61259,100826,Mandela High,29,10.5517241379,0.88386797378
89,West Contra Costa Unified,61796,733659,Kennedy High,130,13.2615384615,0.886746643816
90,Twin Rivers Unified,76505,3430881,Vista Nueva Career and Tech,11,9.0,0.606024488027
91,Oakland Unified,61259,100834,Media College Preparatory,57,7.31578947368,0.88386797378
92,Kern Union High,63529,1530344,Stockdale High,15,13.0,0.815833333333
93,Hemet Unified,67082,3330537,West Valley High,101,41.2574257426,0.410739052903
94,San Bernardino County Office of Educatio,10363,123372,High Desert Assessment Ctr.,14,21.0,0.285087719298
95,Stockton Unified,68676,3932654,Franklin High,79,15.5189873418,0.546288209607
96,Oxnard Union High,72546,5634548,Oxnard High,11,36.0,0.647087467283
97,Val Verde Unified,75242,3330552,Rancho Verde High,289,42.7301038062,0.553964887475
98,Val Verde Unified,75242,3330560,Val Verde High,31,10.0,0.624669797476
99,Hemet Unified,67082,113159,Tahquitz High,88,22.75,0.410739052903
100,Mt. Diablo Unified,61754,737809,Ygnacio Valley High,13,23.0,0.699944842802
101,Palm Springs Unified,67173,3330578,Cathedral City High,11,73.0,0.696723575888
