,District,District Code,School Code,School Name,number,score,vote
0,Alameda City Unified,61119,1,District Students in NPS,128,2.53125,0.643058547424
1,Modesto City High,71175,110593,James C. Enochs High,11,45.0,0.503361941726
2,Murrieta Valley Unified,75200,118794,Murrieta Mesa High,58,49.4482758621,0.551023137622
3,Hemet Unified,67082,3330065,Alessandro High,29,0.0,0.467771639042
4,Redlands Unified,67843,118802,Citrus Valley High,84,40.4404761905,0.455927591103
5,Anaheim Union High,66431,3033115,John F. Kennedy High,44,68.4090909091,0.620361429163
6,Corona-Norco Unified,67033,110627,Eleanor Roosevelt High,204,36.2892156863,0.469943247562
7,Riverside Unified,67215,3336237,Polytechnic High,181,18.3093922652,0.55196454629
8,Center Joint Unified,73973,3430378,Center High,85,31.6352941176,0.514728477984
9,Clovis Unified,62117,1030196,Clovis West High,39,35.7435897436,0.410257742673
10,Chaffey Joint Union High,67652,3631157,Colony High,161,28.049689441,0.584564584732
11,Murrieta Valley Unified,75200,100420,Vista Murrieta High,61,44.4262295082,0.408031308491
12,West Contra Costa Unified,61796,733253,Gompers (Samuel) Continuation,38,7.10526315789,0.921564694082
13,Antioch Unified,61648,730465,Deer Valley High,640,20.5109375,0.720506845325
14,Tulare Joint Union High,72249,5435466,Tulare Western High,26,42.0,0.509095204347
15,Riverside County Office of Education,10330,3330123,Riverside County Juvenile Cou,13,0.0,0.666864608076
16,Elk Grove Unified,67314,3430477,Florin High,227,19.9559471366,0.724257282954
17,West Contra Costa Unified,61796,735316,Pinole Valley High,190,11.7578947368,0.820333432569
18,Corona-Norco Unified,67033,3334232,Norco High,14,43.0,0.521374277896
19,Los Banos Unified,65755,120923,Pacheco High,11,36.0,0.609182058047
20,Hanford Joint Union High,63925,1634401,Hanford High,11,0.0,0.41235459286
21,Tulare Joint Union High,72249,5435409,Tulare Union High,47,32.0,0.509095204347
22,Berkeley Unified,61143,131177,Berkeley High,386,10.6295336788,0.95595970901
23,Sacramento City Unified,67439,3430519,Capital City,68,4.32352941176,0.810262114997
24,Grossmont Union High,68130,3734548,Monte Vista High,145,35.8482758621,0.567637598284
25,Modesto City High,71175,5030010,Beyer (Fred C.) High,41,27.1463414634,0.503361941726
26,Elk Grove Unified,67314,3432572,Elk Grove High,75,30.7466666667,0.53358802929
27,Lodi Unified,68585,3930237,Bear Creek High,267,28.202247191,0.613983375582
28,Elk Grove Unified,67314,3430527,"Insights High, Cont.",36,8.5,0.724257282954
29,Fresno Unified,62166,1030279,Bullard High,275,22.9490909091,0.571761688236
30,Sacramento City Unified,67439,3434636,Johnson (Hiram W.) High,155,14.0967741935,0.797459584296
31,Fresno Unified,62166,1030287,Young Academic Center,69,4.52173913043,0.770626242545
32,Fontana Unified,67710,3633302,Fontana High,70,24.1857142857,0.767511394713
33,Hayward Unified,61192,135319,Mt. Eden High,144,14.2569444444,0.805712270804
34,Elk Grove Unified,67314,116897,Cosumnes Oaks High,187,30.5401069519,0.635654169855
35,Banning Unified,66985,3330214,Banning High,97,14.6288659794,0.449500318945
