,District,District Code,School Code,School Name,number,score,vote
0,Alameda City Unified,61119,1,District Students in NPS,183,7.74316939891,0.643058547424
1,West Contra Costa Unified,61796,732164,De Anza Senior High,57,24.7894736842,0.8259762309
2,Rialto Unified,67850,3630597,Rialto High,35,40.0,0.797048080953
3,Newark Unified,61234,130054,Newark Memorial High,33,48.5757575758,0.786626940927
4,Morongo Unified,67777,3636743,Twentynine Palms High,13,54.0,0.330801687764
5,Murrieta Valley Unified,75200,118794,Murrieta Mesa High,74,58.5810810811,0.551023137622
6,New Haven Unified,61242,134668,James Logan High,114,46.4912280702,0.816524839006
7,Fremont Unified,61176,130062,American High,12,50.0,0.759161490683
8,Corona-Norco Unified,67033,3331600,Corona High,44,72.7727272727,0.47779425263
9,San Lorenzo Unified,61309,137745,Royal Sunset (Continuation),11,0.0,0.819102405629
10,Redlands Unified,67843,118802,Citrus Valley High,44,61.4772727273,0.455927591103
11,Grossmont Union High,68130,3734548,Monte Vista High,73,47.7945205479,0.567637598284
12,Anaheim Union High,66431,3030038,Cypress High,43,79.3488372093,0.555395524042
13,Pleasanton Unified,75101,130583,Amador Valley High,24,62.5,0.670665009323
14,Corona-Norco Unified,67033,3330586,Lee V. Pollard High (Cont.),11,0.0,0.581043375328
15,Anaheim Union High,66431,3033115,John F. Kennedy High,44,61.4090909091,0.620361429163
16,Acalanes Union High,61630,733725,Las Lomas High,16,63.0,0.74777603349
17,San Marcos Unified,73791,3737632,San Marcos High,32,87.34375,0.556289356474
18,Carlsbad Unified,73551,3730694,Carlsbad High,12,83.0,0.549352222947
19,Corona-Norco Unified,67033,110627,Eleanor Roosevelt High,182,64.8736263736,0.469943247562
20,Temecula Valley Unified,75192,105734,Great Oak High,81,60.3950617284,0.408742194469
21,Perris Union High,67207,113191,Heritage High,48,60.2916666667,0.502294893861
22,Anaheim Union High,66431,3036712,Savanna High,24,45.75,0.685525159022
23,Natomas Unified,75283,102236,Inderkum High,82,38.9146341463,0.673297678059
24,Riverside Unified,67215,3336237,Polytechnic High,70,49.9571428571,0.55196454629
25,Capistrano Unified,66464,3030574,Aliso Niguel High,28,64.6785714286,0.504467148292
26,Claremont Unified,64394,1931823,Claremont High,67,55.1343283582,0.593502314996
27,Pleasanton Unified,75101,130096,Foothill High,26,53.6538461538,0.704460402549
28,Campbell Union High,69401,4331955,Del Mar High,22,45.5,0.769785351466
29,Clovis Unified,62117,1030196,Clovis West High,12,50.0,0.410257742673
30,Chaffey Joint Union High,67652,3631157,Colony High,74,57.2432432432,0.584564584732
31,San Jose Unified,69666,4330080,Gunderson High,11,45.0,0.726104035234
32,Murrieta Valley Unified,75200,100420,Vista Murrieta High,118,71.1779661017,0.408031308491
33,Temecula Valley Unified,75192,3330743,Chaparral High,77,61.1298701299,0.423866370972
34,Vista Unified,68452,3738705,Vista High,24,48.0833333333,0.523737297133
35,San Lorenzo Unified,61309,137810,San Lorenzo High,95,30.3157894737,0.789598540146
36,Muroc Joint Unified,63685,1531987,Desert Junior-Senior High,45,53.1111111111,0.289198606272
37,West Contra Costa Unified,61796,735316,Pinole Valley High,91,19.8461538462,0.820333432569
38,Elk Grove Unified,67314,3430329,"Rio Cazadero High, Cont.",11,18.0,0.810262114997
39,Corona-Norco Unified,67033,3334232,Norco High,28,60.4285714286,0.521374277896
40,San Juan Unified,67447,3430493,Bella Vista High,11,73.0,0.486412512219
41,Kern Union High,63529,1536606,West High,11,27.0,0.40262955988
42,Dublin Unified,75093,132704,Dublin High,72,62.4444444444,0.700857618296
43,Hanford Joint Union High,63925,1634401,Hanford High,14,57.0,0.41235459286
44,Hayward Unified,61192,138339,Tennyson High,12,25.0,0.811079667267
45,East Side Union High,69427,4335204,Oak Grove High,42,23.7857142857,0.723253757737
46,Kern Union High,63529,100198,Golden Valley High,11,18.0,0.568197553658
47,Colton Joint Unified,67686,3632742,Colton High,14,36.0,0.621570090359
48,Kern Union High,63529,1530385,Ridgeview High,48,54.0416666667,0.441355674029
49,Vallejo City Unified,70581,4838504,Vallejo High,108,27.9907407407,0.823778345576
50,Berkeley Unified,61143,131177,Berkeley High,233,19.1373390558,0.95595970901
51,Kern Union High,63529,1530476,Liberty High,15,67.0,0.298972449739
52,Oakland Unified,61259,110189,McClymonds High,47,9.40425531915,0.836138613861
53,San Juan Unified,67447,3432051,Del Campo High,35,51.5142857143,0.486412512219
54,Santa Clara Unified,69674,4330122,Santa Clara High,14,64.0,0.761659933896
55,Sacramento City Unified,67439,3430519,Capital City,34,6.08823529412,0.810262114997
56,Sweetwater Union High,68411,3731064,Chula Vista Senior High,11,45.0,0.754016957886
57,Elk Grove Unified,67314,3432572,Elk Grove High,35,63.2285714286,0.53358802929
