,District,District Code,School Code,School Name,number,score,vote
0,Tulare Joint Union High,72249,5430145,Tulare Technical Preparatory,43,7.0,0.509095204347
1,Alameda City Unified,61119,1,District Students in NPS,1413,15.2363765039,0.643058547424
2,Firebaugh-Las Deltas Joint Unified,73809,1030147,El Puente High,11,0.0,0.395764394441
3,San Diego Unified,68338,3733508,La Jolla High,1139,73.6637401229,0.643146674673
4,San Diego Unified,68338,3730751,Mt. Everest Academy,70,87.1,0.604657849339
5,Winters Joint Unified,72702,5738505,Winters High,334,50.9491017964,0.646812957158
6,Holtville Unified,63149,1335306,Holtville High,373,47.4638069705,0.586666666667
7,Fresno Unified,62166,108555,Design Science Early College,153,88.2156862745,0.638969873664
8,Simi Valley Unified,72603,5630249,Monte Vista,104,43.3653846154,0.502965372106
9,Ferndale Unified,75374,1232909,Ferndale High,89,43.7191011236,0.414024975985
10,Oakdale Joint Unified,75564,5031950,East Stanislaus High,58,1.96551724138,0.381089459699
11,Hemet Unified,67082,3330065,Alessandro High,271,12.0,0.467771639042
12,Redlands Unified,67843,118802,Citrus Valley High,1599,63.866166354,0.455927591103
13,Dixon Unified,70532,4832259,Dixon High,840,51.0904761905,0.670484122853
14,Fillmore Unified,72454,5632021,Fillmore Senior High,718,46.1072423398,0.614634146341
15,Coronado Unified,68031,3731478,Coronado High,810,81.3802469136,0.631088082902
16,Livermore Valley Joint Unified,61200,130393,Vineyard Alternative,79,27.8607594937,0.429708222812
17,Shasta Union High,70136,4530200,Pioneer Continuation High,73,3.15068493151,0.35168792198
18,West Contra Costa Unified,61796,732164,De Anza Senior High,562,37.2170818505,0.8259762309
19,Bret Harte Union High,61556,532507,Bret Harte Union High,495,65.3818181818,0.348512011474
20,Ojai Unified,72520,5634076,Nordhoff High,617,55.5623987034,0.733727810651
21,Ventura Unified,72652,5630298,El Camino High,221,79.8823529412,0.733727810651
22,San Marcos Unified,73791,3737632,San Marcos High,1585,75.5791798107,0.556289356474
23,Garden Grove Unified,66522,3032752,Garden Grove High,1695,59.4383480826,0.646146252027
24,Corona-Norco Unified,67033,110627,Eleanor Roosevelt High,2369,63.1992401857,0.469943247562
25,Cuyama Joint Unified,75010,4231205,Cuyama Valley High,48,37.1666666667,0.524693796918
26,Moreno Valley Unified,67124,3330396,Canyon Springs High,1799,48.3640911618,0.601864262215
27,Shasta Union High,70136,4530218,Freedom High,19,11.0,0.35168792198
28,Riverside Unified,67215,3336237,Polytechnic High,2044,51.042074364,0.55196454629
29,Sweetwater Union High,68411,3731502,San Ysidro High,1597,39.5021916093,0.653173965448
30,Oakland Unified,61259,100701,MetWest,96,30.4583333333,0.92997246108
31,Santa Ana Unified,66670,114736,Hector G. Godinez,1939,54.3816400206,0.673099513341
32,Porterville Unified,75523,5430624,"Citrus High, Cont.",139,5.52517985612,0.288544358312
33,North Monterey County Unified,73825,2730034,North Monterey County High,830,42.6301204819,0.724327897752
34,Center Joint Unified,73973,3430451,"McClellan High, Cont.",58,12.3448275862,0.514728477984
35,Clovis Unified,62117,1030196,Clovis West High,1559,68.5625400898,0.410257742673
36,Chaffey Joint Union High,67652,3631157,Colony High,1514,49.5990752972,0.584564584732
37,Ventura Unified,72652,5630348,Foothill Technology High,769,87.6618985696,0.640656361139
38,East Side Union High,69427,4330015,Yerba Buena High,1208,37.5811258278,0.796362220492
39,San Mateo County Office of Education,10413,113332,Gateway Center,61,1.83606557377,0.772713878794
40,Yuba City Unified,71464,5130018,Powell (Albert) Cont.,149,15.0,0.402011581835
