,District,School Code,School Name,number,score,vote
0,Tulare Joint Union High,5430145,Tulare Technical Preparatory,76,6.56578947368,0.509095204347
1,Alameda City Unified,1,District Students in NPS,1984,11.2469758065,0.643058547424
2,Firebaugh-Las Deltas Joint Unified,1030147,El Puente High,11,0.0,0.395764394441
3,San Diego Unified,3733508,La Jolla High,2227,58.2864840593,0.643146674673
4,San Diego Unified,3730751,Mt. Everest Academy,85,75.2588235294,0.604657849339
5,Winters Joint Unified,5738505,Winters High,625,33.2032,0.646812957158
6,Holtville Unified,1335306,Holtville High,750,34.7506666667,0.586666666667
7,Fresno Unified,108555,Design Science Early College,305,72.7114754098,0.638969873664
8,Simi Valley Unified,5630249,Monte Vista,104,43.3653846154,0.502965372106
9,Ferndale Unified,1232909,Ferndale High,137,40.7664233577,0.414024975985
10,Oakdale Joint Unified,5031950,East Stanislaus High,80,2.8,0.381089459699
11,Hemet Unified,3330065,Alessandro High,527,7.23339658444,0.467771639042
12,Redlands Unified,118802,Citrus Valley High,3171,44.1595711132,0.455927591103
13,Dixon Unified,4832259,Dixon High,1601,40.1698938164,0.670484122853
14,Fillmore Unified,5632021,Fillmore Senior High,1340,41.6552238806,0.614634146341
15,Coronado Unified,3731478,Coronado High,1588,64.5780856423,0.631088082902
16,Livermore Valley Joint Unified,130393,Vineyard Alternative,79,27.8607594937,0.429708222812
17,Shasta Union High,4530200,Pioneer Continuation High,105,3.21904761905,0.35168792198
18,West Contra Costa Unified,732164,De Anza Senior High,1118,24.5322003578,0.8259762309
19,Bret Harte Union High,532507,Bret Harte Union High,922,48.1062906725,0.348512011474
20,Ojai Unified,5634076,Nordhoff High,1202,45.7579034942,0.733727810651
21,Ventura Unified,5630298,El Camino High,413,56.3220338983,0.733727810651
22,San Marcos Unified,3737632,San Marcos High,3098,62.2698515171,0.556289356474
23,Garden Grove Unified,3032752,Garden Grove High,3381,46.3960366755,0.646146252027
24,Corona-Norco Unified,110627,Eleanor Roosevelt High,4731,43.4297188755,0.469943247562
25,Cuyama Joint Unified,4231205,Cuyama Valley High,85,24.7176470588,0.524693796918
26,Moreno Valley Unified,3330396,Canyon Springs High,3223,34.4247595408,0.601864262215
27,Shasta Union High,4530218,Freedom High,19,11.0,0.35168792198
28,Riverside Unified,3336237,Polytechnic High,3987,36.5337346376,0.55196454629
29,Sweetwater Union High,3731502,San Ysidro High,3046,37.5725541694,0.653173965448
30,Oakland Unified,100701,MetWest,174,19.0632183908,0.92997246108
31,Santa Ana Unified,114736,Hector G. Godinez,3876,46.9775541796,0.673099513341
32,Porterville Unified,5430624,"Citrus High, Cont.",280,4.12857142857,0.288544358312
33,North Monterey County Unified,2730034,North Monterey County High,1566,26.211366539,0.724327897752
34,Center Joint Unified,3430451,"McClellan High, Cont.",76,10.8421052632,0.514728477984
35,Clovis Unified,1030196,Clovis West High,3102,59.3878143133,0.410257742673
36,Chaffey Joint Union High,3631157,Colony High,2745,38.887431694,0.584564584732
37,Ventura Unified,5630348,Foothill Technology High,1514,70.4755614267,0.640656361139
38,East Side Union High,4330015,Yerba Buena High,2390,30.6707112971,0.796362220492
39,San Mateo County Office of Education,113332,Gateway Center,61,1.83606557377,0.772713878794
40,Yuba City Unified,5130018,Powell (Albert) Cont.,173,12.9190751445,0.402011581835
41,Poway Unified,118935,Del Norte High,2534,62.0544593528,0.480098943108
42,Murrieta Valley Unified,118794,Murrieta Mesa High,3259,51.6864068733,0.551023137622
43,San Diego Unified,3730371,San Diego SCPA,1106,52.8761301989,0.639748894279
44,Central Unified,114751,Pathway Community Day,11,9.0,0.443277310924
45,Rim of the World Unified,3635265,Rim of the World Senior High,1607,41.0211574362,0.416916018352
46,Corona-Norco Unified,3330131,Corona-Norco Alternative,63,23.2698412698,0.581043375328
47,Lake Elsinore Unified,3330115,Ortega High,157,5.21656050955,0.418744769874
48,Murrieta Valley Unified,100420,Vista Murrieta High,4395,54.6746302617,0.408031308491
49,West Contra Costa Unified,733253,Gompers (Samuel) Continuation,109,3.59633027523,0.921564694082
50,Santa Ana Unified,108365,Segerstrom High,3550,48.8033802817,0.673099513341
51,Alameda County Office of Education,130401,Juvenile Hall/Court,167,1.11377245509,0.795628259161
52,Poway Unified,3731528,Westview High,3368,63.8732185273,0.590174713507
53,Tulare Joint Union High,5435466,Tulare Western High,2284,36.0757443082,0.509095204347
54,Riverside County Office of Education,3330123,Riverside County Juvenile Cou,112,11.4642857143,0.666864608076
55,Fremont Unified,135244,Mission San Jose High,3203,87.1788947861,0.766219839142
56,Elk Grove Unified,3430477,Florin High,2192,30.4749087591,0.724257282954
57,Grossmont Union High,3731536,Grossmont Middle College,61,68.8032786885,0.515335113302
58,Orange Unified,114769,OUSD Community Day,16,31.0,0.581574185766
59,Muroc Joint Unified,1531987,Desert Junior-Senior High,552,39.8351449275,0.289198606272
60,West Contra Costa Unified,735316,Pinole Valley High,1951,23.3311122501,0.820333432569
61,Elk Grove Unified,3430311,"Calvine High, Cont.",49,4.0,0.724257282954
62,San Jose Unified,4338950,Willow Glen High,2285,40.0411378556,0.745581677036
63,Corona-Norco Unified,3334232,Norco High,3073,43.2206313049,0.521374277896
64,San Joaquin County Office of Education,3930468,San Joaquin County Community,697,5.20659971306,0.484574111335
65,Los Banos Unified,120923,Pacheco High,2062,27.1682832202,0.609182058047
66,Simi Valley Unified,5636188,Simi Valley High,3163,49.1220360417,0.510060259422
67,San Juan Unified,3430493,Bella Vista High,2663,63.9628238828,0.486412512219
68,Clovis Unified,1030501,Buchanan High,3446,60.1079512478,0.398396767466
69,Hanford Joint Union High,1634401,Hanford High,2010,31.1328358209,0.41235459286
70,Los Gatos-Saratoga Joint Union High,4337762,Saratoga High,2020,80.9861386139,0.764052462527
71,South Monterey County Joint Union High,2730083,Portola-Butler Continuation H,44,5.0,0.708883025506
72,Simi Valley Unified,5635008,Royal High,2764,43.7188856729,0.502965372106
73,Desert Sands Unified,118885,Shadow Hills High,1802,35.6509433962,0.680439104503
74,Tulare Joint Union High,5435409,Tulare Union High,2519,42.7129813418,0.509095204347
75,Berkeley Unified,131177,Berkeley High,4189,42.6311768919,0.95595970901
76,Shasta Union High,114132,Shasta Plus,34,26.5294117647,0.35168792198
77,Moorpark Unified,5630371,Moorpark College,70,63.1285714286,0.518262586377
78,San Benito High,3537008,San Benito High,4046,36.7380128522,0.630313644324
79,Sonoma County Office of Education,4930343,Alternative Education,104,14.6153846154,0.723734225331
80,Oxnard Union High,5630066,"Frontier High, Cont.",223,7.56950672646,0.562587476419
81,Yucaipa-Calimesa Joint Unified,101816,Green Valley Independent Stud,23,34.4347826087,0.383247817085
82,Marin County Office of Education,2130037,Marin County Community,84,7.28571428571,0.776995305164
83,Laguna Beach Unified,3033206,Laguna Beach High,1400,72.1235714286,0.55997588909
84,Chico Unified,430199,Oakdale,34,8.73529411765,0.611191139281
85,Grossmont Union High,3734548,Monte Vista High,2121,41.3356907119,0.567637598284
86,Modesto City High,5030010,Beyer (Fred C.) High,2552,41.1767241379,0.503361941726
87,Perris Union High,3330172,"Perris Lake High, Cont.",169,9.01775147929,0.599527085125
