,District,District Code,School Code,School Name,number,score,vote
0,Modesto City High,71175,110593,James C. Enochs High,99,70.6464646465,0.503361941726
1,San Diego Unified,68338,3733508,La Jolla High,99,89.9595959596,0.643146674673
2,Murrieta Valley Unified,75200,118794,Murrieta Mesa High,61,65.4590163934,0.551023137622
3,Fresno Unified,62166,108555,Design Science Early College,12,92.0,0.638969873664
4,Redlands Unified,67843,118802,Citrus Valley High,105,82.5904761905,0.455927591103
5,Anaheim Union High,66431,3033115,John F. Kennedy High,452,84.8539823009,0.620361429163
6,San Marcos Unified,73791,3737632,San Marcos High,74,90.1891891892,0.556289356474
7,Corona-Norco Unified,67033,110627,Eleanor Roosevelt High,294,75.8163265306,0.469943247562
8,Riverside Unified,67215,3336237,Polytechnic High,51,82.2156862745,0.55196454629
9,Santa Ana Unified,66670,114736,Hector G. Godinez,22,86.5,0.673099513341
10,Clovis Unified,62117,1030196,Clovis West High,208,71.2115384615,0.410257742673
11,Chaffey Joint Union High,67652,3631157,Colony High,58,69.0,0.584564584732
12,Murrieta Valley Unified,75200,100420,Vista Murrieta High,117,78.5128205128,0.408031308491
13,Davis Joint Unified,72678,6066245,Emerson (Ralph Waldo) Jr. High,19,84.0,0.521778584392
14,East Side Union High,69427,4333639,Lick (James) High,62,45.1612903226,0.790654620853
15,Poway Unified,68296,3731528,Westview High,463,92.1555075594,0.590174713507
16,Fremont Unified,61176,135244,Mission San Jose High,1396,94.9878223496,0.766219839142
17,Elk Grove Unified,67314,3430477,Florin High,471,44.9214437367,0.724257282954
18,West Contra Costa Unified,61796,735316,Pinole Valley High,134,54.4328358209,0.820333432569
19,Corona-Norco Unified,67033,3334232,Norco High,50,73.98,0.521374277896
20,Simi Valley Unified,72603,5636188,Simi Valley High,149,82.2080536913,0.510060259422
21,San Juan Unified,67447,3430493,Bella Vista High,78,71.6923076923,0.486412512219
22,San Luis Coastal Unified,68809,4036703,San Luis Obispo High,52,79.1538461538,0.644798745426
23,Los Gatos-Saratoga Joint Union High,69534,4337762,Saratoga High,563,96.4262877442,0.764052462527
24,Berkeley Unified,61143,131177,Berkeley High,192,53.7291666667,0.95595970901
25,San Benito High,67538,3537008,San Benito High,12,83.0,0.630313644324
26,Laguna Beach Unified,66555,3033206,Laguna Beach High,14,93.0,0.55997588909
27,Sacramento City Unified,67439,3430519,Capital City,21,19.0,0.810262114997
28,Modesto City High,71175,5030010,Beyer (Fred C.) High,58,65.3275862069,0.503361941726
29,Elk Grove Unified,67314,3432572,Elk Grove High,96,69.0,0.53358802929
30,Lodi Unified,68585,3930237,Bear Creek High,266,54.6729323308,0.613983375582
31,Fresno Unified,62166,1030279,Bullard High,94,67.1276595745,0.571761688236
32,Sacramento City Unified,67439,3434636,Johnson (Hiram W.) High,331,35.5287009063,0.797459584296
33,Fresno Unified,62166,1030287,Young Academic Center,51,13.6862745098,0.770626242545
34,Hayward Unified,61192,135319,Mt. Eden High,175,64.7428571429,0.805712270804
35,Alvord Unified,66977,3334299,Norte Vista High,38,65.6578947368,0.641564318035
36,Elk Grove Unified,67314,116897,Cosumnes Oaks High,133,80.0977443609,0.635654169855
37,Jefferson Union High,68924,4135075,Oceana High,66,80.2121212121,0.814388961892
38,Fullerton Joint Union High,66514,3037348,Sunny Hills High,822,86.6277372263,0.634521880065
39,Banning Unified,66985,3330214,Banning High,71,39.6478873239,0.449500318945
