,District,District Code,School Code,School Name,number,score,vote
0,Modesto City High,71175,110593,James C. Enochs High,168,69.6726190476,0.503361941726
1,San Diego Unified,68338,3733508,La Jolla High,161,86.9751552795,0.643146674673
2,Murrieta Valley Unified,75200,118794,Murrieta Mesa High,72,67.9861111111,0.551023137622
3,Fresno Unified,62166,108555,Design Science Early College,23,82.9130434783,0.638969873664
4,Redlands Unified,67843,118802,Citrus Valley High,189,74.8201058201,0.455927591103
5,Anaheim Union High,66431,3033115,John F. Kennedy High,881,80.7241770715,0.620361429163
6,San Marcos Unified,73791,3737632,San Marcos High,117,87.0,0.556289356474
7,Corona-Norco Unified,67033,110627,Eleanor Roosevelt High,571,65.4851138354,0.469943247562
8,Riverside Unified,67215,3336237,Polytechnic High,68,76.4117647059,0.55196454629
9,Santa Ana Unified,66670,114736,Hector G. Godinez,22,86.5,0.673099513341
10,Clovis Unified,62117,1030196,Clovis West High,406,67.5270935961,0.410257742673
11,Chaffey Joint Union High,67652,3631157,Colony High,71,70.4647887324,0.584564584732
12,Murrieta Valley Unified,75200,100420,Vista Murrieta High,217,73.5437788018,0.408031308491
13,Davis Joint Unified,72678,6066245,Emerson (Ralph Waldo) Jr. High,19,84.0,0.521778584392
14,East Side Union High,69427,4333639,Lick (James) High,83,46.8915662651,0.790654620853
15,Poway Unified,68296,3731528,Westview High,913,78.5706462212,0.590174713507
16,Fremont Unified,61176,135244,Mission San Jose High,2776,89.5331412104,0.766219839142
17,Elk Grove Unified,67314,3430477,Florin High,931,36.5338345865,0.724257282954
18,West Contra Costa Unified,61796,735316,Pinole Valley High,239,39.2050209205,0.820333432569
19,Corona-Norco Unified,67033,3334232,Norco High,72,69.5555555556,0.521374277896
20,Simi Valley Unified,72603,5636188,Simi Valley High,280,73.7785714286,0.510060259422
21,San Juan Unified,67447,3430493,Bella Vista High,78,71.6923076923,0.486412512219
22,San Luis Coastal Unified,68809,4036703,San Luis Obispo High,52,79.1538461538,0.644798745426
23,Los Gatos-Saratoga Joint Union High,69534,4337762,Saratoga High,1101,92.9918256131,0.764052462527
24,Berkeley Unified,61143,131177,Berkeley High,342,42.3830409357,0.95595970901
25,San Benito High,67538,3537008,San Benito High,12,83.0,0.630313644324
26,Laguna Beach Unified,66555,3033206,Laguna Beach High,14,93.0,0.55997588909
27,Sacramento City Unified,67439,3430519,Capital City,21,19.0,0.810262114997
28,Modesto City High,71175,5030010,Beyer (Fred C.) High,81,55.4074074074,0.503361941726
29,Elk Grove Unified,67314,3432572,Elk Grove High,182,61.7857142857,0.53358802929
30,Lodi Unified,68585,3930237,Bear Creek High,516,50.5988372093,0.613983375582
31,Fresno Unified,62166,1030279,Bullard High,174,51.816091954,0.571761688236
32,Sacramento City Unified,67439,3434636,Johnson (Hiram W.) High,640,30.31875,0.797459584296
33,Fresno Unified,62166,1030287,Young Academic Center,51,13.6862745098,0.770626242545
34,Hayward Unified,61192,135319,Mt. Eden High,327,52.7889908257,0.805712270804
35,Alvord Unified,66977,3334299,Norte Vista High,38,65.6578947368,0.641564318035
36,Elk Grove Unified,67314,116897,Cosumnes Oaks High,224,68.0580357143,0.635654169855
37,Jefferson Union High,68924,4135075,Oceana High,103,84.4174757282,0.814388961892
38,Fullerton Joint Union High,66514,3037348,Sunny Hills High,1624,81.4341133005,0.634521880065
39,Banning Unified,66985,3330214,Banning High,100,30.13,0.449500318945
40,Corona-Norco Unified,67033,110759,John F. Kennedy High,38,78.8157894737,0.521374277896
41,San Juan Unified,67447,3436714,Rio Americano High,163,61.3987730061,0.613832853026
42,Sweetwater Union High,68411,3731627,Otay Ranch Senior High,119,80.4705882353,0.675064800415
43,Pittsburg Unified,61788,735407,Pittsburg Senior High,101,38.6336633663,0.811901646119
44,Sequoia Union High,69062,4130993,Carlmont High,360,88.0194444444,0.798728472558
45,Oak Park Unified,73874,5630132,Oak Park High,244,96.2090163934,0.679618001047
46,Natomas Unified,75283,3430584,Natomas High,90,52.2777777778,0.638572425017
47,Tracy Joint Unified,75499,3930302,Merrill F. West High,277,50.9350180505,0.628774661119
48,Elk Grove Unified,67314,3430592,Laguna Creek High,456,51.4649122807,0.669520992267
49,San Diego Unified,68338,3733698,Madison High,89,56.0786516854,0.604657849339
50,San Diego Unified,68338,3735750,Point Loma High,11,82.0,0.687368103708
51,San Mateo Union High,69047,4133070,Hillsdale High,269,69.8364312268,0.779979830754
52,Elk Grove Unified,67314,108753,Pleasant Grove High,714,72.4047619048,0.53358802929
53,Elk Grove Unified,67314,3430618,Sheldon High,882,47.3469387755,0.599445599446
54,Patterson Joint Unified,71217,5036256,Patterson High,22,64.0,0.577589023195
55,San Jose Unified,69666,4333795,Lincoln (Abraham) High,55,76.3090909091,0.806573310314
56,Lodi Unified,68585,3930344,Independence,11,27.0,0.41589295467
57,Twin Rivers Unified,76505,3430634,Elwood J. Keema High,15,7.0,0.524216204068
58,East Side Union High,69427,4337903,Silver Creek High,1454,63.439477304,0.772476732629
59,Mt. Diablo Unified,61754,731380,Clayton Valley High,163,57.8036809816,0.66013560674
60,Modesto City High,71175,5030135,Johansen (Peter) High,45,31.3333333333,0.298161470823
61,Lake Elsinore Unified,75176,3332350,Elsinore High,13,77.0,0.382344624781
62,Napa Valley Unified,66266,121087,American Canyon High,100,57.02,0.717882632831
63,Tracy Joint Unified,75499,119040,John C. Kimball High,398,59.6457286432,0.622109275731
64,Riverside Unified,67215,3334406,North (John W.) High,146,76.5273972603,0.6940433213
65,Tustin Unified,73643,3032109,Foothill High,194,86.0257731959,0.624855443582
66,Sacramento City Unified,67439,3434768,Kennedy (John F.) High,800,51.6625,0.746039824416
67,Orange Unified,66621,3035409,Orange High,104,49.0673076923,0.569069526537
68,Fullerton Joint Union High,66514,3033362,La Habra High,22,64.0,0.532154474935
69,Livermore Valley Joint Unified,61200,133397,Granada High,106,80.1886792453,0.429708222812
70,Fremont Union High,69468,4331799,Cupertino High,1634,83.2037943696,0.810852120749
71,Mountain View-Los Altos Union High,69609,4334728,Mountain View High,522,79.030651341,0.829648526077
72,El Dorado Union High,61853,930081,Oak Ridge High,238,84.8949579832,0.455197962491
73,East Side Union High,69427,4335907,Piedmont Hills High,1704,70.7218309859,0.675513501039
74,Modesto City High,71175,121129,Gregori High,88,48.8977272727,0.624695161083
75,Riverside Unified,67215,3336492,Ramona High,15,53.0,0.554218787348
76,Novato Unified,65417,2132272,Novato High,57,82.7719298246,0.740899191039
77,Woodland Joint Unified,72710,5738802,Woodland Senior High,12,33.0,0.655936454849
78,Fullerton Joint Union High,66514,3037496,Troy High,1569,94.8483110261,0.591143294806
79,Fresno Unified,62166,1032507,Fresno High,257,31.9027237354,0.571761688236
80,South San Francisco Unified,69070,4137279,South San Francisco High,215,61.1674418605,0.823785517874
81,Temecula Valley Unified,75192,3330370,Temecula Valley High,80,71.425,0.408742194469
82,Turlock Unified,75739,5030283,Pitman (John H.) High,172,65.6860465116,0.434776749618
83,Hesperia Unified,75044,119115,Oak Hills High,24,62.5,0.291064388962
84,San Jose Unified,69666,4335949,Pioneer High,303,75.1914191419,0.722009598445
85,Upland Unified,75069,3637584,Upland High,266,69.2593984962,0.610185756392
86,Desert Sands Unified,67058,3330388,Palm Desert High,80,73.775,0.505620848237
87,Moreno Valley Unified,67124,3330396,Canyon Springs High,47,61.7021276596,0.601864262215
88,Clovis Unified,62117,1030501,Buchanan High,375,69.2346666667,0.398396767466
89,Davis Joint Unified,72678,6060396,Holmes (Oliver Wendell),85,83.6823529412,0.521778584392
90,Albany City Unified,61127,130450,Albany High,567,74.9188712522,0.893089005236
