,District,District Code,School Code,School Name,number,score,vote
0,Tracy Joint Unified,75499,119040,John C. Kimball High,67,53.5820895522,0.622109275731
1,West Contra Costa Unified,61796,732164,De Anza Senior High,46,52.0217391304,0.8259762309
2,Rialto Unified,67850,3630597,Rialto High,11,82.0,0.797048080953
3,Newark Unified,61234,130054,Newark Memorial High,60,68.15,0.786626940927
4,Modesto City High,71175,110593,James C. Enochs High,30,66.6,0.503361941726
5,Campbell Union High,69401,4336137,Prospect High,27,41.037037037,0.764052462527
6,Fresno Unified,62166,108555,Design Science Early College,12,92.0,0.638969873664
7,New Haven Unified,61242,134668,James Logan High,260,48.4076923077,0.816524839006
8,Fremont Unified,61176,130062,American High,131,63.6641221374,0.759161490683
9,Davis Joint Unified,72678,5732201,Davis Senior High,31,51.3225806452,0.521778584392
10,Mt. Diablo Unified,61754,737809,Ygnacio Valley High,11,27.0,0.699944842802
11,Redlands Unified,67843,118802,Citrus Valley High,54,79.6481481481,0.455927591103
12,Fresno Unified,62166,1030675,Sunnyside High,640,36.659375,0.568887253098
13,San Diego Unified,68338,107029,San Diego International Studi,11,82.0,0.703490464196
14,Anaheim Union High,66431,3030038,Cypress High,148,87.6554054054,0.555395524042
15,Pleasanton Unified,75101,130583,Amador Valley High,12,58.0,0.670665009323
16,Fremont Union High,69468,4333316,Homestead High,91,65.0879120879,0.810852120749
17,Garden Grove Unified,66522,3030103,"Hare (Marie L.) High, Cont.",21,19.0,0.61663399608
18,Clovis Unified,62117,1030683,Clovis East High,287,50.7909407666,0.398396767466
19,Orange Unified,66621,3030046,Canyon High,11,73.0,0.425349254663
20,Anaheim Union High,66431,3038239,Western High,101,72.3168316832,0.639949943388
21,Corona-Norco Unified,67033,110627,Eleanor Roosevelt High,132,73.5,0.469943247562
22,San Diego Unified,68338,107185,Crawford CHAMPS,82,41.6829268293,0.727572685539
23,Anaheim Union High,66431,3036712,Savanna High,66,60.8484848485,0.685525159022
24,Natomas Unified,75283,102236,Inderkum High,139,58.1726618705,0.673297678059
25,Ceres Unified,71043,108076,Central Valley High,66,60.5757575758,0.549878345499
26,Capistrano Unified,66464,3030574,Aliso Niguel High,17,94.0,0.504467148292
27,Claremont Unified,64394,1931823,Claremont High,60,81.6,0.593502314996
28,Santa Ana Unified,66670,114736,Hector G. Godinez,11,82.0,0.673099513341
29,Clovis Unified,62117,1030196,Clovis West High,78,49.0256410256,0.410257742673
30,Chaffey Joint Union High,67652,3631157,Colony High,25,64.4,0.584564584732
31,Fresno Unified,62166,1035831,Roosevelt High,169,28.5325443787,0.73596287703
32,East Side Union High,69427,4330015,Yerba Buena High,322,53.2857142857,0.796362220492
33,San Jose Unified,69666,4335949,Pioneer High,28,74.8928571429,0.722009598445
34,Garden Grove Unified,66522,3035706,Rancho Alamitos High,277,68.5018050542,0.61663399608
35,Chico Unified,61424,431676,Chico High,83,31.3614457831,0.611191139281
36,Oxnard Union High,72546,5630389,Pacifica,23,69.8695652174,0.647087467283
37,San Jose Unified,69666,4330080,Gunderson High,46,56.4347826087,0.726104035234
38,Murrieta Valley Unified,75200,100420,Vista Murrieta High,29,75.6206896552,0.408031308491
39,Merced Union High,65789,2433605,Livingston High,116,68.3793103448,0.572062084257
40,Santa Ana Unified,66670,108365,Segerstrom High,93,86.0430107527,0.673099513341
41,East Side Union High,69427,4333639,Lick (James) High,39,30.9230769231,0.790654620853
42,Poway Unified,68296,3731528,Westview High,49,79.4693877551,0.590174713507
43,Fremont Unified,61176,135244,Mission San Jose High,27,59.3703703704,0.766219839142
44,Elk Grove Unified,67314,3430477,Florin High,435,45.675862069,0.724257282954
45,San Diego Unified,68338,107086,Kearny SCT,36,75.0277777778,0.63646714996
46,Irvine Unified,73650,3030285,Woodbridge High,35,74.0,0.612091204127
47,Natomas Unified,75283,3430584,Natomas High,48,62.1458333333,0.638572425017
48,San Lorenzo Unified,61309,137810,San Lorenzo High,58,27.775862069,0.789598540146
49,West Contra Costa Unified,61796,735316,Pinole Valley High,71,52.985915493,0.820333432569
50,Shasta Union High,70136,4532750,Enterprise High,39,46.358974359,0.295739575316
51,San Diego Unified,68338,107094,Kearny International Business,65,67.8461538462,0.63646714996
52,Fullerton Joint Union High,66514,3032505,Fullerton Un. High,11,64.0,0.607724006762
53,Anaheim Union High,66431,3030616,Oxford Academy,104,100.0,0.555395524042
54,East Side Union High,69427,4335204,Oak Grove High,211,54.028436019,0.723253757737
55,Anaheim Union High,66431,3034204,Magnolia High,106,49.1698113208,0.639949943388
56,San Bernardino City Unified,67876,3632221,Cajon High,44,66.0909090909,0.526741940276
57,Huntington Beach Union High,66548,3032158,Fountain Valley High,303,86.4620462046,0.534994634553
58,Dublin Unified,75093,132704,Dublin High,13,62.0,0.700857618296
59,Hayward Unified,61192,138339,Tennyson High,39,46.1538461538,0.811079667267
60,Sacramento City Unified,67439,3431012,Burbank (Luther) High,444,27.6441441441,0.810262114997
61,Kern Union High,63529,1530385,Ridgeview High,82,48.9512195122,0.441355674029
62,Berkeley Unified,61143,131177,Berkeley High,93,44.1935483871,0.95595970901
63,Folsom-Cordova Unified,67330,3431533,Cordova High,76,68.5526315789,0.513401072086
64,Santa Rosa High,70920,4930160,Allen (Elsie) High,27,59.1111111111,0.688666300768
65,Sweetwater Union High,68411,3738226,Sweetwater High,11,64.0,0.754522217853
