,District,District Code,School Code,School Name,number,score,vote
0,Tracy Joint Unified,75499,119040,John C. Kimball High,91,44.8571428571,0.622109275731
1,West Contra Costa Unified,61796,732164,De Anza Senior High,59,45.6271186441,0.8259762309
2,Rialto Unified,67850,3630597,Rialto High,11,82.0,0.797048080953
3,Newark Unified,61234,130054,Newark Memorial High,73,57.4383561644,0.786626940927
4,Modesto City High,71175,110593,James C. Enochs High,41,58.3902439024,0.503361941726
5,Campbell Union High,69401,4336137,Prospect High,27,41.037037037,0.764052462527
6,Fresno Unified,62166,108555,Design Science Early College,23,82.9130434783,0.638969873664
7,New Haven Unified,61242,134668,James Logan High,485,40.2845360825,0.816524839006
8,Fremont Unified,61176,130062,American High,256,51.37890625,0.759161490683
9,Davis Joint Unified,72678,5732201,Davis Senior High,31,51.3225806452,0.521778584392
10,Mt. Diablo Unified,61754,737809,Ygnacio Valley High,11,27.0,0.699944842802
11,Redlands Unified,67843,118802,Citrus Valley High,96,71.0,0.455927591103
12,Fresno Unified,62166,1030675,Sunnyside High,1230,27.156097561,0.568887253098
13,San Diego Unified,68338,107029,San Diego International Studi,11,82.0,0.703490464196
14,Anaheim Union High,66431,3030038,Cypress High,265,85.5962264151,0.555395524042
15,Pleasanton Unified,75101,130583,Amador Valley High,12,58.0,0.670665009323
16,Fremont Union High,69468,4333316,Homestead High,146,61.7808219178,0.810852120749
17,Garden Grove Unified,66522,3030103,"Hare (Marie L.) High, Cont.",37,13.3783783784,0.61663399608
18,Clovis Unified,62117,1030683,Clovis East High,559,43.2504472272,0.398396767466
19,Orange Unified,66621,3030046,Canyon High,11,73.0,0.425349254663
20,Anaheim Union High,66431,3038239,Western High,151,72.1721854305,0.639949943388
21,Corona-Norco Unified,67033,110627,Eleanor Roosevelt High,233,64.0600858369,0.469943247562
22,San Diego Unified,68338,107185,Crawford CHAMPS,126,42.1825396825,0.727572685539
23,Anaheim Union High,66431,3036712,Savanna High,102,52.9509803922,0.685525159022
24,Natomas Unified,75283,102236,Inderkum High,251,42.9641434263,0.673297678059
25,Ceres Unified,71043,108076,Central Valley High,95,58.9052631579,0.549878345499
26,Capistrano Unified,66464,3030574,Aliso Niguel High,17,94.0,0.504467148292
27,Claremont Unified,64394,1931823,Claremont High,88,73.875,0.593502314996
28,Santa Ana Unified,66670,114736,Hector G. Godinez,11,82.0,0.673099513341
29,Clovis Unified,62117,1030196,Clovis West High,118,46.8474576271,0.410257742673
30,Chaffey Joint Union High,67652,3631157,Colony High,25,64.4,0.584564584732
31,Fresno Unified,62166,1035831,Roosevelt High,313,22.428115016,0.73596287703
32,East Side Union High,69427,4330015,Yerba Buena High,630,48.1603174603,0.796362220492
33,San Jose Unified,69666,4335949,Pioneer High,28,74.8928571429,0.722009598445
34,Garden Grove Unified,66522,3035706,Rancho Alamitos High,549,61.3661202186,0.61663399608
35,Chico Unified,61424,431676,Chico High,132,30.3712121212,0.611191139281
36,Oxnard Union High,72546,5630389,Pacifica,23,69.8695652174,0.647087467283
37,San Jose Unified,69666,4330080,Gunderson High,46,56.4347826087,0.726104035234
38,Murrieta Valley Unified,75200,100420,Vista Murrieta High,29,75.6206896552,0.408031308491
39,Merced Union High,65789,2433605,Livingston High,189,62.5555555556,0.572062084257
40,Santa Ana Unified,66670,108365,Segerstrom High,165,84.3515151515,0.673099513341
41,East Side Union High,69427,4333639,Lick (James) High,55,36.4727272727,0.790654620853
42,Poway Unified,68296,3731528,Westview High,77,74.0649350649,0.590174713507
43,Fremont Unified,61176,135244,Mission San Jose High,27,59.3703703704,0.766219839142
44,Elk Grove Unified,67314,3430477,Florin High,860,37.4627906977,0.724257282954
45,San Diego Unified,68338,107086,Kearny SCT,36,75.0277777778,0.63646714996
46,Irvine Unified,73650,3030285,Woodbridge High,35,74.0,0.612091204127
47,Natomas Unified,75283,3430584,Natomas High,48,62.1458333333,0.638572425017
48,San Lorenzo Unified,61309,137810,San Lorenzo High,58,27.775862069,0.789598540146
49,West Contra Costa Unified,61796,735316,Pinole Valley High,102,43.7352941176,0.820333432569
50,Shasta Union High,70136,4532750,Enterprise High,39,46.358974359,0.295739575316
51,San Diego Unified,68338,107094,Kearny International Business,108,67.7592592593,0.63646714996
52,Fullerton Joint Union High,66514,3032505,Fullerton Un. High,11,64.0,0.607724006762
53,Anaheim Union High,66431,3030616,Oxford Academy,205,96.6487804878,0.555395524042
54,East Side Union High,69427,4335204,Oak Grove High,398,43.6306532663,0.723253757737
55,Anaheim Union High,66431,3034204,Magnolia High,181,48.2044198895,0.639949943388
56,San Bernardino City Unified,67876,3632221,Cajon High,44,66.0909090909,0.526741940276
57,Huntington Beach Union High,66548,3032158,Fountain Valley High,585,77.4376068376,0.534994634553
58,Dublin Unified,75093,132704,Dublin High,13,62.0,0.700857618296
59,Hayward Unified,61192,138339,Tennyson High,39,46.1538461538,0.811079667267
60,Sacramento City Unified,67439,3431012,Burbank (Luther) High,876,23.2237442922,0.810262114997
