,District,District Code,School Code,School Name,number,score,vote
0,Tracy Joint Unified,75499,119040,John C. Kimball High,152,75.0394736842,0.622109275731
1,Sweetwater Union High,68411,3731627,Otay Ranch Senior High,68,88.0882352941,0.675064800415
2,West Contra Costa Unified,61796,732164,De Anza Senior High,26,57.4615384615,0.8259762309
3,Newark Unified,61234,130054,Newark Memorial High,107,68.953271028,0.786626940927
4,Modesto City High,71175,110593,James C. Enochs High,59,71.2372881356,0.503361941726
5,Campbell Union High,69401,4336137,Prospect High,130,80.6769230769,0.764052462527
6,Murrieta Valley Unified,75200,118794,Murrieta Mesa High,47,68.2765957447,0.551023137622
7,New Haven Unified,61242,134668,James Logan High,376,76.289893617,0.816524839006
8,Fremont Unified,61176,130062,American High,574,87.4024390244,0.759161490683
9,Davis Joint Unified,72678,5732201,Davis Senior High,170,83.0352941176,0.521778584392
10,Corona-Norco Unified,67033,3331600,Corona High,57,78.9122807018,0.47779425263
11,Mt. Diablo Unified,61754,737809,Ygnacio Valley High,11,64.0,0.699944842802
12,Redlands Unified,67843,118802,Citrus Valley High,41,82.5609756098,0.455927591103
13,Anaheim Union High,66431,3030038,Cypress High,431,90.0208816705,0.555395524042
14,Pleasanton Unified,75101,130583,Amador Valley High,507,93.0295857988,0.670665009323
15,San Diego Unified,68338,3733508,La Jolla High,86,91.6279069767,0.643146674673
16,Clovis Unified,62117,1030683,Clovis East High,89,81.8651685393,0.398396767466
17,Acalanes Union High,61630,733725,Las Lomas High,120,83.3333333333,0.74777603349
18,Orange Unified,66621,3030046,Canyon High,326,87.8527607362,0.425349254663
19,Anaheim Union High,66431,3038239,Western High,43,79.0930232558,0.639949943388
20,San Marcos Unified,73791,3737632,San Marcos High,57,92.7543859649,0.556289356474
21,Carlsbad Unified,73551,3730694,Carlsbad High,126,85.8333333333,0.549352222947
22,Corona-Norco Unified,67033,110627,Eleanor Roosevelt High,162,77.5740740741,0.469943247562
23,Acalanes Union High,61630,734244,Miramonte High,119,89.3109243697,0.818059716913
24,Placentia-Yorba Linda Unified,66647,3030053,Esperanza High,158,84.1012658228,0.503782332845
25,Lodi Unified,68585,3934759,Tokay High,39,71.4871794872,0.41589295467
26,Anaheim Union High,66431,3036712,Savanna High,38,76.3684210526,0.685525159022
27,Simi Valley Unified,72603,5636188,Simi Valley High,130,85.5,0.510060259422
28,Saddleback Valley Unified,73635,3030061,El Toro High,102,90.1764705882,0.488830155434
29,Capistrano Unified,66464,3030574,Aliso Niguel High,241,85.4813278008,0.504467148292
30,Claremont Unified,64394,1931823,Claremont High,128,87.96875,0.593502314996
31,Pleasanton Unified,75101,130096,Foothill High,486,93.3806584362,0.704460402549
32,Center Joint Unified,73973,3430378,Center High,14,71.0,0.514728477984
33,Campbell Union High,69401,4331955,Del Mar High,40,55.05,0.769785351466
34,Clovis Unified,62117,1030196,Clovis West High,130,84.3615384615,0.410257742673
