,District,District Code,School Code,School Name,number,score,vote
0,Tracy Joint Unified,75499,119040,John C. Kimball High,276,67.4347826087,0.622109275731
1,Sweetwater Union High,68411,3731627,Otay Ranch Senior High,97,83.4742268041,0.675064800415
2,West Contra Costa Unified,61796,732164,De Anza Senior High,26,57.4615384615,0.8259762309
3,Newark Unified,61234,130054,Newark Memorial High,186,64.3817204301,0.786626940927
4,Modesto City High,71175,110593,James C. Enochs High,84,70.2857142857,0.503361941726
5,Campbell Union High,69401,4336137,Prospect High,241,73.8174273859,0.764052462527
6,Murrieta Valley Unified,75200,118794,Murrieta Mesa High,47,68.2765957447,0.551023137622
7,New Haven Unified,61242,134668,James Logan High,732,65.3401639344,0.816524839006
8,Fremont Unified,61176,130062,American High,1130,79.6716814159,0.759161490683
9,Davis Joint Unified,72678,5732201,Davis Senior High,320,80.746875,0.521778584392
10,Corona-Norco Unified,67033,3331600,Corona High,68,70.5147058824,0.47779425263
11,Mt. Diablo Unified,61754,737809,Ygnacio Valley High,11,64.0,0.699944842802
12,Redlands Unified,67843,118802,Citrus Valley High,76,75.8026315789,0.455927591103
13,Anaheim Union High,66431,3030038,Cypress High,839,88.8915375447,0.555395524042
14,Pleasanton Unified,75101,130583,Amador Valley High,980,88.4408163265,0.670665009323
15,San Diego Unified,68338,3733508,La Jolla High,133,93.030075188,0.643146674673
16,Clovis Unified,62117,1030683,Clovis East High,138,65.7753623188,0.398396767466
17,Acalanes Union High,61630,733725,Las Lomas High,219,77.1369863014,0.74777603349
18,Orange Unified,66621,3030046,Canyon High,642,75.507788162,0.425349254663
19,Anaheim Union High,66431,3038239,Western High,56,82.0892857143,0.639949943388
20,San Marcos Unified,73791,3737632,San Marcos High,92,88.0108695652,0.556289356474
21,Carlsbad Unified,73551,3730694,Carlsbad High,231,83.2597402597,0.549352222947
22,Corona-Norco Unified,67033,110627,Eleanor Roosevelt High,287,68.8606271777,0.469943247562
23,Acalanes Union High,61630,734244,Miramonte High,212,85.9764150943,0.818059716913
24,Placentia-Yorba Linda Unified,66647,3030053,Esperanza High,260,77.7269230769,0.503782332845
25,Lodi Unified,68585,3934759,Tokay High,51,76.3137254902,0.41589295467
26,Anaheim Union High,66431,3036712,Savanna High,38,76.3684210526,0.685525159022
27,Simi Valley Unified,72603,5636188,Simi Valley High,234,78.3076923077,0.510060259422
28,Saddleback Valley Unified,73635,3030061,El Toro High,176,88.6761363636,0.488830155434
29,Capistrano Unified,66464,3030574,Aliso Niguel High,448,86.3035714286,0.504467148292
30,Claremont Unified,64394,1931823,Claremont High,240,79.7666666667,0.593502314996
31,Pleasanton Unified,75101,130096,Foothill High,951,85.7076761304,0.704460402549
32,Center Joint Unified,73973,3430378,Center High,14,71.0,0.514728477984
33,Campbell Union High,69401,4331955,Del Mar High,40,55.05,0.769785351466
34,Clovis Unified,62117,1030196,Clovis West High,219,82.095890411,0.410257742673
35,Escondido Union High,68106,3732062,Escondido High,24,87.5,0.513635995792
36,East Side Union High,69427,4330015,Yerba Buena High,127,57.8818897638,0.796362220492
37,Yuba City Unified,71464,5139001,Yuba City High,44,61.3863636364,0.402011581835
38,Garden Grove Unified,66522,3035706,Rancho Alamitos High,264,59.2878787879,0.61663399608
39,Poway Unified,68296,118935,Del Norte High,474,84.7088607595,0.480098943108
40,Santa Rosa High,70920,4934154,Montgomery High,38,73.1578947368,0.769560606759
41,San Dieguito Union High,68346,3731007,La Costa Canyon High,119,85.0084033613,0.639365324083
42,Novato Unified,65417,2133056,San Marin High,11,91.0,0.789473684211
43,San Jose Unified,69666,4330080,Gunderson High,34,58.5882352941,0.726104035234
44,Murrieta Valley Unified,75200,100420,Vista Murrieta High,104,78.875,0.408031308491
45,Davis Joint Unified,72678,6066245,Emerson (Ralph Waldo) Jr. High,16,88.0,0.521778584392
46,Santa Ana Unified,66670,108365,Segerstrom High,144,88.8263888889,0.673099513341
47,Capistrano Unified,66464,3036001,San Clemente High,38,76.3684210526,0.404783451842
48,Poway Unified,68296,3731528,Westview High,799,80.7496871089,0.590174713507
49,Fremont Unified,61176,135244,Mission San Jose High,2708,90.0487444609,0.766219839142
50,Elk Grove Unified,67314,3430477,Florin High,32,46.625,0.724257282954
51,Irvine Unified,73650,3030285,Woodbridge High,991,86.3551967709,0.612091204127
52,San Lorenzo Unified,61309,137810,San Lorenzo High,15,40.0,0.789598540146
53,Santa Rosa High,70920,4936803,Santa Rosa High,25,64.04,0.776655629139
54,West Contra Costa Unified,61796,735316,Pinole Valley High,89,44.9550561798,0.820333432569
55,Alameda City Unified,61119,132878,Encinal High,72,55.1944444444,0.891270112975
56,San Jose Unified,69666,4335949,Pioneer High,223,77.8430493274,0.722009598445
57,Anaheim Union High,66431,3030616,Oxford Academy,459,98.1198257081,0.555395524042
58,Pacific Grove Unified,66134,2733657,Pacific Grove High,17,88.0,0.745062037501
59,Turlock Unified,75739,5030283,Pitman (John H.) High,38,92.0263157895,0.434776749618
60,San Juan Unified,67447,3430493,Bella Vista High,61,76.9836065574,0.486412512219
61,Huntington Beach Union High,66548,3032158,Fountain Valley High,1610,81.5776397516,0.534994634553
62,San Luis Coastal Unified,68809,4036703,San Luis Obispo High,31,80.4516129032,0.644798745426
63,Dublin Unified,75093,132704,Dublin High,494,81.8663967611,0.700857618296
64,Los Gatos-Saratoga Joint Union High,69534,4337762,Saratoga High,1101,92.9918256131,0.764052462527
65,Santa Clara Unified,69674,4330122,Santa Clara High,234,68.264957265,0.761659933896
66,East Side Union High,69427,4335204,Oak Grove High,242,71.5537190083,0.723253757737
67,Kern Union High,63529,1530385,Ridgeview High,12,50.0,0.441355674029
68,Orange County Department of Education,10306,3030632,OCCS:CHEP/PCHS,42,71.0714285714,0.47624178429
69,Mt. Diablo Unified,61754,731836,Concord High,24,66.5,0.66013560674
70,Tamalpais Union High,65482,2132587,Redwood High,87,76.9885057471,0.786662367672
71,Kern Union High,63529,1530476,Liberty High,34,85.4117647059,0.298972449739
72,Desert Sands Unified,67058,3330669,La Quinta High,17,71.0,0.441717002956
73,San Dieguito Union High,68346,3730033,Torrey Pines High,1017,88.67453294,0.639365324083
74,Sweetwater Union High,68411,3738226,Sweetwater High,11,100.0,0.754522217853
75,Santa Cruz City High,69823,4437109,Santa Cruz High,13,100.0,0.751190229766
76,Laguna Beach Unified,66555,3033206,Laguna Beach High,13,92.0,0.55997588909
77,Berkeley Unified,61143,131177,Berkeley High,161,51.6086956522,0.95595970901
78,San Jose Unified,69666,4338950,Willow Glen High,47,70.5106382979,0.745581677036
79,Modesto City High,71175,5030010,Beyer (Fred C.) High,27,70.3333333333,0.503361941726
80,Elk Grove Unified,67314,3432572,Elk Grove High,71,77.3802816901,0.53358802929
81,Lodi Unified,68585,3930237,Bear Creek High,54,72.0185185185,0.613983375582
82,Fremont Unified,61176,134270,Irvington High,1595,82.5818181818,0.722321695016
83,Liberty Union High,61721,107797,Heritage High,90,68.9777777778,0.571727092258
84,Castro Valley Unified,61150,132225,Castro Valley High,802,76.9551122195,0.748513127992
85,Oxnard Union High,72546,5631619,Camarillo (Adolfo) High,178,88.2584269663,0.524601734221
86,Gilroy Unified,69484,118380,Christopher High,48,79.3125,0.697410402909
87,Fresno Unified,62166,1030279,Bullard High,61,76.9180327869,0.571761688236
88,Irvine Unified,73650,3030152,Irvine High,950,84.6747368421,0.612091204127
89,Placentia-Yorba Linda Unified,66647,119404,Yorba Linda High,333,91.2012012012,0.502101078932
90,Escondido Union High,68106,3730058,San Pasqual High,64,76.484375,0.515933646186
91,Corona-Norco Unified,67033,3330701,Santiago High,303,74.6369636964,0.432162875041
92,Newport-Mesa Unified,66597,3031697,Corona del Mar High,200,82.4,0.47624178429
93,Temecula Valley Unified,75192,105734,Great Oak High,191,75.8795811518,0.408742194469
94,East Side Union High,69427,4332995,Hill (Andrew P.) High,304,58.5361842105,0.775708680997
95,Jefferson Union High,68924,4133393,Jefferson High,18,56.0,0.809661649299
96,Hayward Unified,61192,135319,Mt. Eden High,110,62.7454545455,0.805712270804
97,Santa Rosa High,70920,4930244,Carrillo (Maria) High,130,92.3692307692,0.760627802691
98,Poway Unified,68296,3730074,Mt. Carmel High,329,71.6808510638,0.590174713507
99,San Mateo Union High,69047,4134557,Mills High,866,77.5069284065,0.766854127612
100,Oceanside Unified,73569,3739018,El Camino High,52,78.8653846154,0.506075917651
101,Visalia Unified,72256,5434527,Redwood High,90,72.3333333333,0.573157315732
102,San Ramon Valley Unified,61804,734368,Monte Vista High,420,88.3785714286,0.628745690798
103,Elk Grove Unified,67314,116897,Cosumnes Oaks High,146,78.8630136986,0.635654169855
104,Anaheim Union High,66431,3033115,John F. Kennedy High,563,81.4120781528,0.620361429163
105,Fullerton Joint Union High,66514,3037348,Sunny Hills High,1462,81.5766073871,0.634521880065
106,Los Gatos-Saratoga Joint Union High,69534,4334371,Los Gatos High,235,87.3531914894,0.708251857646
107,Tustin Unified,73643,3037553,Tustin High,98,75.3673469388,0.624855443582
108,Kern Union High,63529,116392,Independence High,39,58.641025641,0.815833333333
109,San Juan Unified,67447,3436714,Rio Americano High,106,68.6981132075,0.613832853026
110,Acalanes Union High,61630,730283,Acalanes High,189,85.3121693122,0.772479288745
111,Santa Clara Unified,69674,4338802,Wilcox (Adrian) High,377,80.3103448276,0.761659933896
112,Pittsburg Unified,61788,735407,Pittsburg Senior High,11,18.0,0.811901646119
113,Garden Grove Unified,66522,3032752,Garden Grove High,493,70.0872210953,0.646146252027
114,Sequoia Union High,69062,4130993,Carlmont High,343,89.7142857143,0.798728472558
115,Fairfield-Suisun Unified,70540,4830451,Armijo High,68,83.8382352941,0.649664153932
116,Oak Park Unified,73874,5630132,Oak Park High,243,96.2098765432,0.679618001047
117,Alameda City Unified,61119,130229,Alameda High,684,69.8523391813,0.891270112975
118,Pajaro Valley Unified,69799,4430518,Aptos High,12,75.0,0.734965034965
119,Temecula Valley Unified,75192,3330743,Chaparral High,117,69.1538461538,0.423866370972
120,Anaheim Union High,66431,3033784,Loara High,58,67.2413793103,0.639949943388
121,Redlands Unified,67843,3630779,Redlands East Valley High,90,87.6777777778,0.560438237419
122,Tamalpais Union High,65482,2133692,Tamalpais High,87,79.4137931034,0.896343306135
123,Tracy Joint Unified,75499,3930302,Merrill F. West High,124,66.4032258065,0.628774661119
124,Santa Maria Joint Union High,69310,4234613,Righetti (Ernest) High,11,82.0,0.43197728687
125,Elk Grove Unified,67314,3430592,Laguna Creek High,124,61.9758064516,0.669520992267
126,Lodi Unified,68585,108225,Ronald E. McNair High,121,40.479338843,0.568053440739
127,Capistrano Unified,66464,3030210,Capistrano Valley High,160,87.88125,0.461756986259
128,East Side Union High,69427,4330692,Evergreen Valley High,1856,80.463362069,0.800276490201
129,Manteca Unified,68593,3930310,Sierra High,22,64.0,0.507855822551
130,El Dorado Union High,61853,930081,Oak Ridge High,214,86.5607476636,0.455197962491
131,Manteca Unified,68593,101576,Weston Ranch High,11,73.0,0.507855822551
132,Oxnard Union High,72546,5634761,Rio Mesa High,26,92.5384615385,0.733040003592
133,Yuba City Unified,71464,107722,River Valley High,161,62.0931677019,0.436825813714
134,San Mateo Union High,69047,4133070,Hillsdale High,208,78.0336538462,0.779979830754
135,East Side Union High,69427,4334900,Mt. Pleasant High,46,56.7826086957,0.790654620853
136,Elk Grove Unified,67314,108753,Pleasant Grove High,390,80.2717948718,0.53358802929
137,San Mateo Union High,69047,4136370,San Mateo High,381,83.6482939633,0.805426440385
138,Conejo Valley Unified,73759,5633748,Newbury Park High,319,92.4482758621,0.493549203137
139,Milpitas Unified,73387,4334470,Milpitas High,1274,78.2519623234,0.761451562984
140,Oakland Unified,61259,137943,Skyline High,68,53.7205882353,0.773475898939
141,Tracy Joint Unified,75499,3938008,Tracy High,120,72.5,0.628774661119
142,Fresno Unified,62166,1031897,Edison High,27,74.1111111111,0.443277310924
143,Elk Grove Unified,67314,3430618,Sheldon High,229,54.5633187773,0.599445599446
