,District,School Code,School Name,number,score,vote
0,Tulare Joint Union High,5430145,Tulare Technical Preparatory,31,7.0,0.509095204347
1,Alameda City Unified,1,District Students in NPS,333,5.11711711712,0.643058547424
2,San Diego Unified,3733508,La Jolla High,278,42.4928057554,0.643146674673
3,Modesto City High,110593,James C. Enochs High,607,56.6392092257,0.503361941726
4,Winters Joint Unified,5738505,Winters High,184,36.5706521739,0.646812957158
5,Holtville Unified,1335306,Holtville High,369,47.7940379404,0.586666666667
6,Fresno Unified,108555,Design Science Early College,153,88.2156862745,0.638969873664
7,Simi Valley Unified,5630249,Monte Vista,13,38.0,0.502965372106
8,Oakdale Joint Unified,5031950,East Stanislaus High,42,2.38095238095,0.381089459699
9,Hemet Unified,3330065,Alessandro High,226,13.0,0.467771639042
10,Redlands Unified,118802,Citrus Valley High,724,54.6035911602,0.455927591103
11,Dixon Unified,4832259,Dixon High,351,34.6182336182,0.670484122853
12,Fillmore Unified,5632021,Fillmore Senior High,515,40.3048543689,0.614634146341
13,Coronado Unified,3731478,Coronado High,14,86.0,0.631088082902
14,Livermore Valley Joint Unified,130393,Vineyard Alternative,17,18.0,0.429708222812
15,Shasta Union High,4530200,Pioneer Continuation High,54,1.59259259259,0.35168792198
16,Bret Harte Union High,532507,Bret Harte Union High,170,49.5294117647,0.348512011474
17,Ojai Unified,5634076,Nordhoff High,245,42.6326530612,0.733727810651
18,Ventura Unified,5630298,El Camino High,15,60.0,0.733727810651
19,San Marcos Unified,3737632,San Marcos High,629,58.7249602544,0.556289356474
20,Garden Grove Unified,3032752,Garden Grove High,985,54.8081218274,0.646146252027
21,Corona-Norco Unified,110627,Eleanor Roosevelt High,1016,54.9261811024,0.469943247562
22,Cuyama Joint Unified,4231205,Cuyama Valley High,32,31.59375,0.524693796918
23,Moreno Valley Unified,3330396,Canyon Springs High,1216,43.2796052632,0.601864262215
24,Shasta Union High,4530218,Freedom High,16,13.0,0.35168792198
25,Riverside Unified,3336237,Polytechnic High,1044,36.7921455939,0.55196454629
26,Sweetwater Union High,3731502,San Ysidro High,1332,37.21996997,0.653173965448
27,Oakland Unified,100701,MetWest,77,29.7922077922,0.92997246108
28,Santa Ana Unified,114736,Hector G. Godinez,1764,53.3928571429,0.673099513341
29,Porterville Unified,5430624,"Citrus High, Cont.",118,4.92372881356,0.288544358312
30,North Monterey County Unified,2730034,North Monterey County High,648,37.2932098765,0.724327897752
31,Center Joint Unified,3430451,"McClellan High, Cont.",41,7.63414634146,0.514728477984
32,Clovis Unified,1030196,Clovis West High,522,49.183908046,0.410257742673
33,Chaffey Joint Union High,3631157,Colony High,929,45.3756727664,0.584564584732
34,Ventura Unified,5630348,Foothill Technology High,174,74.5459770115,0.640656361139
35,East Side Union High,4330015,Yerba Buena High,961,34.9375650364,0.796362220492
36,San Mateo County Office of Education,113332,Gateway Center,36,0.0,0.772713878794
37,Yuba City Unified,5130018,Powell (Albert) Cont.,102,13.8039215686,0.402011581835
38,Poway Unified,118935,Del Norte High,112,53.0535714286,0.480098943108
39,Murrieta Valley Unified,118794,Murrieta Mesa High,474,57.1772151899,0.551023137622
40,San Diego Unified,3730371,San Diego SCPA,261,67.7892720307,0.639748894279
41,San Diego Unified,114025,Lincoln High,1223,24.0212591987,0.749366595206
42,Rim of the World Unified,3635265,Rim of the World Senior High,372,36.3387096774,0.416916018352
43,Corona-Norco Unified,3330131,Corona-Norco Alternative,11,0.0,0.581043375328
44,Lake Elsinore Unified,3330115,Ortega High,69,6.0,0.418744769874
45,Murrieta Valley Unified,100420,Vista Murrieta High,615,61.0975609756,0.408031308491
46,West Contra Costa Unified,733253,Gompers (Samuel) Continuation,51,8.0,0.921564694082
47,Santa Ana Unified,108365,Segerstrom High,1426,60.0939691445,0.673099513341
48,Alameda County Office of Education,130401,Juvenile Hall/Court,167,1.11377245509,0.795628259161
49,Poway Unified,3731528,Westview High,160,62.45,0.590174713507
50,Tulare Joint Union High,5435466,Tulare Western High,866,47.1732101617,0.509095204347
51,Riverside County Office of Education,3330123,Riverside County Juvenile Cou,111,11.4504504505,0.666864608076
