,District,District Code,School Code,School Name,number,score,vote
0,Tulare Joint Union High,72249,5430145,Tulare Technical Preparatory,58,7.0,0.509095204347
1,Alameda City Unified,61119,1,District Students in NPS,496,3.91330645161,0.643058547424
2,San Diego Unified,68338,3733508,La Jolla High,527,31.0303605313,0.643146674673
3,Modesto City High,71175,110593,James C. Enochs High,1222,42.8887070376,0.503361941726
4,Winters Joint Unified,72702,5738505,Winters High,323,22.7399380805,0.646812957158
5,Holtville Unified,63149,1335306,Holtville High,742,34.8665768194,0.586666666667
6,Fresno Unified,62166,108555,Design Science Early College,305,72.7114754098,0.638969873664
7,Simi Valley Unified,72603,5630249,Monte Vista,13,38.0,0.502965372106
8,Oakdale Joint Unified,75564,5031950,East Stanislaus High,56,1.78571428571,0.381089459699
9,Hemet Unified,67082,3330065,Alessandro High,442,8.20135746606,0.467771639042
10,Redlands Unified,67843,118802,Citrus Valley High,1436,37.6643454039,0.455927591103
11,Dixon Unified,70532,4832259,Dixon High,653,28.0964777948,0.670484122853
12,Fillmore Unified,72454,5632021,Fillmore Senior High,941,37.9946865037,0.614634146341
13,Coronado Unified,68031,3731478,Coronado High,14,86.0,0.631088082902
14,Livermore Valley Joint Unified,61200,130393,Vineyard Alternative,17,18.0,0.429708222812
15,Shasta Union High,70136,4530200,Pioneer Continuation High,67,2.83582089552,0.35168792198
16,Bret Harte Union High,61556,532507,Bret Harte Union High,295,39.0271186441,0.348512011474
17,Ojai Unified,72520,5634076,Nordhoff High,465,34.5440860215,0.733727810651
18,Ventura Unified,72652,5630298,El Camino High,15,60.0,0.733727810651
19,San Marcos Unified,73791,3737632,San Marcos High,1199,45.3394495413,0.556289356474
20,Garden Grove Unified,66522,3032752,Garden Grove High,1964,42.7026476578,0.646146252027
21,Corona-Norco Unified,67033,110627,Eleanor Roosevelt High,2029,38.0137999014,0.469943247562
22,Cuyama Joint Unified,75010,4231205,Cuyama Valley High,64,19.03125,0.524693796918
23,Moreno Valley Unified,67124,3330396,Canyon Springs High,2149,30.2093997208,0.601864262215
24,Shasta Union High,70136,4530218,Freedom High,16,13.0,0.35168792198
25,Riverside Unified,67215,3336237,Polytechnic High,2041,25.8015678589,0.55196454629
26,Sweetwater Union High,68411,3731502,San Ysidro High,2529,35.6445235271,0.653173965448
27,Oakland Unified,61259,100701,MetWest,131,20.4961832061,0.92997246108
28,Santa Ana Unified,66670,114736,Hector G. Godinez,3528,46.2990362812,0.673099513341
29,Porterville Unified,75523,5430624,"Citrus High, Cont.",238,3.85294117647,0.288544358312
30,North Monterey County Unified,73825,2730034,North Monterey County High,1225,22.5420408163,0.724327897752
31,Center Joint Unified,73973,3430451,"McClellan High, Cont.",54,5.7962962963,0.514728477984
32,Clovis Unified,62117,1030196,Clovis West High,1032,41.5174418605,0.410257742673
33,Chaffey Joint Union High,67652,3631157,Colony High,1679,36.3746277546,0.584564584732
34,Ventura Unified,72652,5630348,Foothill Technology High,344,55.4447674419,0.640656361139
