,District,School Code,School Name,number,score,vote
0,Alameda City Unified,1,District Students in NPS,923,18.2643553629,0.643058547424
1,San Diego Unified,3733508,La Jolla High,857,84.3197199533,0.643146674673
2,Modesto City High,110593,James C. Enochs High,1095,72.6210045662,0.503361941726
3,Winters Joint Unified,5738505,Winters High,150,68.4,0.646812957158
4,Murrieta Valley Unified,118794,Murrieta Mesa High,1142,71.8476357268,0.551023137622
5,Apple Valley Unified,3630423,Apple Valley High,619,65.3117932149,0.412444444444
6,Simi Valley Unified,5630249,Monte Vista,74,48.3513513514,0.502965372106
7,Ferndale Unified,1232909,Ferndale High,66,51.5303030303,0.414024975985
8,Oakdale Joint Unified,5031950,East Stanislaus High,12,0.0,0.381089459699
9,Hemet Unified,3330065,Alessandro High,45,9.0,0.467771639042
10,Redlands Unified,118802,Citrus Valley High,875,70.8537142857,0.455927591103
11,Dixon Unified,4832259,Dixon High,489,62.6809815951,0.670484122853
12,Fillmore Unified,5632021,Fillmore Senior High,203,60.5960591133,0.614634146341
13,Coronado Unified,3731478,Coronado High,781,81.3457106274,0.631088082902
14,Livermore Valley Joint Unified,130393,Vineyard Alternative,53,32.0,0.429708222812
15,Shasta Union High,4530200,Pioneer Continuation High,16,0.0,0.35168792198
16,West Contra Costa Unified,732164,De Anza Senior High,211,42.355450237,0.8259762309
17,Bret Harte Union High,532507,Bret Harte Union High,325,73.7169230769,0.348512011474
18,Ojai Unified,5634076,Nordhoff High,370,64.1351351351,0.733727810651
19,San Marcos Unified,3737632,San Marcos High,955,86.3267015707,0.556289356474
20,Garden Grove Unified,3032752,Garden Grove High,708,65.7316384181,0.646146252027
21,Corona-Norco Unified,110627,Eleanor Roosevelt High,1353,69.2971175166,0.469943247562
22,San Jose Unified,4330502,Liberty High (Alternative,49,9.20408163265,0.723253757737
23,Riverside Unified,3336237,Polytechnic High,1000,65.256,0.55196454629
24,Sweetwater Union High,3731502,San Ysidro High,264,50.7954545455,0.653173965448
25,Santa Ana Unified,114736,Hector G. Godinez,175,65.84,0.673099513341
26,Porterville Unified,5430624,"Citrus High, Cont.",13,15.0,0.288544358312
27,North Monterey County Unified,2730034,North Monterey County High,181,61.8121546961,0.724327897752
28,Center Joint Unified,3430451,"McClellan High, Cont.",13,23.0,0.514728477984
29,Clovis Unified,1030196,Clovis West High,1037,78.2198649952,0.410257742673
30,Chaffey Joint Union High,3631157,Colony High,585,56.5299145299,0.584564584732
31,East Side Union High,4330015,Yerba Buena High,243,49.9465020576,0.796362220492
32,San Mateo County Office of Education,113332,Gateway Center,25,4.16,0.772713878794
33,Yuba City Unified,5130018,Powell (Albert) Cont.,47,17.2978723404,0.402011581835
34,San Diego Unified,3730371,San Diego SCPA,301,84.6943521595,0.639748894279
35,Rim of the World Unified,3635265,Rim of the World Senior High,504,63.2976190476,0.416916018352
36,Lake Elsinore Unified,3330115,Ortega High,22,18.0,0.418744769874
37,Murrieta Valley Unified,100420,Vista Murrieta High,1634,74.6474908201,0.408031308491
38,Davis Joint Unified,6066245,Emerson (Ralph Waldo) Jr. High,116,90.0,0.521778584392
39,Santa Ana Unified,108365,Segerstrom High,359,74.1225626741,0.673099513341
40,Grossmont Union High,3731809,El Capitan High,800,53.07,0.28692779613
41,Poway Unified,3731528,Westview High,1553,84.3625241468,0.590174713507
42,Tulare Joint Union High,5435466,Tulare Western High,304,69.1052631579,0.509095204347
43,Fremont Unified,135244,Mission San Jose High,1563,94.638515675,0.766219839142
44,Elk Grove Unified,3430477,Florin High,129,50.9689922481,0.724257282954
45,Grossmont Union High,3731536,Grossmont Middle College,26,77.0,0.515335113302
46,Muroc Joint Unified,1531987,Desert Junior-Senior High,275,56.9418181818,0.289198606272
47,West Contra Costa Unified,735316,Pinole Valley High,491,44.0407331976,0.820333432569
48,Corona-Norco Unified,3334232,Norco High,949,66.5711275026,0.521374277896
49,Los Banos Unified,120923,Pacheco High,328,54.9634146341,0.609182058047
50,Simi Valley Unified,5636188,Simi Valley High,1306,68.9624808576,0.510060259422
51,San Juan Unified,3430493,Bella Vista High,1108,74.9133574007,0.486412512219
52,El Dorado Union High,930149,"Independent Learning Ctr., Alt",56,30.25,0.376518218623
53,Hanford Joint Union High,1634401,Hanford High,581,54.9518072289,0.41235459286
54,Los Gatos-Saratoga Joint Union High,4337762,Saratoga High,1021,88.7531831538,0.764052462527
55,Stockton Unified,3930211,Jane Frederick High,15,7.0,0.702338562217
56,Simi Valley Unified,5635008,Royal High,1046,67.2170172084,0.502965372106
57,Desert Sands Unified,118885,Shadow Hills High,230,65.7826086957,0.680439104503
58,Tulare Joint Union High,5435409,Tulare Union High,430,66.0627906977,0.509095204347
59,Berkeley Unified,131177,Berkeley High,1473,67.9266802444,0.95595970901
60,San Benito High,3537008,San Benito High,1148,63.6533101045,0.630313644324
61,Oxnard Union High,5630066,"Frontier High, Cont.",31,16.0,0.562587476419
62,Marin County Office of Education,2130037,Marin County Community,26,8.0,0.776995305164
63,Laguna Beach Unified,3033206,Laguna Beach High,650,85.9107692308,0.55997588909
64,Martinez Unified,730473,Briones (Alternative),31,32.3548387097,0.73651024615
65,Grossmont Union High,3734548,Monte Vista High,416,52.2067307692,0.567637598284
66,Modesto City High,5030010,Beyer (Fred C.) High,757,65.2655217966,0.503361941726
67,Perris Union High,3330172,"Perris Lake High, Cont.",20,15.0,0.599527085125
68,Novato Unified,2130045,Nova Ed. Ctr. (Indep. St),35,82.9714285714,0.740899191039
69,Santa Paula Union High,5635776,Santa Paula High,227,55.6475770925,0.691237192231
70,Placentia-Yorba Linda Unified,6119556,Parkview,50,73.78,0.503782332845
71,Shasta Union High,4530309,North State Independence High,37,27.1081081081,0.35168792198
72,Visalia Unified,5435839,Sequoia High,55,9.0,0.573157315732
73,Hanford Joint Union High,118919,Sierra Pacific High,352,57.4829545455,0.41235459286
74,Azusa Unified,1933449,Gladstone High,198,55.2373737374,0.461583577713
75,South Monterey County Joint Union High,2732170,King City High,148,64.0067567568,0.708883025506
76,Sacramento City Unified,3434636,Johnson (Hiram W.) High,136,31.4411764706,0.797459584296
77,North Monterey County Unified,2730125,North Monterey County Ctr,45,42.4444444444,0.638313875535
78,Fortuna Union High,108688,Academy of the Redwoods,132,81.803030303,0.516473887136
79,Valley Center-Pauma Unified,3731601,Valley Center Prep,23,25.6956521739,0.406335549472
80,Escalon Unified,3932308,Escalon High,384,59.9140625,0.38561479177
81,Fontana Unified,3633302,Fontana High,199,44.6934673367,0.767511394713
82,Hayward Unified,135319,Mt. Eden High,486,57.1851851852,0.805712270804
83,Brawley Union High,1331354,"Desert Valley High, Cont.",28,21.0,0.697323900338
84,Alvord Unified,3334299,Norte Vista High,253,55.2727272727,0.641564318035
85,Conejo Valley Unified,5630108,"Conejo Valley High, Cont.",30,27.0,0.493549203137
86,Oakland Unified,112797,Coliseum College Prep Academy,61,23.4098360656,0.78
87,Tamalpais Union High,2130078,Tamiscal High (Alternative),56,89.1964285714,0.758831277691
88,Elk Grove Unified,116897,Cosumnes Oaks High,800,73.175,0.635654169855
89,Anaheim Union High,3033115,John F. Kennedy High,1044,82.2863984674,0.620361429163
90,Fullerton Joint Union High,3037348,Sunny Hills High,1346,84.0846953938,0.634521880065
91,Banning Unified,3330214,Banning High,114,40.4561403509,0.449500318945
92,Plumas Unified,3236007,Quincy Junior/Senior High,97,72.9587628866,0.579813250333
93,San Juan Unified,3436714,Rio Americano High,951,73.1493165089,0.613832853026
94,San Juan Unified,3431111,Casa Roble Fundamental High,703,59.0896159317,0.442007644589
95,Simi Valley Unified,5630322,Santa Susana High,722,84.0083102493,0.510060259422
96,Pittsburg Unified,735407,Pittsburg Senior High,513,44.4639376218,0.811901646119
97,San Mateo Union High,4133070,Hillsdale High,705,72.1290780142,0.779979830754
98,Sequoia Union High,4130993,Carlmont High,1269,85.2584712372,0.798728472558
99,Oak Park Unified,5630132,Oak Park High,1024,91.5234375,0.679618001047
100,Salinas Union High,2730166,Everett Alvarez High,654,54.7889908257,0.766725159026
101,Natomas Unified,3430584,Natomas High,192,52.5677083333,0.638572425017
102,San Leandro Unified,137588,San Leandro High,774,53.9509043928,0.737482842991
103,South Monterey County Joint Union High,2730174,Greenfield High,75,42.4533333333,0.578772189349
104,Jefferson Union High,4135075,Oceana High,337,69.4302670623,0.814388961892
105,Elk Grove Unified,3430592,Laguna Creek High,580,65.1310344828,0.669520992267
106,San Diego Unified,3733698,Madison High,273,56.8534798535,0.604657849339
107,Hughson Unified,5032651,Hughson High,304,68.4802631579,0.390536723164
108,Stanislaus County Office of Education,5030085,John B. Allard,57,3.66666666667,0.616432613708
109,Sierra Sands Unified,1530054,Mesquite Cont. High,20,20.0,0.31420233463
110,Yucaipa-Calimesa Joint Unified,3633351,Green Valley High,14,21.0,0.383247817085
111,Sweetwater Union High,3730124,Southwest Senior High,276,52.3731884058,0.653173965448
112,Brawley Union High,1331404,Brawley High,420,64.1261904762,0.697323900338
113,Soledad Unified,2730190,Soledad High,100,48.04,0.819921302369
114,Vista Unified,3730785,Palomar High Independent Stud,15,53.0,0.523737297133
115,Shasta County Office of Education,118992,Magnolia Independent Learning,16,13.0,0.35168792198
116,Elk Grove Unified,108753,Pleasant Grove High,1256,77.423566879,0.53358802929
117,Kern Union High,1530385,Ridgeview High,482,56.1203319502,0.441355674029
118,Vista Unified,3730728,Rancho Buena Vista High,973,75.1942446043,0.523737297133
119,Placer Union High,3135704,Placer High,655,71.1664122137,0.466746794872
120,Elk Grove Unified,3430618,Sheldon High,742,66.7371967655,0.599445599446
121,Hemet Unified,106716,Hamilton High,54,64.8518518519,0.306974190005
122,Placer Union High,3132453,Del Oro High,1096,82.2810218978,0.406476190476
123,Patterson Joint Unified,5036256,Patterson High,366,54.4262295082,0.577589023195
124,San Jose Unified,4333795,Lincoln (Abraham) High,506,67.6106719368,0.806573310314
125,Lodi Unified,3930344,Independence,71,15.8028169014,0.41589295467
126,Oakland Unified,125161,Castlemont High,16,13.0,0.879256384577
127,Twin Rivers Unified,3430634,Elwood J. Keema High,132,11.9772727273,0.524216204068
128,East Side Union High,4337903,Silver Creek High,816,64.9117647059,0.772476732629
129,East Side Union High,4335204,Oak Grove High,593,53.5615514334,0.723253757737
130,Central Unified,1030386,Central Unif. Alter/Opp,110,14.4636363636,0.586681844052
131,Sweetwater Union High,3731155,Options Secondary,78,54.2435897436,0.754016957886
132,Mt. Diablo Unified,731380,Clayton Valley High,998,65.3547094188,0.66013560674
