,District,School Code,School Name,number,score,vote
0,Alameda City Unified,1,District Students in NPS,1292,13.4589783282,0.643058547424
1,San Diego Unified,3733508,La Jolla High,1656,68.270531401,0.643146674673
2,Modesto City High,110593,James C. Enochs High,2166,55.7059095106,0.503361941726
3,Winters Joint Unified,5738505,Winters High,268,48.7313432836,0.646812957158
4,Murrieta Valley Unified,118794,Murrieta Mesa High,2276,55.4090509666,0.551023137622
5,Apple Valley Unified,3630423,Apple Valley High,1213,46.4830997527,0.412444444444
6,Simi Valley Unified,5630249,Monte Vista,74,48.3513513514,0.502965372106
7,Ferndale Unified,1232909,Ferndale High,79,46.835443038,0.414024975985
8,Oakdale Joint Unified,5031950,East Stanislaus High,12,0.0,0.381089459699
9,Hemet Unified,3330065,Alessandro High,70,5.78571428571,0.467771639042
10,Redlands Unified,118802,Citrus Valley High,1735,49.1089337176,0.455927591103
11,Dixon Unified,4832259,Dixon High,934,48.8822269807,0.670484122853
12,Fillmore Unified,5632021,Fillmore Senior High,395,50.0962025316,0.614634146341
13,Coronado Unified,3731478,Coronado High,1530,64.6352941176,0.631088082902
14,Livermore Valley Joint Unified,130393,Vineyard Alternative,53,32.0,0.429708222812
15,Shasta Union High,4530200,Pioneer Continuation High,16,0.0,0.35168792198
16,West Contra Costa Unified,732164,De Anza Senior High,417,29.5803357314,0.8259762309
17,Bret Harte Union High,532507,Bret Harte Union High,609,53.1494252874,0.348512011474
18,Ojai Unified,5634076,Nordhoff High,723,52.4993084371,0.733727810651
19,San Marcos Unified,3737632,San Marcos High,1884,72.8524416136,0.556289356474
20,Garden Grove Unified,3032752,Garden Grove High,1413,51.3941967445,0.646146252027
21,Corona-Norco Unified,110627,Eleanor Roosevelt High,2702,47.626572909,0.469943247562
22,San Jose Unified,4330502,Liberty High (Alternative,49,9.20408163265,0.723253757737
23,Riverside Unified,3336237,Polytechnic High,1946,47.51336074,0.55196454629
24,Sweetwater Union High,3731502,San Ysidro High,515,46.8466019417,0.653173965448
25,Santa Ana Unified,114736,Hector G. Godinez,332,54.0572289157,0.673099513341
26,Porterville Unified,5430624,"Citrus High, Cont.",26,11.5,0.288544358312
27,North Monterey County Unified,2730034,North Monterey County High,331,40.4108761329,0.724327897752
28,Center Joint Unified,3430451,"McClellan High, Cont.",13,23.0,0.514728477984
29,Clovis Unified,1030196,Clovis West High,2054,68.4634858812,0.410257742673
30,Chaffey Joint Union High,3631157,Colony High,1056,43.6268939394,0.584564584732
31,East Side Union High,4330015,Yerba Buena High,477,38.4067085954,0.796362220492
32,San Mateo County Office of Education,113332,Gateway Center,25,4.16,0.772713878794
33,Yuba City Unified,5130018,Powell (Albert) Cont.,47,17.2978723404,0.402011581835
34,San Diego Unified,3730371,San Diego SCPA,576,58.8993055556,0.639748894279
35,Rim of the World Unified,3635265,Rim of the World Senior High,937,48.7331910352,0.416916018352
36,Lake Elsinore Unified,3330115,Ortega High,22,18.0,0.418744769874
37,Murrieta Valley Unified,100420,Vista Murrieta High,3197,57.8091961214,0.408031308491
38,Davis Joint Unified,6066245,Emerson (Ralph Waldo) Jr. High,227,83.8678414097,0.521778584392
39,Santa Ana Unified,108365,Segerstrom High,693,59.7316017316,0.673099513341
40,Grossmont Union High,3731809,El Capitan High,1557,39.4418754014,0.28692779613
41,Poway Unified,3731528,Westview High,3044,65.5657030223,0.590174713507
42,Tulare Joint Union High,5435466,Tulare Western High,565,51.1309734513,0.509095204347
43,Fremont Unified,135244,Mission San Jose High,3104,87.8360180412,0.766219839142
44,Elk Grove Unified,3430477,Florin High,235,33.9531914894,0.724257282954
45,Grossmont Union High,3731536,Grossmont Middle College,44,63.5,0.515335113302
46,Muroc Joint Unified,1531987,Desert Junior-Senior High,509,40.2396856582,0.289198606272
47,West Contra Costa Unified,735316,Pinole Valley High,959,28.4994786236,0.820333432569
48,Corona-Norco Unified,3334232,Norco High,1887,48.9263381028,0.521374277896
49,Los Banos Unified,120923,Pacheco High,651,34.3978494624,0.609182058047
