,District,District Code,School Code,School Name,number,score,vote
0,Tulare Joint Union High,72249,5430145,Tulare Technical Preparatory,13,0.0,0.509095204347
1,Alameda City Unified,61119,1,District Students in NPS,268,19.3582089552,0.643058547424
2,San Diego Unified,68338,3733508,La Jolla High,546,75.6391941392,0.643146674673
3,San Diego Unified,68338,3730751,Mt. Everest Academy,46,91.5652173913,0.604657849339
4,Winters Joint Unified,72702,5738505,Winters High,180,56.9388888889,0.646812957158
5,Holtville Unified,63149,1335306,Holtville High,176,49.0738636364,0.586666666667
6,Fresno Unified,62166,108555,Design Science Early College,56,82.4642857143,0.638969873664
7,Simi Valley Unified,72603,5630249,Monte Vista,59,44.0677966102,0.502965372106
8,Ferndale Unified,75374,1232909,Ferndale High,45,53.5111111111,0.414024975985
9,Oakdale Joint Unified,75564,5031950,East Stanislaus High,13,0.0,0.381089459699
10,Hemet Unified,67082,3330065,Alessandro High,104,16.0,0.467771639042
11,Redlands Unified,67843,118802,Citrus Valley High,813,66.926199262,0.455927591103
12,Dixon Unified,70532,4832259,Dixon High,394,55.0812182741,0.670484122853
13,Fillmore Unified,72454,5632021,Fillmore Senior High,338,47.0207100592,0.614634146341
14,Coronado Unified,68031,3731478,Coronado High,447,85.355704698,0.631088082902
15,Livermore Valley Joint Unified,61200,130393,Vineyard Alternative,47,27.8723404255,0.429708222812
16,Shasta Union High,70136,4530200,Pioneer Continuation High,14,0.0,0.35168792198
17,Bret Harte Union High,61556,532507,Bret Harte Union High,249,71.5502008032,0.348512011474
18,Ojai Unified,72520,5634076,Nordhoff High,298,57.1140939597,0.733727810651
19,San Marcos Unified,73791,3737632,San Marcos High,774,75.2739018088,0.556289356474
20,Garden Grove Unified,66522,3032752,Garden Grove High,830,63.0831325301,0.646146252027
21,Corona-Norco Unified,67033,110627,Eleanor Roosevelt High,1222,66.1530278232,0.469943247562
22,San Jose Unified,69666,4330502,Liberty High (Alternative,56,7.5,0.723253757737
23,Moreno Valley Unified,67124,3330396,Canyon Springs High,931,51.9484425349,0.601864262215
24,Riverside Unified,67215,3336237,Polytechnic High,1046,52.9617590822,0.55196454629
25,Sweetwater Union High,68411,3731502,San Ysidro High,810,42.9592592593,0.653173965448
26,Oakland Unified,61259,100701,MetWest,52,32.3269230769,0.92997246108
27,Santa Ana Unified,66670,114736,Hector G. Godinez,1012,54.652173913,0.673099513341
28,Porterville Unified,75523,5430624,"Citrus High, Cont.",38,5.0,0.288544358312
29,North Monterey County Unified,73825,2730034,North Monterey County High,450,48.9044444444,0.724327897752
30,Center Joint Unified,73973,3430451,"McClellan High, Cont.",15,13.0,0.514728477984
31,Clovis Unified,62117,1030196,Clovis West High,778,72.6221079692,0.410257742673
32,Chaffey Joint Union High,67652,3631157,Colony High,736,51.7323369565,0.584564584732
33,East Side Union High,69427,4330015,Yerba Buena High,608,40.2105263158,0.796362220492
34,Gateway Unified,75267,4530101,Shasta Lake Alternative,12,33.0,0.318652162377
35,Yuba City Unified,71464,5130018,Powell (Albert) Cont.,60,21.4166666667,0.402011581835
36,Poway Unified,68296,118935,Del Norte High,593,82.9055649241,0.480098943108
37,Murrieta Valley Unified,75200,118794,Murrieta Mesa High,782,70.2135549872,0.551023137622
38,San Diego Unified,68338,3730371,San Diego SCPA,389,77.1799485861,0.639748894279
39,San Diego Unified,68338,114025,Lincoln High,627,24.3444976077,0.749366595206
40,Rim of the World Unified,67868,3635265,Rim of the World Senior High,443,57.0948081264,0.416916018352
41,Lake Elsinore Unified,75176,3330115,Ortega High,32,13.0,0.418744769874
42,Murrieta Valley Unified,75200,100420,Vista Murrieta High,1165,72.5656652361,0.408031308491
43,West Contra Costa Unified,61796,733253,Gompers (Samuel) Continuation,25,11.0,0.921564694082
44,Santa Ana Unified,66670,108365,Segerstrom High,920,65.4173913043,0.673099513341
45,Grossmont Union High,68130,3731809,El Capitan High,538,52.2323420074,0.28692779613
46,Poway Unified,68296,3731528,Westview High,838,84.7410501193,0.590174713507
47,Tulare Joint Union High,72249,5435466,Tulare Western High,584,57.75,0.509095204347
48,Fremont Unified,61176,135244,Mission San Jose High,787,92.9974587039,0.766219839142
49,Elk Grove Unified,67314,3430477,Florin High,545,43.0440366972,0.724257282954
50,Grossmont Union High,68130,3731536,Grossmont Middle College,27,81.0,0.515335113302
51,Muroc Joint Unified,63685,1531987,Desert Junior-Senior High,145,61.0551724138,0.289198606272
52,West Contra Costa Unified,61796,735316,Pinole Valley High,471,38.7558386412,0.820333432569
53,Elk Grove Unified,67314,3430311,"Calvine High, Cont.",17,0.0,0.724257282954
54,Corona-Norco Unified,67033,3334232,Norco High,773,63.0944372574,0.521374277896
55,San Joaquin County Office of Education,10397,3930468,San Joaquin County Community,228,6.18421052632,0.484574111335
56,Los Banos Unified,65755,120923,Pacheco High,518,44.9980694981,0.609182058047
57,Simi Valley Unified,72603,5636188,Simi Valley High,808,68.2351485149,0.510060259422
58,San Juan Unified,67447,3430493,Bella Vista High,722,72.891966759,0.486412512219
59,El Dorado Union High,61853,930149,"Independent Learning Ctr., Alt",36,27.6666666667,0.376518218623
60,Hanford Joint Union High,63925,1634401,Hanford High,541,50.1293900185,0.41235459286
61,Los Gatos-Saratoga Joint Union High,69534,4337762,Saratoga High,470,91.6340425532,0.764052462527
62,South Monterey County Joint Union High,66068,2730083,Portola-Butler Continuation H,18,0.0,0.708883025506
63,Simi Valley Unified,72603,5635008,Royal High,682,66.2434017595,0.502965372106
64,Desert Sands Unified,67058,118885,Shadow Hills High,429,51.7179487179,0.680439104503
