,District,District Code,School Code,School Name,number,score,vote
0,Tulare Joint Union High,72249,5430145,Tulare Technical Preparatory,27,0.0,0.509095204347
1,Alameda City Unified,61119,1,District Students in NPS,408,9.91911764706,0.643058547424
2,San Diego Unified,68338,3733508,La Jolla High,332,45.0843373494,0.643146674673
3,Modesto City High,71175,110593,James C. Enochs High,607,56.4431630972,0.503361941726
4,Winters Joint Unified,72702,5738505,Winters High,193,34.3626943005,0.646812957158
5,Holtville Unified,63149,1335306,Holtville High,329,44.7234042553,0.586666666667
6,Fresno Unified,62166,108555,Design Science Early College,89,86.8202247191,0.638969873664
7,Oakdale Joint Unified,75564,5031950,East Stanislaus High,16,0.0,0.381089459699
8,Hemet Unified,67082,3330065,Alessandro High,153,13.0,0.467771639042
9,Redlands Unified,67843,118802,Citrus Valley High,758,54.364116095,0.455927591103
10,Dixon Unified,70532,4832259,Dixon High,398,35.0477386935,0.670484122853
11,Fillmore Unified,72454,5632021,Fillmore Senior High,624,43.4294871795,0.614634146341
12,Coronado Unified,68031,3731478,Coronado High,127,77.0866141732,0.631088082902
13,Livermore Valley Joint Unified,61200,130393,Vineyard Alternative,12,17.0,0.429708222812
14,Bret Harte Union High,61556,532507,Bret Harte Union High,80,53.75,0.348512011474
15,Ojai Unified,72520,5634076,Nordhoff High,212,44.9905660377,0.733727810651
16,Ventura Unified,72652,5630298,El Camino High,54,68.6666666667,0.733727810651
17,San Marcos Unified,73791,3737632,San Marcos High,660,59.4060606061,0.556289356474
18,Garden Grove Unified,66522,3032752,Garden Grove High,833,47.1200480192,0.646146252027
19,Corona-Norco Unified,67033,110627,Eleanor Roosevelt High,1144,54.3111888112,0.469943247562
20,Cuyama Joint Unified,75010,4231205,Cuyama Valley High,30,33.5333333333,0.524693796918
21,Moreno Valley Unified,67124,3330396,Canyon Springs High,966,45.8768115942,0.601864262215
22,Riverside Unified,67215,3336237,Polytechnic High,1022,40.4452054795,0.55196454629
23,Sweetwater Union High,68411,3731502,San Ysidro High,1485,37.4868686869,0.653173965448
24,Oakland Unified,61259,100701,MetWest,58,30.4310344828,0.92997246108
25,Santa Ana Unified,66670,114736,Hector G. Godinez,1883,53.7031332979,0.673099513341
26,Porterville Unified,75523,5430624,"Citrus High, Cont.",104,3.50961538462,0.288544358312
27,North Monterey County Unified,73825,2730034,North Monterey County High,632,38.3734177215,0.724327897752
28,Center Joint Unified,73973,3430451,"McClellan High, Cont.",12,17.0,0.514728477984
29,Clovis Unified,62117,1030196,Clovis West High,492,56.9308943089,0.410257742673
30,Chaffey Joint Union High,67652,3631157,Colony High,1017,47.2192723697,0.584564584732
31,East Side Union High,69427,4330015,Yerba Buena High,683,24.8931185944,0.796362220492
32,San Mateo County Office of Education,10413,113332,Gateway Center,40,0.0,0.772713878794
33,Yuba City Unified,71464,5130018,Powell (Albert) Cont.,62,8.17741935484,0.402011581835
34,Poway Unified,68296,118935,Del Norte High,132,74.2121212121,0.480098943108
35,Murrieta Valley Unified,75200,118794,Murrieta Mesa High,556,63.2104316547,0.551023137622
36,San Diego Unified,68338,3730371,San Diego SCPA,180,69.0,0.639748894279
37,San Diego Unified,68338,114025,Lincoln High,797,21.6863237139,0.749366595206
38,Rim of the World Unified,67868,3635265,Rim of the World Senior High,199,32.9246231156,0.416916018352
39,Corona-Norco Unified,67033,3330131,Corona-Norco Alternative,16,7.0,0.581043375328
40,Lake Elsinore Unified,75176,3330115,Ortega High,69,9.0,0.418744769874
41,Murrieta Valley Unified,75200,100420,Vista Murrieta High,746,63.5804289544,0.408031308491
42,West Contra Costa Unified,61796,733253,Gompers (Samuel) Continuation,23,6.0,0.921564694082
43,Santa Ana Unified,66670,108365,Segerstrom High,1508,59.2944297082,0.673099513341
44,Antioch Unified,61648,730465,Deer Valley High,468,50.2393162393,0.720506845325
45,Poway Unified,68296,3731528,Westview High,152,71.4210526316,0.590174713507
46,Tulare Joint Union High,72249,5435466,Tulare Western High,870,50.6505747126,0.509095204347
47,Riverside County Office of Education,10330,3330123,Riverside County Juvenile Cou,56,14.6785714286,0.666864608076
48,Elk Grove Unified,67314,3430477,Florin High,314,37.9968152866,0.724257282954
49,Orange Unified,66621,114769,OUSD Community Day,11,27.0,0.581574185766
50,Muroc Joint Unified,63685,1531987,Desert Junior-Senior High,44,45.1818181818,0.289198606272
51,West Contra Costa Unified,61796,735316,Pinole Valley High,357,27.0588235294,0.820333432569
52,Corona-Norco Unified,67033,3334232,Norco High,647,49.6105100464,0.521374277896
53,San Joaquin County Office of Education,10397,3930468,San Joaquin County Community,353,3.82152974504,0.484574111335
54,Los Banos Unified,65755,120923,Pacheco High,809,41.7812113721,0.609182058047
55,Simi Valley Unified,72603,5636188,Simi Valley High,365,49.7917808219,0.510060259422
56,San Juan Unified,67447,3430493,Bella Vista High,159,55.5911949686,0.486412512219
57,San Luis Coastal Unified,68809,4036703,San Luis Obispo High,191,43.6335078534,0.644798745426
58,Hanford Joint Union High,63925,1634401,Hanford High,579,38.7789291883,0.41235459286
