,District,District Code,School Code,School Name,number,score,vote
0,Tulare Joint Union High,72249,5430145,Tulare Technical Preparatory,47,0.0,0.509095204347
1,Alameda City Unified,61119,1,District Students in NPS,586,7.28156996587,0.643058547424
2,San Diego Unified,68338,3733508,La Jolla High,635,33.3196850394,0.643146674673
3,Modesto City High,71175,110593,James C. Enochs High,1211,42.9438480595,0.503361941726
4,Winters Joint Unified,72702,5738505,Winters High,350,21.22,0.646812957158
5,Holtville Unified,63149,1335306,Holtville High,662,32.5377643505,0.586666666667
6,Fresno Unified,62166,108555,Design Science Early College,178,67.5449438202,0.638969873664
7,Oakdale Joint Unified,75564,5031950,East Stanislaus High,16,0.0,0.381089459699
8,Hemet Unified,67082,3330065,Alessandro High,288,8.19791666667,0.467771639042
9,Redlands Unified,67843,118802,Citrus Valley High,1505,35.9315614618,0.455927591103
10,Dixon Unified,70532,4832259,Dixon High,741,27.8110661269,0.670484122853
11,Fillmore Unified,72454,5632021,Fillmore Senior High,1157,39.7337942956,0.614634146341
12,Coronado Unified,68031,3731478,Coronado High,230,61.1869565217,0.631088082902
13,Livermore Valley Joint Unified,61200,130393,Vineyard Alternative,12,17.0,0.429708222812
14,Bret Harte Union High,61556,532507,Bret Harte Union High,110,44.5909090909,0.348512011474
15,Ojai Unified,72520,5634076,Nordhoff High,404,35.0371287129,0.733727810651
16,Ventura Unified,72652,5630298,El Camino High,66,60.7272727273,0.733727810651
17,San Marcos Unified,73791,3737632,San Marcos High,1262,45.3882725832,0.556289356474
18,Garden Grove Unified,66522,3032752,Garden Grove High,1644,32.6654501217,0.646146252027
19,Corona-Norco Unified,67033,110627,Eleanor Roosevelt High,2283,35.5724923346,0.469943247562
20,Cuyama Joint Unified,75010,4231205,Cuyama Valley High,60,20.2,0.524693796918
21,Moreno Valley Unified,67124,3330396,Canyon Springs High,1716,32.479020979,0.601864262215
22,Riverside Unified,67215,3336237,Polytechnic High,1992,27.8649598394,0.55196454629
23,Sweetwater Union High,68411,3731502,San Ysidro High,2822,35.8607370659,0.653173965448
24,Oakland Unified,61259,100701,MetWest,69,25.5797101449,0.92997246108
25,Santa Ana Unified,66670,114736,Hector G. Godinez,3765,46.1984063745,0.673099513341
26,Porterville Unified,75523,5430624,"Citrus High, Cont.",209,2.80861244019,0.288544358312
27,North Monterey County Unified,73825,2730034,North Monterey County High,1203,23.0831255195,0.724327897752
28,Center Joint Unified,73973,3430451,"McClellan High, Cont.",12,17.0,0.514728477984
29,Clovis Unified,62117,1030196,Clovis West High,972,47.2788065844,0.410257742673
30,Chaffey Joint Union High,67652,3631157,Colony High,1835,36.8768392371,0.584564584732
31,East Side Union High,69427,4330015,Yerba Buena High,1344,17.4799107143,0.796362220492
32,San Mateo County Office of Education,10413,113332,Gateway Center,40,0.0,0.772713878794
33,Yuba City Unified,71464,5130018,Powell (Albert) Cont.,62,8.17741935484,0.402011581835
34,Poway Unified,68296,118935,Del Norte High,233,57.0944206009,0.480098943108
35,Murrieta Valley Unified,75200,118794,Murrieta Mesa High,1087,46.2962281509,0.551023137622
36,San Diego Unified,68338,3730371,San Diego SCPA,346,44.4739884393,0.639748894279
37,San Diego Unified,68338,114025,Lincoln High,1508,13.6445623342,0.749366595206
38,Rim of the World Unified,67868,3635265,Rim of the World Senior High,330,28.296969697,0.416916018352
39,Corona-Norco Unified,67033,3330131,Corona-Norco Alternative,16,7.0,0.581043375328
40,Lake Elsinore Unified,75176,3330115,Ortega High,122,5.09016393443,0.418744769874
41,Murrieta Valley Unified,75200,100420,Vista Murrieta High,1453,49.5388850654,0.408031308491
42,West Contra Costa Unified,61796,733253,Gompers (Samuel) Continuation,36,3.83333333333,0.921564694082
43,Santa Ana Unified,66670,108365,Segerstrom High,2996,44.599799733,0.673099513341
44,Antioch Unified,61648,730465,Deer Valley High,883,34.100792752,0.720506845325
45,Poway Unified,68296,3731528,Westview High,276,52.3442028986,0.590174713507
46,Tulare Joint Union High,72249,5435466,Tulare Western High,1702,33.696239718,0.509095204347
47,Riverside County Office of Education,10330,3330123,Riverside County Juvenile Cou,56,14.6785714286,0.666864608076
48,Elk Grove Unified,67314,3430477,Florin High,600,24.915,0.724257282954
49,Orange Unified,66621,114769,OUSD Community Day,11,27.0,0.581574185766
50,Muroc Joint Unified,63685,1531987,Desert Junior-Senior High,44,45.1818181818,0.289198606272
51,West Contra Costa Unified,61796,735316,Pinole Valley High,696,17.0301724138,0.820333432569
52,Corona-Norco Unified,67033,3334232,Norco High,1264,35.1875,0.521374277896
53,San Joaquin County Office of Education,10397,3930468,San Joaquin County Community,380,3.83421052632,0.484574111335
54,Los Banos Unified,65755,120923,Pacheco High,1617,25.5621521336,0.609182058047
55,Simi Valley Unified,72603,5636188,Simi Valley High,711,36.2981715893,0.510060259422
56,San Juan Unified,67447,3430493,Bella Vista High,214,48.3224299065,0.486412512219
57,San Luis Coastal Unified,68809,4036703,San Luis Obispo High,322,30.4440993789,0.644798745426
58,Hanford Joint Union High,63925,1634401,Hanford High,1134,25.9638447972,0.41235459286
59,Los Gatos-Saratoga Joint Union High,69534,4337762,Saratoga High,69,58.2463768116,0.764052462527
60,South Monterey County Joint Union High,66068,2730083,Portola-Butler Continuation H,40,3.0,0.708883025506
61,Simi Valley Unified,72603,5635008,Royal High,714,30.8473389356,0.502965372106
62,Desert Sands Unified,67058,118885,Shadow Hills High,1453,33.5815554026,0.680439104503
63,Tulare Joint Union High,72249,5435409,Tulare Union High,1631,38.0790925812,0.509095204347
64,Berkeley Unified,61143,131177,Berkeley High,793,29.3404791929,0.95595970901
65,San Benito High,67538,3537008,San Benito High,2572,29.6022550544,0.630313644324
66,Sonoma County Office of Education,10496,4930343,Alternative Education,70,7.25714285714,0.723734225331
67,Oxnard Union High,72546,5630066,"Frontier High, Cont.",189,5.71957671958,0.562587476419
68,Marin County Office of Education,10215,2130037,Marin County Community,53,5.39622641509,0.776995305164
69,Laguna Beach Unified,66555,3033206,Laguna Beach High,96,63.4895833333,0.55997588909
70,Sacramento City Unified,67439,3430519,Capital City,335,10.6149253731,0.810262114997
71,Grossmont Union High,68130,3734548,Monte Vista High,1172,36.1271331058,0.567637598284
72,Modesto City High,71175,5030010,Beyer (Fred C.) High,924,34.066017316,0.503361941726
73,Perris Union High,67207,3330172,"Perris Lake High, Cont.",119,7.56302521008,0.599527085125
74,Salinas Union High,66159,2730109,Alisal High,3137,28.2078418872,0.845149851011
75,Santa Paula Union High,72595,5635776,Santa Paula High,1896,32.6861814346,0.691237192231
76,Monterey County Office of Education,10272,2730117,Wellington Smith,68,6.0,0.766725159026
77,Kern Union High,63529,125062,Tierra Del Sol Continuation Hi,121,1.71900826446,0.568197553658
78,Hanford Joint Union High,63925,118919,Sierra Pacific High,688,26.3502906977,0.41235459286
79,Modesto City High,71175,121129,Gregori High,1223,29.2771872445,0.624695161083
80,Azusa Unified,64279,1933449,Gladstone High,1837,25.5857376157,0.461583577713
81,South Monterey County Joint Union High,66068,2732170,King City High,983,32.513733469,0.708883025506
82,Sacramento City Unified,67439,3434636,Johnson (Hiram W.) High,838,19.553699284,0.797459584296
83,North Monterey County Unified,73825,2730125,North Monterey County Ctr,16,13.0,0.638313875535
84,Fresno Unified,62166,1030287,Young Academic Center,874,6.00114416476,0.770626242545
85,Escalon Unified,68502,3932308,Escalon High,508,24.8346456693,0.38561479177
86,Fontana Unified,67710,3633302,Fontana High,3385,29.6841949778,0.767511394713
87,Hayward Unified,61192,135319,Mt. Eden High,1271,19.5287175452,0.805712270804
88,Santa Rosa High,70920,4930244,Carrillo (Maria) High,334,48.994011976,0.760627802691
89,Brawley Union High,63081,1331354,"Desert Valley High, Cont.",150,7.28,0.697323900338
90,Alvord Unified,66977,3334299,Norte Vista High,2828,26.8122347949,0.641564318035
91,Conejo Valley Unified,73759,5630108,"Conejo Valley High, Cont.",41,7.07317073171,0.493549203137
92,Oakland Unified,61259,112797,Coliseum College Prep Academy,251,16.764940239,0.78
93,Elk Grove Unified,67314,116897,Cosumnes Oaks High,512,43.673828125,0.635654169855
94,Anaheim Union High,66431,3033115,John F. Kennedy High,1105,52.8380090498,0.620361429163
95,Fullerton Joint Union High,66514,3037348,Sunny Hills High,852,52.3685446009,0.634521880065
