,District,District Code,School Code,School Name,number,score,vote
0,Alameda City Unified,61119,1,District Students in NPS,184,4.375,0.643058547424
1,San Diego Unified,68338,3733508,La Jolla High,215,35.0,0.643146674673
2,Modesto City High,71175,110593,James C. Enochs High,305,47.9049180328,0.503361941726
3,Winters Joint Unified,72702,5738505,Winters High,149,30.8926174497,0.646812957158
4,Holtville Unified,63149,1335306,Holtville High,329,44.7234042553,0.586666666667
5,Fresno Unified,62166,108555,Design Science Early College,89,86.8202247191,0.638969873664
6,Oakdale Joint Unified,75564,5031950,East Stanislaus High,14,0.0,0.381089459699
7,Hemet Unified,67082,3330065,Alessandro High,137,13.0,0.467771639042
8,Redlands Unified,67843,118802,Citrus Valley High,448,46.6160714286,0.455927591103
9,Dixon Unified,70532,4832259,Dixon High,273,30.9084249084,0.670484122853
10,Fillmore Unified,72454,5632021,Fillmore Senior High,483,39.6625258799,0.614634146341
11,Bret Harte Union High,61556,532507,Bret Harte Union High,51,41.3333333333,0.348512011474
12,Ojai Unified,72520,5634076,Nordhoff High,152,38.4276315789,0.733727810651
13,San Marcos Unified,73791,3737632,San Marcos High,508,56.1141732283,0.556289356474
14,Garden Grove Unified,66522,3032752,Garden Grove High,592,45.7432432432,0.646146252027
15,Corona-Norco Unified,67033,110627,Eleanor Roosevelt High,639,48.0093896714,0.469943247562
16,Cuyama Joint Unified,75010,4231205,Cuyama Valley High,29,31.1034482759,0.524693796918
17,Moreno Valley Unified,67124,3330396,Canyon Springs High,766,44.2832898172,0.601864262215
18,Riverside Unified,67215,3336237,Polytechnic High,744,34.4220430108,0.55196454629
19,Sweetwater Union High,68411,3731502,San Ysidro High,1273,36.568735271,0.653173965448
20,Oakland Unified,61259,100701,MetWest,47,31.2978723404,0.92997246108
21,Santa Ana Unified,66670,114736,Hector G. Godinez,1723,52.4039466048,0.673099513341
22,Porterville Unified,75523,5430624,"Citrus High, Cont.",93,2.88172043011,0.288544358312
23,North Monterey County Unified,73825,2730034,North Monterey County High,558,35.9569892473,0.724327897752
24,Clovis Unified,62117,1030196,Clovis West High,269,48.1858736059,0.410257742673
25,Chaffey Joint Union High,67652,3631157,Colony High,700,45.2585714286,0.584564584732
26,East Side Union High,69427,4330015,Yerba Buena High,582,24.0154639175,0.796362220492
27,Windsor Unified,75358,4930228,Windsor High,281,40.0142348754,0.690663417876
28,Murrieta Valley Unified,75200,118794,Murrieta Mesa High,236,49.813559322,0.551023137622
29,San Diego Unified,68338,114025,Lincoln High,797,21.6863237139,0.749366595206
30,Rim of the World Unified,67868,3635265,Rim of the World Senior High,142,22.2535211268,0.416916018352
31,Lake Elsinore Unified,75176,3330115,Ortega High,57,7.0,0.418744769874
32,Murrieta Valley Unified,75200,100420,Vista Murrieta High,311,58.7877813505,0.408031308491
