,District,District Code,School Code,School Name,number,score,vote
0,Alameda City Unified,61119,1,District Students in NPS,300,10.58,0.643058547424
1,San Diego Unified,68338,3733508,La Jolla High,196,55.2040816327,0.643146674673
2,Modesto City High,71175,110593,James C. Enochs High,595,49.8823529412,0.503361941726
3,Winters Joint Unified,72702,5738505,Winters High,44,47.6818181818,0.646812957158
4,Murrieta Valley Unified,75200,118794,Murrieta Mesa High,603,53.583747927,0.551023137622
5,Apple Valley Unified,75077,3630423,Apple Valley High,235,45.9276595745,0.412444444444
6,Hemet Unified,67082,3330065,Alessandro High,16,13.0,0.467771639042
7,Redlands Unified,67843,118802,Citrus Valley High,607,42.1219110379,0.455927591103
8,Dixon Unified,70532,4832259,Dixon High,208,32.3317307692,0.670484122853
9,Fillmore Unified,72454,5632021,Fillmore Senior High,266,45.7443609023,0.614634146341
10,Coronado Unified,68031,3731478,Coronado High,195,60.0,0.631088082902
11,Bret Harte Union High,61556,532507,Bret Harte Union High,16,63.0,0.348512011474
12,Ojai Unified,72520,5634076,Nordhoff High,71,53.6056338028,0.733727810651
13,San Marcos Unified,73791,3737632,San Marcos High,274,58.1788321168,0.556289356474
14,Kern Union High,63529,116400,Mira Monte High,124,33.9112903226,0.568197553658
15,Corona-Norco Unified,67033,110627,Eleanor Roosevelt High,1001,39.5954045954,0.469943247562
16,San Jose Unified,69666,4330502,Liberty High (Alternative,29,15.1034482759,0.723253757737
17,Riverside Unified,67215,3336237,Polytechnic High,513,39.9512670565,0.55196454629
18,Sweetwater Union High,68411,3731502,San Ysidro High,406,41.5812807882,0.653173965448
19,Santa Ana Unified,66670,114736,Hector G. Godinez,303,52.4191419142,0.673099513341
20,North Monterey County Unified,73825,2730034,North Monterey County High,103,44.6213592233,0.724327897752
21,Clovis Unified,62117,1030196,Clovis West High,439,56.1298405467,0.410257742673
22,Chaffey Joint Union High,67652,3631157,Colony High,548,39.2116788321,0.584564584732
23,San Diego Unified,68338,3730371,San Diego SCPA,114,57.1578947368,0.639748894279
24,Rim of the World Unified,67868,3635265,Rim of the World Senior High,81,48.3456790123,0.416916018352
25,Lake Elsinore Unified,75176,3330115,Ortega High,12,17.0,0.418744769874
26,Murrieta Valley Unified,75200,100420,Vista Murrieta High,833,52.9291716687,0.408031308491
27,Grossmont Union High,68130,3731809,El Capitan High,200,28.345,0.28692779613
28,Poway Unified,68296,3731528,Westview High,223,56.1479820628,0.590174713507
29,Tulare Joint Union High,72249,5435466,Tulare Western High,264,47.303030303,0.509095204347
30,Muroc Joint Unified,63685,1531987,Desert Junior-Senior High,31,51.2580645161,0.289198606272
