,District,District Code,School Code,School Name,number,score,vote
0,Tulare Joint Union High,72249,5430145,Tulare Technical Preparatory,30,10.0,0.509095204347
1,Alameda City Unified,61119,1,District Students in NPS,950,14.3757894737,0.643058547424
2,San Diego Unified,68338,3733508,La Jolla High,592,72.3327702703,0.643146674673
3,Modesto City High,71175,110593,James C. Enochs High,817,62.8800489596,0.503361941726
4,Winters Joint Unified,72702,5738505,Winters High,154,43.4285714286,0.646812957158
5,Holtville Unified,63149,1335306,Holtville High,197,45.883248731,0.586666666667
6,Fresno Unified,62166,108555,Design Science Early College,97,91.7216494845,0.638969873664
7,Simi Valley Unified,72603,5630249,Monte Vista,45,41.8888888889,0.502965372106
8,Ferndale Unified,75374,1232909,Ferndale High,34,29.3529411765,0.414024975985
9,Oakdale Joint Unified,75564,5031950,East Stanislaus High,42,2.28571428571,0.381089459699
10,Hemet Unified,67082,3330065,Alessandro High,167,10.0,0.467771639042
11,Redlands Unified,67843,118802,Citrus Valley High,784,60.1454081633,0.455927591103
12,Dixon Unified,70532,4832259,Dixon High,446,47.3609865471,0.670484122853
13,Fillmore Unified,72454,5632021,Fillmore Senior High,380,45.1578947368,0.614634146341
14,Coronado Unified,68031,3731478,Coronado High,363,76.7741046832,0.631088082902
15,Livermore Valley Joint Unified,61200,130393,Vineyard Alternative,32,28.125,0.429708222812
16,Shasta Union High,70136,4530200,Pioneer Continuation High,57,3.47368421053,0.35168792198
17,Bret Harte Union High,61556,532507,Bret Harte Union High,245,59.1224489796,0.348512011474
18,Ojai Unified,72520,5634076,Nordhoff High,319,53.9467084639,0.733727810651
19,Ventura Unified,72652,5630298,El Camino High,103,78.7572815534,0.733727810651
20,San Marcos Unified,73791,3737632,San Marcos High,810,75.3703703704,0.556289356474
21,Garden Grove Unified,66522,3032752,Garden Grove High,865,55.4242774566,0.646146252027
22,Corona-Norco Unified,67033,110627,Eleanor Roosevelt High,1147,59.593722755,0.469943247562
23,Cuyama Joint Unified,75010,4231205,Cuyama Valley High,11,18.0,0.524693796918
24,Moreno Valley Unified,67124,3330396,Canyon Springs High,868,44.168202765,0.601864262215
25,Shasta Union High,70136,4530218,Freedom High,15,7.0,0.35168792198
26,Riverside Unified,67215,3336237,Polytechnic High,997,48.4523570712,0.55196454629
27,Sweetwater Union High,68411,3731502,San Ysidro High,787,36.667090216,0.653173965448
28,Oakland Unified,61259,100701,MetWest,44,27.1818181818,0.92997246108
29,Santa Ana Unified,66670,114736,Hector G. Godinez,927,54.0614886731,0.673099513341
30,Porterville Unified,75523,5430624,"Citrus High, Cont.",91,6.37362637363,0.288544358312
31,North Monterey County Unified,73825,2730034,North Monterey County High,380,34.9368421053,0.724327897752
32,Center Joint Unified,73973,3430451,"McClellan High, Cont.",39,13.0,0.514728477984
33,Clovis Unified,62117,1030196,Clovis West High,781,64.6274007682,0.410257742673
34,Chaffey Joint Union High,67652,3631157,Colony High,777,47.0437580438,0.584564584732
35,Ventura Unified,72652,5630348,Foothill Technology High,362,87.7044198895,0.640656361139
36,East Side Union High,69427,4330015,Yerba Buena High,599,34.9465776294,0.796362220492
37,San Mateo County Office of Education,10413,113332,Gateway Center,46,2.0,0.772713878794
38,Yuba City Unified,71464,5130018,Powell (Albert) Cont.,89,9.84269662921,0.402011581835
39,Poway Unified,68296,118935,Del Norte High,698,74.1661891117,0.480098943108
40,Murrieta Valley Unified,75200,118794,Murrieta Mesa High,852,65.2699530516,0.551023137622
41,San Diego Unified,68338,3730371,San Diego SCPA,173,75.4855491329,0.639748894279
42,San Diego Unified,68338,114025,Lincoln High,597,23.8659966499,0.749366595206
43,Rim of the World Unified,67868,3635265,Rim of the World Senior High,434,46.5622119816,0.416916018352
44,Lake Elsinore Unified,75176,3330115,Ortega High,59,7.0,0.418744769874
45,Murrieta Valley Unified,75200,100420,Vista Murrieta High,1084,68.9649446494,0.408031308491
46,West Contra Costa Unified,61796,733253,Gompers (Samuel) Continuation,31,4.0,0.921564694082
47,Santa Ana Unified,66670,108365,Segerstrom High,865,60.2404624277,0.673099513341
48,Alameda County Office of Education,10017,130401,Juvenile Hall/Court,144,1.3125,0.795628259161
49,Poway Unified,68296,3731528,Westview High,878,79.9886104784,0.590174713507
50,Tulare Joint Union High,72249,5435466,Tulare Western High,586,48.1262798635,0.509095204347
51,Riverside County Office of Education,10330,3330123,Riverside County Juvenile Cou,94,9.57446808511,0.666864608076
52,Fremont Unified,61176,135244,Mission San Jose High,829,93.6658624849,0.766219839142
53,Elk Grove Unified,67314,3430477,Florin High,569,40.5676625659,0.724257282954
54,Orange Unified,66621,114769,OUSD Community Day,14,36.0,0.581574185766
55,Muroc Joint Unified,63685,1531987,Desert Junior-Senior High,153,53.339869281,0.289198606272
56,West Contra Costa Unified,61796,735316,Pinole Valley High,523,34.9560229446,0.820333432569
57,Elk Grove Unified,67314,3430311,"Calvine High, Cont.",32,6.0,0.724257282954
58,Corona-Norco Unified,67033,3334232,Norco High,779,55.080872914,0.521374277896
59,Los Banos Unified,65755,120923,Pacheco High,513,43.4970760234,0.609182058047
60,Simi Valley Unified,72603,5636188,Simi Valley High,834,60.8489208633,0.510060259422
61,San Juan Unified,67447,3430493,Bella Vista High,716,64.0684357542,0.486412512219
62,Clovis Unified,62117,1030501,Buchanan High,870,67.416091954,0.398396767466
63,Hanford Joint Union High,63925,1634401,Hanford High,487,40.8747433265,0.41235459286
64,Los Gatos-Saratoga Joint Union High,69534,4337762,Saratoga High,554,86.4133574007,0.764052462527
65,South Monterey County Joint Union High,66068,2730083,Portola-Butler Continuation H,26,8.0,0.708883025506
66,Simi Valley Unified,72603,5635008,Royal High,851,52.8907168038,0.502965372106
67,Desert Sands Unified,67058,118885,Shadow Hills High,467,48.8929336188,0.680439104503
68,Tulare Joint Union High,72249,5435409,Tulare Union High,609,48.3481116585,0.509095204347
69,Berkeley Unified,61143,131177,Berkeley High,1031,51.1707080504,0.95595970901
70,Moorpark Unified,73940,5630371,Moorpark College,25,76.0,0.518262586377
71,San Benito High,67538,3537008,San Benito High,1031,48.7274490786,0.630313644324
72,Sonoma County Office of Education,10496,4930343,Alternative Education,73,15.7397260274,0.723734225331
73,Oxnard Union High,72546,5630066,"Frontier High, Cont.",115,7.72173913043,0.562587476419
74,Marin County Office of Education,10215,2130037,Marin County Community,47,7.72340425532,0.776995305164
75,Laguna Beach Unified,66555,3033206,Laguna Beach High,374,80.8743315508,0.55997588909
76,Sacramento City Unified,67439,3430519,Capital City,207,9.09178743961,0.810262114997
77,Grossmont Union High,68130,3734548,Monte Vista High,532,45.0563909774,0.567637598284
78,Modesto City High,71175,5030010,Beyer (Fred C.) High,667,52.0419790105,0.503361941726
79,Perris Union High,67207,3330172,"Perris Lake High, Cont.",80,10.0,0.599527085125
80,Salinas Union High,66159,2730109,Alisal High,854,29.6955503513,0.845149851011
81,Elk Grove Unified,67314,3430527,"Insights High, Cont.",16,13.0,0.724257282954
82,Santa Paula Union High,72595,5635776,Santa Paula High,502,37.3147410359,0.691237192231
83,Monterey County Office of Education,10272,2730117,Wellington Smith,66,6.0,0.766725159026
84,Kern Union High,63529,125062,Tierra Del Sol Continuation Hi,76,3.02631578947,0.568197553658
85,Hanford Joint Union High,63925,118919,Sierra Pacific High,280,43.8,0.41235459286
86,Modesto City High,71175,121129,Gregori High,625,49.464,0.624695161083
87,Azusa Unified,64279,1933449,Gladstone High,495,41.2303030303,0.461583577713
88,South Monterey County Joint Union High,66068,2732170,King City High,311,40.729903537,0.708883025506
89,Sacramento City Unified,67439,3434636,Johnson (Hiram W.) High,522,30.0593869732,0.797459584296
90,North Monterey County Unified,73825,2730125,North Monterey County Ctr,18,28.0,0.638313875535
91,Fresno Unified,62166,1030287,Young Academic Center,392,10.362244898,0.770626242545
92,Fortuna Union High,62810,108688,Academy of the Redwoods,88,79.6818181818,0.516473887136
93,Escalon Unified,68502,3932308,Escalon High,332,46.5060240964,0.38561479177
94,Fontana Unified,67710,3633302,Fontana High,931,38.1364124597,0.767511394713
95,Hayward Unified,61192,135319,Mt. Eden High,713,37.7713884993,0.805712270804
96,Santa Rosa High,70920,4930244,Carrillo (Maria) High,560,73.5964285714,0.760627802691
97,Brawley Union High,63081,1331354,"Desert Valley High, Cont.",39,10.0,0.697323900338
98,Alvord Unified,66977,3334299,Norte Vista High,827,37.446191052,0.641564318035
99,Conejo Valley Unified,73759,5630108,"Conejo Valley High, Cont.",56,12.5357142857,0.493549203137
100,Oakland Unified,61259,112797,Coliseum College Prep Academy,77,24.7792207792,0.78
101,Tamalpais Union High,65482,2130078,Tamiscal High (Alternative),12,92.0,0.758831277691
102,Elk Grove Unified,67314,116897,Cosumnes Oaks High,624,60.8621794872,0.635654169855
103,Anaheim Union High,66431,3033115,John F. Kennedy High,811,74.1035758323,0.620361429163
