,District,District Code,School Code,School Name,number,score,vote
0,Tulare Joint Union High,72249,5430145,Tulare Technical Preparatory,53,7.39622641509,0.509095204347
1,Alameda City Unified,61119,1,District Students in NPS,1354,10.3397341211,0.643058547424
2,San Diego Unified,68338,3733508,La Jolla High,1144,58.8277972028,0.643146674673
3,Modesto City High,71175,110593,James C. Enochs High,1632,49.4889705882,0.503361941726
4,Winters Joint Unified,72702,5738505,Winters High,260,28.1192307692,0.646812957158
5,Holtville Unified,63149,1335306,Holtville High,390,32.1205128205,0.586666666667
6,Fresno Unified,62166,108555,Design Science Early College,193,74.0362694301,0.638969873664
7,Simi Valley Unified,72603,5630249,Monte Vista,45,41.8888888889,0.502965372106
8,Ferndale Unified,75374,1232909,Ferndale High,34,29.3529411765,0.414024975985
9,Oakdale Joint Unified,75564,5031950,East Stanislaus High,53,3.67924528302,0.381089459699
10,Hemet Unified,67082,3330065,Alessandro High,317,5.82965299685,0.467771639042
11,Redlands Unified,67843,118802,Citrus Valley High,1558,43.3523748395,0.455927591103
12,Dixon Unified,70532,4832259,Dixon High,828,39.8526570048,0.670484122853
13,Fillmore Unified,72454,5632021,Fillmore Senior High,703,43.4580369844,0.614634146341
14,Coronado Unified,68031,3731478,Coronado High,692,63.1546242775,0.631088082902
15,Livermore Valley Joint Unified,61200,130393,Vineyard Alternative,32,28.125,0.429708222812
16,Shasta Union High,70136,4530200,Pioneer Continuation High,74,4.05405405405,0.35168792198
17,Bret Harte Union High,61556,532507,Bret Harte Union High,450,45.9844444444,0.348512011474
18,Ojai Unified,72520,5634076,Nordhoff High,618,46.6796116505,0.733727810651
19,Ventura Unified,72652,5630298,El Camino High,129,68.3255813953,0.733727810651
20,San Marcos Unified,73791,3737632,San Marcos High,1580,63.5297468354,0.556289356474
21,Garden Grove Unified,66522,3032752,Garden Grove High,1723,43.5461404527,0.646146252027
22,Corona-Norco Unified,67033,110627,Eleanor Roosevelt High,2286,42.0297462817,0.469943247562
23,Cuyama Joint Unified,75010,4231205,Cuyama Valley High,22,13.5,0.524693796918
24,Moreno Valley Unified,67124,3330396,Canyon Springs High,1514,32.4108322325,0.601864262215
25,Shasta Union High,70136,4530218,Freedom High,15,7.0,0.35168792198
26,Riverside Unified,67215,3336237,Polytechnic High,1951,36.2865197335,0.55196454629
27,Sweetwater Union High,68411,3731502,San Ysidro High,1514,35.8606340819,0.653173965448
28,Oakland Unified,61259,100701,MetWest,44,27.1818181818,0.92997246108
29,Santa Ana Unified,66670,114736,Hector G. Godinez,1853,48.4500809498,0.673099513341
30,Porterville Unified,75523,5430624,"Citrus High, Cont.",183,5.38797814208,0.288544358312
31,North Monterey County Unified,73825,2730034,North Monterey County High,710,22.1633802817,0.724327897752
32,Center Joint Unified,73973,3430451,"McClellan High, Cont.",51,11.8235294118,0.514728477984
33,Clovis Unified,62117,1030196,Clovis West High,1550,57.5948387097,0.410257742673
34,Chaffey Joint Union High,67652,3631157,Colony High,1404,38.9188034188,0.584564584732
35,Ventura Unified,72652,5630348,Foothill Technology High,711,71.1434599156,0.640656361139
36,East Side Union High,69427,4330015,Yerba Buena High,1177,28.2744265081,0.796362220492
37,San Mateo County Office of Education,10413,113332,Gateway Center,46,2.0,0.772713878794
38,Yuba City Unified,71464,5130018,Powell (Albert) Cont.,109,8.03669724771,0.402011581835
39,Poway Unified,68296,118935,Del Norte High,1355,61.6169741697,0.480098943108
40,Murrieta Valley Unified,75200,118794,Murrieta Mesa High,1696,51.6969339623,0.551023137622
41,San Diego Unified,68338,3730371,San Diego SCPA,314,55.3853503185,0.639748894279
42,San Diego Unified,68338,114025,Lincoln High,1133,14.6019417476,0.749366595206
43,Rim of the World Unified,67868,3635265,Rim of the World Senior High,776,38.699742268,0.416916018352
44,Lake Elsinore Unified,75176,3330115,Ortega High,89,4.6404494382,0.418744769874
45,Murrieta Valley Unified,75200,100420,Vista Murrieta High,2112,55.1964962121,0.408031308491
46,West Contra Costa Unified,61796,733253,Gompers (Samuel) Continuation,47,2.63829787234,0.921564694082
47,Santa Ana Unified,66670,108365,Segerstrom High,1726,46.9762456547,0.673099513341
48,Alameda County Office of Education,10017,130401,Juvenile Hall/Court,144,1.3125,0.795628259161
49,Poway Unified,68296,3731528,Westview High,1705,64.5630498534,0.590174713507
50,Tulare Joint Union High,72249,5435466,Tulare Western High,1138,33.9595782074,0.509095204347
51,Riverside County Office of Education,10330,3330123,Riverside County Juvenile Cou,94,9.57446808511,0.666864608076
52,Fremont Unified,61176,135244,Mission San Jose High,1646,88.6257594168,0.766219839142
53,Elk Grove Unified,67314,3430477,Florin High,1106,30.5298372514,0.724257282954
54,Orange Unified,66621,114769,OUSD Community Day,14,36.0,0.581574185766
55,Muroc Joint Unified,63685,1531987,Desert Junior-Senior High,272,40.6985294118,0.289198606272
56,West Contra Costa Unified,61796,735316,Pinole Valley High,1027,23.5267770204,0.820333432569
57,Elk Grove Unified,67314,3430311,"Calvine High, Cont.",32,6.0,0.724257282954
58,Corona-Norco Unified,67033,3334232,Norco High,1542,42.8339818418,0.521374277896
59,Los Banos Unified,65755,120923,Pacheco High,1021,27.8677766895,0.609182058047
60,Simi Valley Unified,72603,5636188,Simi Valley High,1607,47.4113254512,0.510060259422
61,San Juan Unified,67447,3430493,Bella Vista High,1302,62.3133640553,0.486412512219
62,Clovis Unified,62117,1030501,Buchanan High,1694,58.0602125148,0.398396767466
63,Hanford Joint Union High,63925,1634401,Hanford High,958,29.2599164927,0.41235459286
64,Los Gatos-Saratoga Joint Union High,69534,4337762,Saratoga High,1084,81.1568265683,0.764052462527
65,South Monterey County Joint Union High,66068,2730083,Portola-Butler Continuation H,26,8.0,0.708883025506
66,Simi Valley Unified,72603,5635008,Royal High,1517,40.6216216216,0.502965372106
67,Desert Sands Unified,67058,118885,Shadow Hills High,948,36.0116033755,0.680439104503
68,Tulare Joint Union High,72249,5435409,Tulare Union High,1187,39.7177759056,0.509095204347
69,Berkeley Unified,61143,131177,Berkeley High,2024,39.4866600791,0.95595970901
70,Moorpark Unified,73940,5630371,Moorpark College,36,75.0833333333,0.518262586377
71,San Benito High,67538,3537008,San Benito High,2020,34.3262376238,0.630313644324
72,Sonoma County Office of Education,10496,4930343,Alternative Education,73,15.7397260274,0.723734225331
73,Oxnard Union High,72546,5630066,"Frontier High, Cont.",115,7.72173913043,0.562587476419
74,Marin County Office of Education,10215,2130037,Marin County Community,47,7.72340425532,0.776995305164
75,Laguna Beach Unified,66555,3033206,Laguna Beach High,722,71.1869806094,0.55997588909
76,Sacramento City Unified,67439,3430519,Capital City,276,7.1884057971,0.810262114997
77,Grossmont Union High,68130,3734548,Monte Vista High,1034,39.6460348162,0.567637598284
78,Modesto City High,71175,5030010,Beyer (Fred C.) High,1319,39.5633055345,0.503361941726
79,Perris Union High,67207,3330172,"Perris Lake High, Cont.",108,7.40740740741,0.599527085125
80,Salinas Union High,66159,2730109,Alisal High,1582,27.6283185841,0.845149851011
81,Elk Grove Unified,67314,3430527,"Insights High, Cont.",32,9.5,0.724257282954
