,District,District Code,School Code,School Name,number,score,vote
0,Alameda City Unified,61119,1,District Students in NPS,337,26.9584569733,0.643058547424
1,San Diego Unified,68338,3733508,La Jolla High,634,87.7192429022,0.643146674673
2,Modesto City High,71175,110593,James C. Enochs High,701,74.0556348074,0.503361941726
3,Winters Joint Unified,72702,5738505,Winters High,134,72.5149253731,0.646812957158
4,Holtville Unified,63149,1335306,Holtville High,31,70.8387096774,0.586666666667
5,Apple Valley Unified,75077,3630423,Apple Valley High,627,64.8915470494,0.412444444444
6,Simi Valley Unified,72603,5630249,Monte Vista,74,40.7027027027,0.502965372106
7,Ferndale Unified,75374,1232909,Ferndale High,70,52.7428571429,0.414024975985
8,Oakdale Joint Unified,75564,5031950,East Stanislaus High,30,3.16666666667,0.381089459699
9,Hemet Unified,67082,3330065,Alessandro High,82,15.0,0.467771639042
10,Redlands Unified,67843,118802,Citrus Valley High,530,72.558490566,0.455927591103
11,Dixon Unified,70532,4832259,Dixon High,374,67.3529411765,0.670484122853
12,Fillmore Unified,72454,5632021,Fillmore Senior High,84,65.2857142857,0.614634146341
13,Coronado Unified,68031,3731478,Coronado High,606,82.2607260726,0.631088082902
14,Liberty Union High,61721,730457,Freedom High,704,65.6519886364,0.567729804007
15,Shasta Union High,70136,4530200,Pioneer Continuation High,49,4.22448979592,0.35168792198
16,West Contra Costa Unified,61796,732164,De Anza Senior High,55,43.6727272727,0.8259762309
17,Bret Harte Union High,61556,532507,Bret Harte Union High,376,68.8936170213,0.348512011474
18,Ojai Unified,72520,5634076,Nordhoff High,357,60.1344537815,0.733727810651
19,San Marcos Unified,73791,3737632,San Marcos High,716,88.1787709497,0.556289356474
20,Garden Grove Unified,66522,3032752,Garden Grove High,228,63.7587719298,0.646146252027
21,Corona-Norco Unified,67033,110627,Eleanor Roosevelt High,496,72.7540322581,0.469943247562
22,San Jose Unified,69666,4330502,Liberty High (Alternative,16,0.0,0.723253757737
23,Shasta Union High,70136,4530218,Freedom High,13,15.0,0.35168792198
24,Riverside Unified,67215,3336237,Polytechnic High,734,66.0326975477,0.55196454629
25,Sweetwater Union High,68411,3731502,San Ysidro High,12,67.0,0.653173965448
26,Porterville Unified,75523,5430624,"Citrus High, Cont.",12,8.0,0.288544358312
27,North Monterey County Unified,73825,2730034,North Monterey County High,157,57.2547770701,0.724327897752
28,Center Joint Unified,73973,3430451,"McClellan High, Cont.",26,15.0,0.514728477984
29,Clovis Unified,62117,1030196,Clovis West High,726,76.8154269972,0.410257742673
30,Chaffey Joint Union High,67652,3631157,Colony High,183,57.781420765,0.584564584732
31,Windsor Unified,75358,4930228,Windsor High,652,67.9892638037,0.690663417876
32,Poway Unified,68296,118935,Del Norte High,704,76.8181818182,0.480098943108
33,Murrieta Valley Unified,75200,118794,Murrieta Mesa High,747,72.875502008,0.551023137622
34,San Diego Unified,68338,3730371,San Diego SCPA,125,88.768,0.639748894279
35,Rim of the World Unified,67868,3635265,Rim of the World Senior High,635,56.8724409449,0.416916018352
36,Lake Elsinore Unified,75176,3330115,Ortega High,15,13.0,0.418744769874
37,Murrieta Valley Unified,75200,100420,Vista Murrieta High,881,75.0885357548,0.408031308491
38,Davis Joint Unified,72678,6066245,Emerson (Ralph Waldo) Jr. High,94,89.0,0.521778584392
39,Santa Ana Unified,66670,108365,Segerstrom High,47,82.7446808511,0.673099513341
40,Vista Unified,68452,3730785,Palomar High Independent Stud,14,57.0,0.523737297133
41,Poway Unified,68296,3731528,Westview High,871,81.6371986223,0.590174713507
42,Tulare Joint Union High,72249,5435466,Tulare Western High,224,61.6294642857,0.509095204347
43,Fremont Unified,61176,135244,Mission San Jose High,149,86.4832214765,0.766219839142
44,Elk Grove Unified,67314,3430477,Florin High,82,51.2926829268,0.724257282954
45,Grossmont Union High,68130,3731536,Grossmont Middle College,30,83.0,0.515335113302
46,Muroc Joint Unified,63685,1531987,Desert Junior-Senior High,157,63.7515923567,0.289198606272
47,West Contra Costa Unified,61796,735316,Pinole Valley High,180,47.75,0.820333432569
48,Corona-Norco Unified,67033,3334232,Norco High,765,65.5490196078,0.521374277896
49,Los Banos Unified,65755,120923,Pacheco High,119,63.025210084,0.609182058047
50,Simi Valley Unified,72603,5636188,Simi Valley High,1038,66.0568400771,0.510060259422
51,San Juan Unified,67447,3430493,Bella Vista High,1097,72.2333637192,0.486412512219
52,El Dorado Union High,61853,930149,"Independent Learning Ctr., Alt",54,31.2962962963,0.376518218623
53,Hanford Joint Union High,63925,1634401,Hanford High,348,57.9137931034,0.41235459286
54,Los Gatos-Saratoga Joint Union High,69534,4337762,Saratoga High,330,81.2787878788,0.764052462527
55,Simi Valley Unified,72603,5635008,Royal High,964,65.7489626556,0.502965372106
56,Desert Sands Unified,67058,118885,Shadow Hills High,135,64.637037037,0.680439104503
57,Tulare Joint Union High,72249,5435409,Tulare Union High,343,70.084548105,0.509095204347
58,Berkeley Unified,61143,131177,Berkeley High,704,83.7144886364,0.95595970901
59,San Benito High,67538,3537008,San Benito High,636,69.5172955975,0.630313644324
60,Oxnard Union High,72546,5630066,"Frontier High, Cont.",18,17.0,0.562587476419
61,Laguna Beach Unified,66555,3033206,Laguna Beach High,590,85.3372881356,0.55997588909
62,Capistrano Unified,66464,3038569,Dana Hills High,1339,75.4585511576,0.456465596753
63,Grossmont Union High,68130,3734548,Monte Vista High,221,55.4298642534,0.567637598284
64,Modesto City High,71175,5030010,Beyer (Fred C.) High,560,62.8392857143,0.503361941726
65,Perris Union High,67207,3330172,"Perris Lake High, Cont.",21,19.0,0.599527085125
66,Lodi Unified,68585,3930237,Bear Creek High,270,62.1851851852,0.613983375582
67,Santa Paula Union High,72595,5635776,Santa Paula High,55,61.7454545455,0.691237192231
68,Placentia-Yorba Linda Unified,66647,6119556,Parkview,26,61.1538461538,0.503782332845
69,Shasta Union High,70136,4530309,North State Independence High,94,27.585106383,0.35168792198
70,Kern Union High,63529,125062,Tierra Del Sol Continuation Hi,12,17.0,0.568197553658
71,Hanford Joint Union High,63925,118919,Sierra Pacific High,197,64.3756345178,0.41235459286
72,Modesto City High,71175,121129,Gregori High,441,58.5804988662,0.624695161083
73,Azusa Unified,64279,1933449,Gladstone High,21,38.0,0.461583577713
74,South Monterey County Joint Union High,66068,2732170,King City High,77,82.8181818182,0.708883025506
