,District,School Code,School Name,number,score,vote
0,Alameda City Unified,1,District Students in NPS,466,19.7210300429,0.643058547424
1,San Diego Unified,3733508,La Jolla High,1225,69.4130612245,0.643146674673
2,Modesto City High,110593,James C. Enochs High,1398,55.9020028612,0.503361941726
3,Winters Joint Unified,5738505,Winters High,226,53.1460176991,0.646812957158
4,Holtville Unified,1335306,Holtville High,31,70.8387096774,0.586666666667
5,Apple Valley Unified,3630423,Apple Valley High,1222,46.8453355155,0.412444444444
6,Simi Valley Unified,5630249,Monte Vista,74,40.7027027027,0.502965372106
7,Ferndale Unified,1232909,Ferndale High,83,48.0843373494,0.414024975985
8,Oakdale Joint Unified,5031950,East Stanislaus High,30,3.16666666667,0.381089459699
9,Hemet Unified,3330065,Alessandro High,150,9.74,0.467771639042
10,Redlands Unified,118802,Citrus Valley High,1045,50.4,0.455927591103
11,Dixon Unified,4832259,Dixon High,715,52.5986013986,0.670484122853
12,Fillmore Unified,5632021,Fillmore Senior High,109,62.1743119266,0.614634146341
13,Coronado Unified,3731478,Coronado High,1179,65.925360475,0.631088082902
14,Liberty Union High,730457,Freedom High,1275,51.4235294118,0.567729804007
15,Shasta Union High,4530200,Pioneer Continuation High,49,4.22448979592,0.35168792198
16,West Contra Costa Unified,732164,De Anza Senior High,69,46.3768115942,0.8259762309
17,Bret Harte Union High,532507,Bret Harte Union High,704,50.328125,0.348512011474
18,Ojai Unified,5634076,Nordhoff High,690,50.6333333333,0.733727810651
19,San Marcos Unified,3737632,San Marcos High,1402,74.9964336662,0.556289356474
20,Garden Grove Unified,3032752,Garden Grove High,431,44.8584686775,0.646146252027
21,Corona-Norco Unified,110627,Eleanor Roosevelt High,991,47.6104944501,0.469943247562
22,San Jose Unified,4330502,Liberty High (Alternative,16,0.0,0.723253757737
23,Shasta Union High,4530218,Freedom High,13,15.0,0.35168792198
24,Riverside Unified,3336237,Polytechnic High,1429,48.4723582925,0.55196454629
25,Sweetwater Union High,3731502,San Ysidro High,12,67.0,0.653173965448
26,Porterville Unified,5430624,"Citrus High, Cont.",24,8.0,0.288544358312
27,North Monterey County Unified,2730034,North Monterey County High,277,37.8628158845,0.724327897752
28,Center Joint Unified,3430451,"McClellan High, Cont.",26,15.0,0.514728477984
29,Clovis Unified,1030196,Clovis West High,1434,67.0676429568,0.410257742673
30,Chaffey Joint Union High,3631157,Colony High,315,47.1904761905,0.584564584732
31,Windsor Unified,4930228,Windsor High,1206,51.0854063018,0.690663417876
32,Poway Unified,118935,Del Norte High,1366,58.5021961933,0.480098943108
33,Murrieta Valley Unified,118794,Murrieta Mesa High,1488,56.5490591398,0.551023137622
34,San Diego Unified,3730371,San Diego SCPA,209,68.3301435407,0.639748894279
35,Rim of the World Unified,3635265,Rim of the World Senior High,1153,44.8291413703,0.416916018352
36,Lake Elsinore Unified,3330115,Ortega High,15,13.0,0.418744769874
37,Murrieta Valley Unified,100420,Vista Murrieta High,1718,56.8474970896,0.408031308491
38,Davis Joint Unified,6066245,Emerson (Ralph Waldo) Jr. High,181,83.9447513812,0.521778584392
39,Santa Ana Unified,108365,Segerstrom High,47,82.7446808511,0.673099513341
40,Vista Unified,3730785,Palomar High Independent Stud,14,57.0,0.523737297133
41,Poway Unified,3731528,Westview High,1675,61.8220895522,0.590174713507
42,Tulare Joint Union High,5435466,Tulare Western High,418,45.9043062201,0.509095204347
43,Fremont Unified,135244,Mission San Jose High,276,75.2572463768,0.766219839142
44,Elk Grove Unified,3430477,Florin High,130,35.5230769231,0.724257282954
45,Grossmont Union High,3731536,Grossmont Middle College,51,70.2352941176,0.515335113302
46,Muroc Joint Unified,1531987,Desert Junior-Senior High,290,45.9344827586,0.289198606272
47,West Contra Costa Unified,735316,Pinole Valley High,337,30.2492581602,0.820333432569
48,Corona-Norco Unified,3334232,Norco High,1517,48.762030323,0.521374277896
49,Los Banos Unified,120923,Pacheco High,206,43.7524271845,0.609182058047
50,Simi Valley Unified,5636188,Simi Valley High,1986,49.6263846928,0.510060259422
51,San Juan Unified,3430493,Bella Vista High,2050,66.9912195122,0.486412512219
52,El Dorado Union High,930149,"Independent Learning Ctr., Alt",70,24.1428571429,0.376518218623
53,Hanford Joint Union High,1634401,Hanford High,679,39.4197349043,0.41235459286
54,Los Gatos-Saratoga Joint Union High,4337762,Saratoga High,642,69.6152647975,0.764052462527
55,Simi Valley Unified,5635008,Royal High,1773,47.7986463621,0.502965372106
56,Desert Sands Unified,118885,Shadow Hills High,213,54.5399061033,0.680439104503
