,District,District Code,School Code,School Name,number,score,vote
0,Alameda City Unified,61119,1,District Students in NPS,24,9.0,0.643058547424
1,San Diego Unified,68338,3733508,La Jolla High,37,78.4054054054,0.643146674673
2,Modesto City High,71175,110593,James C. Enochs High,167,65.1437125749,0.503361941726
3,Winters Joint Unified,72702,5738505,Winters High,13,62.0,0.646812957158
4,Holtville Unified,63149,1335306,Holtville High,30,73.0666666667,0.586666666667
5,Hemet Unified,67082,3330065,Alessandro High,63,19.0,0.467771639042
6,Redlands Unified,67843,118802,Citrus Valley High,127,68.5669291339,0.455927591103
7,Dixon Unified,70532,4832259,Dixon High,45,48.5111111111,0.670484122853
8,Fillmore Unified,72454,5632021,Fillmore Senior High,11,64.0,0.614634146341
9,Shasta Union High,70136,4530200,Pioneer Continuation High,27,4.0,0.35168792198
10,Bret Harte Union High,61556,532507,Bret Harte Union High,100,55.13,0.348512011474
11,Ojai Unified,72520,5634076,Nordhoff High,79,49.2911392405,0.733727810651
12,San Marcos Unified,73791,3737632,San Marcos High,70,71.5857142857,0.556289356474
13,Kern Union High,63529,116400,Mira Monte High,26,26.6538461538,0.568197553658
14,Corona-Norco Unified,67033,110627,Eleanor Roosevelt High,104,71.2115384615,0.469943247562
15,Shasta Union High,70136,4530218,Freedom High,11,18.0,0.35168792198
16,Riverside Unified,67215,3336237,Polytechnic High,163,52.8834355828,0.55196454629
17,North Monterey County Unified,73825,2730034,North Monterey County High,69,47.3913043478,0.724327897752
18,Clovis Unified,62117,1030196,Clovis West High,116,54.3879310345,0.410257742673
19,Chaffey Joint Union High,67652,3631157,Colony High,48,48.1666666667,0.584564584732
20,Poway Unified,68296,118935,Del Norte High,12,45.0,0.480098943108
21,Murrieta Valley Unified,75200,118794,Murrieta Mesa High,137,69.5547445255,0.551023137622
22,Rim of the World Unified,67868,3635265,Rim of the World Senior High,211,43.8815165877,0.416916018352
23,Murrieta Valley Unified,75200,100420,Vista Murrieta High,141,60.3617021277,0.408031308491
24,East Side Union High,69427,4333639,Lick (James) High,14,7.0,0.790654620853
25,Poway Unified,68296,3731528,Westview High,56,67.8214285714,0.590174713507
26,Tulare Joint Union High,72249,5435466,Tulare Western High,84,44.4285714286,0.509095204347
