,District,District Code,School Code,School Name,number,score,vote
0,Alameda City Unified,61119,1,District Students in NPS,283,29.332155477,0.643058547424
1,San Diego Unified,68338,3733508,La Jolla High,594,88.702020202,0.643146674673
2,Modesto City High,71175,110593,James C. Enochs High,534,76.7602996255,0.503361941726
3,Winters Joint Unified,72702,5738505,Winters High,102,77.5294117647,0.646812957158
4,Murrieta Valley Unified,75200,118794,Murrieta Mesa High,605,73.6842975207,0.551023137622
5,Apple Valley Unified,75077,3630423,Apple Valley High,410,67.287804878,0.412444444444
6,Simi Valley Unified,72603,5630249,Monte Vista,58,44.9310344828,0.502965372106
7,Ferndale Unified,75374,1232909,Ferndale High,63,54.0476190476,0.414024975985
8,Hemet Unified,67082,3330065,Alessandro High,19,5.0,0.467771639042
9,Redlands Unified,67843,118802,Citrus Valley High,403,73.8511166253,0.455927591103
10,Dixon Unified,70532,4832259,Dixon High,329,70.2188449848,0.670484122853
11,Fillmore Unified,72454,5632021,Fillmore Senior High,58,70.7931034483,0.614634146341
12,Coronado Unified,68031,3731478,Coronado High,594,81.9225589226,0.631088082902
13,Liberty Union High,61721,730457,Freedom High,633,66.3333333333,0.567729804007
14,Bret Harte Union High,61556,532507,Bret Harte Union High,276,73.8913043478,0.348512011474
15,Ojai Unified,72520,5634076,Nordhoff High,278,63.4064748201,0.733727810651
16,San Marcos Unified,73791,3737632,San Marcos High,646,89.8575851393,0.556289356474
17,Apple Valley Unified,75077,3631009,High Desert Premier Academy,29,3.31034482759,0.412444444444
18,Corona-Norco Unified,67033,110627,Eleanor Roosevelt High,392,72.3775510204,0.469943247562
19,San Jose Unified,69666,4330502,Liberty High (Alternative,12,0.0,0.723253757737
20,Riverside Unified,67215,3336237,Polytechnic High,571,69.7758318739,0.55196454629
21,North Monterey County Unified,73825,2730034,North Monterey County High,88,65.0,0.724327897752
22,Clovis Unified,62117,1030196,Clovis West High,610,81.4918032787,0.410257742673
23,Chaffey Joint Union High,67652,3631157,Colony High,135,61.4,0.584564584732
24,Rim of the World Unified,67868,3635265,Rim of the World Senior High,423,63.7730496454,0.416916018352
25,Murrieta Valley Unified,75200,100420,Vista Murrieta High,740,77.4608108108,0.408031308491
26,Davis Joint Unified,72678,6066245,Emerson (Ralph Waldo) Jr. High,87,92.0,0.521778584392
27,Vista Unified,68452,3730785,Palomar High Independent Stud,11,55.0,0.523737297133
28,Poway Unified,68296,3731528,Westview High,815,82.5693251534,0.590174713507
29,Tulare Joint Union High,72249,5435466,Tulare Western High,140,71.8642857143,0.509095204347
30,Fremont Unified,61176,135244,Mission San Jose High,142,87.2535211268,0.766219839142
31,Grossmont Union High,68130,3731536,Grossmont Middle College,21,76.0,0.515335113302
32,Muroc Joint Unified,63685,1531987,Desert Junior-Senior High,147,64.6802721088,0.289198606272
33,West Contra Costa Unified,61796,735316,Pinole Valley High,130,48.1769230769,0.820333432569
34,Corona-Norco Unified,67033,3334232,Norco High,611,68.9230769231,0.521374277896
35,Los Banos Unified,65755,120923,Pacheco High,75,69.48,0.609182058047
36,Simi Valley Unified,72603,5636188,Simi Valley High,905,67.2662983425,0.510060259422
37,San Juan Unified,67447,3430493,Bella Vista High,890,76.4573033708,0.486412512219
38,El Dorado Union High,61853,930149,"Independent Learning Ctr., Alt",46,34.7826086957,0.376518218623
39,Hanford Joint Union High,63925,1634401,Hanford High,282,60.7836879433,0.41235459286
40,Los Gatos-Saratoga Joint Union High,69534,4337762,Saratoga High,329,81.5927051672,0.764052462527
41,Simi Valley Unified,72603,5635008,Royal High,824,69.036407767,0.502965372106
42,Desert Sands Unified,67058,118885,Shadow Hills High,85,70.5058823529,0.680439104503
43,Tulare Joint Union High,72249,5435409,Tulare Union High,233,74.2060085837,0.509095204347
44,Berkeley Unified,61143,131177,Berkeley High,653,85.7687595712,0.95595970901
45,San Benito High,67538,3537008,San Benito High,572,70.472027972,0.630313644324
46,Laguna Beach Unified,66555,3033206,Laguna Beach High,556,85.9568345324,0.55997588909
47,Sacramento City Unified,67439,3430519,Capital City,23,26.2173913043,0.810262114997
48,Modesto City High,71175,5030010,Beyer (Fred C.) High,414,69.4710144928,0.503361941726
49,Elk Grove Unified,67314,3432572,Elk Grove High,526,68.5969581749,0.53358802929
50,Lodi Unified,68585,3930237,Bear Creek High,167,67.6646706587,0.613983375582
51,Santa Paula Union High,72595,5635776,Santa Paula High,26,58.0,0.691237192231
52,Placentia-Yorba Linda Unified,66647,6119556,Parkview,15,73.0,0.503782332845
53,Shasta Union High,70136,4530309,North State Independence High,21,24.0,0.35168792198
54,Visalia Unified,72256,5435839,Sequoia High,14,15.0,0.573157315732
55,Hanford Joint Union High,63925,118919,Sierra Pacific High,154,70.2467532468,0.41235459286
56,Davis Joint Unified,72678,6060396,Holmes (Oliver Wendell),130,89.0,0.521778584392
57,South Monterey County Joint Union High,66068,2732170,King City High,62,83.9677419355,0.708883025506
58,North Monterey County Unified,73825,2730125,North Monterey County Ctr,15,47.0,0.638313875535
59,Fortuna Union High,62810,108688,Academy of the Redwoods,94,78.5,0.516473887136
60,Escalon Unified,68502,3932308,Escalon High,284,62.5598591549,0.38561479177
61,Hayward Unified,61192,135319,Mt. Eden High,53,67.0943396226,0.805712270804
62,Alvord Unified,66977,3334299,Norte Vista High,51,60.6078431373,0.641564318035
63,Conejo Valley Unified,73759,5630108,"Conejo Valley High, Cont.",21,33.0,0.493549203137
64,Tamalpais Union High,65482,2130078,Tamiscal High (Alternative),50,89.78,0.758831277691
65,Elk Grove Unified,67314,116897,Cosumnes Oaks High,357,77.974789916,0.635654169855
66,Anaheim Union High,66431,3033115,John F. Kennedy High,319,86.8777429467,0.620361429163
67,Fullerton Joint Union High,66514,3037348,Sunny Hills High,255,79.8156862745,0.634521880065
68,Banning Unified,66985,3330214,Banning High,12,50.0,0.449500318945
69,Corona-Norco Unified,67033,110759,John F. Kennedy High,117,84.0,0.521374277896
70,San Juan Unified,67447,3436714,Rio Americano High,717,74.1994421199,0.613832853026
71,San Juan Unified,67447,3431111,Casa Roble Fundamental High,589,60.3140916808,0.442007644589
72,Simi Valley Unified,72603,5630322,Santa Susana High,505,85.2871287129,0.510060259422
73,Pittsburg Unified,61788,735407,Pittsburg Senior High,71,61.1267605634,0.811901646119
74,Sequoia Union High,69062,4130993,Carlmont High,654,86.2262996942,0.798728472558
75,Oak Park Unified,73874,5630132,Oak Park High,819,90.5433455433,0.679618001047
76,Salinas Union High,66159,2730166,Everett Alvarez High,89,69.7752808989,0.766725159026
77,Natomas Unified,75283,3430584,Natomas High,26,61.1538461538,0.638572425017
78,El Dorado Union High,61853,930164,Union Mine High,440,74.4909090909,0.335960591133
79,Tracy Joint Unified,75499,3930302,Merrill F. West High,241,60.5767634855,0.628774661119
80,Jefferson Union High,68924,4135075,Oceana High,74,78.3513513514,0.814388961892
81,Elk Grove Unified,67314,3430592,Laguna Creek High,199,74.5025125628,0.669520992267
82,San Diego Unified,68338,3733698,Madison High,121,59.0826446281,0.604657849339
83,Sierra Sands Unified,73742,1530054,Mesquite Cont. High,16,25.0,0.31420233463
84,Brawley Union High,63081,1331404,Brawley High,104,75.7980769231,0.697323900338
85,San Mateo Union High,69047,4133070,Hillsdale High,308,75.762987013,0.779979830754
86,Shasta County Office of Education,10454,118992,Magnolia Independent Learning,12,17.0,0.35168792198
87,Elk Grove Unified,67314,108753,Pleasant Grove High,642,79.6261682243,0.53358802929
88,Placer Union High,66894,3135704,Placer High,530,70.8471698113,0.466746794872
89,Elk Grove Unified,67314,3430618,Sheldon High,281,72.743772242,0.599445599446
90,Hemet Unified,67082,106716,Hamilton High,32,65.9375,0.306974190005
91,Placer Union High,66894,3132453,Del Oro High,903,81.1782945736,0.406476190476
92,Patterson Joint Unified,71217,5036256,Patterson High,122,66.4672131148,0.577589023195
93,San Jose Unified,69666,4333795,Lincoln (Abraham) High,184,83.4130434783,0.806573310314
94,Lodi Unified,68585,3930344,Independence,42,14.3571428571,0.41589295467
95,Twin Rivers Unified,76505,3430634,Elwood J. Keema High,49,14.2857142857,0.524216204068
96,East Side Union High,69427,4337903,Silver Creek High,44,77.0909090909,0.772476732629
97,Central Unified,73965,1030386,Central Unif. Alter/Opp,18,22.0,0.586681844052
98,Sweetwater Union High,68411,3731155,Options Secondary,11,55.0,0.754016957886
99,Mt. Diablo Unified,61754,731380,Clayton Valley High,688,69.2965116279,0.66013560674
100,San Luis Coastal Unified,68809,4034807,Morro Bay High,261,76.7356321839,0.582924435721
101,Lake Elsinore Unified,75176,3332350,Elsinore High,417,69.7841726619,0.382344624781
102,Napa Valley Unified,66266,121087,American Canyon High,106,69.0943396226,0.717882632831
103,Kern Union High,63529,1530112,Vista West Continuation,32,6.0,0.184210526316
104,Riverside Unified,67215,3334406,North (John W.) High,158,79.0189873418,0.6940433213
105,Moorpark Unified,73940,5630215,Community High,16,44.0,0.518262586377
106,Huntington Beach Union High,66548,3030145,Ocean View High,232,76.4094827586,0.540354981437
107,Northern Humboldt Union High,62687,1235209,McKinleyville High,205,67.1170731707,0.657088577535
108,Tustin Unified,73643,3032109,Foothill High,868,85.6785714286,0.624855443582
109,Sacramento City Unified,67439,3434768,Kennedy (John F.) High,112,71.5803571429,0.746039824416
110,Orange Unified,66621,3035409,Orange High,94,70.9361702128,0.569069526537
111,Fullerton Joint Union High,66514,3033362,La Habra High,370,73.0,0.532154474935
112,Poway Unified,68296,3730819,Rancho Bernardo High,836,72.9545454545,0.555760188088
113,Livermore Valley Joint Unified,61200,133397,Granada High,832,77.2139423077,0.429708222812
114,Fremont Union High,69468,4331799,Cupertino High,287,80.4111498258,0.810852120749
115,Taft Union High,63818,1530138,"Buena Vista High, Cont.",11,18.0,0.191363777571
116,El Dorado Union High,61853,930081,Oak Ridge High,1154,82.3518197574,0.455197962491
117,Poway Unified,68296,3735842,Abraxas Continuation High,24,8.0,0.473045822102
118,Atascadero Unified,68700,4030755,Atascadero High,566,74.0795053004,0.472904383491
119,San Juan Unified,67447,3432838,Encina Preparatory High,16,31.0,0.742994588094
120,Shoreline Unified,73361,2134310,Tomales High,60,69.8666666667,0.77648878577
121,Placer Union High,66894,3131687,"Chana High, Cont.",28,14.2857142857,0.643084541917
122,Folsom-Cordova Unified,67330,3434792,"Kinney High, Cont.",14,23.0,0.513401072086
123,East Side Union High,69427,4330023,Santa Teresa High,488,68.3422131148,0.723253757737
124,Riverside Unified,67215,3336492,Ramona High,129,69.8527131783,0.554218787348
125,Ukiah Unified,65615,2335024,Ukiah High,360,66.9777777778,0.634938728983
126,Grossmont Union High,68130,3737905,Santana High,618,69.9223300971,0.371937452964
127,Woodland Joint Unified,72710,5738802,Woodland Senior High,216,66.6574074074,0.655936454849
