,District,School Code,School Name,number,score,vote
0,Alameda City Unified,1,District Students in NPS,399,21.0676691729,0.643058547424
1,San Diego Unified,3733508,La Jolla High,1153,70.2653946227,0.643146674673
2,Modesto City High,110593,James C. Enochs High,1062,57.9369114878,0.503361941726
3,Winters Joint Unified,5738505,Winters High,177,57.186440678,0.646812957158
4,Murrieta Valley Unified,118794,Murrieta Mesa High,1204,57.6320598007,0.551023137622
5,Apple Valley Unified,3630423,Apple Valley High,780,48.8051282051,0.412444444444
6,Simi Valley Unified,5630249,Monte Vista,58,44.9310344828,0.502965372106
7,Ferndale Unified,1232909,Ferndale High,75,49.4,0.414024975985
8,Hemet Unified,3330065,Alessandro High,33,2.87878787879,0.467771639042
9,Redlands Unified,118802,Citrus Valley High,797,52.3764115433,0.455927591103
10,Dixon Unified,4832259,Dixon High,624,55.7900641026,0.670484122853
11,Fillmore Unified,5632021,Fillmore Senior High,69,71.1449275362,0.614634146341
12,Coronado Unified,3731478,Coronado High,1155,65.8043290043,0.631088082902
13,Liberty Union High,730457,Freedom High,1145,52.527510917,0.567729804007
14,Bret Harte Union High,532507,Bret Harte Union High,520,52.7942307692,0.348512011474
15,Ojai Unified,5634076,Nordhoff High,540,53.3722222222,0.733727810651
16,San Marcos Unified,3737632,San Marcos High,1269,76.2324665091,0.556289356474
17,Apple Valley Unified,3631009,High Desert Premier Academy,29,3.31034482759,0.412444444444
18,Corona-Norco Unified,110627,Eleanor Roosevelt High,785,47.7707006369,0.469943247562
19,San Jose Unified,4330502,Liberty High (Alternative,12,0.0,0.723253757737
20,Riverside Unified,3336237,Polytechnic High,1104,51.7300724638,0.55196454629
21,North Monterey County Unified,2730034,North Monterey County High,131,52.1374045802,0.724327897752
22,Clovis Unified,1030196,Clovis West High,1207,71.5302402651,0.410257742673
23,Chaffey Joint Union High,3631157,Colony High,227,51.9823788546,0.584564584732
24,Rim of the World Unified,3635265,Rim of the World Senior High,776,49.2770618557,0.416916018352
25,Murrieta Valley Unified,100420,Vista Murrieta High,1443,58.7567567568,0.408031308491
26,Davis Joint Unified,6066245,Emerson (Ralph Waldo) Jr. High,172,85.6802325581,0.521778584392
27,Vista Unified,3730785,Palomar High Independent Stud,11,55.0,0.523737297133
28,Poway Unified,3731528,Westview High,1569,62.8228170809,0.590174713507
29,Tulare Joint Union High,5435466,Tulare Western High,254,56.4842519685,0.509095204347
30,Fremont Unified,135244,Mission San Jose High,265,75.8490566038,0.766219839142
31,Grossmont Union High,3731536,Grossmont Middle College,36,63.9166666667,0.515335113302
32,Muroc Joint Unified,1531987,Desert Junior-Senior High,272,47.0919117647,0.289198606272
33,West Contra Costa Unified,735316,Pinole Valley High,245,30.9183673469,0.820333432569
34,Corona-Norco Unified,3334232,Norco High,1216,51.3569078947,0.521374277896
35,Los Banos Unified,120923,Pacheco High,115,55.8086956522,0.609182058047
36,Simi Valley Unified,5636188,Simi Valley High,1732,50.8169745958,0.510060259422
37,San Juan Unified,3430493,Bella Vista High,1680,70.2767857143,0.486412512219
38,El Dorado Union High,930149,"Independent Learning Ctr., Alt",59,27.1186440678,0.376518218623
39,Hanford Joint Union High,1634401,Hanford High,542,41.9501845018,0.41235459286
40,Los Gatos-Saratoga Joint Union High,4337762,Saratoga High,640,69.8921875,0.764052462527
41,Simi Valley Unified,5635008,Royal High,1531,49.7439581973,0.502965372106
42,Desert Sands Unified,118885,Shadow Hills High,109,66.9174311927,0.680439104503
43,Tulare Joint Union High,5435409,Tulare Union High,449,59.3273942094,0.509095204347
