,latitude,longitude,precinct,zip
0,38.3256258013,-122.276947518,055-311411,94592.0
1,38.3032630313,-122.351308861,055-121751,94599.0
2,38.3078262882,-122.343661218,055-121752,94804.0
3,38.293947834,-122.263358854,055-111431,94503.0
4,38.4759073493,-122.235109034,055-411711,94558.0
5,38.3464948273,-122.282976502,055-411712,95987.0
6,38.414134563,-122.213383194,055-411713,94599.0
7,38.5849536558,-122.570213243,055-343705,94508.0
8,38.5709146349,-122.580984341,055-343704,95409.0
9,38.5956396246,-122.582125235,055-343701,95409.0
10,38.3274827492,-122.303806373,055-421571,94559.0
11,38.580777575,-122.586600657,055-343703,96074.0
12,38.5890057385,-122.597690851,055-343702,94515.0
13,38.4129249318,-122.395429705,055-311712,94599.0
14,38.2995496705,-122.275884922,055-521221,94703.0
15,38.3289446696,-122.337978993,055-221771,94806.0
16,38.3109836992,-122.270846198,055-521223,96021.0
17,38.2975205705,-122.263631751,055-521224,94503.0
18,38.3030763171,-122.266994246,055-521225,94709.0
19,38.3037309239,-122.24587024,055-511211,94502.0
20,38.3166219158,-122.292111429,055-421421,94608.0
21,38.3084154082,-122.293000714,055-421226,94706.0
22,38.3006597525,-122.293495144,055-421225,94706.0
23,38.3144526447,-122.304408628,055-421422,94559.0
24,38.3252069712,-122.284166212,055-421425,94803.0
25,38.2992711429,-122.275758216,055-121131,94703.0
26,38.3170434225,-122.277951476,055-421427,94501.0
27,38.3136548162,-122.291566639,055-421426,95638.0
28,38.2996477573,-122.306606533,055-221553,94710.0
29,38.2997411055,-122.281154243,055-121221,94021.0
30,38.2945550236,-122.303308374,055-221551,94559.0
31,38.259382004,-122.301421015,055-111141,94607.0
32,38.5597797552,-122.467543184,055-312707,94576.0
33,38.347436639,-122.318500229,055-321671,95431.0
34,38.513216786,-122.537296466,055-312705,95452.0
35,38.4223848857,-122.390104555,055-312704,95465.0
36,38.6928311085,-122.370530291,055-312703,94567.0
37,38.6081167197,-122.279665981,055-312702,94707.0
38,38.5396564209,-122.235214137,055-312701,94558.0
