,District,District Code,School Code,School Name,number,score,vote
0,Los Angeles Unified,64733,102913,Middle College High,176,28.5511363636,0.73945599022
1,Las Virgenes Unified,64683,1931781,Calabasas High,56,51.8392857143,0.64766536965
2,Los Angeles Unified,64733,102921,Harbor Teacher Preparation Ac,66,90.9696969697,0.810384159139
3,Pomona Unified,64907,1933324,Garey Senior High,12,42.0,0.694546617624
4,Glendale Unified,64568,1934082,Herbert Hoover High,12,67.0,0.657273715262
5,Los Angeles County Office of Education,10199,121871,Los Padrinos Juvenile,81,1.37037037037,0.755491167399
6,San Francisco Unified,68478,3830288,Balboa High,90,6.73333333333,0.857183118439
7,Los Angeles Unified,64733,1932888,Downtown Business High,54,37.2962962963,0.854956965253
8,Los Angeles Unified,64733,1995794,Youth Opportunities Unlim,55,7.0,0.908750514846
9,Bellflower Unified,64303,1930775,Bellflower High,286,34.4265734266,0.728351881293
10,Los Angeles Unified,64733,1938968,Van Nuys Senior High,119,37.7899159664,0.765187419216
11,William S. Hart Union High,65136,1995802,Valencia High,151,50.9139072848,0.553500458575
12,Compton Unified,73437,1995695,"Chavez (Cesar) High, Cont.",46,0.0,0.843711153803
13,Los Angeles Unified,64733,1933852,Alexander Hamilton Senior Hig,1036,28.3088803089,0.816042024447
14,Covina-Valley Unified,64436,1936418,Northview High,32,25.21875,0.712248743719
15,Los Angeles Unified,64733,1934371,Thomas Jefferson Senior High,88,10.3295454545,0.922107850668
16,Compton Unified,73437,1932326,Dominguez High,505,11.5267326733,0.897839225101
17,Los Angeles County Office of Education,10199,121897,Central Juvenile Hall,113,2.10619469027,0.755491167399
18,Los Angeles Unified,64733,124461,Social Justice: Global Issues,43,5.11627906977,0.922107850668
19,Los Angeles Unified,64733,1932847,Los Angeles Center for Enrich,160,53.6375,0.740799366838
20,Arcadia Unified,64261,1930288,Arcadia High,37,61.9189189189,0.641412361689
21,Long Beach Unified,64725,1936947,Polytechnic High,1667,27.275344931,0.836324705586
22,Torrance Unified,65060,1938356,South High,39,74.4358974359,0.613316134154
23,William S. Hart Union High,65136,102459,Golden Valley High,243,33.1111111111,0.493247068338
24,Walnut Valley Unified,73460,1932862,Diamond Bar High,76,52.7763157895,0.57246031746
25,Los Angeles Unified,64733,124479,Social Justice: Fine and Perf,59,15.1694915254,0.922107850668
26,Los Angeles County Office of Education,10199,121921,Afflerbaugh-Paige Camp,28,0.0,0.755491167399
27,Pasadena Unified,64881,1936822,Pasadena High,374,25.7620320856,0.689621329844
28,William S. Hart Union High,65136,102475,West Ranch High,94,64.0106382979,0.56037496028
29,Lynwood Unified,64774,1935436,Lynwood High,162,17.3641975309,0.818173573955
30,Centinela Valley Union High,64352,1934926,Lawndale High,392,30.6505102041,0.75959933222
31,Santa Monica-Malibu Unified,64980,1938000,Santa Monica High,350,26.1628571429,0.83513562224
32,West Covina Unified,65094,1939537,West Covina High,112,54.2678571429,0.722227984649
33,Norwalk-La Mirada Unified,64840,1936467,Norwalk High,88,25.0681818182,0.66824754731
34,William S. Hart Union High,65136,1934421,"Bowman (Jereann) High, Cont.",11,18.0,0.45738545338
35,Los Angeles County Office of Education,10199,1933399,L.A. Co. High School/Arts,79,54.2658227848,0.750386750387
36,Los Angeles Unified,64733,1931864,Grover Cleveland High,138,55.7971014493,0.695140327745
37,San Francisco County Office of Education,10389,3830361,San Francisco Court,24,0.0,0.845952534595
38,Los Angeles Unified,64733,1932383,Susan Miller Dorsey Senior Hi,902,17.1119733925,0.911423670669
39,Los Angeles Unified,64733,1939040,Venice Senior High,250,24.552,0.805606900801
40,Compton Unified,73437,1931963,Compton High,496,7.56451612903,0.898423817863
41,Los Angeles Unified,64733,1932391,West Hollywood Opportunity,11,18.0,0.843086361491
42,San Francisco Unified,68478,3839081,Washington (George) High,98,25.5612244898,0.859501229364
43,Los Angeles Unified,64733,124529,Rancho Dominguez Preparatory,396,22.452020202,0.737823921668
44,San Francisco Unified,68478,3830387,Asawa (Ruth) San Francisco Sc,12,45.0,0.886606782398
45,Los Angeles Unified,64733,1934454,David Starr Jordan Senior Hig,179,3.3687150838,0.91624251497
46,Los Angeles Unified,64733,1932920,Fairfax Senior High,487,27.7885010267,0.843086361491
47,ABC Unified,64212,1930361,Artesia High,195,44.2358974359,0.684382665576
48,Los Angeles Unified,64733,1938554,Sylmar Senior High,46,26.2608695652,0.824708926261
49,Pomona Unified,64907,1995901,Diamond Ranch High,267,40.7528089888,0.694546617624
50,Centinela Valley Union High,64352,1933951,Hawthorne High,397,16.0705289673,0.874346343312
51,San Francisco Unified,68478,3830403,Marshall (Thurgood) High,111,8.14414414414,0.868364791399
52,Pomona Unified,64907,1937028,Pomona Senior High,182,24.1263736264,0.724364942147
53,Antelope Valley Union High,64246,1995398,Highland High,652,31.013803681,0.419696176008
54,Los Angeles Unified,64733,1939479,WESM Health/Sports Medicine,1320,22.8734848485,0.76065511572
55,Antelope Valley Union High,64246,1995406,Littlerock High,133,20.4586466165,0.492362982929
56,Torrance Unified,65060,1939602,West High,110,51.8454545455,0.643809331448
57,Los Angeles Unified,64733,1930387,Central High,29,3.51724137931,0.846559206448
58,Downey Unified,64451,1932441,Downey High,146,34.4589041096,0.687788741231
59,Rowland Unified,73452,1937564,Rowland (John A.) High,22,50.0,0.58049122807
60,Long Beach Unified,64725,1995935,Cabrillo High,572,18.5314685315,0.737823921668
61,Los Angeles Unified,64733,114850,West Adams Preparatory High,171,18.0292397661,0.904467987103
62,Los Angeles Unified,64733,1930403,Whitney Young Continuation,13,15.0,0.878698742865
63,Inglewood Unified,64634,1936046,Morningside High,438,14.6849315068,0.838403294368
64,Los Angeles Unified,64733,1931955,"Ellington (Duke) High, Cont.",16,6.0,0.73945599022
65,Los Angeles Unified,64733,1938612,William Howard Taft Senior Hi,356,28.345505618,0.705670515605
66,Los Angeles Unified,64733,1995448,Francisco Bravo Medical Magne,26,69.2307692308,0.870950978694
67,Los Angeles Unified,64733,1932987,John H. Francis Polytechnic,12,42.0,0.750625360785
68,Antelope Valley Union High,64246,1995968,Phoenix High Community Day,56,2.03571428571,0.5248
69,Duarte Unified,64469,1932482,Duarte High,91,38.4725274725,0.69235280319
70,Lompoc Unified,69229,4230454,Cabrillo High,45,43.7555555556,0.409012131716
71,Centinela Valley Union High,64352,1935048,Leuzinger High,449,20.0200445434,0.75959933222
72,Los Angeles Unified,64733,1933001,King/Drew Medical Magnet High,1294,33.9899536321,0.855679055228
