,District,District Code,School Code,School Name,number,score,vote
0,Hacienda la Puente Unified,73445,1933316,"Puente Hills High, Alter.",32,9.6875,0.770707392088
1,Pomona Unified,64907,1933324,Garey Senior High,1243,37.6411906677,0.694546617624
2,Southern Humboldt Joint Unified,63040,1237007,South Fork Junior - Senior Hi,142,45.0633802817,0.682593856655
3,Los Angeles Unified,64733,1937424,"School of Communications, New",328,12.0548780488,0.870950978694
4,Los Angeles Unified,64733,6058002,Robert Fulton College Prepara,683,33.4319180088,0.808184727938
5,Burbank Unified,64337,1933332,"Monterey High, Cont.",123,18.9105691057,0.808108640031
6,Los Angeles Unified,64733,1939479,WESM Health/Sports Medicine,919,44.4776931447,0.76065511572
7,Whittier Union High,65128,1931302,California High,2252,50.4191829485,0.678964637258
8,William S. Hart Union High,65136,102459,Golden Valley High,1564,57.0428388747,0.493247068338
9,Santa Monica-Malibu Unified,64980,1933373,"Olympic High, Cont.",50,2.22,0.83513562224
10,Lynwood Unified,64774,1935428,Vista High (Continuation),51,2.0,0.818173573955
11,Los Angeles Unified,64733,1933381,James A. Garfield Senior High,1719,43.9232111693,0.884973040556
12,Los Angeles Unified,64733,1931336,Cheviot Hills Continuation,70,14.2857142857,0.816042024447
13,El Monte Union High,64519,1937481,Rosemead High,1337,59.3163799551,0.809498750164
14,William S. Hart Union High,65136,102475,West Ranch High,2126,70.2873941675,0.56037496028
15,Los Angeles Unified,64733,110668,Frida Kahlo High,110,21.5,0.922107850668
16,West Covina Unified,65094,1939537,West Covina High,1928,56.0,0.722227984649
17,Los Angeles County Office of Education,10199,1933399,L.A. Co. High School/Arts,455,82.5604395604,0.750386750387
18,Los Angeles Unified,64733,1931377,Earhart (Amelia) Continuation,59,12.3220338983,0.806232062321
19,Los Angeles Unified,64733,1931385,Einstein (Albert) Cont.,65,12.1076923077,0.706802053886
20,Los Angeles Unified,64733,1931393,Highland Park Continuation,56,16.375,0.820382855174
21,Torrance Unified,65060,1939602,West High,1593,75.9365976146,0.643809331448
22,Los Angeles Unified,64733,1931419,Leonis (Miguel) Continuation,67,18.0149253731,0.658119126159
23,Rowland Unified,73452,1937564,Rowland (John A.) High,1708,68.2892271663,0.58049122807
24,Los Angeles Unified,64733,1935519,Manual Arts Senior High,1942,19.5890834192,0.87685560054
25,Glendale Unified,64568,1933472,"Daily (Allan F.) High, Cont.",119,13.0,0.66717603912
26,Los Angeles Unified,64733,114850,West Adams Preparatory High,1462,24.0991792066,0.904467987103
27,Los Angeles Unified,64733,1931435,Lewis (Robert H.) Continuation,40,2.625,0.750625360785
28,Davis Joint Unified,72678,106674,Frances Ellen Watkins Harper,244,86.0,0.619047619048
29,Los Angeles Unified,64733,1931450,Jack London Continuation,78,11.4358974359,0.743107540624
30,Bonita Unified,64329,1937598,Chaparral High (Continuation),55,15.0,0.532519190509
31,Los Angeles Unified,64733,1931468,Metropolitan Continuation,105,20.5333333333,0.846559206448
32,San Gabriel Unified,75291,1995810,Gabrielino High,1337,64.2834704562,0.733281579239
33,Los Angeles Unified,64733,1935568,John Marshall Senior High,1982,49.8289606458,0.690659481653
34,Los Angeles Unified,64733,1931476,Canoga Park Senior High,1249,39.7870296237,0.744038635678
35,Los Angeles Unified,64733,1937622,San Fernando Senior High,1830,33.2863387978,0.823900205693
36,Glendale Unified,64568,1933530,Glendale High,1978,55.608190091,0.649555830428
37,Los Angeles Unified,64733,1931484,Mission Continuation,57,5.0350877193,0.823900205693
38,Glendora Unified,64576,1939677,Whitcomb Continuation High,39,5.0,0.525503015274
39,Los Angeles Unified,64733,112862,Student Empowerment Academy,229,33.8689956332,0.922107850668
40,Long Beach Unified,64725,125153,Beach High-ILP,260,5.75384615385,0.575231756596
41,Tulelake Basin Joint Unified,73593,4737250,Tulelake High,106,44.3018867925,0.294797687861
42,William S. Hart Union High,65136,1931492,Canyon High,1766,58.2457531144,0.579585410653
43,Los Angeles Unified,64733,112870,Los Angeles School of Global,274,30.4708029197,0.81433061866
44,Los Angeles Unified,64733,1931500,Owensmouth Continuation,69,14.5652173913,0.744038635678
45,Whittier Union High,65128,1939701,Whittier High,1745,48.7071633238,0.78215661104
46,Bellflower Unified,64303,1935618,Mayfair High,1571,55.6823679185,0.728351881293
47,Los Angeles Unified,64733,1931526,Carson Senior High,1898,44.9578503688,0.776502242152
48,Los Angeles Unified,64733,121095,Ambassador School of Global,348,31.1724137931,0.823566084788
49,San Francisco Unified,68478,102103,Jordan (June) School for Equi,148,18.7364864865,0.857183118439
50,Los Angeles Unified,64733,1931534,Rogers (Will) Continuation,88,7.01136363636,0.765187419216
51,San Francisco Unified,68478,3830031,Wells (Ida B.) High,135,9.66666666667,0.910737683438
52,Glendora Unified,64576,1933597,Glendora High,1732,70.7003464203,0.519502353732
53,Alhambra Unified,75713,1937697,San Gabriel High,1684,60.0760095012,0.733281579239
54,Los Angeles Unified,64733,1931559,Stoney Point Continuation,74,8.24324324324,0.545961333175
55,Upper Lake Union High,64071,1737006,Upper Lake High,216,32.7083333333,0.459459459459
56,Compton Unified,73437,1931567,Centennial High,770,16.3428571429,0.843711153803
57,San Francisco Unified,68478,3830064,"Downtown High, Cont.",100,2.47,0.938828162129
58,El Monte Union High,64519,1932680,Mountain View High,1217,35.8126540674,0.779574617683
59,Woodland Joint Unified,72710,5738810,"Cache Creek High, Cont.",72,7.0,0.598051157125
60,Los Angeles Unified,64733,117051,Edward R. Roybal Learning Cen,1139,28.9920983319,0.868001251173
61,Exeter Union High,71928,5431614,Kaweah High,17,0.0,0.455
62,Bonita Unified,64329,1937739,San Dimas High,910,61.9736263736,0.532519190509
63,Los Angeles Unified,64733,117069,Helen Bernstein High,778,23.3984575835,0.869295923769
64,Norwalk-La Mirada Unified,64840,1933647,Glenn (John H.) High,1209,40.0206782465,0.66824754731
65,Walnut Valley Unified,73460,1937747,Ron Hockwalt Academies (Conti,19,11.0,0.622432392493
66,Los Angeles Unified,64733,117077,Academic Performance Excellenc,215,25.023255814,0.869295923769
67,Covina-Valley Unified,64436,1931617,"Fairvalley High, Cont.",126,6.01587301587,0.712248743719
68,Downey Unified,64451,1931625,Columbus Continuation,137,7.46715328467,0.687788741231
69,Los Angeles Unified,64733,102764,Alonzo Community Day,210,14.5333333333,0.869295923769
70,Los Angeles Unified,64733,1939859,Woodrow Wilson Senior High,1373,33.4253459578,0.750386750387
71,ABC Unified,64212,1931641,"Tracy High, Cont.",213,6.9765258216,0.669346150659
72,Hacienda la Puente Unified,73445,1939834,Glen A. Wilson High,1187,64.3580454928,0.629021981523
73,Scott Valley Unified,76455,4733309,Etna Union High,136,58.6764705882,0.324840764331
74,Long Beach Unified,64725,1935758,Millikan High,2943,52.703024125,0.575231756596
75,Charter Oak Unified,64378,1931666,Charter Oak High,1321,52.9909159727,0.544794738036
76,Los Angeles Unified,64733,6019475,Thirty-Second St. Perf. Arts,223,68.4080717489,0.904467987103
77,Pasadena Unified,64881,1931674,Marshall Fundamental,740,63.8648648649,0.640983033059
78,Los Angeles Unified,64733,1930650,Phineas Banning Senior High,2170,39.6460829493,0.810384159139
79,Los Angeles Unified,64733,1931682,Zane Grey Continuation,88,8.20454545455,0.695140327745
80,Long Beach Unified,64725,1939875,Wilson High,2912,54.5597527473,0.742538438348
81,Los Angeles Unified,64733,1931690,Independence Continuation,84,12.2142857143,0.768974432634
82,Summerville Union High,72413,5530027,"Tuolumne High, Cont.",12,17.0,0.501577287066
83,Los Angeles Unified,64733,1937838,San Pedro Senior High,2068,44.2147001934,0.721876046901
84,San Francisco Unified,68478,3830197,Independence High,92,28.3804347826,0.825506052539
